;GO:0042407;GO:0006120;GO:0006123;GO:1902600;GO:0045333;GO:0009245;GO:0006122;GO:0006633;GO:0009725;GO:0042776;GO:0009249;GO:0030308;GO:0032981;GO:2001243
GO:0042407;1.0;0.2610185749042658;0.2610185749042658;0.0;0.28860800661246944;0.20858484291008988;0.2610185749042658;0.296258197808173;0.0;0.24138851853875337;0.24138851853875337;0.0;0.37530409558661176;0.0
GO:0006120;0.2610185749042658;1.0;0.706992926550795;0.0;0.6425477300563023;0.34359595032881624;0.706992926550795;0.4312693052268993;0.0;0.6048158597088517;0.4186909193124087;0.0;0.3855773354389354;0.0
GO:0006123;0.2610185749042658;0.706992926550795;1.0;0.0;0.8180793127523673;0.34359595032881624;0.706992926550795;0.4312693052268993;0.0;0.6048158597088517;0.4186909193124087;0.0;0.3855773354389354;0.0
GO:1902600;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.7358712350388668;0.0;0.0;0.0;0.0
GO:0045333;0.28860800661246944;0.6425477300563023;0.8180793127523673;0.0;1.0;0.3741553224801186;0.6425477300563023;0.4618286773782017;0.0;0.6097440544276387;0.4236191140311958;0.0;0.3637029755960619;0.0
GO:0009245;0.20858484291008988;0.34359595032881624;0.34359595032881624;0.0;0.3741553224801186;1.0;0.34359595032881624;0.6173346771181648;0.0;0.4426198615785847;0.33201565809507144;0.0;0.28367981189368235;0.0
GO:0006122;0.2610185749042658;0.706992926550795;0.706992926550795;0.0;0.6425477300563023;0.34359595032881624;1.0;0.4312693052268993;0.0;0.6048158597088517;0.4186909193124087;0.0;0.3855773354389354;0.0
GO:0006633;0.296258197808173;0.4312693052268993;0.4312693052268993;0.0;0.4618286773782017;0.6173346771181648;0.4312693052268993;1.0;0.0;0.4448248766211806;0.4464915675548151;0.0;0.37135316679176544;0.0
GO:0009725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0042776;0.24138851853875337;0.6048158597088517;0.6048158597088517;0.7358712350388668;0.6097440544276387;0.4426198615785847;0.6048158597088517;0.4448248766211806;0.0;1.0;0.45277945614596304;0.0;0.3855773354389354;0.0
GO:0009249;0.24138851853875337;0.4186909193124087;0.4186909193124087;0.0;0.4236191140311958;0.33201565809507144;0.4186909193124087;0.4464915675548151;0.0;0.45277945614596304;1.0;0.0;0.3855773354389354;0.0
GO:0030308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.49974267229902897
GO:0032981;0.37530409558661176;0.3855773354389354;0.3855773354389354;0.0;0.3637029755960619;0.28367981189368235;0.3855773354389354;0.37135316679176544;0.0;0.3855773354389354;0.3855773354389354;0.0;1.0;0.0
GO:2001243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49974267229902897;0.0;1.0
