;GO:0042407;GO:0006120;GO:0006123;GO:1902600;GO:0045333;GO:0009245;GO:0006122;GO:0006633;GO:0009725;GO:0042776;GO:0009249;GO:0030308;GO:0032981;GO:2001243
GO:0042407;1.0;0.14285714285714285;0.14285714285714285;0.0;0.1;0.1;0.14285714285714285;0.1;0.0;0.0;0.0;0.0;0.2857142857142857;0.0
GO:0006120;0.14285714285714285;1.0;0.0;0.0;0.5;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.14285714285714285;0.0;1.0;0.0;0.8;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902600;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0
GO:0045333;0.1;0.5;0.8;0.0;1.0;0.25;0.5;0.25;0.0;0.42857142857142855;0.2;0.0;0.0;0.0
GO:0009245;0.1;0.3333333333333333;0.3333333333333333;0.0;0.25;1.0;0.3333333333333333;0.5714285714285714;0.0;0.25;0.16666666666666666;0.0;0.16666666666666666;0.0
GO:0006122;0.14285714285714285;0.0;0.0;0.0;0.5;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006633;0.1;0.3333333333333333;0.3333333333333333;0.0;0.25;0.5714285714285714;0.3333333333333333;1.0;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0
GO:0009725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0042776;0.0;0.0;0.0;0.7;0.42857142857142855;0.25;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
GO:0009249;0.0;0.0;0.0;0.0;0.2;0.16666666666666666;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;0.0
GO:0030308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4444444444444444
GO:0032981;0.2857142857142857;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;1.0;0.0
GO:2001243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;1.0
