;GO:0042407;GO:0006120;GO:0006123;GO:1902600;GO:0045333;GO:0009245;GO:0006122;GO:0006633;GO:0009725;GO:0042776;GO:0009249;GO:0030308;GO:0032981;GO:2001243
GO:0042407;1.0;0.30200524403088297;0.25950613511493875;0.0;0.31504025126508123;0.14507738689678154;0.30215709336507446;0.18047067501399558;0.0;0.06747205183709201;0.18975376559175247;0.0;0.4767884916921113;0.0
GO:0006120;0.30200524403088297;1.0;0.7843821611246365;0.0;0.778438912431077;0.2690629841759608;0.9165715598935034;0.3356892138997681;0.0;0.14349893460324548;0.3532291844526817;0.0;0.2877092335547609;0.0
GO:0006123;0.25950613511493875;0.7843821611246365;1.0;0.0;0.8131049747509865;0.24922055343051439;0.7847283928506777;0.30535711309894786;0.0;0.13840672231973605;0.3198023471227546;0.0;0.2488797919158353;0.0
GO:1902600;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2706707825826595;0.0;0.0;0.0;0.0
GO:0045333;0.31504025126508123;0.778438912431077;0.8131049747509865;0.0;1.0;0.2745863394824351;0.7788580417774802;0.34433059378834485;0.0;0.14484531195157735;0.36281007812020327;0.0;0.29951525291846853;0.0
GO:0009245;0.14507738689678154;0.2690629841759608;0.24922055343051439;0.0;0.2745863394824351;1.0;0.2691287376941279;0.50205653654692;0.0;0.2962858434324492;0.3026423366828478;0.0;0.14169517083788424;0.0
GO:0006122;0.30215709336507446;0.9165715598935034;0.7847283928506777;0.0;0.7788580417774802;0.2691287376941279;1.0;0.3357915696253892;0.0;0.1435151375845614;0.35334251772896125;0.0;0.2878470436990153;0.0
GO:0006633;0.18047067501399558;0.3356892138997681;0.30535711309894786;0.0;0.34433059378834485;0.50205653654692;0.3357915696253892;1.0;0.0;0.23376382355541467;0.3577944798223069;0.0;0.17526649724103927;0.0
GO:0009725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0042776;0.06747205183709201;0.14349893460324548;0.13840672231973605;0.2706707825826595;0.14484531195157735;0.2962858434324492;0.1435151375845614;0.23376382355541467;0.0;1.0;0.2036045382708831;0.0;0.06673125387971306;0.0
GO:0009249;0.18975376559175247;0.3532291844526817;0.3198023471227546;0.0;0.36281007812020327;0.3026423366828478;0.35334251772896125;0.3577944798223069;0.0;0.2036045382708831;1.0;0.0;0.18400895216364443;0.0
GO:0030308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.408757247983327
GO:0032981;0.4767884916921113;0.2877092335547609;0.2488797919158353;0.0;0.29951525291846853;0.14169517083788424;0.2878470436990153;0.17526649724103927;0.0;0.06673125387971306;0.18400895216364443;0.0;1.0;0.0
GO:2001243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.408757247983327;0.0;1.0
