;GO:0006283;GO:1903800;GO:0043620;GO:0007254;GO:0051092;GO:0032968;GO:0000187;GO:0032727;GO:0000186;GO:0002755;GO:0075733;GO:0000184;GO:0045893;GO:0031914;GO:0046341;GO:0032728;GO:0032201;GO:0050715;GO:0018279;GO:0035556;GO:0033138;GO:0090502;GO:1903251;GO:0006296;GO:0006054;GO:0006294;GO:0048008;GO:0006297;GO:1903533;GO:0009967;GO:0006974;GO:0001682;GO:0048010;GO:0051497;GO:0016241;GO:0050727;GO:0018146;GO:0050689;GO:0032434;GO:0035666;GO:0071888;GO:2000641;GO:0090316;GO:0043407;GO:0000715;GO:0006261;GO:0008284;GO:0043123;GO:0045666;GO:0045787;GO:0042276;GO:0002064;GO:0043488;GO:0022900;GO:0006661;GO:0038096;GO:0042795;GO:0044458;GO:0045944;GO:0021895;GO:0000398;GO:0000165;GO:0016197;GO:0030521;GO:0019985;GO:0070987;GO:0016579;GO:0000209;GO:0021522;GO:0007249;GO:0007517;GO:1901407;GO:0030512;GO:0016601;GO:0007051;GO:0018108;GO:0015871;GO:0036297;GO:0007179;GO:0006366;GO:0008543;GO:0008542;GO:0061418;GO:0006880;GO:0006886;GO:0043547;GO:0006367;GO:0006521;GO:0006884;GO:0006368;GO:0060964;GO:0006879;GO:0006913;GO:0032526;GO:0098534;GO:0051607;GO:0016055;GO:0060291;GO:0030100;GO:0032006;GO:0010971;GO:0010592;GO:0036289;GO:0006370;GO:0032482;GO:0045732;GO:0043312;GO:0045454;GO:0007188;GO:0007616;GO:0010629;GO:0043161;GO:0032872;GO:0031145;GO:0031663;GO:0050769;GO:0070911;GO:0016567;GO:0007032;GO:0060340;GO:0045746;GO:0043687;GO:0045744;GO:0000122;GO:0009968;GO:0006977;GO:0006614;GO:0000083;GO:0043330;GO:0045351;GO:0035855;GO:0070423;GO:0071359;GO:0039536;GO:0015721;GO:0042769;GO:0072718;GO:0060333;GO:0006351;GO:0039530;GO:0006596;GO:0045358;GO:1902268;GO:0006357;GO:0048505;GO:0060337;GO:0070371;GO:0006625;GO:0070373;GO:0043066;GO:0045087;GO:0072673;GO:0070374;GO:0006508;GO:0043065;GO:0030032;GO:0070498;GO:0016266;GO:0030036
GO:0006283;1.0;0.0;0.5509281938343987;0.4358409090873751;0.0;0.0;0.0;0.0;0.0;0.26806290643954656;0.0;0.36160950979534273;0.0;0.0;0.28359507701227216;0.0;0.5140801880822552;0.0;0.40845285854481345;0.36288470620778984;0.0;0.4477619612255926;0.22407358170335817;0.410030090878142;0.28386155347762465;0.24138851853875337;0.297295455479691;0.48740580018146207;0.0;0.0;0.6886243922068798;0.38736885388872544;0.2848925714244635;0.0;0.0;0.0;0.29956691761378257;0.0;0.0;0.25821818352367026;0.1817822883484292;0.0;0.0;0.0;0.25821818352367026;0.5209369634904285;0.0;0.0;0.0;0.0;0.61028555842175;0.332710736479852;0.0;0.34599329934369333;0.3191978498646739;0.24138851853875337;0.38736885388872544;0.22407358170335817;0.0;0.2848925714244635;0.43087290677443557;0.3965787430369545;0.0;0.26806290643954656;0.6369599463225433;0.61028555842175;0.3670172195310548;0.34390836622241744;0.2750478485085872;0.24138851853875337;0.0;0.0;0.0;0.24138851853875337;0.3195430624507947;0.3624341412166424;0.0;0.6369599463225433;0.3017222364093804;0.4863717656353353;0.3141251204646079;0.2720287817006504;0.48517653397758487;0.24138851853875337;0.0;0.0;0.410030090878142;0.0;0.257732911673192;0.410030090878142;0.0;0.1981983233150334;0.0;0.30286971523443157;0.28046579049477405;0.4079079123021382;0.34347876738278355;0.0;0.0;0.0;0.0;0.0;0.31652822457630403;0.38736885388872544;0.24138851853875337;0.0;0.22407358170335817;0.22407358170335817;0.3141251204646079;0.0;0.0;0.43512724644560663;0.0;0.3747935285749796;0.24138851853875337;0.0;0.7603417023523814;0.37686194244693105;0.28046579049477405;0.0;0.0;0.4208230971364342;0.0;0.0;0.0;0.5482401558756023;0.0;0.26806290643954656;0.2888584466855673;0.32624130551457575;0.24138851853875337;0.26806290643954656;0.3665015369353779;0.0;0.0;0.6015889316771886;0.30286971523443157;0.24138851853875337;0.49465863178392944;0.31884372587817816;0.3345914540503765;0.0;0.0;0.0;0.0;0.24138851853875337;0.3325022352200506;0.25074796960415136;0.0;0.0;0.4715866828700791;0.24138851853875337;0.0;0.4289373231026174;0.0;0.25074796960415136;0.24138851853875337;0.428142304376566;0.3153957996444568
GO:1903800;0.0;1.0;0.5695737426299846;0.3028512654654583;0.4939773598572945;0.5347709095610342;0.4740888627616552;0.36996712048217867;0.47034607281537827;0.4409513733350158;0.0;0.4400805762691605;0.7308682171709053;0.30005087408486286;0.0;0.36996712048217867;0.3081077407918524;0.46268473665609994;0.0;0.4243474531344948;0.42404162854907274;0.0;0.0;0.0;0.0;0.0;0.3587582024063959;0.0;0.32217568534184926;0.6785086365584863;0.0;0.0;0.3463553183511684;0.2504175334712824;0.4147822324868935;0.5310391698962476;0.0;0.3633912806510379;0.3994229235984522;0.43110665041913954;0.0;0.3295256533662515;0.46549312605831716;0.3966660433261668;0.0;0.0;0.5226354428498226;0.49041516488609294;0.4583251349684725;0.5306940611753006;0.0;0.0;0.5412242026892815;0.0;0.0;0.4142769854342226;0.0;0.0;0.6810312160777063;0.0;0.0;0.36692777328236226;0.0;0.3295256533662515;0.0;0.0;0.0;0.0;0.0;0.3028512654654583;0.0;0.49384919319642706;0.39006566855183106;0.3028512654654583;0.0;0.0;0.0;0.0;0.36318498333608534;0.0;0.37558786739131284;0.0;0.4543582912220936;0.3040945898804758;0.0;0.24582928588180025;0.0;0.49660448023684783;0.27814768965998543;0.0;0.7994189743084021;0.21861310130182682;0.0;0.0;0.0;0.0;0.40494151430948844;0.385521353800556;0.40530122569183197;0.4394012934420408;0.3699044483464202;0.34323006044562704;0.0;0.0;0.3028512654654583;0.5502270422135256;0.0;0.3255125024548749;0.37558786739131284;0.0;0.6278159614607828;0.0;0.4392276976461955;0.0;0.3028512654654583;0.46703279045250123;0.0;0.0;0.0;0.46374077698529975;0.4028821826253714;0.0;0.47437337955683806;0.5485107251429768;0.5537309369521435;0.4123239083622166;0.0;0.5038220827731708;0.0;0.0;0.0;0.4409513733350158;0.0;0.34376122428552547;0.0;0.0;0.0;0.3028512654654583;0.0;0.4142769854342226;0.0;0.3494192004941798;0.26675402025138994;0.618023559622406;0.35334026042020905;0.3028512654654583;0.3028512654654583;0.0;0.3494192004941798;0.37489069643934175;0.0;0.0;0.4663329219040017;0.0;0.47317165129874533;0.0;0.3028512654654583;0.0;0.0
GO:0043620;0.5509281938343987;0.5695737426299846;1.0;0.6105344240247228;0.574818270692802;0.557988605707885;0.40281147299265646;0.31236512383146925;0.39906868304637955;0.4447411047741425;0.0;0.5058322361259744;0.7540859133177562;0.3484875971062815;0.3431740173617584;0.31236512383146925;0.42958280211374317;0.3933325761836402;0.4365677441827838;0.5395629045423858;0.3991968497072471;0.3670227858212122;0.3761058596512894;0.40290841421295;0.3604889541971536;0.40290841421295;0.4739736538142869;0.40290841421295;0.3584273378565306;0.4713308227109586;0.7604062780822658;0.3761058596512894;0.4615707697590594;0.30215792477923203;0.48053389234370736;0.4333748409669411;0.3338145662963604;0.2997020044795403;0.4651745834552661;0.4348963818582663;0.3164996294609652;0.37564725685755296;0.3879273451986631;0.4156027590054529;0.41973807919786693;0.37683334733159224;0.45928440344436566;0.3288323126800252;0.4867291804690218;0.46734302176984377;0.6528257173796518;0.49423063215404867;0.5801733079844348;0.4249358195933395;0.37877679021416016;0.41806671687334934;0.3761058596512894;0.3761058596512894;0.7042489122245572;0.44641246709866006;0.4196099125369995;0.4821432246902533;0.0;0.4447411047741425;0.679500105280445;0.6528257173796518;0.3543182820585003;0.3324294112859308;0.4365677441827838;0.41806671687334934;0.0;0.6342963342222585;0.34284358122888947;0.41806671687334934;0.48106295812499134;0.3482577334996839;0.0;0.6044051362968526;0.47840043474397637;0.47510877139789925;0.49080331879920386;0.4112697736357852;0.7727445864076089;0.40290841421295;0.0;0.29756967718974986;0.40290841421295;0.5396949031042451;0.40976518962112324;0.40290841421295;0.5675707450714116;0.32607689407485335;0.0;0.44772949498621456;0.44198568616897066;0.5599401902500694;0.5201569657173795;0.3161691933280963;0.4514228291831334;0.36951796912968266;0.3288323126800252;0.30215792477923203;0.3038292871037496;0.3761058596512894;0.41806671687334934;0.5087221474492862;0.3761058596512894;0.39126416231168876;0.49080331879920386;0.0;0.6935676213175965;0.463242132083577;0.46803436430210177;0.40290841421295;0.41806671687334934;0.49543683595305055;0.5509281938343987;0.3641630049743766;0.44198568616897066;0.30215792477923203;0.33299885831301324;0.4048204913773488;0.4044900552444799;0.6889578661688083;0.47253379687139296;0.6528257173796518;0.0;0.6597579625922707;0.42809943862070216;0.0;0.40290841421295;0.4447411047741425;0.5185338148833092;0.30215792477923203;0.0;0.6638831998263092;0.44772949498621456;0.41806671687334934;0.48339563754649334;0.4803636215523748;0.3592319658475915;0.4726519728761256;0.2997020044795403;0.7739594394415059;0.3994618639115105;0.41806671687334934;0.41806671687334934;0.4027802475520826;0.3683559161734659;0.4251536175028873;0.6331065785442758;0.40290841421295;0.38518558115838286;0.0;0.4264807278157022;0.4027802475520826;0.41806671687334934;0.45625719001453635;0.4674280775923881
GO:0007254;0.4358409090873751;0.3028512654654583;0.6105344240247228;1.0;0.293006542549582;0.209731877021625;0.256978719853612;0.24943908341599474;0.2532359299073351;0.5452113864407775;0.0;0.3418616862854486;0.36023422299003627;0.3156677795389986;0.41824203644509217;0.24943908341599474;0.5033654400210259;0.33371020405469665;0.5415612448859806;0.7170000585953863;0.22656154200654188;0.3795900813161621;0.3855773354389354;0.4610706713493598;0.34346778366794883;0.3855773354389354;0.5744439354809219;0.47669105212023266;0.2955012974410561;0.4158497681542592;0.6256889369697298;0.4610706713493598;0.5620410514256944;0.22374314557048924;0.32099007701484783;0.3778937864102417;0.35917314780410675;0.24007963235059676;0.27705053696129267;0.5353666635249013;0.2610185749042658;0.3028512654654583;0.3324462906419637;0.27098998840247623;0.4024070004238523;0.41246600945619005;0.386488412052271;0.2659062722645507;0.49620065625666776;0.3945470303777492;0.5603996696220448;0.47689955338003404;0.3629146223709856;0.4150871472602829;0.45384480929749393;0.5185369985399844;0.47669105212023266;0.3855773354389354;0.33719977645849797;0.42908138832464554;0.50457472423507;0.7744197384475189;0.0;0.5452113864407775;0.5870740575228379;0.5603996696220448;0.4310317579556324;0.3891304975671958;0.41923666540876925;0.5955038709263498;0.0;0.2672471984561994;0.2659062722645507;0.5955038709263498;0.46373187935097676;0.5692660097607487;0.0;0.48517653397758487;0.5788707164106113;0.5756939638668426;0.5912736004658388;0.38793757379476773;0.5870740575228379;0.3855773354389354;0.0;0.2519585736096705;0.4610706713493598;0.3843287604906807;0.37694537205384027;0.4610706713493598;0.3222984810559666;0.26315085365937885;0.0;0.4047672387796846;0.4246546073949561;0.49431669705412296;0.6206272473840144;0.25654682119915273;0.3786268377910388;0.3098955970007391;0.2504175334712824;0.22374314557048924;0.516187594924262;0.4610706713493598;0.5955038709263498;0.314000863083377;0.3855773354389354;0.3584443447444058;0.5912736004658388;0.0;0.3722219382632715;0.5560138842664755;0.326725261985656;0.49568016639584844;0.5185369985399844;0.5049083117406965;0.4358409090873751;0.42356154403611346;0.4246546073949561;0.23923188436375753;0.2733764861840696;0.4716640162978607;0.3448676831155363;0.32190873040274914;0.4170527423146935;0.5955038709263498;0.0;0.42741002600012795;0.37796468421802404;0.5223545542966417;0.3855773354389354;0.622178258827143;0.45291032168736267;0.23923188436375753;0.0;0.5714571520687022;0.4047672387796846;0.5185369985399844;0.5839808300154367;0.5955038709263498;0.36681171442567556;0.23923188436375753;0.24007963235059676;0.3801077491137859;0.32666587251941587;0.5185369985399844;0.710343230630615;0.4122517233397286;0.22374314557048924;0.34821630853854857;0.5734842064153322;0.3855773354389354;0.24057281055540614;0.505838111504035;0.3495434188513634;0.4122517233397286;0.5185369985399844;0.5612506907177331;0.43460826002510505
GO:0051092;0.0;0.4939773598572945;0.574818270692802;0.293006542549582;1.0;0.4329284313841177;0.45744657455405063;0.36012239756630243;0.4537037846077738;0.36012239756630243;0.0;0.39329086015237663;0.6033945615614735;0.29020615116898657;0.0;0.36012239756630243;0.29826301787597614;0.4332726295104697;0.0;0.4145027302186185;0.33908920572782525;0.0;0.0;0.0;0.0;0.0;0.34891347949051965;0.0;0.31233096242597297;0.5225846918061805;0.0;0.0;0.33651059543529216;0.24057281055540614;0.387622572735622;0.3947234513951586;0.0;0.25690929733551365;0.36007819334044344;0.35027767465042614;0.0;0.31968093045037527;0.45564840314244087;0.3893200558000567;0.0;0.0;0.49322333570419225;0.36012239756630243;0.42891302782284224;0.5012819540296705;0.0;0.0;0.46228563185681565;0.0;0.0;0.3334480096655092;0.0;0.0;0.569046299261543;0.0;0.0;0.35708305036648597;0.0;0.31968093045037527;0.0;0.0;0.0;0.0;0.0;0.293006542549582;0.0;0.4990937212592444;0.28273593724946766;0.293006542549582;0.0;0.0;0.0;0.0;0.35334026042020905;0.0;0.36574314447543654;0.0;0.4596028192849109;0.2942498669645995;0.0;0.4866356268973048;0.0;0.464098520331555;0.2683029667441092;0.0;0.44968306894379245;0.20876837838595058;0.0;0.0;0.0;0.0;0.3950967913936122;0.35610924665492577;0.3954565027759557;0.326725261985656;0.34049234120079;0.3138179532999968;0.0;0.0;0.293006542549582;0.4557870016660127;0.0;0.3156677795389986;0.36574314447543654;0.0;0.5583650083545824;0.0;0.4097529183648068;0.0;0.293006542549582;0.43762068330687104;0.0;0.0;0.0;0.3334480096655092;0.29020615116898657;0.0;0.36169734810045323;0.5537552532057941;0.4338824072996105;0.38291180121658636;0.0;0.509066610835988;0.0;0.0;0.0;0.36012239756630243;0.0;0.2560615493486744;0.0;0.0;0.0;0.293006542549582;0.0;0.3334480096655092;0.0;0.36011059690252784;0.25690929733551365;0.6232680876852232;0.3434955375043328;0.293006542549582;0.293006542549582;0.0;0.30677080194964;0.36504597352346546;0.0;0.0;0.35640414256322045;0.0;0.4437595441531151;0.0;0.293006542549582;0.0;0.0
GO:0032968;0.0;0.5347709095610342;0.557988605707885;0.209731877021625;0.4329284313841177;1.0;0.3681781883050254;0.27684773203834534;0.36443539835874855;0.27684773203834534;0.0;0.3764611951674597;0.7174939076381441;0.21377025599374544;0.0;0.27684773203834534;0.21498835234801905;0.3609153797717143;0.0;0.33122806469066146;0.364563565019616;0.0;0.0;0.0;0.0;0.0;0.2656388139625626;0.0;0.24144316160513896;0.43891362629903274;0.0;0.0;0.2532359299073351;0.17427935401941208;0.3412929004085726;0.31144878586720154;0.0;0.18047340216027258;0.34324852835552655;0.26700300912246905;0.0;0.23640626492241817;0.3524099534055392;0.2986185827540613;0.0;0.0;0.40955227019704454;0.2964151162680993;0.3652057465246391;0.4176108885225227;0.0;0.0;0.4454559668718987;0.0;0.0;0.25017334413755216;0.0;0.0;0.7846458455667382;0.0;0.0;0.2738083848385289;0.0;0.23640626492241817;0.0;0.0;0.0;0.0;0.0;0.209731877021625;0.0;0.5579572762951471;0.2118481364286336;0.209731877021625;0.0;0.0;0.0;0.0;0.270065594892252;0.0;0.2824684789474795;0.0;0.5083239356815668;0.20232523299609012;0.0;0.16969110642992985;0.0;0.41032386214573047;0.19741516592327513;0.0;0.43285340395887556;0.15499372020012603;0.0;0.0;0.0;0.0;0.31182212586565516;0.28375199691617037;0.31218183724799864;0.2502893668104149;0.28362383025530286;0.25694944235450967;0.0;0.0;0.209731877021625;0.47408886276165524;0.0;0.22374314557048924;0.2824684789474795;0.0;0.5415353433696655;0.0;0.3333170231895657;0.0;0.209731877021625;0.3739134020086679;0.0;0.0;0.0;0.2697407283673061;0.21377025599374544;0.0;0.2852614529252121;0.6126188082416969;0.3506077417716534;0.29924073570943865;0.0;0.49223694585107114;0.0;0.0;0.0;0.27684773203834534;0.0;0.1851737485278404;0.0;0.0;0.0;0.209731877021625;0.0;0.25017334413755216;0.0;0.32779219312434266;0.18047340216027258;0.6976203815143944;0.2602208719763757;0.209731877021625;0.209731877021625;0.0;0.2513717399220743;0.29415817270263145;0.0;0.0;0.35055229647075176;0.0;0.380052262854912;0.0;0.209731877021625;0.0;0.0
GO:0000187;0.0;0.4740888627616552;0.40281147299265646;0.256978719853612;0.45744657455405063;0.3681781883050254;1.0;0.29953644637654775;0.7814046805165595;0.39507882772316943;0.0;0.31439857614642613;0.5159830814929649;0.3633495841326925;0.0;0.29953644637654775;0.26223519518000604;0.3813596680420406;0.0;0.37847490752264845;0.6191324378150106;0.0;0.0;0.0;0.0;0.0;0.3128856567945496;0.0;0.2676531712894506;0.6709752295232232;0.0;0.0;0.3004827727393221;0.22152619685139907;0.3757484572277631;0.4652028400754566;0.0;0.31751873503919154;0.44563068500592024;0.38523410480729314;0.0;0.28365310775440516;0.37015678889539366;0.7224019887242986;0.0;0.0;0.44131037423576325;0.6146758067158287;0.4124525893566261;0.4493689925612414;0.0;0.0;0.3744619330519533;0.0;0.0;0.36840443982237625;0.0;0.0;0.4944261052058306;0.0;0.0;0.32105522767051586;0.0;0.28365310775440516;0.0;0.0;0.0;0.0;0.0;0.256978719853612;0.0;0.5751788629819851;0.41542356573147265;0.256978719853612;0.0;0.0;0.0;0.0;0.317312437724239;0.0;0.3297153217794665;0.0;0.34985109914863904;0.2495720758280771;0.0;0.4962483551616751;0.0;0.44208196618444917;0.24466200875526212;0.0;0.3761370850918633;0.20224056303211302;0.0;0.0;0.0;0.0;0.35906896869764215;0.4510959102935982;0.35942868007998563;0.5618640821686873;0.3191038306063017;0.2924294427055085;0.0;0.0;0.256978719853612;0.5370635995394938;0.0;0.27098998840247623;0.3297153217794665;0.0;0.4553190171605206;0.0;0.6828207374061008;0.0;0.256978719853612;0.4211602448406549;0.0;0.0;0.0;0.481838547382552;0.42289377965099156;0.0;0.4943849765824582;0.3967841675863212;0.5665700357816155;0.33099883974815736;0.0;0.34985109914863904;0.0;0.0;0.0;0.39507882772316943;0.0;0.4662240130121719;0.0;0.0;0.0;0.256978719853612;0.0;0.36840443982237625;0.0;0.36266535646073267;0.2050590080028431;0.4512612899850778;0.3074677148083627;0.256978719853612;0.256978719853612;0.0;0.585839742057937;0.34140501553461844;0.0;0.0;0.6919848108772285;0.0;0.41450781967410255;0.0;0.256978719853612;0.0;0.0
GO:0032727;0.0;0.36996712048217867;0.31236512383146925;0.24943908341599474;0.36012239756630243;0.27684773203834534;0.29953644637654775;1.0;0.29579365643027083;0.33302212728127106;0.0;0.2220553354808708;0.42735007800675656;0.2507800096076434;0.0;0.7973513364020351;0.2711627475909448;0.6545106768740914;0.0;0.3709352710850312;0.2936773970232623;0.0;0.0;0.0;0.0;0.0;0.3053460203569323;0.0;0.2926756779997167;0.4829656231709795;0.0;0.0;0.2929431363017048;0.20714779006106576;0.3016972687249525;0.36762318111012726;0.0;0.23395034462272646;0.26269960751974525;0.3231774043653948;0.0;0.27611347131678793;0.41602933450724;0.25439463289305275;0.0;0.0;0.4536042670689914;0.33302212728127106;0.5101537819996239;0.4616628853944695;0.0;0.0;0.2980268524396304;0.0;0.0;0.3063477393804779;0.0;0.0;0.4043156314752183;0.0;0.0;0.3135155912328987;0.0;0.27611347131678793;0.0;0.0;0.0;0.0;0.0;0.24943908341599474;0.0;0.25065184294677584;0.2466134639746554;0.24943908341599474;0.0;0.0;0.0;0.0;0.30977280128662177;0.0;0.32217568534184926;0.0;0.27611347131678793;0.2618032965255468;0.0;0.21902673132013956;0.0;0.3575909663420103;0.2486476823178529;0.0;0.2997020044795403;0.1989830449363143;0.0;0.0;0.0;0.0;0.35152933226002486;0.3236626762158731;0.3518890436423684;0.2872991204243128;0.3175333884880028;0.2908590005872096;0.0;0.0;0.24943908341599474;0.39758390694865325;0.0;0.26675402025138994;0.32217568534184926;0.0;0.36609265053540124;0.0;0.3041287854092298;0.0;0.24943908341599474;0.5415226744730692;0.0;0.0;0.0;0.3063477393804779;0.2507800096076434;0.0;0.32227120653911007;0.3053133748933256;0.39031494816602313;0.3432927325813855;0.0;0.27611347131678793;0.0;0.0;0.0;0.33302212728127106;0.0;0.4423536255702735;0.0;0.0;0.0;0.24943908341599474;0.0;0.544543618389884;0.0;0.6131716302903399;0.23395034462272646;0.3608149408238906;0.2999280783707455;0.24943908341599474;0.24943908341599474;0.0;0.20714779006106576;0.32892350024865324;0.0;0.0;0.30768866557212654;0.0;0.41665927386808377;0.0;0.24943908341599474;0.0;0.0
GO:0000186;0.0;0.47034607281537827;0.39906868304637955;0.2532359299073351;0.4537037846077738;0.36443539835874855;0.7814046805165595;0.29579365643027083;1.0;0.3913360377768925;0.0;0.3106557862001492;0.5122402915466879;0.35960679418641567;0.0;0.29579365643027083;0.25849240523372913;0.3776168780957637;0.0;0.3747321175763716;0.6153896478687337;0.0;0.0;0.0;0.0;0.0;0.3091428668482727;0.0;0.26391038134317374;0.6672324395769463;0.0;0.0;0.2967399827930452;0.2177834069051222;0.37200566728148626;0.46146005012917973;0.0;0.3137759450929147;0.4418878950596433;0.3814913148610163;0.0;0.27991031780812825;0.3664139989491168;0.7186591987780218;0.0;0.0;0.4375675842894864;0.6109330167695517;0.40870979941034924;0.4456262026149645;0.0;0.0;0.37071914310567644;0.0;0.0;0.3646616498760994;0.0;0.0;0.4906833152595537;0.0;0.0;0.317312437724239;0.0;0.27991031780812825;0.0;0.0;0.0;0.0;0.0;0.2532359299073351;0.0;0.5714360730357082;0.41168077578519574;0.2532359299073351;0.0;0.0;0.0;0.0;0.31356964777796215;0.0;0.32597253183318964;0.0;0.34610830920236213;0.24582928588180025;0.0;0.49250556521539823;0.0;0.43833917623817226;0.2409192188089852;0.0;0.3723942951455864;0.1984977730858361;0.0;0.0;0.0;0.0;0.35532617875136524;0.44735312034732133;0.35568589013370877;0.5581212922224104;0.3153610406600248;0.28868665275923167;0.0;0.0;0.2532359299073351;0.5333208095932169;0.0;0.2672471984561994;0.32597253183318964;0.0;0.45157622721424373;0.0;0.679077947459824;0.0;0.2532359299073351;0.417417454894378;0.0;0.0;0.0;0.47809575743627514;0.4191509897047147;0.0;0.49064218663618137;0.39304137764004426;0.5628272458353385;0.3272560498018805;0.0;0.34610830920236213;0.0;0.0;0.0;0.3913360377768925;0.0;0.46248122306589506;0.0;0.0;0.0;0.2532359299073351;0.0;0.3646616498760994;0.0;0.3589225665144558;0.20131621805656624;0.4475185000388009;0.3037249248620858;0.2532359299073351;0.2532359299073351;0.0;0.5820969521116601;0.3376622255883416;0.0;0.0;0.6882420209309517;0.0;0.4107650297278257;0.0;0.2532359299073351;0.0;0.0
GO:0002755;0.26806290643954656;0.4409513733350158;0.4447411047741425;0.5452113864407775;0.36012239756630243;0.27684773203834534;0.39507882772316943;0.33302212728127106;0.3913360377768925;1.0;0.0;0.27742235750494454;0.42735007800675656;0.34234216743979184;0.31436735070585214;0.33302212728127106;0.4389261112405218;0.400826059071417;0.44591105330956243;0.666707574109814;0.2936773970232623;0.3307711333065309;0.4122517233397286;0.4122517233397286;0.3370285876952687;0.4122517233397286;0.601118323381715;0.4122517233397286;0.32217568534184926;0.5539498760238166;0.44473731505875014;0.4122517233397286;0.5887154393264875;0.2504175334712824;0.347664464915641;0.5570136796488872;0.31035419979447554;0.41919952558924223;0.3037249248620858;0.7201879535464912;0.28769296280505896;0.3295256533662515;0.41602933450724;0.35820439148884897;0.42908138832464554;0.348026680675686;0.4536042670689914;0.40400638013410817;0.5633165112733882;0.4616628853944695;0.4122517233397286;0.5035739412808273;0.38958901027177884;0.4086479512876028;0.3499701235582539;0.6705739398933854;0.4122517233397286;0.4122517233397286;0.4043156314752183;0.45575577622543867;0.45575577622543867;0.6092878942576814;0.0;0.5718857743415706;0.4389261112405218;0.4122517233397286;0.3353815663792142;0.2934803059907776;0.44591105330956243;0.5452113864407775;0.0;0.2939215863569925;0.35312067535092345;0.5452113864407775;0.49040626725176995;0.31530974927153355;0.0;0.31436735070585214;0.6055451043114045;0.5112546350863385;0.617947988366632;0.0;0.45408441390092114;0.4122517233397286;0.0;0.27863296151046374;0.4122517233397286;0.4110031483914739;0.40361975995463345;0.4122517233397286;0.3489728689567598;0.28982524156017203;0.0;0.0;0.45132899529574927;0.5153350421040844;0.6473016352848076;0.3236626762158731;0.40530122569183197;0.39711000008711184;0.3175333884880028;0.2908590005872096;0.2675776345890683;0.4122517233397286;0.5452113864407775;0.39758390694865325;0.556770681117843;0.38511873264519897;0.617947988366632;0.0;0.39889632616406473;0.4725854412103556;0.46372497355109865;0.4122517233397286;0.5452113864407775;0.5720241667574169;0.26806290643954656;0.32791135245969527;0.45132899529574927;0.5110492194812946;0.3605908892704424;0.37601382472144257;0.4320820862019091;0.34858311830354227;0.5042671454010663;0.5452113864407775;0.0;0.45408441390092114;0.0;0.0;0.4122517233397286;0.7152032982332419;0.3271838647793925;0.4373243272466951;0.0;0.3905055301577225;0.0;0.5452113864407775;0.5195415012349325;0.6885289103324488;0.3262839816194411;0.2659062722645507;0.26675402025138994;0.4067821370145791;0.35334026042020905;0.5452113864407775;0.5452113864407775;0.4389261112405218;0.310957548656862;0.37489069643934175;0.5616988758366301;0.4122517233397286;0.37867291842496364;0.0;0.41665927386808377;0.4389261112405218;0.5452113864407775;0.46560049914131496;0.4612826479258983
