id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	1349	0.00	0.00	0.00	0.00
GO:0042592	homeostatic process	172	0.45	0.42	5.70	8.64
GO:0048255	mRNA stabilization	4	0.89	0.86	9.58	1968.72
GO:0050789	regulation of biological process	985	0.09	0.17	1.80	4.47
GO:0051336	regulation of hydrolase activity	141	0.46	0.48	6.24	9.25
GO:0071900	regulation of protein serine/threonine kinase activity	86	0.61	0.72	8.68	161.63
GO:0051179	localization	481	0.26	0.13	2.57	3.37
GO:0010934	macrophage cytokine production	1	1.00	0.79	9.63	22.64
GO:0043312	neutrophil degranulation	137	1.00	0.90	9.63	132.80
GO:0051179	localization	481	0.26	0.13	2.57	3.37
GO:0010934	macrophage cytokine production	1	1.00	0.79	9.63	22.64
GO:0043312	neutrophil degranulation	137	1.00	0.90	9.63	132.80
GO:0001542	ovulation from ovarian follicle	2	1.00	0.75	9.63	27.16
