id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	950	0.00	0.00	0.00	0.00
GO:0050789	regulation of biological process	719	0.09	0.17	1.80	4.47
GO:0065009	regulation of molecular function	247	0.33	0.29	4.10	4.47
GO:0043170	macromolecule metabolic process	316	0.25	0.32	3.46	10.22
GO:1901564	organonitrogen compound metabolic process	242	0.23	0.31	3.63	19.40
GO:0006810	transport	338	0.28	0.34	3.95	7.46
GO:0016043	cellular component organization	282	0.28	0.26	3.74	11.45
GO:0009615	response to virus	37	0.74	0.66	8.80	27.27
GO:0001649	osteoblast differentiation	9	1.00	0.75	9.63	21.07
GO:0060744	mammary gland branching involved in thelarche	2	1.00	0.88	9.63	74.22
GO:0047497	mitochondrion transport along microtubule	1	0.81	0.78	9.45	156.38
