;GO:0045429;GO:0061136;GO:0002281;GO:0006366;GO:0044871;GO:0043001;GO:0045944;GO:0002001;GO:1903507;GO:0043687;GO:0006887;GO:0034605;GO:0010950;GO:0016579;GO:0044869;GO:0060177;GO:0007186;GO:0000209;GO:0050729;GO:0043312;GO:0007517;GO:0046597;GO:0006906;GO:0001878;GO:0045087;GO:2000045;GO:0050766;GO:0050921;GO:0035722
GO:0045429;1.0;0.36341442519152645;0.0;0.0;0.2675310151210235;0.0;0.545387566957091;0.0;0.36450904599896417;0.0;0.0;0.0;0.4528677925902313;0.0;0.10489806723721949;0.34098190823888336;0.3007970689797891;0.0;0.25685448981321657;0.0;0.0;0.2055723886737867;0.0;0.0;0.0;0.27028972493184206;0.3328002561186711;0.26319898398764235;0.28443499988224297
GO:0061136;0.36341442519152645;1.0;0.0;0.0;0.4129650533389661;0.0;0.36670079575585124;0.0;0.4179828621867422;0.0;0.0;0.0;0.5147760678819353;0.0;0.11923445484686196;0.6286982977800779;0.37784639590887353;0.0;0.2489019369230104;0.0;0.0;0.24891821122362892;0.0;0.0;0.0;0.33092734651199207;0.2854360671058654;0.25638522977355915;0.35238324623449374
GO:0002281;0.0;0.0;1.0;0.13824325032526177;0.0;0.0;0.0;0.18819207075558192;0.0;0.2010786832935137;0.26057346070943405;0.24995459212243934;0.0;0.18341198094939484;0.0;0.0;0.28489355951670703;0.1834421011234948;0.0;0.5977076953697833;0.0;0.0;0.24130616036142302;0.0;0.2852663387672028;0.0;0.0;0.0;0.2608628311639731
GO:0006366;0.0;0.0;0.13824325032526177;1.0;0.0;0.0;0.0;0.12146237366382269;0.0;0.4279174430460192;0.1479952964924503;0.14450848705603395;0.0;0.40343137486419983;0.0;0.0;0.15553635577636976;0.40347452122611527;0.0;0.11040374897214753;0.0;0.0;0.1415749762955878;0.0;0.0;0.0;0.0;0.0;0.14808859642551378
GO:0044871;0.2675310151210235;0.4129650533389661;0.0;0.0;1.0;0.0;0.2842937945047536;0.0;0.49701498492740076;0.0;0.0;0.0;0.33299133936769415;0.0;0.30450960458675613;0.4047686738456612;0.23735714818839793;0.0;0.16736375735433887;0.0;0.0;0.4124816234834372;0.0;0.134310286105524;0.0;0.21794594843373039;0.1972427910029301;0.17071420267159534;0.2270507516918257
GO:0043001;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5697120070965955;0.0;0.0;0.3291251652227695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23928534408209223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045944;0.545387566957091;0.36670079575585124;0.0;0.0;0.2842937945047536;0.0;1.0;0.0;0.513903467154732;0.0;0.0;0.0;0.470212261639572;0.0;0.08864968957999539;0.34999432527648644;0.2294675036187994;0.0;0.20297686038711454;0.0;0.0;0.162449819148731;0.0;0.0;0.0;0.2112758448363803;0.2668487018839391;0.2069184497708889;0.21982095690379425
GO:0002001;0.0;0.0;0.18819207075558192;0.12146237366382269;0.0;0.5697120070965955;0.0;1.0;0.0;0.1674325688161522;0.5596077282606462;0.1999958910515315;0.0;0.15500072811918073;0.0;0.0;0.22175609450149456;0.15502223901533574;0.0;0.3792310467680876;0.0;0.0;0.1944205545503981;0.0;0.0;0.0;0.0;0.0;0.2069190264043428
GO:1903507;0.36450904599896417;0.4179828621867422;0.0;0.0;0.49701498492740076;0.0;0.513903467154732;0.0;1.0;0.0;0.0;0.0;0.3300516564136321;0.0;0.09843195997269859;0.4098057249842108;0.270644671210637;0.0;0.1877042274072942;0.0;0.0;0.23455316478296706;0.0;0.0;0.0;0.2456933187677121;0.21969741401253992;0.1919288287193464;0.2573258880729316
GO:0043687;0.0;0.0;0.2010786832935137;0.4279174430460192;0.0;0.0;0.0;0.1674325688161522;0.0;1.0;0.22239406559130603;0.21461253162857297;0.0;0.8694490711213908;0.0;0.0;0.23987048810805878;0.8695764576215126;0.0;0.14711908182081265;0.0;0.0;0.2082055251708798;0.0;0.0;0.0;0.0;0.0;0.22260481654735306
GO:0006887;0.0;0.0;0.26057346070943405;0.1479952964924503;0.0;0.3291251652227695;0.0;0.5596077282606462;0.0;0.22239406559130603;1.0;0.28376265241238224;0.0;0.20098273291512936;0.0;0.0;0.3296600263976607;0.20101890107402942;0.0;0.5936412854256092;0.0;0.0;0.27266840402632564;0.0;0.0;0.0;0.0;0.0;0.2979047553415321
GO:0034605;0.0;0.0;0.24995459212243934;0.14450848705603395;0.0;0.0;0.0;0.1999958910515315;0.0;0.21461253162857297;0.28376265241238224;1.0;0.0;0.19460594751608543;0.0;0.0;0.31284555483741744;0.19463985680210963;0.0;0.17168077911384216;0.0;0.0;0.2610628254702948;0.2842122349807158;0.4209240995401697;0.0;0.0;0.0;0.2841058523632894
GO:0010950;0.4528677925902313;0.5147760678819353;0.0;0.0;0.33299133936769415;0.0;0.470212261639572;0.0;0.3300516564136321;0.0;0.0;0.0;1.0;0.0;0.19284089059195225;0.43475740116832584;0.25577448392289115;0.0;0.22329161275339993;0.0;0.0;0.17870922308890158;0.0;0.0;0.0;0.23337618592592024;0.29194187487514167;0.22807095379929437;0.24384680674221593
GO:0016579;0.0;0.0;0.18341198094939484;0.40343137486419983;0.0;0.0;0.0;0.15500072811918073;0.0;0.8694490711213908;0.20098273291512936;0.19460594751608543;0.0;1.0;0.0;0.0;0.2151488315685165;0.8547370719904204;0.0;0.13743354883437237;0.0;0.0;0.18932310621934412;0.0;0.0;0.0;0.0;0.0;0.20115484090729116
GO:0044869;0.10489806723721949;0.11923445484686196;0.0;0.0;0.30450960458675613;0.0;0.08864968957999539;0.0;0.09843195997269859;0.0;0.0;0.0;0.19284089059195225;0.0;1.0;0.1442886016598299;0.15110664442922564;0.0;0.1319350188129971;0.0;0.0;0.13194120613334456;0.0;0.1440948224098683;0.0;0.13788758645137947;0.1239684152289224;0.13475616022710873;0.14406747211369345
GO:0060177;0.34098190823888336;0.6286982977800779;0.0;0.0;0.4047686738456612;0.0;0.34999432527648644;0.0;0.4098057249842108;0.0;0.0;0.0;0.43475740116832584;0.0;0.1442886016598299;1.0;0.4482793223481694;0.0;0.33997112053087397;0.0;0.0;0.3400014832194164;0.0;0.0;0.0;0.37042302080828454;0.30290281544317066;0.35408752575550023;0.40490531027649806
GO:0007186;0.3007970689797891;0.37784639590887353;0.28489355951670703;0.15553635577636976;0.23735714818839793;0.0;0.2294675036187994;0.22175609450149456;0.270644671210637;0.23987048810805878;0.3296600263976607;0.31284555483741744;0.25577448392289115;0.2151488315685165;0.15110664442922564;0.4482793223481694;1.0;0.21519027850157846;0.3689592275257041;0.1874723451898795;0.0;0.36899498906724104;0.299414484355085;0.0;0.0;0.5061856119008572;0.4069738896583706;0.3856446476951724;0.7861043096265699
GO:0000209;0.0;0.0;0.1834421011234948;0.40347452122611527;0.0;0.0;0.0;0.15502223901533574;0.0;0.8695764576215126;0.20101890107402942;0.19463985680210963;0.0;0.8547370719904204;0.0;0.0;0.21519027850157846;1.0;0.0;0.1374504598510733;0.0;0.0;0.1893551993154024;0.0;0.0;0.0;0.0;0.0;0.20119107104221715
GO:0050729;0.25685448981321657;0.2489019369230104;0.0;0.0;0.16736375735433887;0.0;0.20297686038711454;0.0;0.1877042274072942;0.0;0.0;0.0;0.22329161275339993;0.0;0.1319350188129971;0.33997112053087397;0.3689592275257041;0.0;1.0;0.0;0.0;0.29233456056631063;0.0;0.0;0.0;0.3145454499457927;0.3304786031751662;0.6723654906568283;0.33906491020764623
GO:0043312;0.0;0.0;0.5977076953697833;0.11040374897214753;0.0;0.23928534408209223;0.0;0.3792310467680876;0.0;0.14711908182081265;0.5936412854256092;0.17168077911384216;0.0;0.13743354883437237;0.0;0.0;0.1874723451898795;0.1374504598510733;0.0;1.0;0.0;0.0;0.16755610384608075;0.0;0.18763369431425225;0.0;0.0;0.0;0.17675747065953681
GO:0007517;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046597;0.2055723886737867;0.24891821122362892;0.0;0.0;0.4124816234834372;0.0;0.162449819148731;0.0;0.23455316478296706;0.0;0.0;0.0;0.17870922308890158;0.0;0.13194120613334456;0.3400014832194164;0.36899498906724104;0.0;0.29233456056631063;0.0;0.0;1.0;0.0;0.0;0.0;0.3145714407719919;0.2645012258096732;0.3027117786695919;0.33909511123814784
GO:0006906;0.0;0.0;0.24130616036142302;0.1415749762955878;0.0;0.0;0.0;0.1944205545503981;0.0;0.2082055251708798;0.27266840402632564;0.2610628254702948;0.0;0.18932310621934412;0.0;0.0;0.299414484355085;0.1893551993154024;0.0;0.16755610384608075;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.27298527747009743
GO:0001878;0.0;0.0;0.0;0.0;0.134310286105524;0.0;0.0;0.0;0.0;0.0;0.0;0.2842122349807158;0.0;0.0;0.1440948224098683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3307680425777134;0.0;0.0;0.0;0.0
