;GO:0045429;GO:0061136;GO:0002281;GO:0006366;GO:0044871;GO:0043001;GO:0045944;GO:0002001;GO:1903507;GO:0043687;GO:0006887;GO:0034605;GO:0010950;GO:0016579;GO:0044869;GO:0060177;GO:0007186;GO:0000209;GO:0050729;GO:0043312;GO:0007517;GO:0046597;GO:0006906;GO:0001878;GO:0045087;GO:2000045;GO:0050766;GO:0050921;GO:0035722
GO:0045429;1.0;0.19797290465764308;0.0;0.0;0.1397756420217612;0.0;0.5097559628544375;0.0;0.31533258064264275;0.0;0.0;0.0;0.32690095089662174;0.0;0.04704813368835231;0.1397756420217612;0.10655797709325936;0.0;0.20208337139523783;0.0;0.0;0.06327806535498086;0.0;0.0;0.0;0.08506842649410484;0.2079991926185097;0.20366173556990488;0.07715334832692806
GO:0061136;0.19797290465764308;1.0;0.0;0.0;0.27012459176853054;0.0;0.29123108526260577;0.0;0.29409764421059725;0.0;0.0;0.0;0.6648437070782424;0.0;0.0524293570174871;0.27012459176853054;0.12970258589773473;0.0;0.08591396772761141;0.0;0.0;0.07194070883726424;0.0;0.0;0.0;0.09920018185895421;0.08964257152360262;0.08669569865506292;0.08860076505735542
GO:0002281;0.0;0.0;1.0;0.02690871356398683;0.0;0.0;0.0;0.017440114187681783;0.0;0.02550101479709767;0.02724381263131305;0.02200920701761531;0.0;0.02484984581819369;0.0;0.0;0.028756141138988375;0.0247029015255915;0.0;0.6447921762919371;0.0;0.0;0.022839227569927945;0.0;0.3748862421000131;0.0;0.0;0.0;0.021543128513277464
GO:0006366;0.0;0.0;0.02690871356398683;1.0;0.0;0.0;0.0;0.0232017904231567;0.0;0.2887079427185125;0.044510458339952236;0.032054797162958726;0.0;0.2772988251955141;0.0;0.0;0.04869443280532809;0.27476935173877765;0.0;0.041646371229913166;0.0;0.0;0.03384625544814183;0.0;0.0;0.0;0.0;0.0;0.03107562554030067
GO:0044871;0.1397756420217612;0.27012459176853054;0.0;0.0;1.0;0.0;0.1806089079631289;0.0;0.3423637257666649;0.0;0.0;0.0;0.26814603220043853;0.0;0.7311353136128272;0.20347008717135326;0.07996009728690158;0.0;0.0585145858438736;0.0;0.0;0.660354333961348;0.0;0.29236630942040437;0.0;0.06721822321062587;0.06268922183041602;0.05887616184139443;0.06217793518997288
GO:0043001;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.33136691417678993;0.0;0.0;0.48455049681428175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4632351852891674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045944;0.5097559628544375;0.29123108526260577;0.0;0.0;0.1806089079631289;0.0;1.0;0.0;0.576283338483451;0.0;0.0;0.0;0.4787971168794093;0.0;0.0607925095120199;0.1806089079631289;0.17556875035788871;0.0;0.2926720903906065;0.0;0.0;0.08612109743107554;0.0;0.0;0.0;0.12397020119258466;0.2919336241992912;0.29599433731347746;0.10784680197478617
GO:0002001;0.0;0.0;0.017440114187681783;0.0232017904231567;0.0;0.33136691417678993;0.0;1.0;0.0;0.0221476267955128;0.4777731634744325;0.019465489551121602;0.0;0.02165480044146132;0.0;0.0;0.024562408806052934;0.021543128513277464;0.0;0.4610675070724496;0.0;0.0;0.020111920149896736;0.0;0.0;0.0;0.0;0.0;0.019100025070911946
GO:1903507;0.31533258064264275;0.29409764421059725;0.0;0.0;0.3423637257666649;0.0;0.576283338483451;0.0;1.0;0.0;0.0;0.0;0.2900566475009564;0.0;0.06116221335315252;0.18170726378940935;0.1779534043631534;0.0;0.10794426719816652;0.0;0.0;0.2641273844617779;0.0;0.0;0.0;0.12515442936035906;0.11031541746944062;0.10918119223958223;0.10874191131719163
GO:0043687;0.0;0.0;0.02550101479709767;0.2887079427185125;0.0;0.0;0.0;0.0221476267955128;0.0;1.0;0.040786240522324074;0.030076978077045707;0.0;0.43776439180273785;0.0;0.0;0.04427193943675612;0.43406070872528946;0.0;0.038368364892338525;0.0;0.0;0.031648766274373394;0.0;0.0;0.0;0.0;0.0;0.029213282947817644
GO:0006887;0.0;0.0;0.02724381263131305;0.044510458339952236;0.0;0.48455049681428175;0.0;0.4777731634744325;0.0;0.040786240522324074;1.0;0.032531457430063214;0.0;0.039145615455522254;0.0;0.0;0.049802961341152;0.03878220561177607;0.0;0.9344049064488043;0.0;0.0;0.03437812510445003;0.0;0.0;0.0;0.0;0.0;0.031523406288358695
GO:0034605;0.0;0.0;0.02200920701761531;0.032054797162958726;0.0;0.0;0.0;0.019465489551121602;0.0;0.030076978077045707;0.032531457430063214;1.0;0.0;0.029175278731722452;0.0;0.0;0.03471128349044988;0.02897293555168911;0.0;0.03097457483161106;0.0;0.0;0.02644228574364611;0.16425149690227178;0.3870164356163887;0.0;0.0;0.0;0.024720406790482253
