;GO:0016525;GO:0014068;GO:0061333;GO:0008584;GO:0090179;GO:0032330;GO:0043508;GO:0090177;GO:0060401;GO:0045766;GO:0001542;GO:0071493;GO:0030307;GO:0032967;GO:0045892;GO:0045893;GO:0071773;GO:0030308;GO:0006958;GO:0030948;GO:0071897;GO:0071774;GO:0010811;GO:0070207;GO:0050679;GO:0035556;GO:0019800;GO:0033138;GO:1902042;GO:0016239;GO:0042662;GO:1902203;GO:0009725;GO:1901509;GO:0048251;GO:0071481;GO:0001558;GO:0051496;GO:0050680;GO:0050727;GO:0034059;GO:0070278;GO:0018146;GO:0010667;GO:0070318;GO:1905049;GO:0008285;GO:0008284;GO:0002063;GO:0060548;GO:0045669;GO:0001890;GO:0045944;GO:0006029;GO:0002576;GO:0007229;GO:0051385;GO:0071310;GO:0003429;GO:0019221;GO:0001649;GO:0034446;GO:0071799;GO:0033630;GO:0030521;GO:0010596;GO:0050732;GO:0061185;GO:0022617;GO:0048704;GO:0030514;GO:0007517;GO:0071300;GO:0050867;GO:0032496;GO:0030199;GO:0050866;GO:0030512;GO:0071305;GO:2001113;GO:0030511;GO:0018108;GO:1902230;GO:0032092;GO:0007173;GO:2000041;GO:0006366;GO:0008543;GO:0045600;GO:0006367;GO:0060447;GO:0009749;GO:0048048;GO:0051045;GO:0043154;GO:0042340;GO:0016055;GO:0016331;GO:0010975;GO:0050910;GO:0051603;GO:0030500;GO:0033690;GO:1904027;GO:0007186;GO:0060394;GO:0090263;GO:0043312;GO:0090141;GO:0038063;GO:0043434;GO:0046426;GO:0048208;GO:0042744;GO:0030855;GO:0043280;GO:0030579;GO:0010629;GO:0006888;GO:0031668;GO:0003417;GO:0010628;GO:0035987;GO:0032355;GO:0010469;GO:0048050;GO:0030336;GO:0030335;GO:0060740;GO:1905522;GO:1901164;GO:0043200;GO:1903984;GO:1901203;GO:0043687;GO:0006469;GO:1904956;GO:0010718;GO:0030206;GO:0001960;GO:0045471;GO:1900747;GO:0071230;GO:0030208;GO:0030449;GO:0030207;GO:0010719;GO:0001569;GO:0010951;GO:0060070;GO:0030167;GO:0071356;GO:0070542;GO:0060071;GO:0051901;GO:0010950;GO:0060452;GO:0014012;GO:2001044;GO:0007162;GO:1904684;GO:0090244;GO:0045599;GO:0006355;GO:0045597;GO:0061304;GO:1902548;GO:0090090;GO:0060739;GO:0045087;GO:0046330;GO:0043066;GO:0070373;GO:0006508;GO:0070374;GO:0043065;GO:0071347;GO:0032331
GO:0016525;1.0;0.2553664577566627;0.0;0.0;0.423896866528153;0.5478716267812332;0.14083307114154295;0.0;0.0;0.6637408451857729;0.0;0.0;0.31848989057867644;0.3121482146142369;0.20987014652182345;0.17138477871810515;0.0;0.39596035361697546;0.2053721416285801;0.31955149733661575;0.0;0.0;0.3632981640051046;0.0;0.3289904687096779;0.3579381974968376;0.0;0.18575397378811623;0.2639207233341669;0.2561823024299811;0.4951295149070227;0.3366198969045754;0.0;0.6504675362488656;0.0;0.0;0.3702068370429296;0.226360758830625;0.40933448536998907;0.3625382857809174;0.0;0.0;0.0;0.3249101063201542;0.31007000184106437;0.23238521369630943;0.4373546016077704;0.3515444251798031;0.0;0.43700409202146484;0.3934163243834397;0.0;0.16534270828927214;0.0;0.0;0.34569235232939294;0.0;0.0;0.0;0.3451077441282085;0.0;0.0;0.0;0.3639355942492069;0.31561338135640077;0.40320700859705827;0.23205653386858643;0.705595522488798;0.0;0.0;0.20723596921771276;0.0;0.0;0.3525619267105812;0.0;0.0;0.4387289901126168;0.29052112586722384;0.0;0.3841541648888186;0.23884538609638717;0.0;0.23396833234879966;0.25306667329410887;0.3137095615375264;0.4283408393474373;0.0;0.3233241934928611;0.374810010193047;0.0;0.0;0.0;0.0;0.24291612448765862;0.1951562220449362;0.0;0.3340748138311903;0.0;0.4539601887083749;0.0;0.0;0.5794624904782675;0.32983490215724043;0.36421323277190293;0.35811445931487096;0.1936711318422224;0.2561817735456564;0.0;0.3794612527189653;0.3140647815540689;0.0;0.3033607100372776;0.0;0.0;0.0;0.15672105820331078;0.0;0.4058731320186036;0.0;0.0;0.0;0.3261333140883689;0.0;0.0;0.32686712448603683;0.0;0.3506924998753828;0.28160702276994914;0.0;0.3011672472732146;0.4958568977944612;0.0;0.20435674049354158;0.29197724765160826;0.0;0.20081778786508792;0.4835712897262249;0.46260753214289074;0.0;0.31941337632249306;0.0;0.30501608365206234;0.0;0.0;0.22313459749410952;0.0;0.64692576533175;0.0;0.23194395704453322;0.32372521231808105;0.0;0.0;0.0;0.4758917582740881;0.28510350275492385;0.18598731150781952;0.32766742650788316;0.0;0.34005180364415855;0.43856968864775475;0.2168786568211556;0.32405267047462566;0.5131775086189392;0.23856043942431032;0.39823155368027974;0.0;0.38383986411876897;0.3189873882071606;0.0;0.0;0.13764739051322586;0.3813828131637915;0.18737973054820056;0.0;0.1498089962718688;0.3072912785395091;0.0;0.6144433312972606
GO:0014068;0.2553664577566627;1.0;0.0;0.0;0.2722656444088482;0.37974794764382597;0.2629807454250823;0.0;0.0;0.32581273568902114;0.0;0.0;0.5029065023601798;0.3421740490152267;0.2065269603604156;0.28700133481038115;0.0;0.36699137304026985;0.31936303460951776;0.5134320838240832;0.0;0.0;0.39047664275918853;0.0;0.5173796448201861;0.4056043688051122;0.0;0.3092358595132294;0.4317384630848892;0.41454097318482497;0.23845698997867262;0.5379167318718117;0.0;0.303379829888166;0.0;0.0;0.4175494034031385;0.3706799808829058;0.3778078893555196;0.3850080537161055;0.0;0.0;0.0;0.3079779140473146;0.49121574929369116;0.22698753487184062;0.40018012627196836;0.5480725951458674;0.0;0.39990265662932517;0.4395151389798462;0.0;0.27757328066941783;0.0;0.0;0.39356932146782014;0.0;0.0;0.0;0.3929919460226821;0.0;0.0;0.0;0.391066705245297;0.3635221940469525;0.2867271018733775;0.22669102983546813;0.26992325066655826;0.0;0.0;0.34539204016168545;0.0;0.0;0.5494447830631656;0.0;0.0;0.40126753796311304;0.4711675537681916;0.0;0.42063505445177707;0.7688151917304785;0.0;0.42349940972466144;0.21721763233498728;0.3615967490230908;0.38203597671165634;0.0;0.37129155883694337;0.4880635081687836;0.0;0.0;0.0;0.0;0.23645370267531327;0.1929896845768377;0.0;0.38204669988901796;0.0;0.32171620472895074;0.0;0.0;0.3037247161293594;0.518538442998758;0.34094974571832987;0.4057767743171799;0.32424480646349657;0.8189355467564552;0.0;0.42985652755588794;0.3619562201330574;0.0;0.5368413008994138;0.0;0.0;0.0;0.2640383906719928;0.0;0.2856827949874877;0.0;0.0;0.0;0.3555704918334423;0.0;0.0;0.634299022367649;0.0;0.3296997590526061;0.4511221064574279;0.0;0.28765532574912833;0.25817391113717447;0.0;0.6670092615302935;0.4658334545550749;0.0;0.19821419748959893;0.34029330612113445;0.4490268887280941;0.0;0.5132328574158475;0.0;0.4923690374177695;0.0;0.0;0.25027186305828386;0.0;0.32812703852333414;0.0;0.22658945850561854;0.3716943538343634;0.0;0.0;0.0;0.30225784731409405;0.39501291604668576;0.30959476407719627;0.29930020669613;0.0;0.6565371521127196;0.40114154639872285;0.21292864158278998;0.3720231695991499;0.3565015974783934;0.2832494092502085;0.5147054247205254;0.0;0.42033234728608854;0.5126182991342256;0.0;0.0;0.5159567291514825;0.3550981206459164;0.34445344597963123;0.0;0.5587083191841935;0.4873407437711611;0.0;0.3133926634134259
GO:0061333;0.0;0.0;1.0;0.3122363305454178;0.0;0.0;0.0;0.45537405379805607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33309885198393935;0.0;0.0;0.32917468153033325;0.0;0.0;0.0;0.0;0.0;0.0;0.35946019415507785;0.0;0.3540381411725519;0.319652454996542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45154313260219986;0.0;0.37167350174838554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3370577411042249;0.0;0.42922367500575964;0.0;0.0;0.0;0.0;0.7128068248148369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35353843081811537;0.0;0.0;0.0;0.0;0.0;0.3152449296293536;0.0;0.354390532842924;0.0;0.0;0.43145606552789983;0.0;0.0;0.6704775403956537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6689085874626044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18895508265156175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.598231012816738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008584;0.0;0.0;0.3122363305454178;1.0;0.0;0.0;0.0;0.3143509725565254;0.0;0.0;0.31648984938255514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43093103435338487;0.0;0.0;0.8505212049029007;0.0;0.0;0.0;0.0;0.0;0.0;0.20383585796844383;0.0;0.32982365614309367;0.2250325266617465;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31187746686706114;0.0;0.598567720894727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3150380747346871;0.0;0.29741234402358485;0.0;0.0;0.0;0.0;0.32865365827594467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32938992183550575;0.0;0.0;0.0;0.0;0.0;0.513267630208634;0.0;0.33012947169641516;0.0;0.0;0.2988633190575524;0.0;0.0;0.5257818102094101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26849456763140533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2514831610753154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3305500515566199;0.0;0.0;0.2865176487021379;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090179;0.423896866528153;0.2722656444088482;0.0;0.0;1.0;0.5010872025433623;0.13508345306379418;0.0;0.0;0.43244887884607053;0.0;0.16281568541103242;0.32450220816520564;0.24336369436727665;0.192509017565335;0.19475480079363397;0.16486166115234424;0.3249455462700132;0.17316978111556316;0.27409577130360696;0.11614828578055403;0.0;0.2733711846658556;0.17727517280105562;0.3327454301307084;0.5145966105380222;0.117680259014935;0.2087324182720696;0.23408305481920486;0.2729716984879098;0.4281702647524828;0.2858495351167207;0.0;0.5449979915109373;0.18744885285106713;0.1704857523452268;0.3639665548340791;0.24660079862986595;0.33339702775615115;0.2729407096305726;0.0;0.19184772302145298;0.12118804413192219;0.27781133976034966;0.31780396496332153;0.21016760301674248;0.35069830899473736;0.35004889235551206;0.19797901141180857;0.3504851964476545;0.383876160555649;0.0;0.18878290367808595;0.15527308232373233;0.1767401333163241;0.5584287444573975;0.0;0.19138466597378737;0.15426193570121954;0.5577092148918752;0.20403091113327462;0.16413469997551317;0.13392292803799494;0.2737319486322343;0.467271916776395;0.30421466729279867;0.20991338774340548;0.44236526552933786;0.19274336416681842;0.0;0.1904101007153846;0.0;0.15728609174022898;0.35081689310899683;0.0;0.18725118800050336;0.3515331512311955;0.25354989100531866;0.12652624566424941;0.31737783377043227;0.257783323586496;0.13008952189032102;0.2113905969529852;0.18919397977509034;0.5181931094291315;0.4374282545236766;0.10986194207588676;0.5304782043340466;0.36838894424169594;0.11649806835887191;0.0;0.0;0.0;0.21825784874238965;0.18069448861096582;0.12228483366987601;0.6446528201725934;0.0;0.4770269460949677;0.0;0.0;0.43974324306240903;0.33340308829328685;0.3043618796321694;0.5147879670452528;0.1794896887099269;0.2729712410513685;0.13515341547595244;0.37282489985184675;0.5186499546075167;0.0;0.2627248353182055;0.17679741843964675;0.16018502046680105;0.20389077082798968;0.18016230217158682;0.131227012772008;0.25232021761128137;0.0;0.18749186427328227;0.0;0.25178130455006575;0.20412961480570352;0.0;0.33108830698082387;0.0;0.2953649922477351;0.2945583636259254;0.0;0.26116740626694007;0.3540513199817307;0.0;0.2263723428886721;0.30313742131887056;0.1469609088875573;0.18526662361103458;0.5016214208508945;0.43888261056360345;0.12118676104055427;0.27399968905025435;0.0;0.2638975040344065;0.1441765613295888;0.10817143540039362;0.18562966684278098;0.12227749000261821;0.4400352287086511;0.0;0.20982629195694077;0.6292086070311799;0.12692275948428192;0.17286906739857238;0.0;0.9004510418403228;0.29746523342897424;0.20895682867611495;0.2636060877408434;0.14319543866208312;0.341299239341722;0.3514364520292479;0.19805948988889266;0.6297006855196727;0.3692084045637069;0.2575304143750967;0.38614975965091636;0.0;0.31717497662840305;0.2737032565086607;0.19490987059454662;0.0;0.16066569870399713;0.3155866293903357;0.17436022703688206;0.0;0.1731654835020585;0.3155758816439598;0.17292516054490292;0.4222417739346869
GO:0032330;0.5478716267812332;0.37974794764382597;0.0;0.0;0.5010872025433623;1.0;0.15715182339885211;0.0;0.0;0.5640770699042967;0.0;0.0;0.4896955271219381;0.3643725406910442;0.2406736578984388;0.24419405972954367;0.0;0.4907058360141344;0.22675494525362389;0.3833177186202233;0.0;0.0;0.4360342957878403;0.0;0.508713609841047;0.5622786012849068;0.0;0.26657675862786573;0.30936477268682744;0.3811229010512126;0.47257421367783314;0.4067047599914886;0.0;0.6896774870380804;0.0;0.0;0.5854981627253842;0.3316112756738851;0.5102381960702168;0.43494014528596786;0.0;0.0;0.0;0.39062390376896156;0.47460035261292993;0.2689220719215596;0.5519081109488186;0.5503014344038327;0.0;0.5513804878035263;0.6137958191449995;0.0;0.23487786270386948;0.0;0.0;0.5394122787725616;0.0;0.0;0.0;0.5383282982962357;0.0;0.0;0.0;0.43695284016998354;0.48452317129093037;0.41713412047946297;0.26850599257161156;0.5891501370115471;0.0;0.0;0.23740200579327017;0.0;0.0;0.5522018603474748;0.0;0.0;0.5539785582742509;0.3443005620531007;0.0;0.47365063693980136;0.3521537214940405;0.0;0.2709277108183123;0.30534054604639727;0.4811086221596571;0.39980283357989;0.0;0.49842440538633886;0.6243391970777916;0.0;0.0;0.0;0.0;0.28231211698637876;0.22248697180912178;0.0;0.5179999380933832;0.0;0.6843916178084363;0.0;0.0;0.690757274334912;0.5102523911484251;0.4452350499413666;0.5626099767285572;0.22066322286071754;0.3811220093375658;0.0;0.46523613515202566;0.48174518892023865;0.0;0.36144067322609374;0.0;0.0;0.0;0.22168068895844126;0.0;0.3848247512610565;0.0;0.0;0.0;0.3835726087424067;0.0;0.0;0.5048505182527769;0.0;0.4262422560820369;0.4245644437895891;0.0;0.35849954607991025;0.4695607522697553;0.0;0.2960381624770629;0.4426196732215059;0.0;0.22945945531367562;0.735968251505933;0.6993528098553429;0.0;0.38312983209338186;0.0;0.3636638607459612;0.0;0.0;0.24860547784968268;0.0;0.7019983167203812;0.0;0.26836350580178375;0.49915053453065683;0.0;0.0;0.0;0.5707512815644599;0.43062993310664827;0.26694289017926387;0.37372305891218743;0.0;0.5289823462335846;0.5537384498304098;0.24941200142023146;0.4997436995706898;0.6264096407581092;0.35168191531937715;0.6702474696776615;0.0;0.4731989716544608;0.3825504960063156;0.0;0.0;0.19288092018856515;0.46967228667644406;0.2129610203219514;0.0;0.21118142291582276;0.4696484819679108;0.0;0.7773241155921979
GO:0043508;0.14083307114154295;0.2629807454250823;0.0;0.0;0.13508345306379418;0.15715182339885211;1.0;0.0;0.0;0.11460442109890372;0.0;0.0;0.1548224454427732;0.1473224989456772;0.34976214440164755;0.23104957970093123;0.0;0.21128863108470292;0.12072668798086555;0.38291438432151426;0.0;0.0;0.12358621433174784;0.0;0.15667426569331783;0.1614099652201337;0.0;0.3801695304392225;0.3516965698218989;0.1973979426614511;0.17212271369701906;0.3912688965191717;0.0;0.12206260203993809;0.0;0.0;0.1632686687161503;0.13454413065759321;0.21387347408799282;0.17795388545711754;0.0;0.0;0.0;0.19547661771415728;0.15328107718521702;0.527753085301273;0.21895429453107387;0.16040775780363747;0.0;0.21889336437116322;0.14592947331563252;0.0;0.22672320338084276;0.0;0.0;0.15946938498463298;0.0;0.0;0.0;0.15937451046169776;0.0;0.0;0.0;0.12365989334925903;0.15430166789822944;0.1889589809398094;0.6398875468924335;0.14429097893571796;0.0;0.0;0.4237886912181051;0.0;0.0;0.16056883685747594;0.0;0.0;0.21919259471872052;0.36745228084050574;0.0;0.26053502963767494;0.233189186468221;0.0;0.4089554664660814;0.11258787378315145;0.15395370220140556;0.32971739489581803;0.0;0.15568445518517326;0.15285826327581523;0.0;0.0;0.0;0.0;0.45808079057001677;0.48179183603352493;0.0;0.1575441085504703;0.0;0.1462356616761656;0.0;0.0;0.12211839414388212;0.15681991800677775;0.20468880195356653;0.16143726099714756;0.7303728939407113;0.2403376958375962;0.0;0.1444504324242235;0.15401882714799406;0.0;0.41817606767994103;0.0;0.0;0.0;0.2954418514894713;0.0;0.2611891058982596;0.0;0.0;0.0;0.17986439495335474;0.0;0.0;0.2912060423506425;0.0;0.20165981748797868;0.14766072343612813;0.0;0.18925407803915256;0.17937295429803737;0.0;0.21708633178179637;0.14978574903138767;0.0;0.7714864905013349;0.1499567582932008;0.1473518473611243;0.0;0.3828446699979778;0.0;0.3753813473610529;0.0;0.0;0.27265480193502933;0.0;0.20122726612084418;0.0;0.5272514829889375;0.1557552287244146;0.0;0.0;0.0;0.14207812428208577;0.14838763354453788;0.32312460034150975;0.11031589197788773;0.0;0.26828381630857556;0.21916502403685412;0.5095348635871726;0.15581293762878926;0.20869635980043086;0.27088033973555703;0.1563366764514201;0.0;0.26045462996710744;0.3826294395117752;0.0;0.0;0.5070905535979598;0.20834290850666434;0.784707181809384;0.0;0.4494264067419204;0.15276087879523956;0.0;0.19706116942755045
GO:0090177;0.0;0.0;0.45537405379805607;0.3143509725565254;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33550660995873355;0.0;0.0;0.33152584283299436;0.0;0.0;0.0;0.0;0.0;0.0;0.2895419719381244;0.0;0.35675936362560884;0.32128637410796784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5674801120413838;0.0;0.3746737241522706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3395232835380704;0.0;0.5392371059645671;0.0;0.0;0.0;0.0;0.6004887650213576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3562519474656347;0.0;0.0;0.0;0.0;0.0;0.31740066054293414;0.0;0.35711719598684016;0.0;0.0;0.4344381831465268;0.0;0.0;0.4524802483688502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3874021757077869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18972745617050935;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48426974850390775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060401;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4750773709022377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41669890556444406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2815246798125103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44542905731411314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045766;0.6637408451857729;0.32581273568902114;0.0;0.0;0.43244887884607053;0.5640770699042967;0.11460442109890372;0.0;0.0;1.0;0.0;0.0;0.4086337552580564;0.4002711190002227;0.1716189733174015;0.21704944126284814;0.0;0.3281158240331369;0.26087191139140736;0.26335506061878267;0.0;0.0;0.4679917096837156;0.0;0.42250143628671444;0.3693874238422023;0.0;0.23554473924980962;0.21664742092088088;0.3268772571945527;0.3730378572731998;0.27776014256832443;0.0;0.6708242522474119;0.0;0.0;0.3824678210476692;0.2880655256910839;0.3395242440835292;0.37428851579108857;0.0;0.0;0.0;0.2678737426440705;0.39753267626968125;0.19033387053073247;0.3634972088152537;0.45237545153236847;0.0;0.3631967287380647;0.5893307022925077;0.0;0.20928634060833315;0.0;0.0;0.35635989992590156;0.0;0.0;0.0;0.3557386871867551;0.0;0.0;0.0;0.46883955085592405;0.3244814967131125;0.301521590514053;0.19006023651732576;0.5200280425587155;0.0;0.0;0.16943330001434556;0.0;0.0;0.453726028505709;0.0;0.0;0.3646755721260358;0.23893496446059573;0.0;0.3180630741585137;0.3042889380704835;0.0;0.19165203434439945;0.26150989042549105;0.322469527653869;0.35120019013294046;0.0;0.3326373125579627;0.5290401193430988;0.0;0.0;0.0;0.0;0.19910786953672724;0.15942072392222734;0.0;0.34402708875413424;0.0;0.4650300568387481;0.0;0.0;0.5976216311362865;0.4236177725585489;0.30112233383512615;0.3695751449910131;0.15819095379597584;0.3268765670516776;0.0;0.5127494705717001;0.32284487470969087;0.0;0.24972304587494606;0.0;0.0;0.0;0.19822314938392868;0.0;0.3365695340370849;0.0;0.0;0.0;0.41872553982265487;0.0;0.0;0.336388470177919;0.0;0.28966333929114707;0.36012892736473434;0.0;0.24787865516289112;0.3625110223439046;0.0;0.2595588727185704;0.3737347349835222;0.0;0.16411131151095543;0.49615240865700166;0.6651261768445029;0.0;0.26323863485992904;0.0;0.25111536195210277;0.0;0.0;0.22753095903741122;0.0;0.4757094615905615;0.0;0.18996651648477564;0.33306178138078535;0.0;0.0;0.0;0.4866971450821946;0.3647135339286288;0.23584546570281548;0.4612387425462374;0.0;0.35036887882419776;0.3645389794391547;0.17743816342849886;0.3334084104931651;0.38619998215247886;0.24359252919137062;0.5630628867704621;0.0;0.31779568545945275;0.262879572965107;0.0;0.0;0.17380746788836274;0.3157057855698553;0.15298404873926869;0.0;0.18936576714389258;0.3938727590143758;0.0;0.4512586714140721
