;GO:0016525;GO:0040014;GO:0008584;GO:0033141;GO:0008284;GO:0045762;GO:0007595;GO:1902895;GO:1903489;GO:0042531;GO:0002286;GO:0042699;GO:0009755;GO:0071373;GO:0001545;GO:0045892;GO:0045893;GO:0043330;GO:0045670;GO:0051607;GO:0032962;GO:2000552;GO:0060397;GO:0030183;GO:0044267;GO:0042100;GO:0007565;GO:0007166;GO:0007189;GO:0007200;GO:0009967;GO:0045636;GO:0060337;GO:0042700;GO:0046427;GO:0002323;GO:0045581;GO:0030539;GO:0046597;GO:0045087;GO:0043066;GO:0006508;GO:2000666;GO:0001937;GO:0010469;GO:2000663
GO:0016525;1.0;0.20397374928165476;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.036692364793703955;0.042064647228987374;0.23094064297706635;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.12804570306913615;0.042064647228987374;0.0;0.23094064297706635;0.0;0.042064647228987374;0.2868411840981557;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.20397374928165476;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.30550822320801124;0.0;0.12804570306913615;0.0;0.12804570306913615;0.0;0.2868411840981557;0.12804570306913615;0.042064647228987374;0.2868411840981557
GO:0040014;0.20397374928165476;1.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.036692364793703955;0.042064647228987374;0.20397374928165476;0.042064647228987374;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.042064647228987374;0.0;0.20397374928165476;0.0;0.042064647228987374;0.18922943134840794;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.20397374928165476;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.0;0.20397374928165476;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.18922943134840794;0.042064647228987374;0.042064647228987374;0.18922943134840794
GO:0008584;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2611260707055071;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.2611260707055071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.428153331618382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0033141;0.042064647228987374;0.042064647228987374;0.0;1.0;0.12755981097713553;0.28270809275848624;0.036692364793703955;0.1816892161000484;0.11511873865597294;0.48819590641329713;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.10900961301269105;0.1816892161000484;0.0;0.047799631016701725;0.0;0.28270809275848624;0.1492331351584338;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.48819590641329713;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.047799631016701725
GO:0008284;0.042064647228987374;0.042064647228987374;0.0;0.12755981097713553;1.0;0.12755981097713553;0.036692364793703955;0.12755981097713553;0.11511873865597294;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.12755981097713553;0.042064647228987374;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.24636553155839747;0.047799631016701725;0.047799631016701725
GO:0045762;0.042064647228987374;0.042064647228987374;0.0;0.28270809275848624;0.12755981097713553;1.0;0.036692364793703955;0.23455555592033453;0.11511873865597294;0.28270809275848624;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.14416800614326972;0.23455555592033453;0.0;0.047799631016701725;0.0;0.47000669652096905;0.042064647228987374;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.17530917548795347;0.047799631016701725
GO:0007595;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;1.0;0.036692364793703955;0.3919018271710533;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955
GO:1902895;0.042064647228987374;0.042064647228987374;0.0;0.1816892161000484;0.12755981097713553;0.23455555592033453;0.036692364793703955;1.0;0.11511873865597294;0.1816892161000484;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.15831211565824807;0.25309998657954436;0.0;0.047799631016701725;0.0;0.23160877878580344;0.042064647228987374;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.12755981097713553;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725
GO:1903489;0.23094064297706635;0.20397374928165476;0.0;0.11511873865597294;0.11511873865597294;0.11511873865597294;0.3919018271710533;0.11511873865597294;1.0;0.11511873865597294;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.11511873865597294;0.0;0.23094064297706635;0.0;0.11511873865597294;0.18922943134840794;0.042064647228987374;0.0;0.0;0.0;0.0;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.11511873865597294;0.2688665324497557;0.042064647228987374;0.042064647228987374;0.11511873865597294;0.0;0.23094064297706635;0.0;0.042064647228987374;0.0;0.042064647228987374;0.0;0.32608398704503894;0.042064647228987374;0.042064647228987374;0.32608398704503894
GO:0042531;0.042064647228987374;0.042064647228987374;0.0;0.48819590641329713;0.12755981097713553;0.28270809275848624;0.036692364793703955;0.1816892161000484;0.11511873865597294;1.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.10900961301269105;0.1816892161000484;0.0;0.047799631016701725;0.0;0.28270809275848624;0.1492331351584338;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.25051392497694763;0.12755981097713553;0.047799631016701725;0.047799631016701725;0.5584069141800461;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.1786822519641151;0.047799631016701725
