;GO:0016525;GO:0036498;GO:0007252;GO:0033540;GO:1903400;GO:0007256;GO:0045765;GO:0007257;GO:0008344;GO:1903401;GO:0007254;GO:0051092;GO:0000188;GO:0030821;GO:0033539;GO:0050432;GO:0045893;GO:0071499;GO:2000352;GO:0034063;GO:0036003;GO:0007264;GO:1905832;GO:0042147;GO:0006611;GO:0060236;GO:0006844;GO:0006606;GO:0006020;GO:0043123;GO:0038096;GO:0045667;GO:0002576;GO:0000165;GO:0002456;GO:0031338;GO:0045670;GO:2000377;GO:2001240;GO:0018916;GO:0008211;GO:0007249;GO:0070294;GO:0023035;GO:0005978;GO:2000820;GO:0010884;GO:0007051;GO:0007052;GO:0051293;GO:0007179;GO:0006886;GO:0006887;GO:0043547;GO:0045053;GO:0002710;GO:0016571;GO:0016573;GO:0051965;GO:0032480;GO:0031032;GO:0043312;GO:0048208;GO:0007616;GO:0071560;GO:0006888;GO:1990575;GO:0006405;GO:0032355;GO:0036035;GO:0035067;GO:0090630;GO:1902533;GO:1900114;GO:1901687;GO:0006623;GO:0050774;GO:0000086;GO:0001964;GO:0000082;GO:0070945;GO:0035176;GO:0007281;GO:0051085;GO:0048469;GO:0046604;GO:0051081;GO:0006511;GO:0006625;GO:0097711;GO:0045087;GO:0006749;GO:0097039;GO:0006508;GO:0070377;GO:0071345;GO:0031122;GO:0019933;GO:0060761;GO:0120117;GO:0015031;GO:0002087;GO:0051247;GO:0001666;GO:0032048;GO:0050714;GO:0019886;GO:0035556;GO:0050728;GO:0045819;GO:0051260;GO:0090063;GO:0008630;GO:0009967;GO:0006576;GO:0006334;GO:0098586;GO:0031627;GO:0007416;GO:0046470;GO:0034454;GO:0010389;GO:0035666;GO:0031061;GO:0043407;GO:1902176;GO:0008284;GO:0006541;GO:0042551;GO:0051151;GO:1903028;GO:0045944;GO:0043401;GO:0043525;GO:0043524;GO:0033599;GO:0032388;GO:0032700;GO:0050852;GO:0050731;GO:0050732;GO:0016358;GO:0030522;GO:0043537;GO:1903955;GO:0001662;GO:0050860;GO:0001779;GO:0010803;GO:0050868;GO:0070458;GO:0089709;GO:0006366;GO:0006487;GO:0046777;GO:0008542;GO:0042178;GO:0006122;GO:0006367;GO:0072382;GO:0043030;GO:0070885;GO:0060291;GO:0010970;GO:0032402;GO:0010971;GO:0090263;GO:1905515;GO:0038061;GO:1904668;GO:0006259;GO:0033962;GO:0018105;GO:0018107;GO:1905643;GO:0090235;GO:1900078;GO:0006342;GO:0006468;GO:0000122;GO:0043171;GO:0051344;GO:0070301;GO:0035335;GO:0006351;GO:0007565;GO:0000132;GO:0052567;GO:0006349;GO:0043066;GO:0046330;GO:0006909;GO:0034115;GO:0032733;GO:0048194
GO:0016525;1.0;0.2711434376578462;0.0;0.0;0.0;0.09779927090594931;0.7740151669772847;0.09779927090732045;0.0;0.0;0.16358710262676432;0.19561475237956627;0.1418773976456024;0.16757015840141495;0.0;0.0;0.1623595975764814;0.0;0.31123576208102727;0.0;0.1354169766768009;0.3259255468779214;0.19625631208992467;0.0;0.0;0.2644945532910646;0.0;0.0;0.0;0.2348379550374329;0.190757643859026;0.4707818405182315;0.0;0.19025175112096293;0.0;0.30276283119760067;0.46018486935116515;0.34038663509568645;0.23438550415630682;0.0;0.2074304023903991;0.3259255468779214;0.0;0.3259262064063246;0.0;0.18848941612306666;0.302060602061604;0.0;0.0;0.0;0.30238591606128284;0.0;0.0;0.2236013109322753;0.22273559448810634;0.26397216135996526;0.0;0.0;0.38575462040708847;0.5271233966696187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19180522288515076;0.21585607051037328;0.24863838702069532;0.1535064737717989;0.0;0.0;0.42408616609276545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18363869977425423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1726576072313483;0.0;0.0;0.3023745229573649;0.40841792018204365;0.0;0.0;0.36324584452229947;0.27312386435743036;0.0;0.0;0.20575478298264935;0.0;0.33914822171593495;0.34147370725554305;0.1653998106728467;0.0;0.1836473990206454;0.25460429318213024;0.2641735505794926;0.0;0.0;0.0;0.1368085064309662;0.0;0.0;0.0;0.2926181823910256;0.18265604337795296;0.20675638493168916;0.14379459022057087;0.19512417136014423;0.32688791607974077;0.0;0.0;0.4605684926684552;0.2108973632371971;0.1563905932116605;0.3259191944669905;0.24904973350563633;0.31119614242736265;0.5261358126711433;0.30286021975850425;0.5271233966696187;0.2100265149823324;0.17246543405262318;0.21550195706762165;0.0;0.33914822171593495;0.3583001350879335;0.16519216165267378;0.0;0.27035007798963206;0.0;0.2920918191542744;0.26351492989182895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32681216311218636;0.2641340665170744;0.24824213008705734;0.0;0.0;0.22277188568812786;0.23483604887909618;0.0;0.3259255468779214;0.15862386794011898;0.0;0.0;0.0;0.0;0.21667588758613596;0.3024758149740909;0.30295666324038795;0.17200074414276909;0.0;0.1918886498623317;0.0;0.22360263593245402;0.0;0.0;0.0;0.0;0.0;0.0;0.21989288455632355;0.3531369590443697;0.12578714120543066;0.0;0.5085783272885878;0.3787944041209357;0.0
GO:0036498;0.2711434376578462;1.0;0.17190998329823828;0.13462808987989996;0.0;0.12475768703007675;0.33673815859508144;0.12475768703186241;0.0;0.0;0.46852455121097986;0.2548652150230691;0.14533269639848856;0.17241157159177195;0.13462808987989996;0.21342769386635527;0.21001245347331812;0.5637564004598536;0.3283615619370471;0.21458545742972546;0.3519230020477479;0.6155681542318514;0.25573692097680806;0.0;0.0;0.34986985191866654;0.0;0.0;0.21325902275674952;0.30861173197256997;0.34965847940750455;0.42003854987010664;0.2295742956922839;0.34869270550328446;0.2382841474338317;0.40391695247968096;0.3500664539105008;0.45796304918877384;0.2439678629684787;0.23840890301775253;0.2203827844545459;0.6155681542318514;0.0;0.6155694911036339;0.13464938984166666;0.1946372480054781;0.32245536086183935;0.23864486428698586;0.21384080021422555;0.18582069862993314;0.5681041375728735;0.0;0.24788622471426677;0.23872552342439435;0.3244081556459364;0.2210350922568823;0.15032455434254233;0.14050739309205051;0.290688678110921;0.32369850356110363;0.24866367412516135;0.15785816189187646;0.23035124912052057;0.0;0.34932958798143526;0.0;0.0;0.0;0.23900388866406094;0.24900560011962236;0.19817491086235667;0.2299177204664099;0.32774358393302744;0.198180614122284;0.19975347918642697;0.0;0.2019091849343063;0.26026318975583734;0.2582903476486277;0.2602611822395225;0.1708020319643064;0.0;0.23787711328401326;0.2711720622502644;0.2829968782861364;0.23863771218350488;0.24909768511841324;0.16716487524434148;0.13353288816111095;0.25821047959451865;0.36293066001963414;0.2067620901225304;0.17220311903448945;0.0;0.177801967051933;0.40453674791748245;0.23896573368234877;0.5680812860869894;0.35087175556065703;0.22926401673609031;0.0;0.30954908615357984;0.2896910854418306;0.36368975190693253;0.1940537296935767;0.26867140696332165;0.0;0.642450547182496;0.28986928546780083;0.21408605599926375;0.2492136562035863;0.23864946890850222;0.7438837573254564;0.34942037070386156;0.22985932693132924;0.21458240868128733;0.2482292426228413;0.1942109798793964;0.2709232533284116;0.18197079170090816;0.23021803792049356;0.38949957114022704;0.3342177059083977;0.21417701620437024;0.1473450714374642;0.2017199956883334;0.43846716759845694;0.19341464644788423;0.2588909292103094;0.35038023860147477;0.2756967453442291;0.20203014163135774;0.6155552778409301;0.3283156332359155;0.3283174624769838;0.40362925173892;0.3233667651425472;0.32369850356110363;0.3866030142983949;0.22357411741160332;0.2235758920735618;0.23768504873428492;0.642450547182496;0.26908810277641637;0.21380765470946816;0.31928910307888314;0.283179199149072;0.21325256718879748;0.3887532940957965;0.27568893911351167;0.28271165278263233;0.0;0.134588675161899;0.1766039177097479;0.17190998329823828;0.19855806737738335;0.25924139200020485;0.24879380042087815;0.1438854165116509;0.15812674167039567;0.4383580931939252;0.2763666771671685;0.3271926175894293;0.20546122050669224;0.0;0.29197929799745825;0.30860909745411885;0.20746604174972336;0.6155681542318514;0.20501426942133918;0.19319292841434402;0.21458545742972546;0.16298443126715634;0.16298441759385354;0.2836097642143439;0.40350815162396114;0.40419305960171875;0.2152915847617217;0.17675035145926735;0.198263972210836;0.1997733938036345;0.23872703373102333;0.37390312969236084;0.1719098305154012;0.13753174483479577;0.0;0.16164761053693733;0.19343010064721913;0.2926076260385058;0.3753489471997468;0.16142622167223158;0.0;0.2987457323378125;0.3236972581330106;0.24907178938393498
GO:0007252;0.0;0.17190998329823828;1.0;0.2786091582333392;0.0;0.0;0.0;0.0;0.0;0.0;0.7263210733051284;0.0;0.0;0.0;0.2786091582333392;0.1725553346536257;0.0;0.18872568380001475;0.0;0.17331133881661853;0.09243066119915318;0.20087649133404425;0.0;0.0;0.0;0.0;0.0;0.0;0.4101911585348991;0.0;0.12626237774573848;0.0;0.1829590736009279;0.8323861353380341;0.0;0.0;0.0;0.0;0.0;0.4484441272387501;0.29835040071978086;0.20087649133404425;0.0;0.20087683033386028;0.35551681913801353;0.0;0.0;0.18867419713024228;0.17282526776122228;0.15405123895678313;0.18863019682892412;0.0;0.19440412845720745;0.0;0.18810752325990585;0.0;0.6845114396601318;0.6458389197917905;0.0;0.0;0.19488197070594665;0.1343252696068739;0.18345219974862434;0.0;0.16780952287970277;0.0;0.0;0.0;0.0;0.19509192347711568;0.0;0.0;0.0;0.0;0.44221573203797626;0.0;0.0;0.20193537584287766;0.0;0.2019341673081015;0.0;0.0;0.1881939841582795;0.20844144469809406;0.21535837902709357;0.0;0.19514844507961682;0.567475675748735;0.11629791140031948;0.2006974481532083;0.0;0.45483559631579923;0.7681519040093882;0.5865613387702693;0.0;0.18877363291236265;0.1888747029016608;0.18862419769428584;0.0;0.1827619525953225;0.0;0.0;0.0;0.0;0.4839201681477751;0.0;0.0;0.20762752212419153;0.0;0.0;0.19521961504259033;0.0;0.16283508064961694;0.0;0.49531785906376335;0.17330935008508752;0.0;0.41510997368605534;0.20829440439097485;0.5600374892342731;0.1833676997734143;0.0;0.12143814130505938;0.0;0.0;0.0;0.0;0.4851921883114653;0.2011082922993115;0.0;0.0;0.0;0.20087322616181186;0.0;0.0;0.0;0.0;0.0;0.13756634926603595;0.0;0.0;0.18807375034797738;0.20762752212419153;0.0;0.0;0.0;0.0;0.17244084248145086;0.0;0.0;0.21519316259358373;0.0;0.3954773226722705;0.7845656334607949;0.954004688793913;0.0;0.34099147362069915;0.3302227178667613;0.3789654259488255;0.13451969121474033;0.0;0.0;0.0;0.16731043842106252;0.0;0.0;0.0;0.16863745345590958;0.20087649133404425;0.0;0.5372777193377074;0.17331133881661853;0.9120599211446692;0.9120598563492976;0.0;0.0;0.0;0.09383828489730968;0.9764610026424874;0.0;0.442251818403394;0.0;0.13466844513720252;0.8611985862169657;0.40298009713966454;0.0;0.1370593166189588;0.0;0.38983821781794625;0.0;0.0;0.0;0.0;0.0;0.1951325512402711
GO:0033540;0.0;0.13462808987989996;0.2786091582333392;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22211802959593904;0.0;0.0;0.0;0.9686659612402777;0.135023558447987;0.0;0.14472683988489973;0.0;0.13548601703142196;0.08045186072116228;0.15176681152519336;0.0;0.0;0.0;0.0;0.0;0.0;0.36723229683396474;0.0;0.10492201633925181;0.0;0.14131128275688795;0.24908266899058648;0.0;0.0;0.0;0.0;0.0;0.29445863987751625;0.27709717692296454;0.15176681152519336;0.0;0.15176700503130022;0.26816032908044785;0.0;0.0;0.1446965596968034;0.13518878153371808;0.12342297482156098;0.14467067931683253;0.0;0.14804295603646514;0.0;0.14436303444611207;0.0;0.2537807854547644;0.24179076980216743;0.0;0.0;0.1483199017046187;0.11043026974497773;0.14160527605394554;0.0;0.13210022323837484;0.0;0.0;0.0;0.0;0.14844148260920959;0.0;0.0;0.0;0.0;0.26352614245101463;0.0;0.0;0.15237046077417776;0.0;0.15236977269797558;0.0;0.0;0.14441395264099638;0.15604560594264022;0.15989011567646652;0.0;0.14847420284059878;0.3873479158221519;0.09794818879484636;0.1516645887135452;0.0;0.2694435508698924;0.27893266688081614;0.25003326516540864;0.0;0.1447550361114738;0.14481445885503966;0.14466715048929826;0.0;0.14119366166571332;0.0;0.0;0.0;0.0;0.38442462456668963;0.0;0.0;0.15558899688433941;0.0;0.0;0.14851539652846785;0.0;0.1289980467543191;0.0;0.2879619410117482;0.13548480165097748;0.0;0.24404600230856777;0.15596318295414638;0.368414464278219;0.1415549242264854;0.0;0.1015690624455405;0.0;0.0;0.0;0.0;0.467158007858799;0.15189908968029758;0.0;0.0;0.0;0.1517649477084343;0.0;0.0;0.0;0.0;0.0;0.11261144435668641;0.0;0.0;0.1443431420859219;0.15558899688433941;0.0;0.0;0.0;0.0;0.13495344508578228;0.0;0.0;0.15979902818296543;0.0;0.2343355189784482;0.2837475542428203;0.2786091582333392;0.0;0.35876737636513967;0.3021075476662296;0.24596840208979062;0.1105616389430263;0.0;0.0;0.0;0.13179075015072766;0.0;0.0;0.0;0.13261274475100426;0.15176681152519336;0.0;0.30121810510121355;0.13548601703142196;0.2685876349170853;0.26858761930655334;0.0;0.0;0.0;0.08151617610737168;0.28390642808091165;0.0;0.3919783319242412;0.0;0.11066210517507441;0.2786089895284205;0.2380644662479355;0.0;0.11227145366720842;0.0;0.2768797239211485;0.0;0.0;0.0;0.0;0.0;0.14846500239010585
GO:1903400;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.8652779375332416;0.0;0.0;0.0;0.0;0.0;0.318173913638812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23913522903732143;0.27558397516832506;0.0;0.4089156714494378;0.24745363548138447;0.0;0.0;0.0;0.0;0.23884957511024507;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30416112212245683;0.0;0.0;0.0;0.0;0.0;0.0;0.16656736492689075;0.0;0.29807659310343454;0.25026724830802016;0.0;0.14485230984095954;0.0;0.0;0.0;0.0;0.0;0.0;0.18651812635205486;0.0;0.0;0.0;0.24457125520907078;0.8229210716923868;0.29266640294150026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25165004490569176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23060762371414617;0.15220470118756968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32548514552421176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8651010320495662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18674058607068578;0.0;0.0;0.0;0.22270784301713692;0.2098809988227906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1514780208618436;0.0;0.0;0.0;0.0;0.2572413285680671;0.0;0.0;0.0
GO:0007256;0.09779927090594931;0.12475768703007675;0.0;0.0;0.0;1.0;0.10519000451817118;0.9716267616140897;0.0;0.0;0.10044028126354745;0.2831233722677231;0.4822106685981061;0.19649262445126842;0.0;0.0;0.31371865573320257;0.0;0.12081740642773768;0.0;0.28568217008406305;0.13298878460653635;0.1522183036444415;0.0;0.0;0.12361343913300188;0.0;0.0;0.0;0.3916882487070392;0.17186010043655783;0.13136697186648985;0.0;0.10786905450509275;0.0;0.12974735775793803;0.12363797200875008;0.1876890449942748;0.1913652078670349;0.0;0.07472169201897542;0.13298878460653635;0.0;0.1329888724845658;0.0;0.19111355496493815;0.1296439894796684;0.0;0.0;0.0;0.12969191497054514;0.0;0.0;0.1812009150488064;0.07661820321215504;0.11296584813983043;0.0;0.0;0.16047133129340221;0.10388277723549423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24814735830510198;0.1789972108302706;0.4006332258615473;0.41534976831431614;0.0;0.0;0.09819082145708936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1476917454395717;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4123900390474205;0.0;0.0;0.1296902376747357;0.13311277345492542;0.0;0.0;0.10238091226738848;0.34290191150008553;0.0;0.0;0.15541871638223087;0.0;0.1347037695329101;0.14963795934251603;0.27751362711948346;0.0;0.14769498145269463;0.12184314183529389;0.3632282904547466;0.0;0.0;0.0;0.0630056696846971;0.0;0.0;0.0;0.12822277496154746;0.1892221174576173;0.2575967810989427;0.48598120429557395;0.23193401419739923;0.18523849194639758;0.0;0.0;0.12367709056203446;0.15708269337477404;0.30792163066104056;0.13298793817529797;0.1681146858596099;0.12081143573762941;0.12971765724941314;0.1297616685038564;0.10388277723549423;0.1793140865242906;0.5961041631487273;0.34135648581678957;0.0;0.1347037695329101;0.11175950786431874;0.1404380722850601;0.0;0.20375986903377336;0.0;0.2287997000401903;0.11288202870441601;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13310670480022851;0.2232426554807623;0.2617266146721596;0.0;0.0;0.16075321943883816;0.3470018470694492;0.0;0.13298878460653635;0.5403959255396271;0.0;0.0;0.0;0.0;0.35798318535432866;0.12970514700148353;0.23141149007088227;0.18217812425962168;0.0;0.1928615545169436;0.0;0.12998731061626553;0.0;0.0;0.0;0.0;0.0;0.0;0.13749224887270975;0.12665093982737294;0.840652169543585;0.0;0.11656563487623882;0.12980423003924446;0.0
GO:0045765;0.7740151669772847;0.33673815859508144;0.0;0.0;0.0;0.10519000451817118;1.0;0.10519000451975737;0.0;0.0;0.18537286036808287;0.22760013735178644;0.12362963863857777;0.1484048523735255;0.0;0.0;0.1837982116152279;0.0;0.3033693852634321;0.0;0.15001094944225885;0.4255741159563459;0.2284691215444891;0.0;0.0;0.32654364480475384;0.0;0.0;0.0;0.28249888157292796;0.22105136382662255;0.6079476041840409;0.0;0.22037231957897652;0.0;0.38692249589377853;0.5682126788956368;0.4505687233893047;0.21679464181573765;0.0;0.2598233343129263;0.4255741159563459;0.0;0.42557524042506284;0.0;0.16918335160558037;0.3857763450512614;0.0;0.0;0.0;0.3863071261189282;0.0;0.0;0.2857044387407632;0.2842925704192014;0.24905734487052192;0.0;0.0;0.45888690005086535;0.48426315274693427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17252842716579408;0.2731798922766665;0.3027104670296759;0.17253382841326506;0.0;0.0;0.34934777760846525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21154812168025613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1534070030887756;0.0;0.0;0.38628853181876605;0.4271650957775386;0.0;0.0;0.4591358901694286;0.3397981013859791;0.0;0.0;0.24144465527250797;0.0;0.4484013608882741;0.3400433042889998;0.18770397382927437;0.0;0.21155966616853988;0.31159975680944013;0.3260545037969092;0.0;0.0;0.0;0.1577943644852448;0.0;0.0;0.0;0.37050701657126583;0.21024513922526464;0.18779134840159015;0.1254508145286192;0.17589105857606083;0.4272163973239071;0.0;0.0;0.4087196044740098;0.24855684463961586;0.17618574582740604;0.42556328542903243;0.3033204006719422;0.30332235158206944;0.6722622962184782;0.38708156638707675;0.48426315274693427;0.24734810843537913;0.19685640402392784;0.19685812319011384;0.0;0.4484013608882741;0.302217260280936;0.1874365911405487;0.0;0.2561824076821045;0.0;0.36966354992491257;0.24854891645357277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4270870174105739;0.2492374543732337;0.30212332266623243;0.0;0.0;0.2652183369276645;0.2824961231862722;0.0;0.4255741159563459;0.17902528677748955;0.0;0.0;0.0;0.0;0.25662280700808765;0.3864538607398366;0.38723912126554577;0.15275932744178913;0.0;0.172612775443795;0.0;0.2857066019669728;0.0;0.0;0.0;0.0;0.0;0.0;0.261147721570177;0.35461661927370247;0.13828351841320347;0.0;0.5401130859331997;0.48426092198119886;0.0
GO:0007257;0.09779927090732045;0.12475768703186241;0.0;0.0;0.0;0.9716267616140897;0.10519000451975737;1.0;0.0;0.0;0.10044028126470485;0.283123372271271;0.4822106686026735;0.1964926244533119;0.0;0.0;0.31371865573680424;0.0;0.12081740642941231;0.0;0.28568217008704966;0.1329887846085654;0.15221830364635178;0.0;0.0;0.12361343913475492;0.0;0.0;0.0;0.3916882487123435;0.17186010043868724;0.1313669718684697;0.0;0.10786905450642767;0.0;0.12974735775986937;0.12363797201050382;0.1876890449971787;0.19136520786938788;0.0;0.07472169202005846;0.1329887846085654;0.0;0.13298887248659486;0.0;0.19111355496705262;0.12964398948159667;0.0;0.0;0.0;0.12969191497247481;0.0;0.0;0.18120091505150301;0.07661820321329375;0.11296584814129447;0.0;0.0;0.16047133129552527;0.10388277723704124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.248147358307872;0.17899721083290204;0.4006332258670966;0.41534976831895265;0.0;0.0;0.09819082145819548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14769174544137006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41239003905177873;0.0;0.0;0.12969023767666535;0.13311277345695824;0.0;0.0;0.10238091226889108;0.3429019115050066;0.0;0.0;0.1554187163842223;0.0;0.13470376953499183;0.14963795934466398;0.2775136271226986;0.0;0.14769498145449306;0.12184314183699708;0.3632282904598954;0.0;0.0;0.0;0.06300566968546714;0.0;0.0;0.0;0.12822277496343368;0.18922211745991563;0.2575967811019277;0.48598120430021313;0.23193401420001078;0.1852384919492265;0.0;0.0;0.12367709056378931;0.15708269337680839;0.3079216306645103;0.132987938177327;0.16811468586193998;0.12081143573930388;0.1297176572513436;0.12976166850578816;0.10388277723704124;0.1793140865266087;0.5961041631557745;0.3413564858208252;0.0;0.13470376953499183;0.11175950786575169;0.14043807228668614;0.0;0.20375986903644103;0.0;0.2287997000435539;0.1128820287058779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13310670480226117;0.2232426554836563;0.26172661467578257;0.0;0.0;0.16075321944096865;0.3470018470741483;0.0;0.1329887846085654;0.5403959255457599;0.0;0.0;0.0;0.0;0.35798318535901835;0.12970514700341362;0.23141149007432768;0.18217812426154306;0.0;0.19286155451909692;0.0;0.1299873106182;0.0;0.0;0.0;0.0;0.0;0.0;0.13749224887452213;0.1266509398292132;0.8406521695520256;0.0;0.11656563487779766;0.12980423004117747;0.0
GO:0008344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2599230122597766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.478547767734714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37069082924732666;0.0;0.0;0.4235501054026188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3127541477172481;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4497606747617865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3532955322660205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39454842534345486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1903401;0.0;0.0;0.0;0.0;0.8652779375332416;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.34825240737337254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26293428030247323;0.2978669774964762;0.0;0.447669264304833;0.26527265086181656;0.0;0.0;0.0;0.0;0.2625889808621049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33155126868540846;0.0;0.0;0.0;0.0;0.0;0.0;0.18084073208079512;0.0;0.3243186047220112;0.2764549417832518;0.0;0.1595929867019217;0.0;0.0;0.0;0.0;0.0;0.0;0.20068608138696678;0.0;0.0;0.0;0.26952104982049135;0.8792612904437036;0.31792409728962934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2701010793063705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24600758182095125;0.16856426735607946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3570303777738905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9275841266050443;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20094364419368158;0.0;0.0;0.0;0.24320929154048918;0.22799286728573265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16319154398147415;0.0;0.0;0.0;0.0;0.2849897907185116;0.0;0.0;0.0
