;GO:0060333;GO:0043312;GO:0042102;GO:2001190;GO:0002399;GO:0002503;GO:0045089;GO:0045087;GO:0032729;GO:0016045;GO:0001916;GO:0071346;GO:0019886;GO:0050852
GO:0060333;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.125;0.125;0.125;0.0;0.13333333333333333;0.0;0.1111111111111111;0.13333333333333333;0.0;0.10526315789473684
GO:0043312;0.1111111111111111;1.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.26666666666666666;0.0;0.0;0.0;0.11764705882352941;0.25;0.09523809523809523
GO:0042102;0.1111111111111111;0.0;1.0;0.9;0.0;0.0;0.5555555555555556;0.0;0.47058823529411764;0.0;0.4;0.0;0.0;0.09523809523809523
GO:2001190;0.1111111111111111;0.0;0.9;1.0;0.0;0.0;0.6666666666666666;0.0;0.47058823529411764;0.0;0.6;0.0;0.0;0.5714285714285714
GO:0002399;0.125;0.1111111111111111;0.0;0.0;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.10526315789473684
GO:0002503;0.125;0.1111111111111111;0.0;0.0;0.125;1.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.10526315789473684
GO:0045089;0.125;0.0;0.5555555555555556;0.6666666666666666;0.0;0.0;1.0;0.0;0.5333333333333333;0.0;0.6666666666666666;0.0;0.0;0.631578947368421
GO:0045087;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.3333333333333333;0.36363636363636365;0.125
GO:0032729;0.13333333333333333;0.0;0.47058823529411764;0.47058823529411764;0.0;0.0;0.5333333333333333;0.0;1.0;0.0;0.47058823529411764;0.0;0.0;0.1111111111111111
GO:0016045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;1.0;0.0;0.14285714285714285;0.0;0.0
GO:0001916;0.1111111111111111;0.0;0.4;0.6;0.0;0.0;0.6666666666666666;0.0;0.47058823529411764;0.0;1.0;0.0;0.0;0.09523809523809523
GO:0071346;0.13333333333333333;0.11764705882352941;0.0;0.0;0.13333333333333333;0.13333333333333333;0.0;0.3333333333333333;0.0;0.14285714285714285;0.0;1.0;0.0;0.1111111111111111
GO:0019886;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;1.0;0.11764705882352941
GO:0050852;0.10526315789473684;0.09523809523809523;0.09523809523809523;0.5714285714285714;0.10526315789473684;0.10526315789473684;0.631578947368421;0.125;0.1111111111111111;0.0;0.09523809523809523;0.1111111111111111;0.11764705882352941;1.0
