;GO:0060333;GO:0043312;GO:0042102;GO:2001190;GO:0002399;GO:0002503;GO:0045089;GO:0045087;GO:0032729;GO:0016045;GO:0001916;GO:0071346;GO:0019886;GO:0050852
GO:0060333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.16666666666666666;0.0
GO:0042102;0.0;0.0;1.0;0.7777777777777778;0.0;0.0;0.4;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.0
GO:2001190;0.0;0.0;0.7777777777777778;1.0;0.0;0.0;0.7142857142857143;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.45454545454545453
GO:0002399;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0002503;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045089;0.0;0.0;0.4;0.7142857142857143;0.0;0.0;1.0;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.45454545454545453
GO:0045087;0.0;0.25;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.25;0.14285714285714285;0.0
GO:0032729;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;1.0;0.0;0.3333333333333333;0.0;0.0;0.0
GO:0016045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
GO:0001916;0.0;0.0;0.2727272727272727;0.5;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;1.0;0.0;0.0;0.0
GO:0071346;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;1.0;0.0;0.0
GO:0019886;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;1.0;0.0
GO:0050852;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;1.0
