;GO:0060333;GO:0043312;GO:0042102;GO:2001190;GO:0002399;GO:0002503;GO:0045089;GO:0045087;GO:0032729;GO:0016045;GO:0001916;GO:0071346;GO:0019886;GO:0050852
GO:0060333;1.0;0.0714285714285714;0.11428571428571432;0.12121212121212122;0.1333333333333333;0.1333333333333333;0.1578947368421053;0.0;0.2142857142857143;0.0;0.09375;0.11764705882352944;0.0;0.31818181818181823
GO:0043312;0.0714285714285714;1.0;0.0;0.0;0.06896551724137934;0.06896551724137934;0.0;0.07692307692307687;0.0;0.0;0.0;0.06451612903225812;0.0714285714285714;0.07499999999999996
GO:0042102;0.11428571428571432;0.0;1.0;0.5789473684210527;0.0;0.0;0.15384615384615385;0.0;0.11111111111111116;0.0;0.11538461538461542;0.0;0.0;0.15555555555555556
GO:2001190;0.12121212121212122;0.0;0.5789473684210527;1.0;0.0;0.0;0.303030303030303;0.0;0.11764705882352944;0.0;0.2727272727272727;0.0;0.0;0.28205128205128205
GO:0002399;0.1333333333333333;0.06896551724137934;0.0;0.0;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0714285714285714
GO:0002503;0.1333333333333333;0.06896551724137934;0.0;0.0;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0714285714285714
GO:0045089;0.1578947368421053;0.0;0.15384615384615385;0.303030303030303;0.0;0.0;1.0;0.0;0.21052631578947367;0.0;0.32258064516129037;0.0;0.0;0.4
GO:0045087;0.0;0.07692307692307687;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.125;0.0;0.1333333333333333;0.16666666666666663;0.07999999999999996
GO:0032729;0.2142857142857143;0.0;0.11111111111111116;0.11764705882352944;0.0;0.0;0.21052631578947367;0.0;1.0;0.0;0.125;0.0;0.0;0.15384615384615385
GO:0016045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;1.0;0.0;0.09523809523809523;0.0;0.0
GO:0001916;0.09375;0.0;0.11538461538461542;0.2727272727272727;0.0;0.0;0.32258064516129037;0.0;0.125;0.0;1.0;0.0;0.0;0.26315789473684215
GO:0071346;0.11764705882352944;0.06451612903225812;0.0;0.0;0.11111111111111116;0.11111111111111116;0.0;0.1333333333333333;0.0;0.09523809523809523;0.0;1.0;0.0;0.06666666666666665
GO:0019886;0.0;0.0714285714285714;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;1.0;0.07407407407407407
GO:0050852;0.31818181818181823;0.07499999999999996;0.15555555555555556;0.28205128205128205;0.0714285714285714;0.0714285714285714;0.4;0.07999999999999996;0.15384615384615385;0.0;0.26315789473684215;0.06666666666666665;0.07407407407407407;1.0
