;GO:0060333;GO:0043312;GO:0042102;GO:2001190;GO:0002399;GO:0002503;GO:0045089;GO:0045087;GO:0032729;GO:0016045;GO:0001916;GO:0071346;GO:0019886;GO:0050852
GO:0060333;1.0;0.03149029001883324;0.08713252900164851;0.06402661477420833;0.018776381659602992;0.020229786453611134;0.0846623188659235;0.0;0.07378128477518767;0.0;0.06835477083494007;0.026632860692546924;0.0;0.38241467520509564
GO:0043312;0.03149029001883324;1.0;0.0;0.0;0.021458197157809184;0.023377650108166555;0.0;0.5763566826339191;0.0;0.0;0.0;0.032371427293711334;0.46040883210092143;0.4717157228564273
GO:0042102;0.08713252900164851;0.0;1.0;0.6286604633888265;0.0;0.0;0.6020812349204316;0.0;0.20753373548653717;0.0;0.4831270139370482;0.0;0.0;0.5560033032687038
GO:2001190;0.06402661477420833;0.0;0.6286604633888265;1.0;0.0;0.0;0.47487018460987523;0.0;0.1529466885477094;0.0;0.5806675077932322;0.0;0.0;0.44853043919198377
GO:0002399;0.018776381659602992;0.021458197157809184;0.0;0.0;1.0;0.32842846382687974;0.0;0.0;0.0;0.0;0.0;0.019086148747820098;0.0;0.019454633959398688
GO:0002503;0.020229786453611134;0.023377650108166555;0.0;0.0;0.32842846382687974;1.0;0.0;0.0;0.0;0.0;0.0;0.020589825016054882;0.0;0.02101931183919318
GO:0045089;0.0846623188659235;0.0;0.6020812349204316;0.47487018460987523;0.0;0.0;1.0;0.0;0.22887994414148047;0.0;0.5884901873606063;0.0;0.0;0.6870392687550173
GO:0045087;0.0;0.5763566826339191;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.20762681231309682;0.0;0.2657269783409543;0.47005993781667466;0.4818518981841961
GO:0032729;0.07378128477518767;0.0;0.20753373548653717;0.1529466885477094;0.0;0.0;0.22887994414148047;0.0;1.0;0.0;0.18522704914664065;0.0;0.0;0.2120585675039368
GO:0016045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20762681231309682;0.0;1.0;0.0;0.17810145312712106;0.0;0.0
GO:0001916;0.06835477083494007;0.0;0.4831270139370482;0.5806675077932322;0.0;0.0;0.5884901873606063;0.0;0.18522704914664065;0.0;1.0;0.0;0.0;0.5485679900496773
GO:0071346;0.026632860692546924;0.032371427293711334;0.0;0.0;0.019086148747820098;0.020589825016054882;0.0;0.2657269783409543;0.0;0.17810145312712106;0.0;1.0;0.0;0.02801839531507386
GO:0019886;0.0;0.46040883210092143;0.0;0.0;0.0;0.0;0.0;0.47005993781667466;0.0;0.0;0.0;0.0;1.0;0.3980460038213874
GO:0050852;0.38241467520509564;0.4717157228564273;0.5560033032687038;0.44853043919198377;0.019454633959398688;0.02101931183919318;0.6870392687550173;0.4818518981841961;0.2120585675039368;0.0;0.5485679900496773;0.02801839531507386;0.3980460038213874;1.0
