;GO:0090179;GO:0032693;GO:1902950;GO:0090251;GO:0002322;GO:0002755;GO:0002316;GO:0043031;GO:0001942;GO:0051482;GO:0002638;GO:0072540;GO:0071219;GO:1905184;GO:0019886;GO:0032720;GO:0050710;GO:0043318;GO:0007186;GO:1902564;GO:0050729;GO:0045577;GO:0007266;GO:0006898;GO:0032956;GO:0002689;GO:0002922;GO:0002605;GO:0002924;GO:0030890;GO:0010469;GO:0031666;GO:0050766;GO:0050765;GO:0035025;GO:0038096;GO:0002300;GO:0030889;GO:0032740;GO:0050859;GO:0034163;GO:0034166;GO:0035690;GO:0050707;GO:1904646;GO:0007166;GO:0043410;GO:1905898;GO:1901216;GO:0002224;GO:0002622;GO:0009617;GO:0071222;GO:0002305;GO:0001811;GO:0045087;GO:0046330;GO:0016064;GO:0045088;GO:0001814;GO:2001199
GO:0090179;1.0;0.31612217880125626;0.3372158848588924;0.0;0.15303766195392973;0.33160396803719405;0.14261220896973262;0.3037170016354528;0.0;0.20283148446931284;0.24753344726303092;0.18016181507590356;0.17286188724950205;0.18297937402386333;0.0;0.3010565615951937;0.262697510236008;0.14904277335463248;0.5147879670452528;0.3038547412398016;0.23874819722338908;0.4252842371006642;0.4770300351967522;0.0;0.34475998695524157;0.23269085118902294;0.24442100413658935;0.26053084799427007;0.17866995745262892;0.23795220709707654;0.33108830698082387;0.25273087875316036;0.28811889781653444;0.2890106432873006;0.25214839816996676;0.3752680518601334;0.1491044711549537;0.23896170208535625;0.31563975208342154;0.2579087686913924;0.2948514429526201;0.33174710508961464;0.1920359374806012;0.3315642643470548;0.14425223325777453;0.5728436739107393;0.17774898220109883;0.3154140583386245;0.3329596373190879;0.3371431537948669;0.2363446972114499;0.0;0.1440473751290248;0.15537407047884771;0.14598730790756248;0.0;0.16066569870399713;0.0;0.2652786843261271;0.12847001893348806;0.3887709049221847
GO:0032693;0.31612217880125626;1.0;0.4047723056911437;0.0;0.0;0.23156737022351426;0.0;0.42796814336917627;0.0;0.18618156081865286;0.4741185146007916;0.0;0.0;0.1738583047200557;0.0;0.7835650196212868;0.4672464453334049;0.16804381423394985;0.43943953155817383;0.4282574878118619;0.36149814294207067;0.3819973263120107;0.38935951975788247;0.0;0.4192270278034952;0.2941478423841993;0.3746645742742479;0.5136680077186111;0.29728322313718447;0.24423448112348525;0.39330287429475724;0.26512305725495033;0.3190939010281336;0.39779839418275637;0.26428234073643037;0.2364178097983146;0.0;0.3048442403322434;0.5812511810311043;0.3383883264984315;0.3300503540957991;0.2317002654920628;0.0;0.4438142702061716;0.0;0.4385213700594412;0.16770329141820117;0.36501703313548933;0.396780311245044;0.23673792910884578;0.3560162064008189;0.0;0.0;0.0;0.2286541498423293;0.0;0.14818849055402078;0.0;0.42600808992087863;0.19508363800981676;0.4593996315985034
GO:1902950;0.3372158848588924;0.4047723056911437;1.0;0.0;0.0;0.30182848196194434;0.0;0.4479211929571248;0.0;0.18462294917886468;0.377588313918367;0.0;0.0;0.22700992892327673;0.0;0.37540516510372246;0.29523547493506014;0.17700743740903407;0.5691568261629413;0.44822084508864946;0.3575205190738264;0.4068164177753622;0.5050618472765163;0.0;0.6334021956984698;0.3088760747565252;0.3703936406410162;0.40868938676399;0.23778720210359225;0.3182158120502785;0.5101158360308923;0.3452114977647715;0.4835842388815098;0.48574199468214974;0.34412564928464884;0.30810495168306334;0.0;0.32002377751252103;0.40380750715840585;0.35494512861559163;0.4289019435747749;0.3020004732552188;0.0;0.4059353521461301;0.0;0.567983470069763;0.21901448368640866;0.4738365132078366;0.5145716772839362;0.3085191206903861;0.3521576613129679;0.0;0.0;0.0;0.1832025434575802;0.0;0.19364455820551976;0.0;0.4204949965332581;0.15643463605927568;0.35861159712867396
GO:0090251;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3191990284034535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0002322;0.15303766195392973;0.0;0.0;0.0;1.0;0.1823504912301732;0.6457031019854594;0.0;0.0;0.16065384782732672;0.0;0.22115498595810468;0.21025562761388153;0.0;0.1967677646511188;0.0;0.0;0.0;0.23453188747037024;0.0;0.0;0.0;0.2135502818969618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22722244670748773;0.38319934254101823;0.0;0.0;0.0;0.0;0.18244047550663056;0.2393198304652218;0.0;0.16939242326450632;0.23415737946201423;0.0;0.0;0.0;0.1858408762374787;0.0;0.0;0.16911000771986434;0.4023780995031061;0.0;0.20615355841451627;0.0;0.24837611146527638;0.0;0.0;0.0
GO:0002755;0.33160396803719405;0.23156737022351426;0.30182848196194434;0.0;0.1823504912301732;1.0;0.1709867826911261;0.3186135960001248;0.0;0.18607385536337212;0.26906826601353256;0.1611915014869848;0.15532290547493782;0.20449027047235507;0.13973324000021398;0.2216478314737066;0.20855881115967778;0.21157655148904114;0.45823172117915256;0.3187442848580176;0.49608531566366343;0.30002195690370953;0.4280714332163752;0.0;0.30785815211297846;0.2877923367339342;0.553869679252979;0.2816950047680748;0.2721376441665964;0.3307213884175425;0.3494743784854043;0.3555647280032994;0.3112912897243399;0.26262154031342977;0.3548112929457406;0.69370832288179;0.17807989457016166;0.2558931641004246;0.288520695398336;0.35340191808039045;0.523114581903531;0.9699481782567991;0.170631170662285;0.2583224908823206;0.13182982385749242;0.4577067671652212;0.2562132990737724;0.4801946631578405;0.35471188767270395;0.9845450301639883;0.35143060688440686;0.0;0.13165870866506146;0.18487789450318354;0.28166011759325443;0.14440197342427863;0.2570657462309618;0.13229628898849918;0.5335982177721659;0.24973508654883259;0.2763974434570557
GO:0002316;0.14261220896973262;0.0;0.0;0.0;0.6457031019854594;0.1709867826911261;1.0;0.0;0.19244402888547185;0.14920371135433505;0.0;0.3319872368911911;0.1910658233873492;0.0;0.17632903719853604;0.0;0.0;0.0;0.21090391552678234;0.0;0.0;0.0;0.19378263762768616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21282421747619704;0.6008418691075796;0.0;0.0;0.0;0.0;0.1710658987199225;0.2147677824604185;0.0;0.15671193546822934;0.21060101748273594;0.0;0.0;0.0;0.1740520390967729;0.0;0.0;0.1564701896388184;0.6284724921576463;0.0;0.1838290895001747;0.0;0.2242856068600306;0.0;0.0;0.0
GO:0043031;0.3037170016354528;0.42796814336917627;0.4479211929571248;0.0;0.0;0.3186135960001248;0.0;1.0;0.0;0.1653157603990621;0.5356383447470598;0.0;0.0;0.2113194054246687;0.0;0.40122813882695224;0.36719215954211654;0.38043464598561655;0.4798316223762926;0.88881214707609;0.3099428843041082;0.5258357285809119;0.43345680730713365;0.0;0.4613301858583768;0.46968656261124564;0.38661802731083783;0.5731715228541081;0.35569146607634944;0.4221098684247519;0.43717405162962725;0.3101877152913532;0.36524802808939544;0.5000913793957967;0.30931074167429345;0.32463255035941374;0.0;0.6586879906750048;0.3441409537022775;0.5324536392978749;0.4362510283691557;0.31877883042687727;0.0;0.3583553972954519;0.0;0.47899739544662034;0.2043741177433295;0.4102543981902442;0.44044262883982244;0.3250289370529676;0.3700833334048622;0.0;0.0;0.0;0.27999577531509373;0.0;0.1821102166193158;0.0;0.4309162384934446;0.24166018175374152;0.5373763111986989
GO:0001942;0.0;0.0;0.0;0.0;0.0;0.0;0.19244402888547185;0.0;1.0;0.0;0.0;0.28865732643393704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2068474419471774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22154498709599815;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051482;0.20283148446931284;0.18618156081865286;0.18462294917886468;0.0;0.16065384782732672;0.18607385536337212;0.14920371135433505;0.1653157603990621;0.0;1.0;0.1775205593307263;0.19081094463381482;0.18264209810981974;0.09755289916184112;0.0;0.17680833821384176;0.12074293600831087;0.07900426643746013;0.29525468718664394;0.16539468736778928;0.17087684567898215;0.1541948050988179;0.2723568724089318;0.0;0.18900221341709555;0.125113239095809;0.17516376955874685;0.18739875726983882;0.12614797289455348;0.1280576840889873;0.18107444181794835;0.13635687871203123;0.1564021463651831;0.15691044130046042;0.13602897878505799;0.18910677133603748;0.15632496822967576;0.12862324205153663;0.18588059230489554;0.139274596331991;0.16024358166269442;0.18615732249727632;0.20418237265245362;0.15394986050733037;0.15099979689541498;0.29485115959998814;0.09468019959749253;0.17203183360547072;0.18215733280298493;0.18930596687993406;0.1690638736937653;0.0;0.15077534049798064;0.16323055161991476;0.10231985637475186;0.0;0.0853329685810449;0.0;0.19102187916218127;0.08969116149748883;0.14036366412174034
