;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.005791764842280598;0.005791764842280598;0.0;0.023743746809502336;0.0;0.005791764842280598;0.0;0.0;0.0;0.0;0.005791764842280598
GO:0007286;0.005791764842280598;1.0;0.1903057311711186;0.0;0.021495212571878874;0.0;0.3904154996621416;0.0;0.0;0.0;0.0;0.04626498821526307
GO:0003382;0.005791764842280598;0.1903057311711186;1.0;0.0;0.021495212571878874;0.0;0.2918929813101488;0.0;0.0;0.0;0.0;0.24136020263656002
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.16682451854889957;0.0;0.9870503802091622;0.13356406145528946;0.05596381504268353;0.05108823232072343;0.0
GO:0006693;0.023743746809502336;0.021495212571878874;0.021495212571878874;0.0;1.0;0.0;0.021495212571878874;0.0;0.0;0.0;0.0;0.021495212571878874
GO:1903507;0.0;0.0;0.0;0.16682451854889957;0.0;1.0;0.0;0.16682451854889957;0.48915451235117563;0.011947010725982997;0.08942540469018533;0.0
GO:0003334;0.005791764842280598;0.3904154996621416;0.2918929813101488;0.0;0.021495212571878874;0.0;1.0;0.0;0.0;0.0;0.0;0.09802776016950505
GO:0006357;0.0;0.0;0.0;0.9870503802091622;0.0;0.16682451854889957;0.0;1.0;0.13531635682768936;0.055239104915836015;0.05108823232072343;0.0
GO:0000122;0.0;0.0;0.0;0.13356406145528946;0.0;0.48915451235117563;0.0;0.13531635682768936;1.0;0.007474754431633435;0.04374284022303413;0.0
GO:0060816;0.0;0.0;0.0;0.05596381504268353;0.0;0.011947010725982997;0.0;0.055239104915836015;0.007474754431633435;1.0;0.02408050149978723;0.0
GO:0120094;0.0;0.0;0.0;0.05108823232072343;0.0;0.08942540469018533;0.0;0.05108823232072343;0.04374284022303413;0.02408050149978723;1.0;0.0
GO:0030036;0.005791764842280598;0.04626498821526307;0.24136020263656002;0.0;0.021495212571878874;0.0;0.09802776016950505;0.0;0.0;0.0;0.0;1.0
