;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.125;0.11764705882352941;0.0;0.2857142857142857;0.0;0.125;0.0;0.0;0.0;0.0;0.125
GO:0007286;0.125;1.0;0.15384615384615385;0.0;0.11764705882352941;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333
GO:0003382;0.11764705882352941;0.15384615384615385;1.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.3076923076923077
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.9;0.0;0.9523809523809523;0.9090909090909091;0.6;0.5;0.0
GO:0006693;0.2857142857142857;0.11764705882352941;0.1111111111111111;0.0;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.11764705882352941
GO:1903507;0.0;0.0;0.0;0.9;0.0;1.0;0.0;0.8571428571428571;0.9090909090909091;0.5;0.6;0.0
GO:0003334;0.125;0.16666666666666666;0.15384615384615385;0.0;0.11764705882352941;0.0;1.0;0.0;0.0;0.0;0.0;0.3333333333333333
GO:0006357;0.0;0.0;0.0;0.9523809523809523;0.0;0.8571428571428571;0.0;1.0;0.9565217391304348;0.5714285714285714;0.47619047619047616;0.0
GO:0000122;0.0;0.0;0.0;0.9090909090909091;0.0;0.9090909090909091;0.0;0.9565217391304348;1.0;0.5454545454545454;0.5454545454545454;0.0
GO:0060816;0.0;0.0;0.0;0.6;0.0;0.5;0.0;0.5714285714285714;0.5454545454545454;1.0;0.5;0.0
GO:0120094;0.0;0.0;0.0;0.5;0.0;0.6;0.0;0.47619047619047616;0.5454545454545454;0.5;1.0;0.0
GO:0030036;0.125;0.3333333333333333;0.3076923076923077;0.0;0.11764705882352941;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;1.0
