;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.05555555555555558;0.05555555555555558;0.0;0.15000000000000002;0.0;0.06060606060606055;0.0;0.0;0.0;0.0;0.06060606060606055
GO:0007286;0.05555555555555558;1.0;0.25;0.0;0.07692307692307687;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.1333333333333333
GO:0003382;0.05555555555555558;0.25;1.0;0.0;0.07692307692307687;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.3076923076923077
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.5333333333333333;0.0;0.9473684210526316;0.5;0.2857142857142857;0.29032258064516125;0.0
GO:0006693;0.15000000000000002;0.07692307692307687;0.07692307692307687;0.0;1.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.0;0.08695652173913049
GO:1903507;0.0;0.0;0.0;0.5333333333333333;0.0;1.0;0.0;0.5161290322580645;0.7777777777777778;0.15625;0.4285714285714286;0.0
GO:0003334;0.06060606060606055;0.5454545454545454;0.3076923076923077;0.0;0.08695652173913049;0.0;1.0;0.0;0.0;0.0;0.0;0.16666666666666663
GO:0006357;0.0;0.0;0.0;0.9473684210526316;0.0;0.5161290322580645;0.0;1.0;0.5277777777777778;0.2727272727272727;0.28125;0.0
GO:0000122;0.0;0.0;0.0;0.5;0.0;0.7777777777777778;0.0;0.5277777777777778;1.0;0.15384615384615385;0.34883720930232553;0.0
GO:0060816;0.0;0.0;0.0;0.2857142857142857;0.0;0.15625;0.0;0.2727272727272727;0.15384615384615385;1.0;0.1923076923076923;0.0
GO:0120094;0.0;0.0;0.0;0.29032258064516125;0.0;0.4285714285714286;0.0;0.28125;0.34883720930232553;0.1923076923076923;1.0;0.0
GO:0030036;0.06060606060606055;0.1333333333333333;0.3076923076923077;0.0;0.08695652173913049;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;1.0
