;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007286;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
GO:0003382;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.7777777777777778;0.0;0.8571428571428571;0.75;0.5;0.36363636363636365;0.0
GO:0006693;0.2857142857142857;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1903507;0.0;0.0;0.0;0.7777777777777778;0.0;1.0;0.0;0.7;0.8;0.3076923076923077;0.45454545454545453;0.0
GO:0003334;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.25
GO:0006357;0.0;0.0;0.0;0.8571428571428571;0.0;0.7;0.0;1.0;0.875;0.45454545454545453;0.3333333333333333;0.0
GO:0000122;0.0;0.0;0.0;0.75;0.0;0.8;0.0;0.875;1.0;0.4166666666666667;0.4166666666666667;0.0
GO:0060816;0.0;0.0;0.0;0.5;0.0;0.3076923076923077;0.0;0.45454545454545453;0.4166666666666667;1.0;0.2857142857142857;0.0
GO:0120094;0.0;0.0;0.0;0.36363636363636365;0.0;0.45454545454545453;0.0;0.3333333333333333;0.4166666666666667;0.2857142857142857;1.0;0.0
GO:0030036;0.0;0.25;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;1.0
