;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.03902359601974856;0.034193046740910726;0.0;0.16065553079700765;0.0;0.03001116373548947;0.0;0.0;0.0;0.0;0.048132350880017105
GO:0007286;0.03902359601974856;1.0;0.3138007754256426;0.0;0.024300719125728554;0.0;0.5082411031350308;0.0;0.0;0.0;0.0;0.030713321331483842
GO:0003382;0.034193046740910726;0.3138007754256426;1.0;0.0;0.022335769276650517;0.0;0.26423968646639934;0.0;0.0;0.0;0.0;0.23358026211952754
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.7370850539316253;0.0;0.9001107000255535;0.6726368454127089;0.24952561424417666;0.18822148458793048;0.0
GO:0006693;0.16065553079700765;0.024300719125728554;0.022335769276650517;0.0;1.0;0.0;0.020472313539169208;0.0;0.0;0.0;0.0;0.027547016903389104
GO:1903507;0.0;0.0;0.0;0.7370850539316253;0.0;1.0;0.0;0.6812899187067215;0.9285320516144532;0.1761540764712425;0.3232629916897667;0.0
GO:0003334;0.03001116373548947;0.5082411031350308;0.26423968646639934;0.0;0.020472313539169208;0.0;1.0;0.0;0.0;0.0;0.0;0.024841897401615937
GO:0006357;0.0;0.0;0.0;0.9001107000255535;0.0;0.6812899187067215;0.0;1.0;0.7648362735786254;0.24171518283212728;0.18267991990044588;0.0
GO:0000122;0.0;0.0;0.0;0.6726368454127089;0.0;0.9285320516144532;0.0;0.7648362735786254;1.0;0.21855449289231862;0.312997677682781;0.0
GO:0060816;0.0;0.0;0.0;0.24952561424417666;0.0;0.1761540764712425;0.0;0.24171518283212728;0.21855449289231862;1.0;0.10956185372488819;0.0
GO:0120094;0.0;0.0;0.0;0.18822148458793048;0.0;0.3232629916897667;0.0;0.18267991990044588;0.312997677682781;0.10956185372488819;1.0;0.0
GO:0030036;0.048132350880017105;0.030713321331483842;0.23358026211952754;0.0;0.027547016903389104;0.0;0.024841897401615937;0.0;0.0;0.0;0.0;1.0
