;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.14244099060543325;0.1416869634101989;0.0;0.3176820131334918;0.0;0.15190828882923751;0.0;0.0;0.0;0.0;0.15133150549988056
GO:0007286;0.14244099060543325;1.0;0.4456128620291812;0.0;0.1991496677631941;0.0;0.6987657852895263;0.0;0.0;0.0;0.0;0.3053609805685097
GO:0003382;0.1416869634101989;0.4456128620291812;1.0;0.0;0.1976788397215921;0.0;0.5049267689163223;0.0;0.0;0.0;0.0;0.5121277225051556
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.7054497744859306;0.0;0.9780985237735494;0.7175189537733038;0.47208619255432094;0.4928670094868047;0.0
GO:0006693;0.3176820131334918;0.1991496677631941;0.1976788397215921;0.0;1.0;0.0;0.21815878231930683;0.0;0.0;0.0;0.0;0.2169711647969179
GO:1903507;0.0;0.0;0.0;0.7054497744859306;0.0;1.0;0.0;0.6926891981571077;0.8892741199233707;0.3173339901368905;0.6250714086937722;0.0
GO:0003334;0.15190828882923751;0.6987657852895263;0.5049267689163223;0.0;0.21815878231930683;0.0;1.0;0.0;0.0;0.0;0.0;0.3524501264427449
GO:0006357;0.0;0.0;0.0;0.9780985237735494;0.0;0.6926891981571077;0.0;1.0;0.7377982528375002;0.4584830489829392;0.48273413445033286;0.0
GO:0000122;0.0;0.0;0.0;0.7175189537733038;0.0;0.8892741199233707;0.0;0.7377982528375002;1.0;0.3102457666920868;0.5488103553333405;0.0
GO:0060816;0.0;0.0;0.0;0.47208619255432094;0.0;0.3173339901368905;0.0;0.4584830489829392;0.3102457666920868;1.0;0.3747978793738604;0.0
GO:0120094;0.0;0.0;0.0;0.4928670094868047;0.0;0.6250714086937722;0.0;0.48273413445033286;0.5488103553333405;0.3747978793738604;1.0;0.0
GO:0030036;0.15133150549988056;0.3053609805685097;0.5121277225051556;0.0;0.2169711647969179;0.0;0.3524501264427449;0.0;0.0;0.0;0.0;1.0
