;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.8;0.8;0.0;0.5356143810225276;0.0;0.8;0.0;0.0;0.0;0.0;0.6000000000000001
GO:0007286;0.8;1.0;0.8;0.0;0.43852901558847923;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688
GO:0003382;0.8;0.8;1.0;0.0;0.43852901558847923;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.8;0.0;1.0;0.8;0.5356143810225276;0.43852901558847923;0.0
GO:0006693;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.0;1.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376
GO:1903507;0.0;0.0;0.0;0.8;0.0;1.0;0.0;0.6830074998557688;0.8;0.3660149997115376;0.48300749985576874;0.0
GO:0003334;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;1.0;0.0;0.0;0.0;0.0;0.6830074998557688
GO:0006357;0.0;0.0;0.0;1.0;0.0;0.6830074998557688;0.0;1.0;1.0;0.48300749985576874;0.4;0.0
GO:0000122;0.0;0.0;0.0;0.8;0.0;0.8;0.0;1.0;1.0;0.43852901558847923;0.43852901558847923;0.0
GO:0060816;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;1.0;0.3356143810225276;0.0
GO:0120094;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.4;0.43852901558847923;0.3356143810225276;1.0;0.0
GO:0030036;0.6000000000000001;0.6830074998557688;0.6830074998557688;0.0;0.3660149997115376;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;1.0
