;GO:0006351;GO:0007286;GO:0003382;GO:0006355;GO:0006693;GO:1903507;GO:0003334;GO:0006357;GO:0000122;GO:0060816;GO:0120094;GO:0030036
GO:0006351;1.0;0.4928671133341394;0.5265264433039731;0.0;0.47838270794629606;0.0;0.4928671133341394;0.0;0.0;0.0;0.0;0.5090943622916455
GO:0007286;0.4928671133341394;1.0;0.5337928711680304;0.0;0.28046579049477405;0.0;0.591142980462551;0.0;0.0;0.0;0.0;0.43460826002510505
GO:0003382;0.5265264433039731;0.5337928711680304;1.0;0.0;0.3141251204646079;0.0;0.5337928711680304;0.0;0.0;0.0;0.0;0.5598918736878684
GO:0006355;0.0;0.0;0.0;1.0;0.0;0.8002722955442101;0.0;0.8900589815394991;0.7877424714314065;0.5583123971222668;0.47166417225866275;0.0
GO:0006693;0.47838270794629606;0.28046579049477405;0.3141251204646079;0.0;1.0;0.0;0.28046579049477405;0.0;0.0;0.0;0.0;0.33898433280720924
GO:1903507;0.0;0.0;0.0;0.8002722955442101;0.0;1.0;0.0;0.7499375072740333;0.8253384804477917;0.40126448761361405;0.5119483814920989;0.0
GO:0003334;0.4928671133341394;0.591142980462551;0.5337928711680304;0.0;0.28046579049477405;0.0;1.0;0.0;0.0;0.0;0.0;0.43460826002510505
GO:0006357;0.0;0.0;0.0;0.8900589815394991;0.0;0.7499375072740333;0.0;1.0;0.8553921965369784;0.5276076652176025;0.4463057405080198;0.0
GO:0000122;0.0;0.0;0.0;0.7877424714314065;0.0;0.8253384804477917;0.0;0.8553921965369784;1.0;0.4652673289343216;0.4791605593099554;0.0
GO:0060816;0.0;0.0;0.0;0.5583123971222668;0.0;0.40126448761361405;0.0;0.5276076652176025;0.4652673289343216;1.0;0.27592986841585887;0.0
GO:0120094;0.0;0.0;0.0;0.47166417225866275;0.0;0.5119483814920989;0.0;0.4463057405080198;0.4791605593099554;0.27592986841585887;1.0;0.0
GO:0030036;0.5090943622916455;0.43460826002510505;0.5598918736878684;0.0;0.33898433280720924;0.0;0.43460826002510505;0.0;0.0;0.0;0.0;1.0
