;GO:0070904;GO:0040015;GO:0015851;GO:0036510;GO:1903441;GO:0015031;GO:0006486;GO:0043001;GO:0042311;GO:0045444;GO:0045345;GO:0045944;GO:0040018;GO:0045348;GO:0000122;GO:0006814;GO:0032966;GO:0036509;GO:0031497;GO:0016310;GO:0019886;GO:0032402;GO:0038108;GO:0015882;GO:0060333;GO:0006351;GO:0006491;GO:0060296;GO:1905515;GO:0007288;GO:0006139;GO:0006357;GO:0010629;GO:0006888;GO:0002503;GO:0014824;GO:0019852;GO:0030433;GO:0036511;GO:1904382;GO:0036512
GO:0070904;1.0;0.0;0.530075462978132;0.0;0.3065175841999021;0.55726591822698;0.0;0.4171204569862216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4495075746132261;0.0;0.0;0.0;0.0;0.0;0.37879105389041695;0.0;0.6930230424127137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40559360845207754;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0040015;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081077407918524;0.0;0.22276469551520156;0.320732587609942;0.7851474704628364;0.22276469551520156;0.39641953506238276;0.0;0.34054524358505184;0.0;0.0;0.0;0.0;0.0;0.31788400659563526;0.0;0.25970968871610917;0.0;0.0;0.27653935370102606;0.0;0.0;0.0;0.36364056026522995;0.47268754949772657;0.0;0.0;0.2715886299751829;0.0;0.0;0.0;0.0;0.0
GO:0015851;0.530075462978132;0.0;1.0;0.0;0.3766960249864054;0.6778141667374102;0.0;0.5316675844296488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4735551005194906;0.0;0.0;0.0;0.0;0.0;0.4489694946769202;0.0;0.47046923278780794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4757720492385808;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0036510;0.0;0.0;0.0;1.0;0.0;0.0;0.47880817253881014;0.0;0.0;0.21544161831826303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7603417023523814;0.2689185607807169;0.34491897410276096;0.0;0.0;0.20858484291008988;0.0;0.20858484291008988;0.4224770762798594;0.5611417762397162;0.0;0.19457357436122563;0.20858484291008988;0.4524580662022137;0.0;0.0;0.0;0.20858484291008988;0.0;0.28641347344832485;0.3683210144805833;0.7603417023523814;0.6952269629999923;0.7603417023523814
GO:1903441;0.3065175841999021;0.0;0.3766960249864054;0.0;1.0;0.584514373126115;0.0;0.6100968682452862;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3269618724702284;0.0;0.0;0.0;0.0;0.0;0.4383116330649008;0.0;0.29250631565103785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4383116330649008;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015031;0.55726591822698;0.0;0.6778141667374102;0.0;0.584514373126115;1.0;0.0;0.7847595697756491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5139191750314898;0.0;0.0;0.0;0.0;0.0;0.5357661801160922;0.0;0.5078021266759029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5357661801160922;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006486;0.0;0.0;0.0;0.47880817253881014;0.0;0.0;1.0;0.0;0.0;0.4396067145825098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47880817253881014;0.5413760714668954;0.5562927843542114;0.0;0.0;0.4810423535962684;0.0;0.4810423535962684;0.6794458481727697;0.5879311631542732;0.0;0.4810423535962684;0.4810423535962684;0.709426838095124;0.0;0.0;0.0;0.4810423535962684;0.0;0.49778728369977515;0.6079748495380983;0.47880817253881014;0.6033669330734798;0.47880817253881014
GO:0043001;0.4171204569862216;0.0;0.5316675844296488;0.0;0.6100968682452862;0.7847595697756491;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38326133151699665;0.0;0.0;0.0;0.0;0.0;0.4383116330649008;0.0;0.3748291636312926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6398740606927407;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042311;0.0;0.3081077407918524;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2711627475909448;0.3691306396856852;0.3081077407918524;0.2711627475909448;0.3538395936299364;0.0;0.28847768442634;0.0;0.0;0.0;0.0;0.0;0.5302377443756963;0.0;0.432666501326522;0.0;0.0;0.47197244037702063;0.0;0.0;0.0;0.41203861234097316;0.4206199903390147;0.0;0.0;0.7283430762969413;0.0;0.0;0.0;0.0;0.0
GO:0045444;0.0;0.0;0.0;0.21544161831826303;0.0;0.0;0.4396067145825098;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21544161831826303;0.4044754142958038;0.39227966437664924;0.0;0.0;0.3441416964251768;0.0;0.3441416964251768;0.42462891975872014;0.3141251204646079;0.0;0.3173391418635162;0.4049393336688514;0.47148719372123576;0.0;0.0;0.0;0.3441416964251768;0.0;0.3185519013942973;0.3609713614100937;0.21544161831826303;0.3441416964251768;0.21544161831826303
GO:0045345;0.0;0.22276469551520156;0.0;0.0;0.0;0.0;0.0;0.0;0.2711627475909448;0.0;1.0;0.5767772370347413;0.3166183446805923;0.5652181296919856;0.47839150995077845;0.0;0.37818214122952454;0.0;0.0;0.0;0.0;0.0;0.22276469551520156;0.0;0.22276469551520156;0.0;0.0;0.23959436050011845;0.0;0.0;0.0;0.5437630268579635;0.4971784118609903;0.0;0.0;0.2346436367742753;0.0;0.0;0.0;0.0;0.0
