id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008150	biological_process	755	0.00	0.00	0.00	0.00
GO:0032502	developmental process	191	0.22	0.11	1.89	3.37
GO:0071704	organic substance metabolic process	334	0.15	0.20	2.26	6.41
GO:0009987	cellular process	672	0.09	0.05	0.84	3.37
GO:0065008	regulation of biological quality	181	0.28	0.26	3.48	4.47
GO:0043393	regulation of protein binding	14	0.59	0.55	7.49	9.33
GO:0010595	positive regulation of endothelial cell migration	8	0.83	0.81	9.49	298.63
GO:0050789	regulation of biological process	570	0.09	0.17	1.80	4.47
GO:0050896	response to stimulus	309	0.25	0.12	2.65	3.37
GO:0032507	maintenance of protein location in cell	7	0.68	0.63	8.41	43.86
GO:0051234	establishment of localization	284	0.28	0.26	3.49	5.67
GO:0034613	cellular protein localization	46	0.45	0.48	6.33	26.83
