;GO:0008380;GO:0090336;GO:1990090;GO:0015031;GO:0007179;GO:0006487;GO:0045721;GO:0006686;GO:0043547;GO:0000188;GO:0050873;GO:0050796;GO:0002710;GO:0032966;GO:0071333;GO:0044320;GO:0010976;GO:0032486;GO:0030148;GO:0033210;GO:0050728;GO:0006491;GO:0043312;GO:0000226;GO:0038180;GO:0030217;GO:0006888;GO:0045860;GO:0010507;GO:0071320;GO:2001214;GO:0010469;GO:0098868;GO:0019953;GO:0090114;GO:0043123;GO:0008203;GO:0046513;GO:1901888;GO:0000122;GO:0051346;GO:0097421;GO:0000281;GO:0048024;GO:0016310;GO:0035335;GO:1905451;GO:2001242;GO:0044829;GO:0035690;GO:0044828;GO:0006351;GO:0006112;GO:0006355;GO:0046326;GO:0006397;GO:0061028;GO:0050860;GO:0044791;GO:0071222;GO:0046330;GO:0043066;GO:0070374;GO:0006909;GO:0050868;GO:0070972;GO:2000301
GO:0008380;1.0;0.0;0.07407407407407407;0.0;0.08695652173913049;0.3076923076923077;0.0;0.20512820512820518;0.0;0.0;0.09999999999999998;0.0;0.0;0.0;0.050000000000000044;0.07407407407407407;0.0;0.08695652173913049;0.2592592592592593;0.09090909090909094;0.0;0.38095238095238093;0.05555555555555558;0.09523809523809523;0.09090909090909094;0.07692307692307687;0.0;0.0;0.0;0.05714285714285716;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.21739130434782605;0.25;0.0;0.0;0.0;0.0;0.09999999999999998;0.0;0.2222222222222222;0.2962962962962963;0.0;0.0;0.0;0.09523809523809523;0.0;0.5172413793103448;0.21052631578947367;0.0;0.0;0.9411764705882353;0.09090909090909094;0.0;0.0;0.06060606060606055;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090336;0.0;1.0;0.0;0.0;0.2222222222222222;0.0;0.12121212121212122;0.0;0.09999999999999998;0.0625;0.0;0.13793103448275867;0.09677419354838712;0.1428571428571429;0.05405405405405406;0.0;0.33333333333333337;0.2222222222222222;0.0;0.23529411764705888;0.13636363636363635;0.0;0.0;0.0;0.23529411764705888;0.0;0.0;0.1333333333333333;0.16666666666666663;0.0;0.5;0.2222222222222222;0.0;0.0;0.0;0.25;0.0;0.0;0.2666666666666667;0.0888888888888889;0.11111111111111116;0.0;0.0;0.16666666666666663;0.0;0.0;0.15000000000000002;0.18181818181818177;0.12903225806451613;0.0;0.07692307692307687;0.0;0.0;0.14814814814814814;0.19047619047619047;0.0;0.0;0.13793103448275867;0.12121212121212122;0.0;0.10909090909090913;0.19999999999999996;0.12244897959183676;0.0;0.1333333333333333;0.0;0.08163265306122447
GO:1990090;0.07407407407407407;0.0;1.0;0.0;0.09999999999999998;0.06896551724137934;0.0;0.04761904761904767;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.25806451612903225;0.625;0.0;0.09999999999999998;0.06896551724137934;0.10526315789473684;0.0;0.08333333333333337;0.06060606060606055;0.11111111111111116;0.10526315789473684;0.08695652173913049;0.0;0.0;0.0;0.41666666666666663;0.0;0.0;0.0;0.0;0.09999999999999998;0.0;0.0;0.05714285714285716;0.0;0.0;0.0;0.0;0.11764705882352944;0.0;0.11764705882352944;0.06666666666666665;0.0;0.0;0.0;0.4285714285714286;0.0;0.05128205128205132;0.11111111111111116;0.0;0.0;0.0714285714285714;0.10526315789473684;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015031;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.2666666666666667;0.0
GO:0007179;0.08695652173913049;0.2222222222222222;0.09999999999999998;0.0;1.0;0.07999999999999996;0.13793103448275867;0.052631578947368474;0.125;0.06666666666666665;0.15384615384615385;0.16000000000000003;0.11111111111111116;0.17647058823529416;0.09375;0.09999999999999998;0.125;0.5;0.07999999999999996;0.7;0.16666666666666663;0.09999999999999998;0.06896551724137934;0.1428571428571429;0.7;0.10526315789473684;0.0;0.09302325581395354;0.19999999999999996;0.0714285714285714;0.18181818181818177;0.2857142857142857;0.0;0.0;0.125;0.18181818181818177;0.0;0.06451612903225812;0.36363636363636365;0.09756097560975607;0.1428571428571429;0.0;0.15384615384615385;0.19999999999999996;0.15384615384615385;0.07692307692307687;0.10526315789473684;0.2222222222222222;0.1071428571428571;0.1428571428571429;0.08571428571428574;0.05714285714285716;0.1428571428571429;0.17391304347826086;0.16666666666666663;0.08333333333333337;0.1333333333333333;0.16000000000000003;0.09999999999999998;0.07692307692307687;0.07547169811320753;0.25;0.08510638297872342;0.0;0.15384615384615385;0.0;0.0888888888888889
GO:0006487;0.3076923076923077;0.0;0.06896551724137934;0.0;0.07999999999999996;1.0;0.0;0.19512195121951215;0.0;0.0;0.09090909090909094;0.0;0.0;0.0;0.04761904761904767;0.06896551724137934;0.0;0.07999999999999996;0.2857142857142857;0.08333333333333337;0.0;0.55;0.052631578947368474;0.08695652173913049;0.08333333333333337;0.0714285714285714;0.0;0.0;0.0;0.05405405405405406;0.0;0.0;0.0;0.0;0.07999999999999996;0.0;0.15384615384615385;0.23529411764705888;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.19999999999999996;0.6818181818181819;0.0;0.0;0.0;0.08695652173913049;0.0;0.2432432432432432;0.19047619047619047;0.0;0.0;0.2962962962962963;0.08333333333333337;0.0;0.0;0.05714285714285716;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045721;0.0;0.12121212121212122;0.0;0.0;0.13793103448275867;0.0;1.0;0.0;0.06451612903225812;0.16176470588235292;0.0;0.09999999999999998;0.09756097560975607;0.2962962962962963;0.04166666666666663;0.0;0.08510638297872342;0.13793103448275867;0.0;0.1428571428571429;0.125;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.12727272727272732;0.3448275862068966;0.0;0.10810810810810811;0.13793103448275867;0.0;0.0;0.0;0.10810810810810811;0.0;0.0;0.15384615384615385;0.33333333333333337;0.06896551724137934;0.0;0.0;0.21875;0.0;0.0;0.07547169811320753;0.12121212121212122;0.06976744186046513;0.0;0.08163265306122447;0.0;0.0;0.2727272727272727;0.09090909090909094;0.0;0.0;0.1578947368421053;0.06666666666666665;0.0;0.10769230769230764;0.2068965517241379;0.11864406779661019;0.0;0.15384615384615385;0.0;0.10344827586206895
GO:0006686;0.20512820512820518;0.0;0.04761904761904767;0.0;0.052631578947368474;0.19512195121951215;0.0;1.0;0.0;0.0;0.05714285714285716;0.0;0.0;0.0;0.036363636363636376;0.04761904761904767;0.0;0.052631578947368474;0.5806451612903225;0.05405405405405406;0.0;0.2222222222222222;0.039215686274509776;0.05555555555555558;0.05405405405405406;0.04878048780487809;0.0;0.0;0.0;0.040000000000000036;0.0;0.0;0.0;0.0;0.052631578947368474;0.0;0.13157894736842102;0.71875;0.0;0.0;0.0;0.0;0.05714285714285716;0.0;0.19354838709677424;0.25;0.0;0.0;0.0;0.05555555555555558;0.0;0.25531914893617025;0.11764705882352944;0.0;0.0;0.19999999999999996;0.05405405405405406;0.0;0.0;0.04166666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043547;0.0;0.09999999999999998;0.0;0.0;0.125;0.0;0.06451612903225812;0.0;1.0;0.06666666666666665;0.0;0.07407407407407407;0.0714285714285714;0.11111111111111116;0.06060606060606055;0.0;0.05882352941176472;0.125;0.0;0.1333333333333333;0.10526315789473684;0.0;0.0;0.0;0.1333333333333333;0.0;0.0;0.14634146341463417;0.09090909090909094;0.0;0.08333333333333337;0.19999999999999996;0.0;0.0;0.0;0.08333333333333337;0.0;0.0;0.15384615384615385;0.046511627906976716;0.4545454545454546;0.0;0.0;0.09090909090909094;0.0;0.0;0.050000000000000044;0.09999999999999998;0.06896551724137934;0.0;0.05555555555555558;0.0;0.0;0.07999999999999996;0.10526315789473684;0.0;0.0;0.07407407407407407;0.06451612903225812;0.0;0.036363636363636376;0.11111111111111116;0.04081632653061229;0.0;0.0714285714285714;0.0;0.04255319148936165
GO:0000188;0.0;0.0625;0.0;0.0;0.06666666666666665;0.0;0.16176470588235292;0.0;0.06666666666666665;1.0;0.0;0.08695652173913049;0.08571428571428574;0.09999999999999998;0.025316455696202556;0.0;0.05128205128205132;0.06666666666666665;0.0;0.06779661016949157;0.09836065573770492;0.0;0.0;0.0;0.06779661016949157;0.0;0.0;0.29166666666666663;0.16666666666666663;0.0;0.05882352941176472;0.1636363636363637;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.07017543859649122;0.19736842105263153;0.1071428571428571;0.0;0.0;0.14754098360655743;0.0;0.0;0.09999999999999998;0.15254237288135597;0.04054054054054057;0.0;0.050000000000000044;0.0;0.0;0.140625;0.046875;0.0;0.0;0.2295081967213115;0.03947368421052633;0.0;0.2716049382716049;0.09999999999999998;0.29333333333333333;0.0;0.08571428571428574;0.0;0.11764705882352944
