;GO:0006281;GO:0030071;GO:0015031;GO:0043542;GO:0006886;GO:0090051;GO:0043547;GO:0006957;GO:0030100;GO:0016576;GO:0048280;GO:0045739;GO:0042509;GO:0050728;GO:0051260;GO:0045732;GO:0008631;GO:0007266;GO:0006897;GO:0048208;GO:0097498;GO:0006888;GO:0051056;GO:0006606;GO:0048013;GO:0031145;GO:0034498;GO:2000249;GO:0035023;GO:1901164;GO:0031063;GO:0043486;GO:0006465;GO:0097192;GO:0038096;GO:0030449;GO:0097345;GO:0019221;GO:0000082;GO:0033674;GO:0035335;GO:2001240;GO:0070979;GO:0006351;GO:0007162;GO:0090166;GO:0006470;GO:0006355;GO:0006357;GO:0097352;GO:0045087;GO:0048278;GO:0046330;GO:0043065;GO:0034314;GO:0030036
GO:0006281;1.0;0.0;0.0;0.030875276958773668;0.0;0.0;0.0;0.32585665505990874;0.0;0.1789660682801896;0.02619252379014657;0.0;0.0;0.0;0.03758374961699045;0.0;0.027275699398878514;0.03219866661225185;0.0;0.031152291004259557;0.0;0.0;0.0;0.0;0.031981235791999366;0.2111580143372461;0.0;0.0;0.0;0.0;0.0;0.030192500300619724;0.23690923795773913;0.02883136467709047;0.033900710072057756;0.0;0.025453083643177322;0.041659406633906854;0.032907507611776916;0.0;0.2362082841492757;0.0;0.20788944918518473;0.5295660249326735;0.0;0.024820095486495403;0.25744512245594675;0.0;0.0;0.028199491741890008;0.5021225235398139;0.031205611831238125;0.0;0.0;0.028199491741890008;0.03797536688498934
GO:0030071;0.0;1.0;0.0;0.0;0.0;0.07215231241751137;0.07439938964123731;0.06280175553415325;0.3907642252257186;0.0;0.0;0.07954526346593434;0.08229085002971953;0.07497401102816727;0.0;0.08003033272062951;0.07285624337220238;0.08330731195636878;0.0;0.0;0.0;0.0;0.09437957134484641;0.0;0.08285958679502796;0.0;0.0;0.43739666213148853;0.086830056090382;0.06651166323676952;0.6468159154211317;0.0;0.0;0.07623123284770177;0.08676967577241991;0.07503647303378602;0.052822937275244196;0.1016551186361573;0.0;0.10054813375135455;0.0;0.07720183802251195;0.0;0.0;0.09216974369073763;0.0;0.0;0.12574608428710113;0.12019114157979936;0.0;0.0;0.0;0.08658628899667808;0.10069601802814045;0.424177851899988;0.0
GO:0015031;0.0;0.0;1.0;0.0;0.9173363134244212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4664713011596796;0.0;0.0;0.40637461640059397;0.0;0.6555949560617478;0.0;0.0;0.2829278400425703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3180191833416929;0.0;0.0;0.0;0.0
GO:0043542;0.030875276958773668;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.02095457486752342;0.0219244514213844;0.0;0.0;0.0;0.029377560408496397;0.0;0.022678301329808703;0.025981092293562248;0.0;0.02529550849097741;0.0;0.0;0.0;0.0;0.025839341070215228;0.024050080532169962;0.0;0.0;0.0;0.0;0.0;0.024658996939799754;0.02257022405945305;0.023743499249571635;0.02707807335259364;0.0;0.0214039663591502;0.0318101320717703;0.026440655848864684;0.0;0.026344561571762744;0.0;0.023743499249571635;0.037269541997296644;0.0;0.02095457486752342;0.028216407092626603;0.0;0.0;0.023313297955699884;0.0;0.025330653526945083;0.0;0.0;0.023313297955699884;0.029616289931241487
GO:0006886;0.0;0.0;0.9173363134244212;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43375228608001487;0.0;0.0;0.6526958890597498;0.0;0.7305885552171874;0.0;0.0;0.4630971725529879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48470180178448546;0.0;0.0;0.0;0.0
GO:0090051;0.0;0.07215231241751137;0.0;0.0;0.0;1.0;0.06626531054079468;0.057596092668721496;0.3377239311702601;0.0;0.0;0.07226501256477742;0.07452389106923579;0.20599557405856564;0.0;0.07176468933161423;0.0667015471606305;0.07535656130497771;0.0;0.0;0.0;0.0;0.08430274745015102;0.0;0.07499003071932547;0.0;0.0;0.07032568474214707;0.0782273936490206;0.5656113254797565;0.06897882480977754;0.0;0.0;0.06951937510977287;0.07817838159810774;0.06772305822408559;0.04858838236676683;0.09006023801542805;0.0;0.08919029835188333;0.0;0.20361423102980059;0.0;0.0;0.23896446679424474;0.0;0.0;0.10847127866413263;0.10431251878312732;0.0;0.0;0.0;0.07802948104606024;0.08930664049508556;0.0683844064831006;0.0
GO:0043547;0.0;0.07439938964123731;0.0;0.0;0.0;0.06626531054079468;1.0;0.06540094416208042;0.08879544821766248;0.0;0.0;0.07455557650113201;0.07772179638533132;0.0811251899214207;0.0;0.08802388821543043;0.0670402788183961;0.0789063648141569;0.0;0.0;0.0;0.0;0.09226179591047269;0.0;0.07838376097920989;0.0;0.0;0.07189109180774839;0.0830645567000842;0.06016106975623799;0.07006911344045905;0.0;0.0;0.07079757782868144;0.08299258508890142;0.08120904598089139;0.0626292648902112;0.10151423202242452;0.0;0.7046168764798513;0.0;0.07189109180774839;0.0;0.0;0.08952827142276876;0.0;0.0;0.13521410455600924;0.12699241144655293;0.0;0.0;0.0;0.08277414429443436;0.10027178709291494;0.06927230410239224;0.0
GO:0006957;0.32585665505990874;0.06280175553415325;0.0;0.0;0.0;0.057596092668721496;0.06540094416208042;1.0;0.07131498989181748;0.18893492123121156;0.0;0.3150102942617914;0.2300430547472937;0.23728754998221963;0.0;0.19397728658072166;0.05810534075053931;0.0655589406128451;0.0;0.0;0.0;0.0;0.25984414551858426;0.0;0.065243684644765;0.21373819622838144;0.0;0.06122878520877092;0.2413398624561709;0.05348186882875756;0.06006840134022199;0.0;0.20196987881985473;0.06053416800930507;0.573740263525077;0.4632833091478468;0.04812204084235154;0.07817691117302042;0.0;0.21190873794796583;0.23166925537918756;0.21722192341008226;0.21131341796801228;0.1816782439008909;0.07172629679179864;0.0;0.2460207065741159;0.0938975655440559;0.09035414765915366;0.0;0.6436782302211692;0.0;0.3398415348562558;0.212181428723323;0.16298785651067277;0.0
GO:0030100;0.0;0.3907642252257186;0.0;0.0;0.0;0.3377239311702601;0.08879544821766248;0.07131498989181748;1.0;0.0;0.0;0.09175410688757663;0.09542662849931983;0.08743451577798815;0.0;0.09438915034008369;0.08296761486323848;0.09679619879797229;0.0;0.0;0.0;0.0;0.11207308155561603;0.0;0.09619227227441102;0.0;0.0;0.3782938324507581;0.10158487243740306;0.3080164984121093;0.36920639542624734;0.0;0.0;0.0873727294867772;0.10150223782463232;0.08751947692938528;0.05969422963831208;0.12248269134520423;0.0;0.12087920691318976;0.0;0.08865016047761852;0.0;0.0;0.10897064534920183;0.0;0.0;0.159241504372855;0.15043664230073303;0.0;0.0;0.0;0.10125138009784893;0.12109300624999965;0.3652244197194004;0.0
GO:0016576;0.1789660682801896;0.0;0.0;0.02095457486752342;0.0;0.0;0.0;0.18893492123121156;0.0;1.0;0.15792096058094338;0.0;0.0;0.0;0.2014914550136702;0.0;0.01923203648967206;0.021555863886025584;0.0;0.17815774520828087;0.0;0.0;0.0;0.0;0.021458197157809184;0.2021059198881958;0.0;0.0;0.0;0.0;0.0;0.4645871440552798;0.22129296770741563;0.019992662136233234;0.02230559084393641;0.0;0.15471425959919308;0.02542065798400764;0.021871259152207445;0.0;0.6772784841183065;0.0;0.24553238042887543;0.20759812841987518;0.0;0.15192736117815683;0.7166277210137395;0.0;0.0;0.166368613328555;0.0;0.02110621004689814;0.0;0.0;0.166368613328555;0.20281831968859187
