;GO:0006281;GO:0030071;GO:0015031;GO:0043542;GO:0006886;GO:0090051;GO:0043547;GO:0006957;GO:0030100;GO:0016576;GO:0048280;GO:0045739;GO:0042509;GO:0050728;GO:0051260;GO:0045732;GO:0008631;GO:0007266;GO:0006897;GO:0048208;GO:0097498;GO:0006888;GO:0051056;GO:0006606;GO:0048013;GO:0031145;GO:0034498;GO:2000249;GO:0035023;GO:1901164;GO:0031063;GO:0043486;GO:0006465;GO:0097192;GO:0038096;GO:0030449;GO:0097345;GO:0019221;GO:0000082;GO:0033674;GO:0035335;GO:2001240;GO:0070979;GO:0006351;GO:0007162;GO:0090166;GO:0006470;GO:0006355;GO:0006357;GO:0097352;GO:0045087;GO:0048278;GO:0046330;GO:0043065;GO:0034314;GO:0030036
GO:0006281;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.5;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.42857142857142855;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.3333333333333333;0.0;0.25;0.42857142857142855;0.0;0.16666666666666666;0.375;0.0;0.0;0.16666666666666666;0.2857142857142857;0.0;0.0;0.0;0.16666666666666666;0.14285714285714285
GO:0030071;0.0;1.0;0.0;0.0;0.0;0.15384615384615385;0.08333333333333333;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.23076923076923078;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.4166666666666667;0.23076923076923078;0.2;0.5;0.0;0.0;0.3;0.0;0.2;0.125;0.3;0.0;0.23076923076923078;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.25;0.0;0.0;0.0;0.25;0.2727272727272727;0.0;0.0
GO:0015031;0.0;0.0;1.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.2;0.0;0.6666666666666666;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
GO:0043542;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006886;0.0;0.0;0.8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090051;0.0;0.15384615384615385;0.0;0.0;0.0;1.0;0.07692307692307693;0.0;0.18181818181818182;0.0;0.0;0.15384615384615385;0.14285714285714285;0.25;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.14285714285714285;0.5454545454545454;0.14285714285714285;0.0;0.0;0.0;0.0;0.18181818181818182;0.1111111111111111;0.0;0.0;0.07692307692307693;0.0;0.23076923076923078;0.0;0.0;0.2727272727272727;0.0;0.0;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.0
GO:0043547;0.0;0.08333333333333333;0.0;0.0;0.0;0.07692307692307693;1.0;0.0;0.1;0.0;0.0;0.08333333333333333;0.07692307692307693;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.07692307692307693;0.1;0.07692307692307693;0.0;0.0;0.0;0.0;0.1;0.14285714285714285;0.0;0.0;0.5;0.0;0.08333333333333333;0.0;0.0;0.1111111111111111;0.0;0.0;0.09090909090909091;0.08333333333333333;0.0;0.0;0.0;0.07692307692307693;0.08333333333333333;0.0;0.0
GO:0006957;0.25;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.4;0.23076923076923078;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.42857142857142855;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.375;0.0;0.3333333333333333;0.4;0.0;0.0;0.0;0.0;0.3;0.25;0.23076923076923078;0.375;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.75;0.0;0.3076923076923077;0.25;0.0;0.0
GO:0030100;0.0;0.3333333333333333;0.0;0.0;0.0;0.18181818181818182;0.1;0.0;1.0;0.0;0.0;0.3333333333333333;0.2727272727272727;0.2222222222222222;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.2727272727272727;0.25;0.4;0.0;0.0;0.375;0.0;0.25;0.16666666666666666;0.375;0.0;0.2727272727272727;0.0;0.3;0.0;0.0;0.42857142857142855;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.0;0.3;0.3333333333333333;0.0;0.0
GO:0016576;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.4166666666666667;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
