"Category"	"Term"	"Count"	"X."	"PValue"	"Genes"	"List.Total"	"Pop.Hits"	"Pop.Total"	"Fold.Enrichment"	"Bonferroni"	"Benjamini"	"FDR"
"GOTERM_BP_DIRECT"	"GO:0006954~inflammatory response"	3	17.6470588235294	0.0336259306764091	"84632, 2149, 8605"	14	379	16792	9.4941575574821	0.999240537585458	0.999240537585458	35.0880687528211
"GOTERM_BP_DIRECT"	"GO:0045893~positive regulation of transcription, DNA-templated"	3	17.6470588235294	0.0585675821197817	"84632, 6714, 2149"	14	515	16792	6.9869625520111	0.999996868724429	0.998230458937643	53.3500994992871
"GOTERM_BP_DIRECT"	"GO:0006936~muscle contraction"	2	11.7647058823529	0.0797702552062192	"8736, 10398"	14	107	16792	22.4192256341789	0.999999973805141	0.997030121469671	65.0164782997223
"GOTERM_BP_DIRECT"	"GO:0030168~platelet activation"	2	11.7647058823529	0.0854917588116609	"6714, 2149"	14	115	16792	20.8596273291925	0.999999992930301	0.990830403299251	67.6672695101209
