;GO:0045409;GO:0060271;GO:0032088;GO:0050728;GO:0050718;GO:0050729;GO:0021914;GO:1901224;GO:1901223;GO:0006366;GO:0045751;GO:0043124;GO:0045345;GO:0045944;GO:0045381;GO:0007219;GO:0070373;GO:0071345;GO:0006919;GO:0050711;GO:0031953;GO:0036336;GO:0070613
GO:0045409;1.0;0.0;0.5106104573715714;0.2313838790765856;0.22228330789367767;0.1861431947768017;0.33570475131048794;0.21859774916291733;0.29902530983427805;0.0;0.30999561180010987;0.2989154612778304;0.35611654878386206;0.40381888585096565;0.6786656451351227;0.263467211944644;0.5006923754809569;0.0;0.32719709170790023;0.35307865791542065;0.5868681860625244;0.0;0.41744865782906543
GO:0060271;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13384127820675096;0.0;0.0;0.0;0.0;0.0;0.2627282859331775;0.0;0.2578437148795845;0.0;0.0;0.0;0.2724102104436797;0.0
GO:0032088;0.5106104573715714;0.0;1.0;0.2686592941470268;0.18599443555559658;0.21607486183431485;0.26518869539897133;0.24951938576763136;0.29635299903680906;0.0;0.3088334591991348;0.2962286861065461;0.41111494378462543;0.664182193446118;0.6169245605851833;0.309728815283538;0.35425231993176415;0.0;0.35876730820744207;0.23348408563531098;0.42200734445514165;0.0;0.48841522568979157
GO:0050728;0.2313838790765856;0.0;0.2686592941470268;1.0;0.18135841652102302;0.6625223901030973;0.39011100775001095;0.3315471643885923;0.45508908981277035;0.0;0.4827390794832228;0.45481856715843777;0.30536319501058384;0.1709633480174081;0.2643729947831864;0.37113753206844435;0.26203772128582986;0.0;0.15929943694715976;0.24282746111512282;0.24121358301247064;0.0;0.3257360327334181
GO:0050718;0.22228330789367767;0.0;0.18599443555559658;0.18135841652102302;1.0;0.22592042100133874;0.22707480052678816;0.29269128913286013;0.21388473688089765;0.0;0.22153245105320712;0.21380808878582494;0.2183839652291375;0.21739188756698727;0.27877902101044816;0.25575156354125456;0.14811565134515675;0.0;0.206709631233545;0.5756858752212621;0.17310302498930183;0.0;0.1815447121906273
GO:0050729;0.1861431947768017;0.0;0.21607486183431485;0.6625223901030973;0.22592042100133874;1.0;0.28502401743274514;0.45532711877361076;0.33238866204882606;0.0;0.35253415297377055;0.3321915341207768;0.3799911621369841;0.21299011688910138;0.26377485235045245;0.36995980798982486;0.19157551310306245;0.0;0.1984787729526288;0.1953338781364176;0.19403781222163966;0.0;0.32482847548462446
GO:0021914;0.33570475131048794;0.0;0.26518869539897133;0.39011100775001095;0.22707480052678816;0.28502401743274514;1.0;0.44813785124421357;0.7150596168562005;0.0;0.7471111592690471;0.7147412004277992;0.22151227054843492;0.1851790244817948;0.30535956307830625;0.3336774335217041;0.4607904366894938;0.0;0.17462866481025024;0.3490667957074493;0.28040550442889467;0.0;0.23203987207460136
GO:1901224;0.21859774916291733;0.0;0.24951938576763136;0.3315471643885923;0.29269128913286013;0.45532711877361076;0.44813785124421357;1.0;0.6048206358630969;0.0;0.5380114646912486;0.560434509640843;0.31858100526681876;0.2775729009316545;0.296722212435833;0.393508025796052;0.3444530131051601;0.0;0.26039134246035417;0.22820333219595826;0.22685478525309946;0.0;0.26943614787632814
GO:1901223;0.29902530983427805;0.0;0.29635299903680906;0.45508908981277035;0.21388473688089765;0.33238866204882606;0.7150596168562005;0.6048206358630969;1.0;0.0;0.8590916444876718;0.9118053076437962;0.2565230573256815;0.20280624268764705;0.2979335972783864;0.3956414043527959;0.559514912660836;0.0;0.1902199637135415;0.3122062437091468;0.3103555361089591;0.0;0.27074835165261585
GO:0006366;0.0;0.13384127820675096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1433454523163215;0.0;0.14187900955281846;0.0;0.0;0.0;0.14618013037556352;0.0
GO:0045751;0.30999561180010987;0.0;0.3088334591991348;0.4827390794832228;0.22153245105320712;0.35253415297377055;0.7471111592690471;0.5380114646912486;0.8590916444876718;0.0;1.0;0.8586320751968458;0.2712666856859887;0.20966951305291748;0.31298429116245197;0.4226297525050042;0.51660382697684;0.0;0.1962451363980653;0.3241843658606771;0.3221893791169377;0.0;0.28722502789529664
GO:0043124;0.2989154612778304;0.0;0.2962286861065461;0.45481856715843777;0.21380808878582494;0.3321915341207768;0.7147412004277992;0.560434509640843;0.9118053076437962;0.0;0.8586320751968458;1.0;0.25637835609948634;0.2027373278911742;0.2977848943282606;0.39537921623155653;0.5593402975016091;0.0;0.1901593360003601;0.312086499480204;0.3102372070517118;0.0;0.27058716189054166
GO:0045345;0.35611654878386206;0.0;0.41111494378462543;0.30536319501058384;0.2183839652291375;0.3799911621369841;0.22151227054843492;0.31858100526681876;0.2565230573256815;0.0;0.2712666856859887;0.25637835609948634;1.0;0.5129276204386536;0.49752732180208653;0.34559275953628327;0.22824543222822974;0.0;0.3409912651668128;0.1883231203892357;0.2828840841134597;0.0;0.46244529048541416
GO:0045944;0.40381888585096565;0.0;0.664182193446118;0.1709633480174081;0.21739188756698727;0.21299011688910138;0.1851790244817948;0.2775729009316545;0.20280624268764705;0.0;0.20966951305291748;0.2027373278911742;0.5129276204386536;1.0;0.5012053313201782;0.24007045928446571;0.28068140989867096;0.0;0.4381739009249516;0.16649305593222358;0.3260280694414891;0.0;0.38562959199787555
GO:0045381;0.6786656451351227;0.0;0.6169245605851833;0.2643729947831864;0.27877902101044816;0.26377485235045245;0.30535956307830625;0.296722212435833;0.2979335972783864;0.0;0.31298429116245197;0.2977848943282606;0.49752732180208653;0.5012053313201782;1.0;0.38593920107149193;0.39300073971858557;0.0;0.40126654457041533;0.2980940728244411;0.4789166876898364;0.0;0.5922032546342473
GO:0007219;0.263467211944644;0.2627282859331775;0.309728815283538;0.37113753206844435;0.25575156354125456;0.36995980798982486;0.3336774335217041;0.393508025796052;0.3956414043527959;0.1433454523163215;0.4226297525050042;0.39537921623155653;0.34559275953628327;0.24007045928446571;0.38593920107149193;1.0;0.21722098172647303;0.2956012070992941;0.22263281400031887;0.2775477875360471;0.27555554108973396;0.3149058646291593;0.3719185556792093
GO:0070373;0.5006923754809569;0.0;0.35425231993176415;0.26203772128582986;0.14811565134515675;0.19157551310306245;0.4607904366894938;0.3444530131051601;0.559514912660836;0.0;0.51660382697684;0.5593402975016091;0.22824543222822974;0.28068140989867096;0.39300073971858557;0.21722098172647303;1.0;0.0;0.3138639066863821;0.21162920782138542;0.805115834556038;0.0;0.34846136024757157
GO:0071345;0.0;0.2578437148795845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14187900955281846;0.0;0.0;0.0;0.0;0.0;0.2956012070992941;0.0;1.0;0.0;0.0;0.0;0.3079143113300979;0.0
GO:0006919;0.32719709170790023;0.0;0.35876730820744207;0.15929943694715976;0.206709631233545;0.1984787729526288;0.17462866481025024;0.26039134246035417;0.1902199637135415;0.0;0.1962451363980653;0.1901593360003601;0.3409912651668128;0.4381739009249516;0.40126654457041533;0.22263281400031887;0.3138639066863821;0.0;1.0;0.1579151765533057;0.36196970281157503;0.0;0.3889522468570515
GO:0050711;0.35307865791542065;0.0;0.23348408563531098;0.24282746111512282;0.5756858752212621;0.1953338781364176;0.3490667957074493;0.22820333219595826;0.3122062437091468;0.0;0.3241843658606771;0.312086499480204;0.1883231203892357;0.16649305593222358;0.2980940728244411;0.2775477875360471;0.21162920782138542;0.0;0.1579151765533057;1.0;0.24933565149044698;0.0;0.19587855706422375
GO:0031953;0.5868681860625244;0.0;0.42200734445514165;0.24121358301247064;0.17310302498930183;0.19403781222163966;0.28040550442889467;0.22685478525309946;0.3103555361089591;0.0;0.3221893791169377;0.3102372070517118;0.2828840841134597;0.3260280694414891;0.4789166876898364;0.27555554108973396;0.805115834556038;0.0;0.36196970281157503;0.24933565149044698;1.0;0.0;0.4352023335887264
GO:0036336;0.0;0.2724102104436797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14618013037556352;0.0;0.0;0.0;0.0;0.0;0.3149058646291593;0.0;0.3079143113300979;0.0;0.0;0.0;1.0;0.0
GO:0070613;0.41744865782906543;0.0;0.48841522568979157;0.3257360327334181;0.1815447121906273;0.32482847548462446;0.23203987207460136;0.26943614787632814;0.27074835165261585;0.0;0.28722502789529664;0.27058716189054166;0.46244529048541416;0.38562959199787555;0.5922032546342473;0.3719185556792093;0.34846136024757157;0.0;0.3889522468570515;0.19587855706422375;0.4352023335887264;0.0;1.0
