;GO:0090656;GO:0006281;GO:0006120;GO:0006487;GO:0051291;GO:0000733;GO:0036292;GO:0043069;GO:0045329;GO:0006488;GO:0050873;GO:0009749;GO:0033539;GO:0006635;GO:0030308;GO:0019240;GO:0055129;GO:0090502;GO:0008033;GO:0007264;GO:0006574;GO:0006210;GO:0042102;GO:0001682;GO:0043434;GO:0009249;GO:0006768;GO:0014003;GO:0008285;GO:1902018;GO:0006264;GO:0000122;GO:0001522;GO:0006536;GO:0031297;GO:0032981;GO:0016310;GO:0050852;GO:0006592;GO:0033077;GO:0006552;GO:0007569;GO:0006357;GO:0071340;GO:0048478;GO:0051793;GO:0019254;GO:0015936
GO:0090656;1.0;0.64;0.16666666666666663;0.31034482758620685;0.21739130434782605;0.75;0.16666666666666663;0.0;0.23333333333333328;0.2222222222222222;0.08333333333333337;0.0;0.13953488372093026;0.1428571428571429;0.0;0.18918918918918914;0.2093023255813954;0.6086956521739131;0.56;0.07999999999999996;0.17948717948717952;0.32432432432432434;0.0;0.48275862068965514;0.0;0.30000000000000004;0.2727272727272727;0.07999999999999996;0.0;0.0;0.5714285714285714;0.0;0.6086956521739131;0.24137931034482762;0.7619047619047619;0.19999999999999996;0.18181818181818177;0.05128205128205132;0.18918918918918914;0.06451612903225812;0.17948717948717952;0.08695652173913049;0.0;0.0;0.3137254901960784;0.15384615384615385;0.29166666666666663;0.3076923076923077
GO:0006281;0.64;1.0;0.16000000000000003;0.30000000000000004;0.07407407407407407;0.5925925925925926;0.07407407407407407;0.0;0.22580645161290325;0.2142857142857143;0.07999999999999996;0.07407407407407407;0.13636363636363635;0.13953488372093026;0.0;0.1842105263157895;0.20454545454545459;0.5833333333333333;0.5384615384615384;0.07692307692307687;0.17500000000000004;0.3157894736842105;0.0;0.4666666666666667;0.06896551724137934;0.29032258064516125;0.2647058823529411;0.07692307692307687;0.0;0.0;0.5517241379310345;0.0;0.5833333333333333;0.23333333333333328;0.7272727272727273;0.06896551724137934;0.17391304347826086;0.050000000000000044;0.1842105263157895;0.0625;0.17500000000000004;0.08333333333333337;0.0;0.0;0.3076923076923077;0.15000000000000002;0.28;0.30000000000000004
GO:0006120;0.16666666666666663;0.16000000000000003;1.0;0.18181818181818177;0.1428571428571429;0.15384615384615385;0.1428571428571429;0.0;0.19047619047619047;0.23529411764705888;0.16666666666666663;0.0;0.15625;0.16129032258064513;0.0;0.1428571428571429;0.11111111111111116;0.19047619047619047;0.17391304347826086;0.15384615384615385;0.1333333333333333;0.12121212121212122;0.0;0.14814814814814814;0.0;0.17391304347826086;0.15384615384615385;0.15384615384615385;0.0;0.0;0.1428571428571429;0.0;0.19047619047619047;0.19999999999999996;0.19047619047619047;0.125;0.4;0.07407407407407407;0.1428571428571429;0.10526315789473684;0.1333333333333333;0.18181818181818177;0.0;0.0;0.07843137254901966;0.13793103448275867;0.2666666666666667;0.11428571428571432
GO:0006487;0.31034482758620685;0.30000000000000004;0.18181818181818177;1.0;0.08333333333333337;0.29032258064516125;0.08333333333333337;0.0;0.25;0.24;0.09090909090909094;0.0;0.14634146341463417;0.15000000000000002;0.0;0.23529411764705888;0.19047619047619047;0.2962962962962963;0.27586206896551724;0.08695652173913049;0.2222222222222222;0.20512820512820518;0.0;0.24242424242424243;0.0;0.6818181818181819;0.21212121212121215;0.08695652173913049;0.0;0.0;0.2727272727272727;0.0;0.34615384615384615;0.3076923076923077;0.34615384615384615;0.07692307692307687;0.19999999999999996;0.05405405405405406;0.23529411764705888;0.06896551724137934;0.2222222222222222;0.09523809523809523;0.0;0.0;0.1607142857142857;0.16216216216216217;0.31818181818181823;0.19512195121951215
GO:0051291;0.21739130434782605;0.07407407407407407;0.1428571428571429;0.08333333333333337;1.0;0.15384615384615385;0.33333333333333337;0.0;0.08695652173913049;0.10526315789473684;0.16666666666666663;0.0;0.05714285714285716;0.05882352941176472;0.0;0.06666666666666665;0.052631578947368474;0.08695652173913049;0.07999999999999996;0.15384615384615385;0.0625;0.05714285714285716;0.0;0.06896551724137934;0.0;0.07999999999999996;0.0714285714285714;0.15384615384615385;0.0;0.0;0.06666666666666665;0.0;0.08695652173913049;0.09090909090909094;0.08695652173913049;0.6363636363636364;0.16666666666666663;0.07407407407407407;0.06666666666666665;0.10526315789473684;0.0625;0.18181818181818177;0.0;0.0;0.037735849056603765;0.06451612903225812;0.11764705882352944;0.05405405405405406
GO:0000733;0.75;0.5925925925925926;0.15384615384615385;0.29032258064516125;0.15384615384615385;1.0;0.36363636363636365;0.0;0.21875;0.2068965517241379;0.07692307692307687;0.0;0.1333333333333333;0.13636363636363635;0.0;0.17948717948717952;0.19999999999999996;0.56;0.5185185185185186;0.07407407407407407;0.1707317073170732;0.3076923076923077;0.0;0.4516129032258065;0.0;0.28125;0.2571428571428571;0.07407407407407407;0.0;0.0;0.5333333333333333;0.0;0.56;0.22580645161290325;0.6956521739130435;0.1428571428571429;0.16666666666666663;0.04878048780487809;0.17948717948717952;0.06060606060606055;0.1707317073170732;0.07999999999999996;0.0;0.0;0.30188679245283023;0.14634146341463417;0.2692307692307693;0.29268292682926833
GO:0036292;0.16666666666666663;0.07407407407407407;0.1428571428571429;0.08333333333333337;0.33333333333333337;0.36363636363636365;1.0;0.0;0.08695652173913049;0.10526315789473684;0.16666666666666663;0.0;0.05714285714285716;0.05882352941176472;0.0;0.06666666666666665;0.052631578947368474;0.08695652173913049;0.07999999999999996;0.15384615384615385;0.0625;0.05714285714285716;0.0;0.06896551724137934;0.0;0.07999999999999996;0.0714285714285714;0.15384615384615385;0.0;0.0;0.06666666666666665;0.0;0.08695652173913049;0.09090909090909094;0.08695652173913049;0.2857142857142857;0.16666666666666663;0.07407407407407407;0.06666666666666665;0.10526315789473684;0.0625;0.18181818181818177;0.0;0.0;0.037735849056603765;0.06451612903225812;0.11764705882352944;0.05405405405405406
GO:0043069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.33333333333333337;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.6;0.26086956521739135;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.12;0.0;0.0;0.0
GO:0045329;0.23333333333333328;0.22580645161290325;0.19047619047619047;0.25;0.08695652173913049;0.21875;0.08695652173913049;0.0;1.0;0.30434782608695654;0.09523809523809523;0.0;0.12195121951219512;0.125;0.0;0.3666666666666667;0.2894736842105263;0.2592592592592593;0.24137931034482762;0.09090909090909094;0.19444444444444442;0.21052631578947367;0.0;0.21212121212121215;0.0;0.24137931034482762;0.25806451612903225;0.09090909090909094;0.0;0.0;0.32258064516129037;0.0;0.2592592592592593;0.2692307692307693;0.2592592592592593;0.07999999999999996;0.21052631578947367;0.05555555555555558;0.3666666666666667;0.0714285714285714;0.19444444444444442;0.09999999999999998;0.0;0.0;0.1228070175438597;0.1351351351351351;0.6470588235294117;0.19999999999999996
GO:0006488;0.2222222222222222;0.2142857142857143;0.23529411764705888;0.24;0.10526315789473684;0.2068965517241379;0.10526315789473684;0.0;0.30434782608695654;1.0;0.11764705882352944;0.0;0.23529411764705888;0.24242424242424243;0.0;0.27586206896551724;0.21621621621621623;0.25;0.23076923076923073;0.11111111111111116;0.18181818181818177;0.16666666666666663;0.0;0.19999999999999996;0.0;0.23076923076923073;0.16666666666666663;0.11111111111111116;0.0;0.0;0.27586206896551724;0.0;0.25;0.26086956521739135;0.25;0.09523809523809523;0.2666666666666667;0.0625;0.27586206896551724;0.08333333333333337;0.18181818181818177;0.125;0.0;0.0;0.11111111111111116;0.2666666666666667;0.26315789473684215;0.18918918918918914
