;GO:0034395;GO:0050718;GO:1900016;GO:0006886;GO:0006879;GO:0002634;GO:0002755;GO:0030308;GO:0002636;GO:0000060;GO:0051607;GO:0018279;GO:0050712;GO:0019886;GO:0032764;GO:0030183;GO:0000902;GO:2001183;GO:0007266;GO:0042102;GO:0006974;GO:0045416;GO:0006656;GO:0006898;GO:0031668;GO:0033209;GO:0001953;GO:0030890;GO:0050727;GO:0015914;GO:0010469;GO:0048294;GO:0045629;GO:0035024;GO:0060586;GO:0031065;GO:0008285;GO:1903464;GO:0045666;GO:0051272;GO:0045746;GO:0045944;GO:1903988;GO:0000122;GO:0045591;GO:0045078;GO:2000778;GO:0010955;GO:0019221;GO:2000773;GO:0034162;GO:0031295;GO:0006351;GO:0031296;GO:0048305;GO:0048821;GO:0007166;GO:0045356;GO:0007249;GO:0045359;GO:0001782;GO:0002467;GO:0001774;GO:0019371;GO:0071260;GO:0043380;GO:0001932;GO:0043066;GO:0045087;GO:0043065;GO:0016064;GO:0002903;GO:0070498;GO:0034158;GO:2000660;GO:0030036
GO:0034395;1.0;0.00797184876263618;0.017676496697276965;0.0;0.013328082897388308;0.017676496697276965;0.019295575792472548;0.03151601213740885;0.017676496697276965;0.0;0.0;0.0;0.007967963077164334;0.0;0.014357364268887032;0.0;0.0;0.010560619112505611;0.03151601213740885;0.014096404968237644;0.0;0.04833091737934245;0.0;0.0;0.0;0.03151601213740885;0.03151601213740885;0.015731131713214507;0.017676496697276965;0.0;0.03151601213740885;0.03842519764258869;0.0030749519515677814;0.0234187821545654;0.013328082897388308;0.01866947322317385;0.03151601213740885;0.05058350115939483;0.02360482794317955;0.03151601213740885;0.03151601213740885;0.16980440134560842;0.0;0.13531635682768936;0.007979918702338827;0.04833091737934245;0.012882762400327413;0.03220454594804031;0.03151601213740885;0.03151601213740885;0.019295575792472548;0.02243583701703053;0.0;0.026697956889849613;0.0;0.0;0.03151601213740885;0.04716958145062984;0.03151601213740885;0.04716958145062984;0.013328082897388308;0.0;0.0;0.0;0.0;0.03151601213740885;0.09014548683041648;0.03151601213740885;0.0;0.03151601213740885;0.0;0.03151601213740885;0.03151601213740885;0.019295575792472548;0.025997972350305786;0.0
GO:0050718;0.00797184876263618;1.0;0.01180502595475199;0.0;0.003371285069018663;0.004471198884857247;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.0;0.0;0.0;0.134954095161239;0.0;0.01180502595475199;0.0;0.0;0.11455641439371322;0.00797184876263618;0.023880774507985026;0.0;0.044307889822839744;0.0;0.0;0.0;0.00797184876263618;0.00797184876263618;0.023880774507985026;0.004471198884857247;0.0;0.00797184876263618;0.005651393025488441;0.0030749519515677814;0.00797184876263618;0.003371285069018663;0.01955278800535795;0.00797184876263618;0.005382898246655373;0.023880774507985026;0.023880774507985026;0.00797184876263618;0.016294308724158792;0.0;0.004334589126298501;0.023880774507985026;0.044307889822839744;0.5501318283735868;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.023880774507985026;0.0;0.023880774507985026;0.0;0.0;0.00797184876263618;0.044307889822839744;0.00797184876263618;0.044307889822839744;0.003371285069018663;0.0;0.0;0.0;0.0;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.0;0.023880774507985026;0.0;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.00797184876263618;0.0
GO:1900016;0.017676496697276965;0.01180502595475199;1.0;0.0;0.01483357934160175;0.03507595729786056;0.03425670850396785;0.03507595729786056;0.03507595729786056;0.0;0.0;0.0;0.044389096023219686;0.0;0.1426063189492123;0.0;0.0;0.058832644091078086;0.019673175674199884;0.007906300288822573;0.0;0.014123058845152529;0.0;0.0;0.0;0.019673175674199884;0.03507595729786056;0.008823175234248635;0.13914494188037618;0.0;0.03507595729786056;0.016810844284225437;0.009146866658563953;0.06925131906178311;0.01483357934160175;0.0036608697048822474;0.03507595729786056;0.005382898246655373;0.02360482794317955;0.019673175674199884;0.10372257166063123;0.0030507844279764845;0.0;0.004334589126298501;0.007979918702338827;0.014123058845152529;0.019077299260564114;0.011259120080936946;0.019673175674199884;0.10372257166063123;0.03425670850396785;0.012583666905669323;0.0;0.014974177085916996;0.0;0.0;0.019673175674199884;0.013783698109839685;0.019673175674199884;0.013783698109839685;0.01483357934160175;0.0;0.0;0.0;0.0;0.03507595729786056;0.019673175674199884;0.03507595729786056;0.0;0.019673175674199884;0.0;0.03507595729786056;0.019673175674199884;0.03425670850396785;0.07687820256013875;0.0
GO:0006886;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9690680664869872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08240117320610767;0.0;0.0;0.0;0.0;0.0;0.1213438492266856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03170988979639534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40843872257662384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006879;0.013328082897388308;0.003371285069018663;0.01483357934160175;0.0;1.0;0.018032200330988648;0.008160075348164186;0.018032200330988648;0.015744169259146623;0.0;0.0;0.010056652433780651;0.0033696418173960866;0.0;0.010825456222510726;0.018032200330988648;0.018032200330988648;0.004466072876401372;0.018032200330988648;0.005961352380265788;0.018032200330988648;0.004033270032275416;0.0044940017113647875;0.0;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.006652676316702776;0.018032200330988648;0.0;0.018032200330988648;0.00238996718242871;0.0013003934107302594;0.009903774264048999;0.20474086550048054;0.002760296666178454;0.018032200330988648;0.002276421069608318;0.009982452799980139;0.018032200330988648;0.017900910303543724;0.0023002922159567813;0.0;0.0018330924277329649;0.003374697836625962;0.004033270032275416;0.005448104426102616;0.004761468079657703;0.018032200330988648;0.018032200330988648;0.008160075348164186;0.009488087970379274;0.005791764842280598;0.01129053323965595;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.003936355227991496;0.018032200330988648;0.003936355227991496;0.046269631547585566;0.0;0.018032200330988648;0.013295022933313314;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.018032200330988648;0.0;0.018032200330988648;0.0;0.018032200330988648;0.018032200330988648;0.008160075348164186;0.010994510635994858;0.018032200330988648
GO:0002634;0.017676496697276965;0.004471198884857247;0.03507595729786056;0.0;0.018032200330988648;1.0;0.05439634701412374;0.05520949965292756;0.20796972541840986;0.0;0.0;0.0;0.004469019506764921;0.0;0.07216419556694151;0.0;0.0;0.005923171626204141;0.10040333596803487;0.014096404968237644;0.0;0.005349162738079377;0.0;0.0;0.0;0.10040333596803487;0.06669664405414226;0.015731131713214507;0.17901243720382573;0.0;0.1637692245489811;0.01932986096939695;0.008668627213212819;0.0234187821545654;0.05772719628941774;0.0036608697048822474;0.10040333596803487;0.003019125093109089;0.02360482794317955;0.08551137404998908;0.04232906643368054;0.0030507844279764845;0.0;0.0024311562656152597;0.007979918702338827;0.005349162738079377;0.0072256003084505095;0.006314942323832017;0.10040333596803487;0.048425816673944556;0.05439634701412374;0.02243583701703053;0.0;0.026697956889849613;0.0;0.0;0.10040333596803487;0.005220628557204973;0.10040333596803487;0.005220628557204973;0.07570414024190907;0.0;0.0;0.0;0.0;0.12983739257376076;0.040961739907883696;0.0550842956350268;0.0;0.055194393449573706;0.0;0.02880855853511324;0.10040333596803487;0.05439634701412374;0.025997972350305786;0.0
GO:0002755;0.019295575792472548;0.00797184876263618;0.03425670850396785;0.0;0.008160075348164186;0.05439634701412374;1.0;0.019295575792472548;0.18997483229520687;0.0;0.008160075348164186;0.008160075348164186;0.007967963077164334;0.008160075348164186;0.05439634701412374;0.008160075348164186;0.008160075348164186;0.010560619112505611;0.04709164073433045;0.040024817486099915;0.008160075348164186;0.00953719963097976;0.0044940017113647875;0.0;0.008160075348164186;0.04709164073433045;0.019295575792472548;0.044666400907885304;0.03425670850396785;0.0;0.019295575792472548;0.01593189752065313;0.008668627213212819;0.019295575792472548;0.008160075348164186;0.006527085996079458;0.019295575792472548;0.005382898246655373;0.019295575792472548;0.019295575792472548;0.019295575792472548;0.005439344724655555;0.0;0.004334589126298501;0.022657889748109162;0.00953719963097976;0.012882762400327413;0.011259120080936946;0.04709164073433045;0.028234954990406808;0.9927403464651253;0.05478715325808889;0.005791764842280598;0.05478715325808889;0.008160075348164186;0.008160075348164186;0.04709164073433045;0.009308031777536625;0.04709164073433045;0.009308031777536625;0.008160075348164186;0.008160075348164186;0.008160075348164186;0.008160075348164186;0.008160075348164186;0.05439634701412374;0.019295575792472548;0.019295575792472548;0.008160075348164186;0.019295575792472548;0.008160075348164186;0.019295575792472548;0.04709164073433045;0.9927403464651253;0.019295575792472548;0.008160075348164186
GO:0030308;0.03151601213740885;0.00797184876263618;0.03507595729786056;0.0;0.018032200330988648;0.05520949965292756;0.019295575792472548;1.0;0.020880854212364568;0.0;0.0;0.0;0.02395086933614946;0.0;0.02559822086404421;0.0;0.0;0.03174412406570542;0.09843484775068445;0.014096404968237644;0.0;0.00953719963097976;0.0;0.0;0.0;0.09843484775068445;0.2958849273984637;0.015731131713214507;0.05520949965292756;0.0;0.09843484775068445;0.0169875003950032;0.009242986155145154;0.07039442652580158;0.04162797644235149;0.009869593925558934;0.2958849273984637;0.016180432979781473;0.02360482794317955;0.09843484775068445;0.12723677675914552;0.005439344724655555;0.0;0.013029324657314607;0.007979918702338827;0.00953719963097976;0.012882762400327413;0.03384374541987798;0.09843484775068445;0.14556297468019164;0.019295575792472548;0.02243583701703053;0.0;0.026697956889849613;0.0;0.0;0.09843484775068445;0.009308031777536625;0.09843484775068445;0.009308031777536625;0.04162797644235149;0.0;0.0;0.0;0.0;0.04605616712558893;0.0730320444268301;0.29521392001785984;0.0;0.09840791439978333;0.0;0.15439405001317333;0.09843484775068445;0.019295575792472548;0.07814720434028413;0.0
GO:0002636;0.017676496697276965;0.00797184876263618;0.03507595729786056;0.0;0.015744169259146623;0.20796972541840986;0.18997483229520687;0.020880854212364568;1.0;0.0;0.0;0.0;0.004469019506764921;0.0;0.07216419556694151;0.0;0.0;0.005923171626204141;0.020880854212364568;0.040024817486099915;0.0;0.00953719963097976;0.0;0.0;0.0;0.020880854212364568;0.020880854212364568;0.044666400907885304;0.037229167411759974;0.0;0.037229167411759974;0.01932986096939695;0.008668627213212819;0.0234187821545654;0.015744169259146623;0.006527085996079458;0.020880854212364568;0.003019125093109089;0.06850196121672558;0.037229167411759974;0.037229167411759974;0.005439344724655555;0.0;0.0024311562656152597;0.02315797779912161;0.00953719963097976;0.012882762400327413;0.006314942323832017;0.020880854212364568;0.037229167411759974;0.18997483229520687;0.06370349630121327;0.0;0.07580520382152374;0.0;0.0;0.020880854212364568;0.009308031777536625;0.020880854212364568;0.009308031777536625;0.015744169259146623;0.0;0.0;0.0;0.0;0.10495311108399429;0.020880854212364568;0.020880854212364568;0.0;0.037229167411759974;0.0;0.020880854212364568;0.020880854212364568;0.18997483229520687;0.025997972350305786;0.0
GO:0000060;0.0;0.0;0.0;0.9690680664869872;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07985234559510208;0.0;0.0;0.0;0.0;0.0;0.11759044935019272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03170988979639534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40843872257662384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
