;GO:0034395;GO:0050718;GO:1900016;GO:0006886;GO:0006879;GO:0002634;GO:0002755;GO:0030308;GO:0002636;GO:0000060;GO:0051607;GO:0018279;GO:0050712;GO:0019886;GO:0032764;GO:0030183;GO:0000902;GO:2001183;GO:0007266;GO:0042102;GO:0006974;GO:0045416;GO:0006656;GO:0006898;GO:0031668;GO:0033209;GO:0001953;GO:0030890;GO:0050727;GO:0015914;GO:0010469;GO:0048294;GO:0045629;GO:0035024;GO:0060586;GO:0031065;GO:0008285;GO:1903464;GO:0045666;GO:0051272;GO:0045746;GO:0045944;GO:1903988;GO:0000122;GO:0045591;GO:0045078;GO:2000778;GO:0010955;GO:0019221;GO:2000773;GO:0034162;GO:0031295;GO:0006351;GO:0031296;GO:0048305;GO:0048821;GO:0007166;GO:0045356;GO:0007249;GO:0045359;GO:0001782;GO:0002467;GO:0001774;GO:0019371;GO:0071260;GO:0043380;GO:0001932;GO:0043066;GO:0045087;GO:0043065;GO:0016064;GO:0002903;GO:0070498;GO:0034158;GO:2000660;GO:0030036
GO:0034395;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.7777777777777778;0.0;0.4166666666666667;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050718;0.0;1.0;0.4;0.0;0.058823529411764705;0.18181818181818182;0.0;0.2727272727272727;0.3;0.0;0.0;0.0;0.6;0.0;0.36363636363636365;0.0;0.0;0.5;0.0;0.23076923076923078;0.0;0.5;0.0;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.18181818181818182;0.0;0.25;0.2727272727272727;0.15384615384615385;0.1875;0.08333333333333333;0.2857142857142857;0.2727272727272727;0.23076923076923078;0.36363636363636365;0.4;0.23076923076923078;0.23076923076923078;0.0;0.2;0.3076923076923077;0.5;0.6666666666666666;0.21428571428571427;0.25;0.25;0.0;0.23076923076923078;0.0;0.23076923076923078;0.0;0.0;0.2727272727272727;0.5;0.25;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.23076923076923078;0.23076923076923078;0.0;0.3333333333333333;0.0;0.1875;0.0;0.0;0.21428571428571427;0.0
GO:1900016;0.0;0.4;1.0;0.0;0.06666666666666667;0.2222222222222222;0.0;0.375;0.2222222222222222;0.0;0.0;0.0;0.5555555555555556;0.0;0.625;0.0;0.0;0.625;0.0;0.16666666666666666;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.3;0.16666666666666666;0.7142857142857143;0.0;0.3333333333333333;0.5;0.4;0.3333333333333333;0.1;0.15384615384615385;0.375;0.3;0.0;0.2222222222222222;0.4444444444444444;0.16666666666666666;0.0;0.2727272727272727;0.25;0.4444444444444444;0.4444444444444444;0.2727272727272727;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.18181818181818182;0.3;0.0;0.18181818181818182;0.0;0.23076923076923078;0.0;0.0;0.4;0.0
GO:0006886;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006879;0.0;0.058823529411764705;0.06666666666666667;0.0;1.0;0.07142857142857142;0.1111111111111111;0.07142857142857142;0.07142857142857142;0.0;0.0;0.1111111111111111;0.058823529411764705;0.0;0.0625;0.0;0.0;0.0625;0.1111111111111111;0.058823529411764705;0.09090909090909091;0.0625;0.07692307692307693;0.0;0.1;0.1111111111111111;0.06666666666666667;0.058823529411764705;0.07142857142857142;0.0;0.08333333333333333;0.06666666666666667;0.0625;0.05555555555555555;0.8181818181818182;0.05555555555555555;0.07142857142857142;0.0625;0.0;0.07142857142857142;0.06666666666666667;0.058823529411764705;0.0;0.058823529411764705;0.05555555555555555;0.0625;0.0625;0.058823529411764705;0.1111111111111111;0.07142857142857142;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0625;0.1111111111111111;0.0625;0.21428571428571427;0.0;0.09090909090909091;0.1111111111111111;0.08333333333333333;0.07142857142857142;0.0625;0.0625;0.0;0.0625;0.0;0.05263157894736842;0.1111111111111111;0.1111111111111111;0.0625;0.1
GO:0002634;0.0;0.18181818181818182;0.2222222222222222;0.0;0.07142857142857142;1.0;0.0;0.25;0.8333333333333334;0.0;0.0;0.0;0.18181818181818182;0.0;0.4;0.0;0.0;0.2;0.0;0.25;0.0;0.2;0.0;0.0;0.0;0.0;0.2222222222222222;0.25;0.3333333333333333;0.0;0.14285714285714285;0.375;0.4;0.23076923076923078;0.1111111111111111;0.16666666666666666;0.25;0.2;0.0;0.25;0.3;0.18181818181818182;0.0;0.18181818181818182;0.2727272727272727;0.2;0.2;0.18181818181818182;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.5;0.2;0.2;0.0;0.2;0.0;0.15384615384615385;0.0;0.0;0.2727272727272727;0.0
GO:0002755;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
GO:0030308;0.0;0.2727272727272727;0.375;0.0;0.07142857142857142;0.25;0.0;1.0;0.25;0.0;0.0;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.4444444444444444;0.0;0.2727272727272727;0.0;0.3;0.0;0.0;0.0;0.0;0.5;0.2727272727272727;0.25;0.0;0.375;0.375;0.3333333333333333;0.36363636363636365;0.1111111111111111;0.2727272727272727;0.6666666666666666;0.5;0.0;0.42857142857142855;0.5;0.2727272727272727;0.0;0.4;0.2727272727272727;0.3;0.3;0.4444444444444444;0.375;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.3;0.375;0.3;0.0;0.0;0.0;0.0;0.0;0.25;0.3333333333333333;0.5;0.0;0.3333333333333333;0.0;0.36363636363636365;0.0;0.0;0.4444444444444444;0.0
GO:0002636;0.0;0.3;0.2222222222222222;0.0;0.07142857142857142;0.8333333333333334;0.0;0.25;1.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.0;0.0;0.2;0.0;0.3;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.2222222222222222;0.3;0.25;0.0;0.14285714285714285;0.375;0.36363636363636365;0.16666666666666666;0.1111111111111111;0.2727272727272727;0.25;0.2;0.5;0.42857142857142855;0.2222222222222222;0.3;0.0;0.18181818181818182;0.4;0.3333333333333333;0.3333333333333333;0.18181818181818182;0.0;0.375;0.0;0.3;0.0;0.3;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.2;0.2;0.0;0.3333333333333333;0.0;0.15384615384615385;0.0;0.0;0.2;0.0
GO:0000060;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
