;GO:0090557;GO:0071816;GO:0006351;GO:0030162;GO:0006464;GO:0046710;GO:0022008;GO:0046037;GO:0043687;GO:0003333;GO:0006357;GO:0030316;GO:0006814;GO:0043161;GO:0050892;GO:0007409;GO:0048013;GO:0035329
GO:0090557;1.0;0.0;0.03001116373548947;0.0;0.03073113104117251;0.019508156980232633;0.2810637128173495;0.020060815992430193;0.02505446945582643;0.0;0.0;0.26488158326468625;0.0;0.024762536842341254;0.0;0.2948648349234007;0.02212876516863006;0.020573522445697098
GO:0071816;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20635555430286212;0.0;0.0;0.22039769318667296;0.0;0.19393366906271814;0.0;0.0;0.0
GO:0006351;0.03001116373548947;0.0;1.0;0.0;0.5520333959438265;0.29878572682861504;0.03798070750295079;0.3126791412128183;0.35286045339555755;0.0;0.0;0.034331655621707584;0.0;0.34491801443561954;0.0;0.04134771691671265;0.038893067485860244;0.034331655621707584
GO:0030162;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4277011789608089;0.0;0.0;0.0;0.0;0.0;0.09691162819716832;0.08687251062164895
GO:0006464;0.03073113104117251;0.0;0.5520333959438265;0.0;1.0;0.2717798182517382;0.039141217195255644;0.2847508828340498;0.6248705508965156;0.0;0.0;0.03527710678743669;0.0;0.4969334842877747;0.0;0.04272684221643742;0.04011089546968493;0.03527710678743669
GO:0046710;0.019508156980232633;0.0;0.29878572682861504;0.0;0.2717798182517382;1.0;0.02258925670932015;0.8372810584920504;0.21956337666353212;0.0;0.0;0.021246167726588917;0.0;0.21690369269880214;0.0;0.02373898114639985;0.022908878776287125;0.021246167726588917
GO:0022008;0.2810637128173495;0.0;0.03798070750295079;0.0;0.039141217195255644;0.02258925670932015;1.0;0.0233336050134118;0.03037550694457292;0.0;0.0;0.3732045431247563;0.0;0.02994746544484522;0.0;0.3510830895649268;0.02617919421005247;0.024030151135821964
GO:0046037;0.020060815992430193;0.0;0.3126791412128183;0.0;0.2847508828340498;0.8372810584920504;0.0233336050134118;1.0;0.2279521193677434;0.0;0.0;0.0219033464565488;0.0;0.22508664485467617;0.0;0.024562408806052934;0.02367479721038503;0.0219033464565488
GO:0043687;0.02505446945582643;0.0;0.35286045339555755;0.0;0.6248705508965156;0.21956337666353212;0.03037550694457292;0.2279521193677434;1.0;0.0;0.0;0.02799572334131712;0.0;0.36369194740621374;0.0;0.032491545883844744;0.030956275669265506;0.02799572334131712
GO:0003333;0.0;0.20635555430286212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5157663749637057;0.0;0.2420108992635691;0.0;0.0;0.0
GO:0006357;0.0;0.0;0.0;0.4277011789608089;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.12827721097687442;0.11305835041361435
GO:0030316;0.26488158326468625;0.0;0.034331655621707584;0.0;0.03527710678743669;0.021246167726588917;0.3732045431247563;0.0219033464565488;0.02799572334131712;0.0;0.0;1.0;0.0;0.027631722885333984;0.0;0.32619101800301;0.024392175685828594;0.022515997531319814
GO:0006814;0.0;0.22039769318667296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5157663749637057;0.0;0.0;1.0;0.0;0.2611604888420621;0.0;0.0;0.0
GO:0043161;0.024762536842341254;0.0;0.34491801443561954;0.0;0.4969334842877747;0.21690369269880214;0.02994746544484522;0.22508664485467617;0.36369194740621374;0.0;0.0;0.027631722885333984;0.0;1.0;0.0;0.03200227042232238;0.030511829442666557;0.027631722885333984
GO:0050892;0.0;0.19393366906271814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2420108992635691;0.0;0.0;0.2611604888420621;0.0;1.0;0.0;0.0;0.0
GO:0007409;0.2948648349234007;0.0;0.04134771691671265;0.0;0.04272684221643742;0.02373898114639985;0.3510830895649268;0.024562408806052934;0.032491545883844744;0.0;0.0;0.32619101800301;0.0;0.03200227042232238;0.0;1.0;0.027735982573042727;0.02533546556071346
GO:0048013;0.02212876516863006;0.0;0.038893067485860244;0.09691162819716832;0.04011089546968493;0.022908878776287125;0.02617919421005247;0.02367479721038503;0.030956275669265506;0.0;0.12827721097687442;0.024392175685828594;0.0;0.030511829442666557;0.0;0.027735982573042727;1.0;0.21030255766507427
GO:0035329;0.020573522445697098;0.0;0.034331655621707584;0.08687251062164895;0.03527710678743669;0.021246167726588917;0.024030151135821964;0.0219033464565488;0.02799572334131712;0.0;0.11305835041361435;0.022515997531319814;0.0;0.027631722885333984;0.0;0.02533546556071346;0.21030255766507427;1.0
