;GO:0090557;GO:0071816;GO:0006351;GO:0030162;GO:0006464;GO:0046710;GO:0022008;GO:0046037;GO:0043687;GO:0003333;GO:0006357;GO:0030316;GO:0006814;GO:0043161;GO:0050892;GO:0007409;GO:0048013;GO:0035329
GO:0090557;1.0;0.0;0.1111111111111111;0.0;0.26666666666666666;0.21052631578947367;0.15384615384615385;0.21052631578947367;0.25;0.0;0.0;0.13333333333333333;0.0;0.1111111111111111;0.0;0.11764705882352941;0.11764705882352941;0.13333333333333333
GO:0071816;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2222222222222222;0.0;0.13333333333333333;0.0;0.0;0.0
GO:0006351;0.1111111111111111;0.0;1.0;0.0;0.47058823529411764;0.2857142857142857;0.13333333333333333;0.2857142857142857;0.4444444444444444;0.0;0.0;0.11764705882352941;0.0;0.4;0.0;0.10526315789473684;0.10526315789473684;0.11764705882352941
GO:0030162;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.125;0.14285714285714285
GO:0006464;0.26666666666666666;0.0;0.47058823529411764;0.0;1.0;0.4444444444444444;0.16666666666666666;0.4444444444444444;0.9333333333333333;0.0;0.0;0.14285714285714285;0.0;0.5882352941176471;0.0;0.25;0.25;0.2857142857142857
GO:0046710;0.21052631578947367;0.0;0.2857142857142857;0.0;0.4444444444444444;1.0;0.125;0.9090909090909091;0.42105263157894735;0.0;0.0;0.1111111111111111;0.0;0.38095238095238093;0.0;0.2;0.2;0.2222222222222222
GO:0022008;0.15384615384615385;0.0;0.13333333333333333;0.0;0.16666666666666666;0.125;1.0;0.125;0.15384615384615385;0.0;0.0;0.16666666666666666;0.0;0.13333333333333333;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666
GO:0046037;0.21052631578947367;0.0;0.2857142857142857;0.0;0.4444444444444444;0.9090909090909091;0.125;1.0;0.42105263157894735;0.0;0.0;0.1111111111111111;0.0;0.38095238095238093;0.0;0.2;0.2;0.2222222222222222
GO:0043687;0.25;0.0;0.4444444444444444;0.0;0.9333333333333333;0.42105263157894735;0.15384615384615385;0.42105263157894735;1.0;0.0;0.0;0.13333333333333333;0.0;0.5555555555555556;0.0;0.23529411764705882;0.23529411764705882;0.26666666666666666
GO:0003333;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4444444444444444;0.0;0.5333333333333333;0.0;0.0;0.0
GO:0006357;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1111111111111111
GO:0030316;0.13333333333333333;0.0;0.11764705882352941;0.0;0.14285714285714285;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.13333333333333333;0.0;0.0;1.0;0.0;0.11764705882352941;0.0;0.125;0.125;0.14285714285714285
GO:0006814;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;1.0;0.0;0.6153846153846154;0.0;0.0;0.0
GO:0043161;0.1111111111111111;0.0;0.4;0.0;0.5882352941176471;0.38095238095238093;0.13333333333333333;0.38095238095238093;0.5555555555555556;0.0;0.0;0.11764705882352941;0.0;1.0;0.0;0.10526315789473684;0.10526315789473684;0.11764705882352941
GO:0050892;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.6153846153846154;0.0;1.0;0.0;0.0;0.0
GO:0007409;0.11764705882352941;0.0;0.10526315789473684;0.0;0.25;0.2;0.14285714285714285;0.2;0.23529411764705882;0.0;0.0;0.125;0.0;0.10526315789473684;0.0;1.0;0.1111111111111111;0.125
GO:0048013;0.11764705882352941;0.0;0.10526315789473684;0.125;0.25;0.2;0.14285714285714285;0.2;0.23529411764705882;0.0;0.1;0.125;0.0;0.10526315789473684;0.0;0.1111111111111111;1.0;0.125
GO:0035329;0.13333333333333333;0.0;0.11764705882352941;0.14285714285714285;0.2857142857142857;0.2222222222222222;0.16666666666666666;0.2222222222222222;0.26666666666666666;0.0;0.1111111111111111;0.14285714285714285;0.0;0.11764705882352941;0.0;0.125;0.125;1.0
