;GO:0006281;GO:0008380;GO:0014065;GO:0007096;GO:0015031;GO:0045445;GO:0042177;GO:0008543;GO:0006366;GO:0021954;GO:0043388;GO:0008306;GO:0006367;GO:0045843;GO:0006368;GO:0032968;GO:0022011;GO:0035914;GO:0045892;GO:0000183;GO:0006914;GO:0060928;GO:0044242;GO:0070446;GO:0034983;GO:0071456;GO:0071219;GO:0017148;GO:0042789;GO:0061086;GO:0007221;GO:1900425;GO:0042147;GO:0043434;GO:1900226;GO:0001881;GO:0006412;GO:0048012;GO:0043161;GO:0007219;GO:0050684;GO:0010507;GO:0070827;GO:1900195;GO:0061433;GO:0007032;GO:0008284;GO:1900036;GO:0006342;GO:0006468;GO:0045944;GO:0045747;GO:0006348;GO:1900119;GO:0043524;GO:0000122;GO:0051147;GO:0034728;GO:0043491;GO:0006977;GO:0034605;GO:0051781;GO:0071872;GO:0010831;GO:0001649;GO:2000178;GO:2000777;GO:0045191;GO:0051987;GO:0010793;GO:0051028;GO:2000378;GO:0007281;GO:0045836;GO:0006471;GO:0006351;GO:0045599;GO:0061428;GO:0006397;GO:0090042;GO:0006479;GO:0060213;GO:0006357;GO:0010801;GO:0035729;GO:0045087;GO:0031641;GO:0034599;GO:0070933;GO:0070932
GO:0006281;1.0;0.6086956521739131;0.0714285714285714;0.0;0.0;0.08333333333333337;0.0;0.0714285714285714;0.4285714285714286;0.07692307692307687;0.0;0.0;0.4242424242424242;0.0;0.4242424242424242;0.0;0.07999999999999996;0.08333333333333337;0.0;0.032258064516129004;0.16666666666666663;0.06666666666666665;0.2222222222222222;0.0;0.28125;0.2068965517241379;0.1428571428571429;0.0;0.39473684210526316;0.0;0.0;0.0;0.0;0.06896551724137934;0.0;0.31818181818181823;0.2857142857142857;0.0714285714285714;0.25;0.07692307692307687;0.0;0.0;0.07999999999999996;0.0;0.24;0.07999999999999996;0.0;0.0;0.032786885245901676;0.30000000000000004;0.0;0.0;0.032258064516129004;0.0;0.0;0.0;0.0;0.07692307692307687;0.07692307692307687;0.11475409836065575;0.25;0.0;0.09999999999999998;0.0;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0714285714285714;0.0;0.33333333333333337;0.4411764705882353;0.0;0.09836065573770492;0.5833333333333333;0.30000000000000004;0.30000000000000004;0.0;0.0;0.0;0.1428571428571429;0.125;0.0;0.25;0.25;0.25
GO:0008380;0.6086956521739131;1.0;0.08695652173913049;0.0;0.0;0.10526315789473684;0.0;0.08695652173913049;0.5;0.09523809523809523;0.0;0.0;0.5555555555555556;0.0;0.5555555555555556;0.0;0.09999999999999998;0.10526315789473684;0.0;0.03508771929824561;0.21052631578947367;0.07999999999999996;0.2727272727272727;0.0;0.2857142857142857;0.0714285714285714;0.07999999999999996;0.0;0.4545454545454546;0.0;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.29032258064516125;0.08695652173913049;0.25;0.09523809523809523;0.0;0.0;0.09999999999999998;0.0;0.08333333333333337;0.09999999999999998;0.0;0.0;0.0357142857142857;0.3076923076923077;0.0;0.0;0.03508771929824561;0.0;0.0;0.0;0.0;0.09523809523809523;0.09523809523809523;0.032786885245901676;0.08695652173913049;0.0;0.05405405405405406;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.34782608695652173;0.5172413793103448;0.0;0.033333333333333326;0.9411764705882353;0.3076923076923077;0.3076923076923077;0.0;0.0;0.0;0.07999999999999996;0.0;0.0;0.08695652173913049;0.25;0.25
GO:0014065;0.0714285714285714;0.08695652173913049;1.0;0.2222222222222222;0.0;0.16666666666666663;0.13636363636363635;0.5;0.05555555555555558;0.1428571428571429;0.1428571428571429;0.0;0.06060606060606055;0.15000000000000002;0.06060606060606055;0.09090909090909094;0.15384615384615385;0.16666666666666663;0.10256410256410253;0.1063829787234043;0.1428571428571429;0.11111111111111116;0.10526315789473684;0.12903225806451613;0.07407407407407407;0.09523809523809523;0.11111111111111116;0.10526315789473684;0.05128205128205132;0.10256410256410253;0.09756097560975607;0.13636363636363635;0.0;0.0;0.23529411764705888;0.1333333333333333;0.06451612903225812;0.5;0.06451612903225812;0.6;0.2222222222222222;0.19999999999999996;0.15384615384615385;0.1333333333333333;0.11764705882352944;0.15384615384615385;0.33333333333333337;0.25;0.10869565217391308;0.07999999999999996;0.09999999999999998;0.19999999999999996;0.1063829787234043;0.2222222222222222;0.19999999999999996;0.09756097560975607;0.36363636363636365;0.1428571428571429;0.7777777777777778;0.1428571428571429;0.125;0.33333333333333337;0.06666666666666665;0.19999999999999996;0.16666666666666663;0.2857142857142857;0.09523809523809523;0.11111111111111116;0.2222222222222222;0.11111111111111116;0.0;0.25;0.125;0.15384615384615385;0.09090909090909094;0.05714285714285716;0.25;0.09999999999999998;0.08333333333333337;0.07999999999999996;0.07999999999999996;0.11111111111111116;0.16666666666666663;0.11428571428571432;0.11111111111111116;0.0;0.3076923076923077;0.125;0.06451612903225812;0.06451612903225812
GO:0007096;0.0;0.0;0.2222222222222222;1.0;0.0;0.0;0.11538461538461542;0.2222222222222222;0.0;0.0;0.11111111111111116;0.0;0.0;0.125;0.0;0.08333333333333337;0.0;0.0;0.09302325581395354;0.07692307692307687;0.0;0.0;0.0;0.11428571428571432;0.0;0.0;0.0;0.09523809523809523;0.0;0.14634146341463417;0.0888888888888889;0.11538461538461542;0.0;0.0;0.25;0.0;0.0;0.2222222222222222;0.0;0.25;0.18181818181818177;0.16666666666666663;0.0;0.11764705882352944;0.0;0.0;0.25;0.19999999999999996;0.07843137254901966;0.0;0.09090909090909094;0.16666666666666663;0.07692307692307687;0.18181818181818177;0.16666666666666663;0.0888888888888889;0.2666666666666667;0.0;0.25;0.17647058823529416;0.0;0.25;0.0;0.16666666666666663;0.0;0.2222222222222222;0.08695652173913049;0.09999999999999998;0.30000000000000004;0.09677419354838712;0.0;0.19999999999999996;0.0;0.36;0.0;0.0;0.19999999999999996;0.07272727272727275;0.0;0.0;0.0;0.09999999999999998;0.1428571428571429;0.10256410256410253;0.0;0.0;0.23529411764705888;0.0;0.0;0.0
GO:0015031;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045445;0.08333333333333337;0.10526315789473684;0.16666666666666663;0.0;0.0;1.0;0.0;0.16666666666666663;0.0625;0.5;0.0;0.0;0.06896551724137934;0.0;0.06896551724137934;0.0;0.2222222222222222;1.0;0.0;0.04347826086956519;0.19999999999999996;0.33333333333333337;0.1333333333333333;0.0;0.08695652173913049;0.11764705882352944;0.1428571428571429;0.0;0.05714285714285716;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.07407407407407407;0.16666666666666663;0.07407407407407407;0.19999999999999996;0.0;0.0;0.2222222222222222;0.0;0.15384615384615385;0.2222222222222222;0.0;0.0;0.0444444444444444;0.09523809523809523;0.0;0.0;0.04347826086956519;0.0;0.0;0.0;0.0;0.19999999999999996;0.19999999999999996;0.040000000000000036;0.16666666666666663;0.0;0.07692307692307687;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.11111111111111116;0.06451612903225812;0.0;0.04081632653061229;0.09999999999999998;0.09523809523809523;0.09523809523809523;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.16666666666666663;0.07407407407407407;0.07407407407407407
GO:0042177;0.0;0.0;0.13636363636363635;0.11538461538461542;0.0;0.0;1.0;0.13636363636363635;0.0;0.0;0.09523809523809523;0.0;0.0;0.15384615384615385;0.0;0.14583333333333337;0.0;0.0;0.28205128205128205;0.22916666666666663;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.36111111111111116;0.0;0.3513513513513513;0.15555555555555556;0.1428571428571429;0.0;0.0;0.16666666666666663;0.0;0.0;0.13636363636363635;0.0;0.15000000000000002;0.31818181818181823;0.34782608695652173;0.0;0.07894736842105265;0.0;0.0;0.15000000000000002;0.125;0.23404255319148937;0.0;0.15909090909090906;0.1071428571428571;0.22916666666666663;0.11538461538461542;0.14814814814814814;0.2682926829268293;0.1578947368421053;0.0;0.15000000000000002;0.06779661016949157;0.0;0.15000000000000002;0.0;0.1071428571428571;0.0;0.19047619047619047;0.2325581395348837;0.17500000000000004;0.11538461538461542;0.15625;0.0;0.2857142857142857;0.0;0.08823529411764708;0.0;0.0;0.17391304347826086;0.21568627450980393;0.0;0.0;0.0;0.20512820512820518;0.25;0.3939393939393939;0.0;0.0;0.1428571428571429;0.0;0.0;0.0
GO:0008543;0.0714285714285714;0.08695652173913049;0.5;0.2222222222222222;0.0;0.16666666666666663;0.13636363636363635;1.0;0.05555555555555558;0.1428571428571429;0.1428571428571429;0.0;0.06060606060606055;0.15000000000000002;0.06060606060606055;0.09090909090909094;0.15384615384615385;0.16666666666666663;0.10256410256410253;0.1063829787234043;0.1428571428571429;0.11111111111111116;0.10526315789473684;0.12903225806451613;0.07407407407407407;0.09523809523809523;0.11111111111111116;0.10526315789473684;0.05128205128205132;0.10256410256410253;0.09756097560975607;0.13636363636363635;0.0;0.0;0.23529411764705888;0.1333333333333333;0.06451612903225812;1.0;0.06451612903225812;0.7777777777777778;0.2222222222222222;0.19999999999999996;0.15384615384615385;0.1333333333333333;0.11764705882352944;0.15384615384615385;0.33333333333333337;0.25;0.10869565217391308;0.07999999999999996;0.09999999999999998;0.19999999999999996;0.1063829787234043;0.2222222222222222;0.19999999999999996;0.09756097560975607;0.36363636363636365;0.1428571428571429;0.6;0.12;0.125;0.33333333333333337;0.06666666666666665;0.19999999999999996;0.16666666666666663;0.2857142857142857;0.09523809523809523;0.11111111111111116;0.2222222222222222;0.11111111111111116;0.0;0.25;0.125;0.15384615384615385;0.09090909090909094;0.05714285714285716;0.25;0.09999999999999998;0.08333333333333337;0.07999999999999996;0.07999999999999996;0.11111111111111116;0.16666666666666663;0.11428571428571432;0.11111111111111116;0.0;0.3076923076923077;0.125;0.06451612903225812;0.06451612903225812
GO:0006366;0.4285714285714286;0.5;0.05555555555555558;0.0;0.0;0.0625;0.0;0.05555555555555558;1.0;0.05882352941176472;0.0;0.0;0.8333333333333334;0.0;0.8333333333333334;0.0;0.06060606060606055;0.0625;0.0;0.02857142857142858;0.125;0.052631578947368474;0.17142857142857137;0.0;0.22499999999999998;0.04878048780487809;0.052631578947368474;0.0;0.90625;0.0;0.0;0.0;0.0;0.0;0.0;0.23333333333333328;0.43243243243243246;0.05555555555555558;0.20454545454545459;0.05882352941176472;0.0;0.0;0.06060606060606055;0.0;0.05405405405405406;0.06060606060606055;0.0;0.0;0.02898550724637683;0.23684210526315785;0.0;0.0;0.02857142857142858;0.0;0.0;0.0;0.0;0.05882352941176472;0.05882352941176472;0.027027027027026973;0.05555555555555558;0.0;0.040000000000000036;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555558;0.0;0.2571428571428571;0.9655172413793104;0.0;0.0273972602739726;0.4838709677419355;0.23684210526315785;0.23684210526315785;0.0;0.0;0.0;0.052631578947368474;0.0;0.0;0.05555555555555558;0.20454545454545459;0.20454545454545459
GO:0021954;0.07692307692307687;0.09523809523809523;0.1428571428571429;0.0;0.0;0.5;0.0;0.1428571428571429;0.05882352941176472;1.0;0.0;0.0;0.06451612903225812;0.0;0.06451612903225812;0.0;0.18181818181818177;0.5;0.0;0.04166666666666663;0.16666666666666663;0.5;0.11764705882352944;0.0;0.07999999999999996;0.10526315789473684;0.125;0.0;0.05405405405405406;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.06896551724137934;0.1428571428571429;0.06896551724137934;0.16666666666666663;0.0;0.0;0.18181818181818177;0.0;0.1333333333333333;0.18181818181818177;0.0;0.0;0.04255319148936165;0.08695652173913049;0.0;0.0;0.04166666666666663;0.0;0.0;0.0;0.0;0.16666666666666663;0.16666666666666663;0.038461538461538436;0.1428571428571429;0.0;0.0714285714285714;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.09999999999999998;0.06060606060606055;0.0;0.039215686274509776;0.09090909090909094;0.08695652173913049;0.08695652173913049;0.0;0.0;0.0;0.125;0.0;0.0;0.1428571428571429;0.06896551724137934;0.06896551724137934
