;GO:0006281;GO:0008380;GO:0014065;GO:0007096;GO:0015031;GO:0045445;GO:0042177;GO:0008543;GO:0006366;GO:0021954;GO:0043388;GO:0008306;GO:0006367;GO:0045843;GO:0006368;GO:0032968;GO:0022011;GO:0035914;GO:0045892;GO:0000183;GO:0006914;GO:0060928;GO:0044242;GO:0070446;GO:0034983;GO:0071456;GO:0071219;GO:0017148;GO:0042789;GO:0061086;GO:0007221;GO:1900425;GO:0042147;GO:0043434;GO:1900226;GO:0001881;GO:0006412;GO:0048012;GO:0043161;GO:0007219;GO:0050684;GO:0010507;GO:0070827;GO:1900195;GO:0061433;GO:0007032;GO:0008284;GO:1900036;GO:0006342;GO:0006468;GO:0045944;GO:0045747;GO:0006348;GO:1900119;GO:0043524;GO:0000122;GO:0051147;GO:0034728;GO:0043491;GO:0006977;GO:0034605;GO:0051781;GO:0071872;GO:0010831;GO:0001649;GO:2000178;GO:2000777;GO:0045191;GO:0051987;GO:0010793;GO:0051028;GO:2000378;GO:0007281;GO:0045836;GO:0006471;GO:0006351;GO:0045599;GO:0061428;GO:0006397;GO:0090042;GO:0006479;GO:0060213;GO:0006357;GO:0010801;GO:0035729;GO:0045087;GO:0031641;GO:0034599;GO:0070933;GO:0070932
GO:0006281;1.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.0;0.0;0.6830074998557688;0.0;0.6830074998557688;0.0;0.5356143810225276;0.48300749985576874;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.6830074998557688;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.6830074998557688;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.6830074998557688;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.8;0.6830074998557688;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.6000000000000001;0.0;0.6830074998557688;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.6830074998557688;0.5356143810225276;0.5356143810225276
GO:0008380;0.6000000000000001;1.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.6000000000000001;0.8;0.6000000000000001;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.5356143810225276;0.0;0.43852901558847923;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.8;0.8
GO:0014065;0.5356143810225276;0.8;1.0;0.4;0.0;0.8;0.43852901558847923;0.8;0.8;0.8;0.48300749985576874;0.0;0.8;0.43852901558847923;0.8;0.3356143810225276;0.8;0.8;0.4;0.8;0.6830074998557688;0.8;0.6000000000000001;0.8;0.4;0.6000000000000001;0.8;0.4;0.8;0.3081136762725405;0.8;0.48300749985576874;0.0;0.0;0.43852901558847923;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.4;0.8;0.3660149997115376;0.6000000000000001;0.8;0.48300749985576874;0.48300749985576874;0.8;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.8;0.3660149997115376;0.4;0.3660149997115376;0.48300749985576874;0.8;0.8;0.8;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.8;0.43852901558847923;0.8;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.8;0.8;0.4;0.5356143810225276;0.3356143810225276;0.4;0.3081136762725405;0.48300749985576874;0.0;0.5356143810225276;0.6000000000000001;0.8;0.8
GO:0007096;0.0;0.0;0.4;1.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.0;0.3356143810225276;0.0;0.0;0.3660149997115376;0.0;0.2830074998557688;0.0;0.0;0.3660149997115376;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.5356143810225276;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.43852901558847923;0.3660149997115376;0.4;0.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.48300749985576874;0.4;0.0;0.3356143810225276;0.4;0.4;0.3660149997115376;0.4;0.3356143810225276;0.48300749985576874;0.0;0.43852901558847923;0.8;0.0;0.48300749985576874;0.0;0.3660149997115376;0.0;0.43852901558847923;0.4;0.4;0.6000000000000001;0.3660149997115376;0.0;0.43852901558847923;0.0;0.6000000000000001;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.3081136762725405;0.0;0.0;0.5356143810225276;0.0;0.0;0.0
GO:0015031;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045445;0.48300749985576874;0.8;0.8;0.0;0.0;1.0;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.6000000000000001;0.8;0.5356143810225276;0.0;0.3660149997115376;0.5356143810225276;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;0.43852901558847923;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.5356143810225276;0.0;0.43852901558847923;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.43852901558847923;0.8;0.0;0.8;0.8;0.3660149997115376;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.8;0.8
GO:0042177;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;1.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.0;0.4;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.6830074998557688;0.0;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.6830074998557688;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.0;0.43852901558847923;0.4;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.6000000000000001;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.4;0.5356143810225276;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.0
GO:0008543;0.5356143810225276;0.8;0.8;0.4;0.0;0.8;0.43852901558847923;1.0;0.8;0.8;0.48300749985576874;0.0;0.8;0.43852901558847923;0.8;0.3356143810225276;0.8;0.8;0.4;0.8;0.6830074998557688;0.8;0.6000000000000001;0.8;0.4;0.6000000000000001;0.8;0.4;0.8;0.3081136762725405;0.8;0.48300749985576874;0.0;0.0;0.43852901558847923;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.4;0.8;0.3660149997115376;0.6000000000000001;0.8;0.48300749985576874;0.48300749985576874;0.8;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.8;0.3660149997115376;0.4;0.3660149997115376;0.48300749985576874;0.8;0.8;0.8;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.8;0.43852901558847923;0.8;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.8;0.8;0.4;0.5356143810225276;0.3356143810225276;0.4;0.3081136762725405;0.48300749985576874;0.0;0.5356143810225276;0.6000000000000001;0.8;0.8
GO:0006366;0.6000000000000001;0.8;0.8;0.0;0.0;0.8;0.0;0.8;1.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.6000000000000001;0.8;0.6000000000000001;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.5356143810225276;0.8;0.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.5356143810225276;0.0;0.43852901558847923;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.5356143810225276;1.0;0.0;0.8;0.8;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.8;0.8
GO:0021954;0.5356143810225276;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.8;1.0;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.6830074998557688;0.8;0.6000000000000001;0.0;0.4;0.6000000000000001;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.6000000000000001;0.8;0.0;0.0;0.8;0.48300749985576874;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.6000000000000001;0.0;0.48300749985576874;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.8;0.0;0.8;0.8;0.4;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.8;0.8
