;GO:0045429;GO:0003091;GO:0033540;GO:1905004;GO:0055078;GO:1901642;GO:1901787;GO:0009436;GO:1904659;GO:0006544;GO:0006814;GO:0050796;GO:0019481;GO:0097267;GO:0002933;GO:0046487;GO:0019265;GO:0032305;GO:0010133;GO:0015721;GO:0032787;GO:0036101;GO:1905012;GO:0070837;GO:0006475;GO:1904823;GO:1904985;GO:0006139;GO:0006569;GO:0006625;GO:0019373;GO:0072531;GO:0015855;GO:0051259;GO:0106001
GO:0045429;1.0;0.35294117647058826;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.38095238095238093;0.42105263157894735;0.0;0.0;0.0;0.0;0.631578947368421;0.0;0.0;0.0;0.7058823529411765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0003091;0.35294117647058826;1.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3;0.2222222222222222;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666
GO:0033540;0.0;0.0;1.0;0.7;0.0;0.0;0.3333333333333333;0.8;0.0;0.2857142857142857;0.0;0.0;0.5833333333333334;0.7272727272727273;0.6666666666666666;0.7368421052631579;0.2608695652173913;0.0;0.34782608695652173;0.0;0.7777777777777778;0.8181818181818182;0.0;0.0;0.2857142857142857;0.0;0.0;0.375;0.6666666666666666;0.09090909090909091;0.7272727272727273;0.0;0.0;0.11764705882352941;0.0
GO:1905004;0.0;0.0;0.7;1.0;0.0;0.0;0.375;0.7777777777777778;0.0;0.3157894736842105;0.0;0.0;0.36363636363636365;0.7;0.375;0.8235294117647058;0.38095238095238093;0.0;0.38095238095238093;0.0;0.875;0.7;0.0;0.0;0.42105263157894735;0.0;0.0;0.5714285714285714;0.42105263157894735;0.1;0.7;0.0;0.0;0.13333333333333333;0.0
GO:0055078;0.3333333333333333;0.5882352941176471;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.3157894736842105;0.0;0.0;0.0;0.0;0.2857142857142857;0.21052631578947367;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901642;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5555555555555556;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.5;0.0;0.625;0.0;0.0;0.0;0.21052631578947367;0.0;0.7142857142857143;0.6666666666666666;0.0;0.5333333333333333
GO:1901787;0.0;0.0;0.3333333333333333;0.375;0.0;0.0;1.0;0.375;0.0;0.35294117647058826;0.0;0.0;0.3;0.3333333333333333;0.42857142857142855;0.4;0.3157894736842105;0.0;0.3157894736842105;0.0;0.42857142857142855;0.3333333333333333;0.0;0.0;0.35294117647058826;0.0;0.0;0.5;0.35294117647058826;0.1111111111111111;0.3333333333333333;0.0;0.0;0.15384615384615385;0.0
GO:0009436;0.0;0.0;0.8;0.7777777777777778;0.0;0.0;0.375;1.0;0.0;0.3157894736842105;0.0;0.0;0.6363636363636364;0.6;0.375;0.9411764705882353;0.2857142857142857;0.0;0.38095238095238093;0.0;0.875;0.4;0.0;0.0;0.3157894736842105;0.0;0.0;0.42857142857142855;0.7368421052631579;0.1;0.6;0.0;0.0;0.13333333333333333;0.0
GO:1904659;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;1.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.4444444444444444;0.0;0.5555555555555556;0.0;0.0;0.0;0.19047619047619047;0.0;0.625;0.5882352941176471;0.0;0.7058823529411765
GO:0006544;0.42105263157894735;0.3333333333333333;0.2857142857142857;0.3157894736842105;0.3157894736842105;0.0;0.35294117647058826;0.3157894736842105;0.0;1.0;0.0;0.3;0.6956521739130435;0.5714285714285714;0.35294117647058826;0.3333333333333333;0.9090909090909091;0.2;0.7272727272727273;0.0;0.7058823529411765;0.19047619047619047;0.2;0.0;0.3;0.0;0.2222222222222222;0.4;0.8;0.09523809523809523;0.5714285714285714;0.0;0.0;0.125;0.0
