;GO:1904753;GO:0008284;GO:0035065;GO:0055012;GO:0060065;GO:0007179;GO:0006366;GO:0001570;GO:0043388;GO:0051091;GO:0045944;GO:0006468;GO:0060765;GO:0003257;GO:0045987;GO:0000122;GO:0048681;GO:0001666;GO:0045892;GO:0030509;GO:0034720;GO:0071557;GO:0010832;GO:0016579;GO:0006351;GO:1900222;GO:0000226;GO:0001560;GO:1904706;GO:0045736;GO:0006357;GO:0006511;GO:2000727;GO:0045661;GO:2000724;GO:0010501;GO:2000587;GO:2000721;GO:0010667;GO:0035886;GO:0030511;GO:2001015
GO:1904753;1.0;0.03244546911032127;0.03244546911032127;0.0;0.0;0.03244546911032127;0.0;0.0;0.01372114911181041;0.028659235217474235;0.005439344724655555;0.0;0.03244546911032127;0.004028724716098102;0.018197804502348085;0.013029324657314607;0.02723178218610226;0.0;0.015136182446102072;0.02818051988402438;0.0;0.0;0.09752770986583613;0.0;0.0;0.03244546911032127;0.0;0.03244546911032127;0.09752770986583613;0.00817670816028979;0.03203300198081839;0.0;0.011920627753581966;0.03244546911032127;0.013535475992056019;0.0;0.09752770986583613;0.005424363071568242;0.09752770986583613;0.0;0.023048970435878887;0.0634947599520639
GO:0008284;0.03244546911032127;1.0;0.043980068128400315;0.0;0.0;0.18324392195747494;0.0;0.0;0.07749362995684445;0.028659235217474235;0.016294308724158792;0.0;0.18244428980202534;0.012068601570919634;0.12009607890475425;0.004334589126298501;0.009059455501965847;0.0;0.00503549750813152;0.02818051988402438;0.0;0.0;0.04463224686243799;0.0;0.0;0.10277666372112565;0.0;0.18324392195747494;0.1488558291574728;0.0027202231284190912;0.03203300198081839;0.0;0.03570988761241643;0.18324392195747494;0.040547388648357205;0.0;0.034212906068069524;0.01624942911219076;0.05322056358696159;0.0;0.06904637581689624;0.021123404574207173
GO:0035065;0.03244546911032127;0.043980068128400315;1.0;0.0;0.0;0.043980068128400315;0.0;0.0;0.018599116896275504;0.08197422629495915;0.015558198673889911;0.0;0.043980068128400315;0.011523391641524279;0.02466725566763285;0.01239825791716216;0.01369878488574844;0.0;0.014403071439519554;0.08060495322199318;0.0;0.0;0.043980068128400315;0.0;0.0;0.02466725566763285;0.0;0.06650217470804773;0.043980068128400315;0.024924421197589225;0.09162423677242502;0.0;0.011920627753581966;0.043980068128400315;0.013535475992056019;0.0;0.034212906068069524;0.015515346538753272;0.043980068128400315;0.0;0.023048970435878887;0.021123404574207173
GO:0055012;0.0;0.0;0.0;1.0;0.0675267469225723;0.07118576870710282;0.00576711589335461;0.3527095929752266;0.0;0.0;0.0;0.018943192534739486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011917507312416479;0.009656378831983189;0.009656378831983189;0.0;0.016620707704463857;0.005791764842280598;0.0;0.07118576870710282;0.0;0.0;0.0;0.0;0.021522845044846663;0.0;0.0;0.0;0.029260063039536044;0.0;0.0;0.0;0.44534711288256273;0.0;0.0
GO:0060065;0.0;0.0;0.0;0.0675267469225723;1.0;0.0;0.0;0.0675267469225723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0675267469225723;0.0;0.0
GO:0007179;0.03244546911032127;0.18324392195747494;0.043980068128400315;0.07118576870710282;0.0;1.0;0.00576711589335461;0.11260476012938384;0.10352801554252336;0.028659235217474235;0.005439344724655555;0.018943192534739486;0.18244428980202534;0.004028724716098102;0.06735871064080441;0.004334589126298501;0.009059455501965847;0.0;0.00503549750813152;0.09949346357207109;0.009656378831983189;0.009656378831983189;0.04463224686243799;0.016620707704463857;0.005791764842280598;0.10855572135647885;0.1111033070426179;0.26626882607873675;0.09844323943383655;0.0027202231284190912;0.03203300198081839;0.021522845044846663;0.011920627753581966;0.26626882607873675;0.013535475992056019;0.029260063039536044;0.034212906068069524;0.005424363071568242;0.05322056358696159;0.11260476012938384;0.023048970435878887;0.021123404574207173
GO:0006366;0.0;0.0;0.0;0.00576711589335461;0.0;0.00576711589335461;1.0;0.00576711589335461;0.0;0.0;0.0;0.05214194580361808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00576711589335461;0.05214194580361808;0.05214194580361808;0.0;0.05214194580361808;0.995744138514387;0.0;0.00576711589335461;0.0;0.0;0.0;0.0;0.05214194580361808;0.0;0.0;0.0;0.1922461454078232;0.0;0.0;0.0;0.00576711589335461;0.0;0.0
GO:0001570;0.0;0.0;0.0;0.3527095929752266;0.0675267469225723;0.11260476012938384;0.00576711589335461;1.0;0.0;0.0;0.0;0.018943192534739486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011917507312416479;0.009656378831983189;0.009656378831983189;0.0;0.016620707704463857;0.005791764842280598;0.0;0.1111033070426179;0.0;0.0;0.0;0.0;0.021522845044846663;0.0;0.0;0.0;0.029260063039536044;0.0;0.0;0.0;0.7139515671893969;0.0;0.0
GO:0043388;0.01372114911181041;0.07749362995684445;0.018599116896275504;0.0;0.0;0.10352801554252336;0.0;0.0;1.0;0.024361933213906894;0.0023002922159567813;0.0;0.07715546649857495;0.0017037427436188103;0.05078848454287505;0.0018330924277329649;0.0038312326257826062;0.0;0.002129505723165616;0.011917507312416479;0.0;0.0;0.018874922483393248;0.0;0.0;0.08185104084837239;0.0;0.10352801554252336;0.04163152527486914;0.0015257011241051578;0.013546717268387652;0.0;0.005041218863476131;0.10352801554252336;0.005724136203882169;0.0;0.01446859603453879;0.0022939564932321853;0.02250691109776519;0.0;0.009747381341569156;0.008933061899221982
GO:0051091;0.028659235217474235;0.028659235217474235;0.08197422629495915;0.0;0.0;0.028659235217474235;0.0;0.0;0.024361933213906894;1.0;0.16760549890937199;0.0;0.028659235217474235;0.1241392943803354;0.028659235217474235;0.13356406145528946;0.009059455501965847;0.0;0.155161534124081;0.8683417458867676;0.0;0.0;0.028659235217474235;0.0;0.0;0.01607420616731041;0.0;0.028659235217474235;0.028659235217474235;0.007780674697343178;0.8830926628372483;0.0;0.011920627753581966;0.028659235217474235;0.013535475992056019;0.0;0.028659235217474235;0.16714386105273749;0.028659235217474235;0.0;0.023048970435878887;0.021123404574207173
