;GO:1904753;GO:0008284;GO:0035065;GO:0055012;GO:0060065;GO:0007179;GO:0006366;GO:0001570;GO:0043388;GO:0051091;GO:0045944;GO:0006468;GO:0060765;GO:0003257;GO:0045987;GO:0000122;GO:0048681;GO:0001666;GO:0045892;GO:0030509;GO:0034720;GO:0071557;GO:0010832;GO:0016579;GO:0006351;GO:1900222;GO:0000226;GO:0001560;GO:1904706;GO:0045736;GO:0006357;GO:0006511;GO:2000727;GO:0045661;GO:2000724;GO:0010501;GO:2000587;GO:2000721;GO:0010667;GO:0035886;GO:0030511;GO:2001015
GO:1904753;1.0;0.19047619047619047;0.12121212121212122;0.0;0.0;0.17391304347826086;0.0;0.0;0.08695652173913049;0.10810810810810811;0.08163265306122447;0.0;0.17391304347826086;0.07547169811320753;0.11538461538461542;0.125;0.11764705882352944;0.0;0.13043478260869568;0.10256410256410253;0.0;0.0;0.2222222222222222;0.0;0.0;0.19047619047619047;0.0;0.19047619047619047;0.26086956521739135;0.10344827586206895;0.12121212121212122;0.0;0.09523809523809523;0.19999999999999996;0.10526315789473684;0.0;0.2068965517241379;0.07999999999999996;0.2068965517241379;0.0;0.11764705882352944;0.17647058823529416
GO:0008284;0.19047619047619047;1.0;0.18181818181818177;0.0;0.0;0.33333333333333337;0.0;0.0;0.16666666666666663;0.19999999999999996;0.16666666666666663;0.0;0.33333333333333337;0.15000000000000002;0.2857142857142857;0.10256410256410253;0.09523809523809523;0.0;0.10810810810810811;0.1428571428571429;0.0;0.0;0.2222222222222222;0.0;0.0;0.2727272727272727;0.0;0.4;0.3846153846153846;0.08163265306122447;0.18181818181818177;0.0;0.2068965517241379;0.4444444444444444;0.24;0.0;0.19999999999999996;0.16216216216216217;0.19999999999999996;0.0;0.2857142857142857;0.16000000000000003
GO:0035065;0.12121212121212122;0.18181818181818177;1.0;0.0;0.0;0.16666666666666663;0.0;0.0;0.08333333333333337;0.2727272727272727;0.19999999999999996;0.0;0.16666666666666663;0.18367346938775508;0.11111111111111116;0.19565217391304346;0.09433962264150941;0.0;0.20454545454545459;0.2571428571428571;0.0;0.0;0.1333333333333333;0.0;0.0;0.13043478260869568;0.0;0.23809523809523814;0.15384615384615385;0.2264150943396226;0.31034482758620685;0.0;0.09302325581395354;0.19047619047619047;0.10256410256410253;0.0;0.125;0.19565217391304346;0.125;0.0;0.11428571428571432;0.10810810810810811
GO:0055012;0.0;0.0;0.0;1.0;0.1428571428571429;0.125;0.05555555555555558;0.5555555555555556;0.0;0.0;0.0;0.07999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0625;0.0625;0.0;0.07999999999999996;0.05714285714285716;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.07407407407407407;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.0;0.6;0.0;0.0
GO:0060065;0.0;0.0;0.0;0.1428571428571429;1.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.0
GO:0007179;0.17391304347826086;0.33333333333333337;0.16666666666666663;0.125;0.0;1.0;0.05555555555555558;0.16666666666666663;0.1428571428571429;0.1428571428571429;0.09999999999999998;0.07999999999999996;0.2857142857142857;0.09090909090909094;0.17647058823529416;0.09756097560975607;0.09090909090909094;0.0;0.10256410256410253;0.36;0.0625;0.0625;0.19999999999999996;0.07999999999999996;0.05714285714285716;0.23076923076923073;0.1428571428571429;0.33333333333333337;0.25;0.07843137254901966;0.16666666666666663;0.07407407407407407;0.12121212121212122;0.36363636363636365;0.13793103448275867;0.09090909090909094;0.18181818181818177;0.09756097560975607;0.18181818181818177;0.1428571428571429;0.16000000000000003;0.14814814814814814
GO:0006366;0.0;0.0;0.0;0.05555555555555558;0.0;0.05555555555555558;1.0;0.0625;0.0;0.0;0.0;0.23684210526315785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538436;0.19999999999999996;0.19999999999999996;0.0;0.23684210526315785;0.9655172413793104;0.0;0.05882352941176472;0.0;0.0;0.0;0.0;0.22499999999999998;0.0;0.0;0.0;0.5172413793103448;0.0;0.0;0.0;0.05882352941176472;0.0;0.0
GO:0001570;0.0;0.0;0.0;0.5555555555555556;0.19999999999999996;0.16666666666666663;0.0625;1.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.0;0.09523809523809523;0.06451612903225812;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.7142857142857143;0.0;0.0
GO:0043388;0.08695652173913049;0.16666666666666663;0.08333333333333337;0.0;0.0;0.1428571428571429;0.0;0.0;1.0;0.15384615384615385;0.050000000000000044;0.0;0.1428571428571429;0.045454545454545414;0.125;0.04878048780487809;0.045454545454545414;0.0;0.05128205128205132;0.06666666666666665;0.0;0.0;0.09999999999999998;0.0;0.0;0.16666666666666663;0.0;0.16666666666666663;0.125;0.06000000000000005;0.08333333333333337;0.0;0.06060606060606055;0.18181818181818177;0.06896551724137934;0.0;0.09090909090909094;0.04878048780487809;0.09090909090909094;0.0;0.07999999999999996;0.07407407407407407
GO:0051091;0.10810810810810811;0.19999999999999996;0.2727272727272727;0.0;0.0;0.1428571428571429;0.0;0.0;0.15384615384615385;1.0;0.5263157894736843;0.0;0.1428571428571429;0.47619047619047616;0.1333333333333333;0.475;0.06896551724137934;0.0;0.5;0.6551724137931034;0.0;0.0;0.11764705882352944;0.0;0.0;0.11111111111111116;0.0;0.15384615384615385;0.1333333333333333;0.1694915254237288;0.8260869565217391;0.0;0.10869565217391308;0.16000000000000003;0.11904761904761907;0.0;0.11111111111111116;0.5128205128205128;0.11111111111111116;0.0;0.13157894736842102;0.09756097560975607
