;GO:0090656;GO:0007095;GO:0006281;GO:0006289;GO:0046777;GO:0000733;GO:0045003;GO:0000732;GO:0000731;GO:0043987;GO:0045893;GO:0070244;GO:0071139;GO:0016055;GO:0090305;GO:0010792;GO:0010032;GO:0044806;GO:0051260;GO:0090263;GO:0007026;GO:0006406;GO:0010705;GO:0032355;GO:0070317;GO:0043967;GO:0008360;GO:0043968;GO:1904874;GO:0007076;GO:0007077;GO:0006260;GO:1905168;GO:0008284;GO:0000712;GO:0045787;GO:0046632;GO:0006303;GO:0006468;GO:0045944;GO:1904837;GO:0000079;GO:0000122;GO:0051782;GO:0046641;GO:0032508;GO:0000083;GO:0000281;GO:0000082;GO:0071479;GO:0031297;GO:0051307;GO:0030521;GO:0016579;GO:0006270;GO:0007084;GO:0007088;GO:0006351;GO:0090166;GO:0006310;GO:0000724;GO:0000723;GO:0045950;GO:0061820;GO:0007129;GO:0034080;GO:0006357;GO:1903827;GO:0048478;GO:0000492;GO:0072355;GO:0072711;GO:1901291;GO:0072757
GO:0090656;1.0;0.1038156395465948;0.7826545734215429;0.7691761181548354;0.5094223183512891;0.8583645390983534;0.7199117071236825;0.8715882804105198;0.6964598960094867;0.504092881818945;0.0;0.0;0.8715485404451087;0.1775069280386548;0.81565854042698;0.8551132309461053;0.2785475850419459;0.31493519501931905;0.37016981366951984;0.0;0.0;0.0;0.7924878838716142;0.0;0.0;0.5143532181722821;0.0;0.5144588953532141;0.0;0.2919290081425737;0.2926831589302567;0.7794864465548546;0.0;0.0;0.19843734847704053;0.0;0.1604897139672253;0.7437127137800883;0.5190949449377973;0.0;0.3805476434374782;0.0;0.0;0.0;0.0;0.3147655076480029;0.12463814622131739;0.1986572180314551;0.19312382859445557;0.17697854858212406;0.8547843929641327;0.19861970706495574;0.16994700714954838;0.5208793852813683;0.8712213787030016;0.30729509728410126;0.0;0.6477913219087086;0.3149256001952414;0.8707218542160187;0.7312032784542911;0.8024217780232334;0.0;0.7780152560247454;0.29843505565227274;0.28388182881088636;0.0;0.0;0.5046148973796938;0.3442694556928692;0.504405062051072;0.1533838344930436;0.0;0.12570980736161066
GO:0007095;0.1038156395465948;1.0;0.2631545589437276;0.2595184008173502;0.10617303156365816;0.10087820154401002;0.2460110393064566;0.11119158828638057;0.09292443580529695;0.09192341983463387;0.16109187424120347;0.2831705084336044;0.11118762484123985;0.3131301492240843;0.11526751119378345;0.10954166806835144;0.16052972088675602;0.1360790014488965;0.13538286560121127;0.21113234491775715;0.26716055986087023;0.0;0.13332589588554564;0.1151785860069951;0.46838874661656216;0.09345127224282032;0.24598563114697533;0.0934669503203593;0.20115489940876757;0.2031831681270747;0.20357527417869542;0.1017891262363955;0.1676452556926206;0.2544710611258057;0.18460853811716962;0.2947604025113491;0.1220471721739804;0.2525798024569613;0.10776261647081843;0.15698424546545622;0.13814927383312203;0.21671058065820387;0.2121480459502661;0.34858103760609344;0.16621660970793298;0.13602525580408112;0.29621627442729115;0.2257396872727179;0.2211801450262116;0.2190452463245818;0.10950859692039613;0.1847306048510074;0.303129686657891;0.10805450080296161;0.1111549925343418;0.21107282472245187;0.35462489750725124;0.09112143673634876;0.13607596286097667;0.11110515782269992;0.24913747991606222;0.1405550385874921;0.262870334349406;0.13706157813553557;0.16904927208376394;0.11067978127852797;0.19842167520692824;0.20149370189150198;0.21707429001239062;0.1282954378739191;0.09197007164868708;0.19659924438849272;0.23792258210644573;0.16814773582452047
GO:0006281;0.7826545734215429;0.2631545589437276;1.0;0.9831174800251885;0.49872346717084554;0.7555873649949362;0.9213118558294958;0.8522011006915501;0.6840253629219547;0.4184946136543254;0.0;0.0;0.8521631089376933;0.1726062855626752;0.7966759253579173;0.8364442004993147;0.1600103802194445;0.18031023318609074;0.1790900333156383;0.0;0.0;0.0;0.7764275441214893;0.15226959386370217;0.0;0.426859560127692;0.0;0.4269456843725627;0.0;0.16749134489619824;0.16791241052656275;0.7639435835467647;0.0;0.0;0.19233274103999903;0.0;0.15647302875746338;0.951191339096182;0.507990377149925;0.0;0.18396314312537768;0.0;0.0;0.0;0.0;0.1802158822854674;0.12220196123687299;0.1925392837659291;0.18733700116311947;0.2870045620283493;0.8361295616705338;0.19250404742650495;0.1654496187369048;0.5096991623321535;0.8518503365275001;0.1760592180325006;0.0;0.6364942254720125;0.18030489827510665;0.8513727722100985;0.9354916936420267;0.7072520280454558;0.0;0.6861254459167853;0.1711219554893567;0.13826671900086332;0.0;0.0;0.49805497778594326;0.16689380983733856;0.41874921341103516;0.24965747804952837;0.0;0.20550129101447553
GO:0006289;0.7691761181548354;0.2595184008173502;0.9831174800251885;1.0;0.4898977967760575;0.7430175763023196;0.906962648328766;0.8362452502268004;0.6737075459501809;0.4122623479773309;0.0;0.0;0.8362086677713958;0.1686131667181133;0.7810829902061223;0.8210676083135934;0.15657298760103897;0.1759572040719571;0.17479501901389108;0.0;0.0;0.0;0.7631608949358908;0.1486267506945363;0.0;0.4203775906319378;0.0;0.4204611188439176;0.0;0.16372880082895905;0.16413113849315486;0.7510965965567711;0.0;0.0;0.18738782706740453;0.0;0.15318437536573482;0.9359040295814548;0.49883668538905834;0.0;0.1794341662163761;0.0;0.0;0.0;0.0;0.17586735266306247;0.12018684886663526;0.18758388039694718;0.1826424989427991;0.28038370016726843;0.8207644292481957;0.18755043432208202;0.1617772410524178;0.5004843429074517;0.8359074952862326;0.17190666088827453;0.0;0.6271129791582205;0.1759521236376211;0.8354476346172756;0.9207009375518167;0.6962272608291187;0.0;0.6757446572578417;0.1671964381498029;0.13569254563944527;0.0;0.0;0.4925623183463582;0.16315776465534715;0.41250941890684856;0.24463252802980792;0.0;0.20208448370339605
GO:0046777;0.5094223183512891;0.10617303156365816;0.49872346717084554;0.4898977967760575;1.0;0.4909532507180442;0.45771200009909146;0.557171785050584;0.44243013887286486;0.8002905544550838;0.0;0.0;0.5571455838891984;0.1845117003968627;0.5286829507735565;0.5463159575942093;0.17019036532062615;0.19334223476241352;0.1919399657745872;0.0;0.0;0.0;0.5051676903595448;0.0;0.0;0.6761518496142948;0.0;0.6762942555733044;0.0;0.17867874795547775;0.17915802186364513;0.49664821554194527;0.0;0.0;0.2072323469350456;0.0;0.16619421839044077;0.4732476660490508;0.9804408562649994;0.0;0.19754841672119985;0.0;0.0;0.0;0.0;0.19323375659401879;0.1280515739231973;0.2074721499750871;0.2014442544402948;0.18394086339234264;0.5460994089007625;0.20743123657888166;0.17635705337754257;0.8143011914974098;0.5569298840437849;0.18846283978935108;0.0;0.4317220440406627;0.19333610083027658;0.5566005541295561;0.46507906191309234;0.4581306097108151;0.0;0.4438478172992625;0.18281655259185212;0.14580283620576873;0.0;0.0;0.3183747093541762;0.17799888562776434;0.800798355691967;0.1585861867321785;0.0;0.1291830037947816
GO:0000733;0.8583645390983534;0.10087820154401002;0.7555873649949362;0.7430175763023196;0.4909532507180442;1.0;0.6969466554387476;0.8381516400556318;0.6749443326772571;0.48871850563137076;0.0;0.0;0.8381148906195904;0.16908837129681825;0.7829445991562808;0.8229053490982609;0.4024462504960704;0.5005168222399339;0.2973634654691207;0.0;0.0;0.0;0.7647483084846182;0.0;0.0;0.49835654106657673;0.0;0.4984557465887133;0.0;0.4208894746690263;0.2791721733059154;0.7526341675359696;0.0;0.0;0.18797493331961998;0.0;0.15357649140044705;0.7192298856597834;0.49993105029104923;0.0;0.3052793148745107;0.0;0.0;0.0;0.0;0.5002604851584428;0.12042809488565814;0.1881722177328009;0.18320020219870192;0.1686088541906931;0.8226008115948183;0.18813856154747632;0.16221464517932097;0.5015859571056157;0.8378123437110347;0.29243563496987324;0.0;0.6282378467725142;0.3541659352706622;0.8373503853915765;0.7075240266771785;0.8442600122237889;0.0;0.8193766358116684;0.3837612167929577;0.23069105855771319;0.0;0.0;0.4932231031473113;0.2775120380556034;0.48901192828130313;0.14705717579697794;0.0;0.12142829071410552
GO:0045003;0.7199117071236825;0.2460110393064566;0.9213118558294958;0.906962648328766;0.45771200009909146;0.6969466554387476;1.0;0.7783383446368876;0.6356105463122254;0.38922958722481976;0.0;0.0;0.778306653071452;0.1544180862190317;0.7247192214910161;0.7651733710228532;0.1442587582732416;0.16055512221982451;0.15958693203960697;0.0;0.0;0.0;0.7146396971757104;0.1357243881124508;0.0;0.3964554298241142;0.0;0.39652972111443774;0.0;0.15031149031017504;0.150650519773721;0.704050065682909;0.0;0.0;0.17001839943234698;0.0;0.14137729932278062;0.9101874594790845;0.4655055773026469;0.0;0.16344502775992303;0.0;0.0;0.0;0.0;0.16048030896837348;0.11279592756819382;0.17017977627094005;0.16610282068162321;0.25684011250711286;0.7649100582154554;0.17015224810942728;0.14866507090667283;0.4669400890679655;0.7780457385328016;0.1571758476041031;0.0;0.5924171132011611;0.16055089226074395;0.8129082817140421;0.9857478175548122;0.6556175530743242;0.0;0.6374234714582371;0.15322901648460183;0.12634570812564092;0.0;0.0;0.4718835672408628;0.14983007270967852;0.3894498146770682;0.22651618749911137;0.0;0.1895606257943001
GO:0000732;0.8715882804105198;0.11119158828638057;0.8522011006915501;0.8362452502268004;0.557171785050584;0.8381516400556318;0.7783383446368876;1.0;0.7509977412393941;0.45888895940534685;0.0;0.0;0.9586697363302592;0.2002158746387467;0.9014661576389555;0.9388218221168402;0.183463626158691;0.21065607507562778;0.20899249442651766;0.0;0.0;0.0;0.8638726581273666;0.0;0.0;0.46896610053134014;0.0;0.469070055905747;0.0;0.1933661885438804;0.19392761752357915;0.8484462704708311;0.0;0.0;0.22725207066321432;0.0;0.1788283365258674;0.8062342561831498;0.5687633037051838;0.0;0.21565906319265596;0.0;0.0;0.0;0.0;0.21052730497596517;0.13542333248616092;0.22754047636597172;0.22031037094888675;0.1995439091461881;0.9384254667665325;0.22749126618539023;0.1906500198188443;0.5709062655645262;0.95827391327059;0.2048767105192633;0.0;0.6972279968745081;0.21064879338470288;0.9576696110560364;0.7915539160103565;0.7790886614645453;0.0;0.7535299521614637;0.1982214514912921;0.15543697723577435;0.0;0.0;0.532640671932067;0.1925702116927911;0.45919509861746893;0.17005015779311156;0.0;0.13668942592242922
GO:0000731;0.6964598960094867;0.09292443580529695;0.6840253629219547;0.6737075459501809;0.44243013887286486;0.6749443326772571;0.6356105463122254;0.7509977412393941;1.0;0.3781230606745565;0.0;0.0;0.7509682369796954;0.14787310597085598;0.6982297106222852;0.7387341261343341;0.13853067757762133;0.15349146872712444;0.15260636114535828;0.0;0.0;0.0;0.6915245956004286;0.0;0.0;0.38493880258435387;0.0;0.3850088400107163;0.0;0.14410299760321887;0.14441456976892744;0.8650339477540908;0.0;0.0;0.16211801576572513;0.0;0.13587139457597358;0.6540922052825725;0.4497078502350996;0.0;0.15613059410503544;0.0;0.0;0.0;0.0;0.1534230921139121;0.1092633720270781;0.16226473692883223;0.15855406502586836;0.14750623819302502;0.7384886926708644;0.16223970969343968;0.14258909243211557;0.45104650891570597;0.7507253271751417;0.1504001344060086;0.0;0.8964980111570376;0.15348760277187876;0.7503543934583542;0.6443963435950494;0.6361108264470722;0.0;0.6189691495199487;0.14678234108024293;0.12193008155877164;0.0;0.0;0.46169321068755204;0.14366046926323375;0.37833089586357577;0.13074349891886175;0.0;0.11008607740764811
GO:0043987;0.504092881818945;0.09192341983463387;0.4184946136543254;0.4122623479773309;0.8002905544550838;0.48871850563137076;0.38922958722481976;0.45888895940534685;0.3781230606745565;1.0;0.0;0.0;0.45887118638938357;0.14535425858023351;0.43169918882949443;0.4514997989026471;0.23122967899480976;0.25576036888419346;0.25431144054706195;0.0;0.0;0.0;0.4230228480645227;0.0;0.0;0.7616302129787839;0.0;0.7617671604884445;0.0;0.2403763041906526;0.24088738422203582;0.4170323633791497;0.0;0.0;0.15909546242866515;0.0;0.13374188125416597;0.4004074054189429;0.8132747004808272;0.0;0.2600788864634134;0.0;0.0;0.0;0.0;0.2556484463342176;0.10788200680959088;0.15923676122443495;0.1556617591779716;0.14499976771098944;0.45135188370587015;0.15921265925675285;0.1402456164813761;0.6750544020848879;0.45872485965384435;0.2506985436507252;0.0;0.37027396502612325;0.25575404092591086;0.4585014098506687;0.3945442633781536;0.46093760695948427;0.0;0.44866173938695325;0.2447701029978955;0.23859340003569215;0.0;0.0;0.28365971257859335;0.23965035021046097;0.8934409276463444;0.12877052443730044;0.0;0.10868396519418623
