;GO:0006284;GO:0006261;GO:0015031;GO:0006288;GO:0043320;GO:0006286;GO:0006287;GO:0042058;GO:0007259;GO:0000398;GO:0043304;GO:1903307;GO:0045471;GO:0048488;GO:0071897;GO:0051607;GO:0051402;GO:0016579;GO:0071707;GO:0006290;GO:0007186;GO:0006351;GO:0050709;GO:0060338;GO:0008630;GO:0043312;GO:1900026;GO:0007249;GO:0060337;GO:0002467;GO:0030856;GO:0001558;GO:2000825;GO:0006909;GO:0016485
GO:0006284;1.0;0.5714285714285714;0.0;0.6666666666666667;0.04878048780487809;0.5925925925925926;0.7272727272727273;0.0;0.0714285714285714;0.48275862068965514;0.0;0.0;0.06896551724137934;0.0;0.5;0.09375;0.07692307692307687;0.29032258064516125;0.5161290322580645;1.0;0.07692307692307687;0.4285714285714286;0.0;0.0;0.24137931034482762;0.04761904761904767;0.0;0.07407407407407407;0.0714285714285714;0.0714285714285714;0.0;0.0;0.0;0.0;0.23076923076923073
GO:0006261;0.5714285714285714;1.0;0.0;0.6666666666666667;0.04878048780487809;0.5925925925925926;0.7272727272727273;0.0;0.0714285714285714;0.48275862068965514;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.07692307692307687;0.29032258064516125;0.5161290322580645;0.5714285714285714;0.07692307692307687;0.6666666666666667;0.0;0.0;0.05882352941176472;0.04761904761904767;0.0;0.07407407407407407;0.0714285714285714;0.0;0.0;0.0;0.0;0.0;0.23076923076923073
GO:0015031;0.0;0.0;1.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13793103448275867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0
GO:0006288;0.6666666666666667;0.6666666666666667;0.0;1.0;0.05405405405405406;0.6956521739130435;0.8888888888888888;0.0;0.08333333333333337;0.56;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.09090909090909094;0.33333333333333337;0.5925925925925926;0.6666666666666667;0.09090909090909094;0.4838709677419355;0.0;0.0;0.06666666666666665;0.052631578947368474;0.0;0.08695652173913049;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.2727272727272727
GO:0043320;0.04878048780487809;0.04878048780487809;0.1428571428571429;0.05405405405405406;1.0;0.050000000000000044;0.05714285714285716;0.0;0.07407407407407407;0.050000000000000044;0.0;0.0;0.0;0.19999999999999996;0.0444444444444444;0.09677419354838712;0.07999999999999996;0.05405405405405406;0.06976744186046513;0.04878048780487809;0.07999999999999996;0.04255319148936165;0.0;0.0;0.06060606060606055;0.6538461538461539;0.0;0.07692307692307687;0.07407407407407407;0.07407407407407407;0.0;0.0;0.0;0.21739130434782605;0.0
GO:0006286;0.5925925925925926;0.5925925925925926;0.0;0.6956521739130435;0.050000000000000044;1.0;0.7619047619047619;0.0;0.07407407407407407;0.5;0.0;0.0;0.0;0.0;0.5161290322580645;0.0;0.07999999999999996;0.30000000000000004;0.5333333333333333;0.5925925925925926;0.07999999999999996;0.4411764705882353;0.0;0.0;0.06060606060606055;0.04878048780487809;0.0;0.07692307692307687;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.24
GO:0006287;0.7272727272727273;0.7272727272727273;0.0;0.8888888888888888;0.05714285714285716;0.7619047619047619;1.0;0.0;0.09090909090909094;0.6086956521739131;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.09999999999999998;0.36;0.64;0.7272727272727273;0.09999999999999998;0.5172413793103448;0.0;0.0;0.0714285714285714;0.05555555555555558;0.0;0.09523809523809523;0.09090909090909094;0.0;0.0;0.0;0.0;0.0;0.30000000000000004
GO:0042058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3076923076923077;0.0;0.16129032258064513;0.18181818181818177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.14814814814814814;0.5;0.21052631578947367;0.0;0.1428571428571429;0.33333333333333337;0.3076923076923077;0.0;0.3076923076923077;0.36363636363636365;0.19512195121951215;0.0;0.0
GO:0007259;0.0714285714285714;0.0714285714285714;0.0;0.08333333333333337;0.07407407407407407;0.07407407407407407;0.09090909090909094;0.3076923076923077;1.0;0.07407407407407407;0.12903225806451613;0.19047619047619047;0.0;0.0;0.0625;0.0;0.16666666666666663;0.08333333333333337;0.06451612903225812;0.0714285714285714;0.75;0.05882352941176472;0.15384615384615385;0.21052631578947367;0.4666666666666667;0.0714285714285714;0.14814814814814814;0.875;0.6;0.0;0.33333333333333337;0.4;0.09090909090909094;0.0;0.0
GO:0000398;0.48275862068965514;0.48275862068965514;0.0;0.56;0.050000000000000044;0.5;0.6086956521739131;0.0;0.07407407407407407;1.0;0.0;0.0;0.0;0.0;0.4242424242424242;0.0;0.07999999999999996;0.25806451612903225;0.4375;0.48275862068965514;0.07999999999999996;0.4411764705882353;0.0;0.0;0.06060606060606055;0.04878048780487809;0.0;0.07692307692307687;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.24
