;GO:0007050;GO:1902230;GO:0035520;GO:0006284;GO:0051291;GO:0051092;GO:1905705;GO:0030307;GO:0051289;GO:0045892;GO:0045893;GO:0010977;GO:0071333;GO:0043154;GO:0010976;GO:0010972;GO:0045859;GO:0065003;GO:0060271;GO:0090263;GO:0051260;GO:1905515;GO:0006898;GO:1903779;GO:0042304;GO:0045019;GO:0043280;GO:0010629;GO:0006729;GO:0014047;GO:0042438;GO:0042759;GO:1902017;GO:0006388;GO:0045586;GO:0006468;GO:0045944;GO:0045746;GO:0061512;GO:0000122;GO:0097421;GO:0034644;GO:0070588;GO:0035735;GO:0071356;GO:0016236;GO:0060575;GO:0006351;GO:0090200;GO:0051281;GO:0006633;GO:0006357;GO:0006511;GO:0019370;GO:1990830;GO:0002943;GO:0048675;GO:0010803;GO:2001236;GO:2000785;GO:0097756;GO:0032496;GO:0015813;GO:0035721
GO:0007050;1.0;0.31795619593411634;0.18284778350962144;0.16671448797624616;0.27219945231774706;0.26858350092119304;0.21449205441520358;0.42168511240170625;0.2503556358629124;0.2989176286679829;0.21923974608177757;0.3484871482763428;0.20540798928369938;0.2648130751337898;0.2504316417228394;0.5512157673608391;0.2992673698207165;0.29831154850142216;0.23138571037597122;0.3289539119182499;0.27219945231774706;0.22315344588864167;0.0;0.36726892370642594;0.3629965507480168;0.3744812742027966;0.1903006977560495;0.4399292871403848;0.11912935438694647;0.18785802024855472;0.17181848757429544;0.159285083780368;0.3905786392247032;0.16803799458297533;0.318843629166156;0.18801046517197956;0.2105550922367377;0.4881320952439431;0.0;0.2873069968692004;0.0;0.23037081832810966;0.0;0.19916881364972286;0.23968545277087988;0.2712850793786523;0.28473992861482855;0.1442542644782804;0.23862714871896037;0.20840951869088187;0.16780468758669156;0.30961417697650045;0.17720211739919736;0.1775856380324253;0.23968545277087988;0.16352005134576977;0.25933329689519447;0.421599410757421;0.3897359347819036;0.3506430626957138;0.22937655252888428;0.0;0.0;0.19916881364972286
GO:1902230;0.31795619593411634;1.0;0.0;0.0;0.0;0.17493097638675484;0.0;0.22910865276394313;0.0;0.20929906919987973;0.15256646666283064;0.23245028452272337;0.09986604398753564;0.3510397089714051;0.16704504661175612;0.2666913708266803;0.18744855224565485;0.0;0.0;0.3547453746688423;0.0;0.0;0.0;0.23967207775781718;0.21060831317330428;0.2437354280977093;0.21855460464783902;0.23438986225418346;0.0;0.0;0.0;0.0;0.21960610799889133;0.0;0.19494556140347447;0.0;0.14830954494316007;0.6068703195029403;0.0;0.2035397047808204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.413827337692817;0.12777740272301708;0.0;0.19145608814249668;0.0;0.0;0.0;0.0;0.0;0.4090328373754433;0.5613080876766825;0.2063895507824566;0.12936765005266224;0.0;0.0;0.0
GO:0035520;0.18284778350962144;0.0;1.0;0.4540743757840836;0.19556793398049202;0.0;0.16388839298504682;0.0;0.184031446809649;0.0;0.0;0.0;0.12372125791275336;0.0;0.0;0.0;0.0;0.2086926277345044;0.1735712115320115;0.0;0.19556793398049202;0.1688973094590865;0.0;0.0;0.0;0.0;0.0;0.0;0.2750302537413347;0.1478698226940938;0.28048656468736943;0.30821512776672166;0.0;0.41328086034760925;0.0;0.7861693321973239;0.0;0.0;0.0;0.0;0.0;0.17299949811047113;0.0;0.15478911973042417;0.17820004882840407;0.33044900355768764;0.20195848284724685;0.4034192582232075;0.0;0.08848300085434666;0.3214930529530417;0.0;0.6135334753665606;0.2879844361692653;0.17820004882840407;0.44796687083958264;0.18883681032463068;0.0;0.0;0.0;0.0;0.0;0.0;0.15478911973042417
GO:0006284;0.16671448797624616;0.0;0.4540743757840836;1.0;0.1772244688871062;0.0;0.25546998040460855;0.0;0.1676979270939811;0.0;0.0;0.0;0.19670514870311742;0.0;0.0;0.0;0.0;0.18793512469414017;0.15896802847547203;0.0;0.1772244688871062;0.15503860511056464;0.0;0.0;0.0;0.0;0.0;0.0;0.3559946204915389;0.13713745177623912;0.3461695377251983;0.2884351136013417;0.0;0.6317577317831481;0.0;0.46343153098400813;0.0;0.0;0.0;0.0;0.0;0.2684811158514387;0.0;0.14306865153857998;0.2758563701101249;0.299522119578081;0.18245638984006937;0.5983994724058247;0.0;0.08452474590696543;0.3000314160779678;0.0;0.4436804056781162;0.2679294280554399;0.2758563701101249;0.6189086091817769;0.17167892763260484;0.0;0.0;0.0;0.0;0.1671238722021206;0.0;0.14306865153857998
GO:0051291;0.27219945231774706;0.0;0.19556793398049202;0.1772244688871062;1.0;0.0;0.23220927853015785;0.0;0.8235468398683862;0.0;0.0;0.0;0.15904744292177508;0.0;0.0;0.0;0.0;0.8926819864842793;0.5104508573411407;0.0;0.9031056063872155;0.49072408246263094;0.0;0.0;0.0;0.0;0.0;0.0;0.12440101715415974;0.2013104575939192;0.18300343739072683;0.16885233270784303;0.0;0.17872085683669928;0.0;0.20148552745775072;0.0;0.0;0.0;0.0;0.0;0.2509340806047839;0.0;0.21435541889489054;0.26202584013286373;0.30026044560952436;0.3168307306556269;0.15205686919188588;0.0;0.10519281599271889;0.1784569656257459;0.0;0.1891232854912142;0.18956020774650192;0.26202584013286373;0.17361892597869444;0.2856878029679756;0.0;0.0;0.0;0.0;0.0;0.0;0.21435541889489054
GO:0051092;0.26858350092119304;0.17493097638675484;0.0;0.0;0.0;1.0;0.0;0.32323987937648196;0.0;0.6485367904838433;0.6927104211455966;0.18750766607448363;0.11224756346845349;0.3321660338599991;0.22495121465586723;0.21908151756857794;0.4679185958462101;0.0;0.0;0.27390484333598275;0.0;0.0;0.0;0.22741657377904995;0.4823807852708276;0.3906878292112082;0.39303865606407834;0.3850984935436597;0.0;0.0;0.0;0.0;0.25638767454424166;0.0;0.2233951323402716;0.0;0.6713088640357069;0.238619334529382;0.0;0.6288053555339438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21691691024573645;0.1672554384908215;0.0;0.8508267791723823;0.0;0.0;0.0;0.0;0.0;0.2693994940711429;0.2560242831428207;0.3320024606302426;0.15093488640776329;0.0;0.0;0.0
GO:1905705;0.21449205441520358;0.0;0.16388839298504682;0.25546998040460855;0.23220927853015785;0.0;1.0;0.0;0.2161226941597074;0.0;0.0;0.0;0.4147898992859995;0.0;0.0;0.0;0.0;0.25094836255910863;0.20183787472623485;0.0;0.23220927853015785;0.19554528810117364;0.0;0.0;0.0;0.0;0.0;0.0;0.11077975454893117;0.1679020759805658;0.1549719916351934;0.14470240428615277;0.0;0.1518898470022273;0.0;0.16802384258056544;0.0;0.0;0.0;0.0;0.0;0.34060683102360456;0.0;0.1768800187711968;0.6281074209339437;0.2315435113328785;0.24127430453659776;0.13218967189128789;0.0;0.0952857083027084;0.15169920077237253;0.0;0.15933825225744297;0.15964827694008807;0.6281074209339437;0.14818895139404148;0.2227804047344645;0.0;0.0;0.0;0.0;0.432065076922416;0.0;0.1768800187711968
GO:0030307;0.42168511240170625;0.22910865276394313;0.0;0.0;0.0;0.32323987937648196;0.0;1.0;0.0;0.21535535297793162;0.3058714278134024;0.30033089309552113;0.15098290330194403;0.1907296014627361;0.39867450947117455;0.3112635170259622;0.3003242811358119;0.0;0.0;0.45953310838891;0.0;0.0;0.0;0.36926167445708946;0.3645527010923552;0.2699680482744545;0.26540668021036196;0.35390739119580733;0.0;0.0;0.0;0.0;0.4691745808265873;0.0;0.3200436136862989;0.0;0.29372499397226703;0.35223966671762236;0.0;0.2069701085769654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3798294718310437;0.23905476268714473;0.0;0.3107455726734788;0.0;0.0;0.0;0.0;0.0;0.423700029440567;0.39153035694906296;0.42100416325205603;0.23042745518979374;0.0;0.0;0.0
GO:0051289;0.2503556358629124;0.0;0.184031446809649;0.1676979270939811;0.8235468398683862;0.0;0.2161226941597074;0.0;1.0;0.0;0.0;0.0;0.15133232962561885;0.0;0.0;0.0;0.0;0.8064174993732208;0.47228072590888726;0.0;0.9119053564099813;0.4553449339402361;0.0;0.0;0.0;0.0;0.0;0.0;0.11963066598272311;0.18910766136675963;0.17286325353950577;0.16018258874193;0.0;0.16903715704976974;0.0;0.18926214201252603;0.0;0.0;0.0;0.0;0.0;0.23225288508735834;0.0;0.20057402766842541;0.24172346567816863;0.2738988201446099;0.287620741260568;0.14498998540394925;0.0;0.10176155529018761;0.16880106924329863;0.0;0.17831359265575014;0.178701944807666;0.24172346567816863;0.16446605701076458;0.2617207945467046;0.0;0.0;0.0;0.0;0.0;0.0;0.20057402766842541
GO:0045892;0.2989176286679829;0.20929906919987973;0.0;0.0;0.0;0.6485367904838433;0.0;0.21535535297793162;0.0;1.0;0.5690051754656396;0.22210815372086937;0.09537692198550128;0.416507010771745;0.15961294792876918;0.2531665733927307;0.35302339750948997;0.0;0.0;0.18825337432376688;0.0;0.0;0.0;0.17979823636040626;0.39294509966912927;0.5539514628983582;0.263284286819751;0.4758899745874795;0.0;0.0;0.0;0.0;0.20693847682644556;0.0;0.18489811755261576;0.0;0.5537590352754593;0.27163648543670893;0.0;0.9735606020461115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1547343705482004;0.12338281168415079;0.0;0.7066978465141127;0.0;0.0;0.0;0.0;0.0;0.21533299836524794;0.20670167688387145;0.2716135767556479;0.1219332149709192;0.0;0.0;0.0
GO:0045893;0.21923974608177757;0.15256646666283064;0.0;0.0;0.0;0.6927104211455966;0.0;0.3058714278134024;0.0;0.5690051754656396;1.0;0.16204579233464564;0.09684545270585757;0.2666170697791652;0.2254935618355607;0.18509980413179106;0.35903752611532164;0.0;0.0;0.2666845371140206;0.0;0.0;0.0;0.18367848479751755;0.4004354562667844;0.3351410166152677;0.4217808222803465;0.3125986841682586;0.0;0.0;0.0;0.0;0.2110451159595718;0.0;0.18816965630026586;0.0;0.9728419195819074;0.19885637341721626;0.0;0.5537595493375639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21849957935365585;0.17370855465631202;0.0;0.7189857972083163;0.0;0.0;0.0;0.0;0.0;0.2197831516621304;0.21079882989075127;0.27669119645774765;0.12434371059665718;0.0;0.0;0.0
GO:0010977;0.3484871482763428;0.23245028452272337;0.0;0.0;0.0;0.18750766607448363;0.0;0.30033089309552113;0.0;0.22210815372086937;0.16204579233464564;1.0;0.10677918742106403;0.20270997167867308;0.5919791610676448;0.28784337346418826;0.20196422378279866;0.0;0.0;0.21506218467915392;0.0;0.0;0.0;0.2639258913221948;0.22910948218916138;0.261282959985809;0.1456723681533571;0.25753476055384067;0.0;0.0;0.0;0.0;0.37957239837574797;0.0;0.37573461382413714;0.0;0.1572517622719702;0.31196053868017737;0.0;0.2156331770859255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20613892857473826;0.13436011734574485;0.0;0.2066241789141157;0.0;0.0;0.0;0.0;0.0;0.2511428119484024;0.23947975841739805;0.267989875236864;0.1412107251218953;0.0;0.0;0.0
