;GO:0043928;GO:0006366;GO:0051170;GO:0006369;GO:0045944;GO:0000398;GO:0006417;GO:0000184;GO:0000381;GO:0048026;GO:0048025;GO:0001649;GO:1900363;GO:0006376;GO:0051260;GO:0008334;GO:0006479;GO:0000245;GO:0000387;GO:0006406;GO:0006509;GO:0033962;GO:0071347;GO:0031124
GO:0043928;1.0;0.16542914088709912;0.0;0.16542914088709912;0.1356691921375081;0.3367509049664712;0.1356691921375081;0.4622628843519225;0.1356691921375081;0.1356691921375081;0.24029018053993487;0.01468324974140624;0.1356691921375081;0.01468324974140624;0.01468324974140624;0.3367509049664712;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.3367509049664712
GO:0006366;0.16542914088709912;1.0;0.0;0.1960200889472569;0.0;0.16542914088709912;0.0;0.16542914088709912;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.16542914088709912;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.16542914088709912
GO:0051170;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4336409361445891;0.0;0.0;0.0;0.0
GO:0006369;0.16542914088709912;0.1960200889472569;0.0;1.0;0.0;0.16542914088709912;0.0;0.16542914088709912;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.16542914088709912;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.16542914088709912
GO:0045944;0.1356691921375081;0.0;0.0;0.0;1.0;0.0;0.14806647662370065;0.1356691921375081;0.15191422087961767;0.2476643438432079;0.15191422087961767;0.0;0.15191422087961767;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000398;0.3367509049664712;0.16542914088709912;0.0;0.16542914088709912;0.0;1.0;0.0;0.3367509049664712;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.3367509049664712;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.3758297393469307
GO:0006417;0.1356691921375081;0.0;0.0;0.0;0.14806647662370065;0.0;1.0;0.1356691921375081;0.1356691921375081;0.1356691921375081;0.1356691921375081;0.0;0.1356691921375081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000184;0.4622628843519225;0.16542914088709912;0.0;0.16542914088709912;0.1356691921375081;0.3367509049664712;0.1356691921375081;1.0;0.1356691921375081;0.1356691921375081;0.24029018053993487;0.01468324974140624;0.1356691921375081;0.01468324974140624;0.01468324974140624;0.3367509049664712;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.0;0.08547128021085358;0.01468324974140624;0.01468324974140624;0.3367509049664712
GO:0000381;0.1356691921375081;0.0;0.0;0.0;0.15191422087961767;0.0;0.1356691921375081;0.1356691921375081;1.0;0.5331580424488743;0.5331580424488743;0.0;0.5005865652108447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048026;0.1356691921375081;0.0;0.0;0.0;0.2476643438432079;0.0;0.1356691921375081;0.1356691921375081;0.5331580424488743;1.0;0.5331580424488743;0.0;0.5005865652108447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
