;GO:0043928;GO:0006366;GO:0051170;GO:0006369;GO:0045944;GO:0000398;GO:0006417;GO:0000184;GO:0000381;GO:0048026;GO:0048025;GO:0001649;GO:1900363;GO:0006376;GO:0051260;GO:0008334;GO:0006479;GO:0000245;GO:0000387;GO:0006406;GO:0006509;GO:0033962;GO:0071347;GO:0031124
GO:0043928;1.0;0.4997797139044665;0.0;0.4912847881272766;0.18996670631991272;0.5584107048411485;0.23991950454152505;0.9706487764550912;0.2491567148510934;0.21042022265656612;0.31851304635477046;0.1230026585528549;0.25274993254612943;0.11266891151717687;0.11628990139878598;0.5975340240496972;0.36355899360804633;0.11267087581056483;0.11266534377381222;0.0;0.27987279063458964;0.10901939157654617;0.1109688746342636;0.5734918047334305
GO:0006366;0.4997797139044665;1.0;0.0;0.8944542679947058;0.0;0.6295737284318795;0.0;0.5052096482268021;0.0;0.0;0.0;0.15527077186271604;0.0;0.1391591018594341;0.1447250150805421;0.6824509989137926;0.43369613801599605;0.139162098420772;0.13915365927204953;0.0;0.3442590302294742;0.1336338022709894;0.13657484664126862;0.649794913752949
GO:0051170;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6578536006099445;0.0;0.0;0.0;0.0
GO:0006369;0.4912847881272766;0.8944542679947058;0.0;1.0;0.0;0.6675634113866008;0.0;0.49686215212889234;0.0;0.0;0.0;0.16903166206133305;0.0;0.15011163914071998;0.1566086145830194;0.7273174840864031;0.417306358705409;0.15011512595975485;0.15010530613946507;0.0;0.3707260393642318;0.14370240281469226;0.14710897606692658;0.6903427439222315
GO:0045944;0.18996670631991272;0.0;0.0;0.0;1.0;0.0;0.5602173389362304;0.19189617633671127;0.5105031523725047;0.6864907643344774;0.4261451069154072;0.0;0.5185470175938004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000398;0.5584107048411485;0.6295737284318795;0.0;0.6675634113866008;0.0;1.0;0.0;0.5652821346048369;0.0;0.0;0.0;0.19951344969348536;0.0;0.1736759186359467;0.182432255111117;0.8609855077794865;0.46876658482534506;0.17368058610520976;0.17366744134335899;0.0;0.4273672010989817;0.16515364161082233;0.16966913840454773;0.8886121129716561
GO:0006417;0.23991950454152505;0.0;0.0;0.0;0.5602173389362304;0.0;1.0;0.2430053603535204;0.6240910501348567;0.48524766815206577;0.4868192091329071;0.0;0.638192809523012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000184;0.9706487764550912;0.5052096482268021;0.0;0.49686215212889234;0.19189617633671127;0.5652821346048369;0.2430053603535204;1.0;0.2524864127197236;0.21279013998338173;0.32210859241901246;0.1250410570938321;0.25617702200543896;0.11437681794723842;0.11811023719300424;0.6054088234962597;0.36823025963642203;0.11437884224452116;0.1143731412216192;0.0;0.2840399464958966;0.11061766174312015;0.11262525058784403;0.5807418117642478
GO:0000381;0.2491567148510934;0.0;0.0;0.0;0.5105031523725047;0.0;0.6240910501348567;0.2524864127197236;1.0;0.7323415293136697;0.7348294519614121;0.0;0.8856310794075802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048026;0.21042022265656612;0.0;0.0;0.0;0.6864907643344774;0.0;0.48524766815206577;0.21279013998338173;0.7323415293136697;1.0;0.5954268575950536;0.0;0.6751954461918707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048025;0.31851304635477046;0.0;0.0;0.0;0.4261451069154072;0.0;0.4868192091329071;0.32210859241901246;0.7348294519614121;0.5954268575950536;1.0;0.0;0.6775314668401957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001649;0.1230026585528549;0.15527077186271604;0.0;0.16903166206133305;0.0;0.19951344969348536;0.0;0.1250410570938321;0.0;0.0;0.0;1.0;0.0;0.33501911477787044;0.36920253130900865;0.23264831916149462;0.21945666846284864;0.33503648287637533;0.3349875721810869;0.0;0.0;0.30469025778472925;0.3204227086903476;0.2116186515068053
GO:1900363;0.25274993254612943;0.0;0.0;0.0;0.5185470175938004;0.0;0.638192809523012;0.25617702200543896;0.8856310794075802;0.6751954461918707;0.6775314668401957;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006376;0.11266891151717687;0.1391591018594341;0.0;0.15011163914071998;0.0;0.1736759186359467;0.0;0.11437681794723842;0.0;0.0;0.0;0.33501911477787044;0.0;1.0;0.7563030962881259;0.19825572833812333;0.1885950742463364;0.9277188165194763;0.9276104506601363;0.0;0.0;0.859246417840481;0.25862951956664354;0.18277731022443378
GO:0051260;0.11628990139878598;0.1447250150805421;0.0;0.1566086145830194;0.0;0.182432255111117;0.0;0.11811023719300424;0.0;0.0;0.0;0.36920253130900865;0.0;0.7563030962881259;1.0;0.20974796919515543;0.19896531728425226;0.7563369774838591;0.7562415626612189;0.0;0.0;0.6964012460175639;0.2785382786248433;0.19250112704066158
GO:0008334;0.5975340240496972;0.6824509989137926;0.0;0.7273174840864031;0.0;0.8609855077794865;0.0;0.6054088234962597;0.0;0.0;0.0;0.23264831916149462;0.0;0.19825572833812333;0.20974796919515543;1.0;0.519347632140199;0.19826181046391644;0.19824468179347254;0.0;0.4860134628261923;0.18722707980807288;0.1930515508166427;0.8973702737318751
GO:0006479;0.36355899360804633;0.43369613801599605;0.0;0.417306358705409;0.0;0.46876658482534506;0.0;0.36823025963642203;0.0;0.0;0.0;0.21945666846284864;0.0;0.1885950742463364;0.19896531728425226;0.519347632140199;1.0;0.18860057806290173;0.18858507800267657;0.0;0.5878904074390391;0.1785879261285674;0.18387968911601318;0.48784966246196215
