;GO:0060441;GO:0007172;GO:0040036;GO:0014068;GO:1905065;GO:0021955;GO:0030072;GO:0007173;GO:0022408;GO:0007097;GO:0007179;GO:0006883;GO:0006685;GO:0043542;GO:0022009;GO:0002244;GO:0045766;GO:0001300;GO:0032967;GO:0030509;GO:0001947;GO:0010613;GO:0019367;GO:0034626;GO:0034625;GO:0031953;GO:0030148;GO:0051964;GO:0060396;GO:0010594;GO:0043552;GO:0007224;GO:1900024;GO:0000226;GO:0046621;GO:0006898;GO:0003222;GO:0010629;GO:0048010;GO:0051893;GO:0007219;GO:0045860;GO:0010507;GO:0048013;GO:0070278;GO:0017015;GO:0051897;GO:0010862;GO:0030336;GO:0016567;GO:0030335;GO:0008360;GO:2000060;GO:1903543;GO:0008284;GO:0003273;GO:0001570;GO:0038096;GO:0003198;GO:1905007;GO:0045944;GO:0001890;GO:0045667;GO:0000165;GO:0007229;GO:0050771;GO:2000811;GO:0001569;GO:0038007;GO:0071559;GO:0009584;GO:0006351;GO:0038083;GO:0042761;GO:0045879;GO:0097084;GO:0030513;GO:0071260;GO:0043066;GO:0045087;GO:0006508;GO:0031960;GO:0016266;GO:2000304
GO:0060441;1.0;0.0;0.0;0.0;0.0;0.09786036920125021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06293476764642246;0.06293476764642246;0.0;0.06293476764642246;0.0;0.0;0.25232670548535535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20438779545581875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06293476764642246;0.0;0.06293476764642246;0.0;0.0;0.06293476764642246;0.0;0.0;0.0;0.0;0.0;0.9665120109525249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06293476764642246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007172;0.0;1.0;0.43521240952099033;0.15765842615334905;0.026922081419446457;0.13260756395083723;0.03350193480324081;0.09219140839078975;0.09219140839078975;0.0;0.09219140839078975;0.011783620389699014;0.004320149867916604;0.03898763359089278;0.03898763359089278;0.03898763359089278;0.033205470168080946;0.03898763359089278;0.04244253132023494;0.02818051988402438;0.0;0.08330765047047413;0.009275617217823412;0.009257940509643826;0.009257940509643826;0.010203932787939208;0.014099223188677887;0.03630787811619615;0.09219140839078975;0.09219140839078975;0.010867432912906327;0.09219140839078975;0.09219140839078975;0.13260756395083723;0.03039386057139609;0.0;0.0;0.05170771983561907;0.09219140839078975;0.09219140839078975;0.09219140839078975;0.0072721277237207;0.03661205876314987;0.09219140839078975;0.03898763359089278;0.43521240952099033;0.15765842615334905;0.037122422472562026;0.05038208982079265;0.02189487228911387;0.050630917619257816;0.09219140839078975;0.0047920451188282615;0.029062078207203867;0.09219140839078975;0.03898763359089278;0.03898763359089278;0.02070091600076522;0.03898763359089278;0.028665205771987983;0.005439344724655555;0.0;0.09219140839078975;0.0344022327979711;0.09219140839078975;0.008996095331478294;0.07661983022451697;0.0;0.09219140839078975;0.0;0.0;0.005791764842280598;0.00644285964833323;0.007372168368458625;0.19982485696808833;0.03898763359089278;0.07303851852358977;0.03898763359089278;0.09219140839078975;0.0;0.0;0.0;0.018849516140214347;0.008751961288885855
GO:0040036;0.0;0.43521240952099033;1.0;0.15765842615334905;0.026922081419446457;0.0;0.03350193480324081;0.11719709986005043;0.11719709986005043;0.0;0.11719709986005043;0.011783620389699014;0.0;0.0;0.0;0.0;0.033205470168080946;0.0;0.04244253132023494;0.02818051988402438;0.0;0.08330765047047413;0.0;0.0;0.0;0.010203932787939208;0.0;0.03630787811619615;0.11719709986005043;0.11719709986005043;0.010867432912906327;0.11719709986005043;0.10229380238298853;0.0;0.03039386057139609;0.0;0.0;0.06573275005652233;0.11719709986005043;0.11719709986005043;0.11719709986005043;0.0072721277237207;0.03661205876314987;0.11719709986005043;0.0;0.5276607738869362;0.15765842615334905;0.037122422472562026;0.05038208982079265;0.0;0.050630917619257816;0.11719709986005043;0.0047920451188282615;0.029062078207203867;0.11719709986005043;0.0;0.0;0.02070091600076522;0.0;0.028665205771987983;0.005439344724655555;0.0;0.11719709986005043;0.0344022327979711;0.11719709986005043;0.008996095331478294;0.07661983022451697;0.0;0.11719709986005043;0.0;0.0;0.0;0.0;0.0;0.19982485696808833;0.0;0.07303851852358977;0.0;0.0982116173552396;0.0;0.0;0.0;0.0;0.008751961288885855
GO:0014068;0.0;0.15765842615334905;0.15765842615334905;1.0;0.08064881494952111;0.0;0.01412351490195075;0.03339691615813532;0.03339691615813532;0.0;0.03339691615813532;0.011783620389699014;0.0;0.0;0.0;0.0;0.03339691615813532;0.0;0.03339691615813532;0.02818051988402438;0.0;0.03339691615813532;0.0;0.0;0.0;0.010203932787939208;0.0;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.03255489693810376;0.03339691615813532;0.03339691615813532;0.0;0.01873144595815766;0.0;0.0;0.01873144595815766;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.021784663449386885;0.03339691615813532;0.03339691615813532;0.0;0.15765842615334905;0.7947244838411236;0.13849286102071282;0.03339691615813532;0.0;0.10004507709335599;0.03339691615813532;0.014355233311900542;0.0870594710291715;0.10004507709335599;0.0;0.0;0.06100201014844465;0.0;0.08587058481017462;0.016294308724158792;0.0;0.03339691615813532;0.03339691615813532;0.03339691615813532;0.008996095331478294;0.03339691615813532;0.0;0.03339691615813532;0.0;0.0;0.0;0.0;0.0;0.15765842615334905;0.0;0.27248527227776476;0.0;0.03339691615813532;0.0;0.0;0.0;0.0;0.026217709375282037
GO:1905065;0.0;0.026922081419446457;0.026922081419446457;0.08064881494952111;1.0;0.0;0.01138531522846789;0.026922081419446457;0.026922081419446457;0.0;0.026922081419446457;0.01138531522846789;0.0;0.0;0.0;0.0;0.29032002312399735;0.0;0.026922081419446457;0.026922081419446457;0.0;0.07980726134032215;0.0;0.0;0.0;0.010203932787939208;0.0;0.07805602068156892;0.026922081419446457;0.026922081419446457;0.03255489693810376;0.026922081419446457;0.07889757429076787;0.0;0.026922081419446457;0.0;0.0;0.015099882599987884;0.026922081419446457;0.026922081419446457;0.026922081419446457;0.021784663449386885;0.026922081419446457;0.026922081419446457;0.0;0.026922081419446457;0.08064881494952111;0.02355672138035425;0.026922081419446457;0.0;0.08064881494952111;0.026922081419446457;0.014355233311900542;0.08064881494952111;0.08064881494952111;0.0;0.0;0.02070091600076522;0.0;0.27905605701610275;0.016294308724158792;0.0;0.07889757429076787;0.026922081419446457;0.026922081419446457;0.02636386424526058;0.026922081419446457;0.0;0.026922081419446457;0.0;0.0;0.0;0.0;0.0;0.026922081419446457;0.0;0.046347945966234844;0.0;0.026922081419446457;0.0;0.0;0.0;0.0;0.026217709375282037
GO:0021955;0.09786036920125021;0.13260756395083723;0.0;0.0;0.0;1.0;0.03350193480324081;0.051023157765211095;0.0;0.0;0.051023157765211095;0.011783620389699014;0.004320149867916604;0.051023157765211095;0.20987791675183984;0.20987791675183984;0.0;0.20987791675183984;0.0;0.011917507312416479;0.09786036920125021;0.0;0.009275617217823412;0.009257940509643826;0.009257940509643826;0.0;0.014099223188677887;0.0;0.051023157765211095;0.0;0.0;0.051023157765211095;0.0;0.17354366072385544;0.0;0.0;0.09786036920125021;0.0;0.051023157765211095;0.0;0.051023157765211095;0.0;0.0;0.051023157765211095;0.051023157765211095;0.0;0.0;0.0;0.0;0.02189487228911387;0.0;0.0;0.0;0.0;0.0;0.051023157765211095;0.20987791675183984;0.008754391999442696;0.20987791675183984;0.0;0.0;0.051023157765211095;0.0;0.01454866207651827;0.051023157765211095;0.0;0.0;0.09786036920125021;0.051023157765211095;0.0;0.0;0.005791764842280598;0.00644285964833323;0.007372168368458625;0.0;0.20987791675183984;0.0;0.051023157765211095;0.0;0.0;0.0;0.0;0.018849516140214347;0.0
GO:0030072;0.0;0.03350193480324081;0.03350193480324081;0.01412351490195075;0.01138531522846789;0.03350193480324081;1.0;0.03350193480324081;0.03350193480324081;0.07423743043866617;0.03350193480324081;0.01562813860808864;0.004320149867916604;0.03350193480324081;0.03350193480324081;0.03350193480324081;0.02503693274896002;0.03350193480324081;0.032001679150497765;0.011917507312416479;0.0;0.03350193480324081;0.009275617217823412;0.009257940509643826;0.009257940509643826;0.004315230667004489;0.014099223188677887;0.015354557145462475;0.03350193480324081;0.03350193480324081;0.004595824056467383;0.03350193480324081;0.03350193480324081;0.03350193480324081;0.02291697841516485;0.07423743043866617;0.0;0.03350193480324081;0.03350193480324081;0.03350193480324081;0.03350193480324081;0.0030753738994502744;0.015483194768163738;0.03350193480324081;0.20356174068474645;0.03350193480324081;0.01412351490195075;0.00332553799869709;0.021306524021741175;0.02189487228911387;0.02141175299267376;0.04443225964762853;0.002026550006177881;0.012290317246585544;0.03350193480324081;0.03350193480324081;0.03350193480324081;0.008754391999442696;0.03350193480324081;0.0121224803802592;0.0023002922159567813;0.0;0.03350193480324081;0.01454866207651827;0.03350193480324081;0.003804437687356739;0.03240243227359475;0.0;0.03350193480324081;0.0;0.0;0.005791764842280598;0.00644285964833323;0.007372168368458625;0.017900910303543724;0.03350193480324081;0.00654300965671801;0.03350193480324081;0.03350193480324081;0.0;0.0;0.0;0.018849516140214347;0.00370119370002865
GO:0007173;0.0;0.09219140839078975;0.11719709986005043;0.03339691615813532;0.026922081419446457;0.051023157765211095;0.03350193480324081;1.0;0.15043956016743423;0.0;0.8182660601766472;0.011783620389699014;0.004320149867916604;0.10396553211844985;0.10396553211844985;0.10396553211844985;0.033205470168080946;0.10396553211844985;0.04244253132023494;0.09379735338195676;0.0;0.046725055250607335;0.009275617217823412;0.009257940509643826;0.009257940509643826;0.010203932787939208;0.014099223188677887;0.03630787811619615;0.8679575863822628;0.14849736101457836;0.010867432912906327;0.7153839754061915;0.10229380238298853;0.10396553211844985;0.03039386057139609;0.0;0.0;0.07563384408059995;0.8679575863822628;0.1338733196603206;0.7153839754061915;0.0072721277237207;0.03661205876314987;0.8679575863822628;0.10396553211844985;0.11177482266820454;0.03339691615813532;0.007863673773434386;0.05038208982079265;0.02189487228911387;0.050630917619257816;0.1905994040056726;0.0047920451188282615;0.029062078207203867;0.18324392195747494;0.10396553211844985;0.10396553211844985;0.060238731271920046;0.10396553211844985;0.028665205771987983;0.005439344724655555;0.0;0.19794449565152625;0.08396005409762686;0.7153839754061915;0.008996095331478294;0.07661983022451697;0.0;0.7153839754061915;0.0;0.0;0.005791764842280598;0.00644285964833323;0.007372168368458625;0.04232906643368054;0.10251657921088099;0.015471810412937612;0.059997900517474737;0.0982116173552396;0.0;0.0;0.0;0.018849516140214347;0.008751961288885855
GO:0022408;0.0;0.09219140839078975;0.11719709986005043;0.03339691615813532;0.026922081419446457;0.0;0.03350193480324081;0.15043956016743423;1.0;0.0;0.15043956016743423;0.011783620389699014;0.0;0.0;0.0;0.0;0.033205470168080946;0.0;0.04244253132023494;0.02818051988402438;0.0;0.046725055250607335;0.0;0.0;0.0;0.030671962024924275;0.0;0.10913771012896466;0.15043956016743423;0.14849736101457836;0.010867432912906327;0.15043956016743423;0.10229380238298853;0.0;0.054190221913055496;0.0;0.0;0.13485008872885304;0.15043956016743423;0.1338733196603206;0.15043956016743423;0.0072721277237207;0.11005204555688017;0.15043956016743423;0.0;0.11177482266820454;0.03339691615813532;0.007863673773434386;0.15144332855134077;0.0;0.050630917619257816;0.15043956016743423;0.0047920451188282615;0.029062078207203867;0.15043956016743423;0.0;0.0;0.02070091600076522;0.0;0.028665205771987983;0.005439344724655555;0.0;0.15043956016743423;0.0344022327979711;0.15043956016743423;0.027041328095167447;0.23031125075424508;0.0;0.15043956016743423;0.0;0.0;0.0;0.0;0.0;0.12723677675914552;0.0;0.015471810412937612;0.0;0.29521392001785984;0.0;0.0;0.0;0.0;0.008751961288885855
GO:0007097;0.0;0.0;0.0;0.0;0.0;0.0;0.07423743043866617;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11302463878355382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11302463878355382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
