;GO:0060441;GO:0007172;GO:0040036;GO:0014068;GO:1905065;GO:0021955;GO:0030072;GO:0007173;GO:0022408;GO:0007097;GO:0007179;GO:0006883;GO:0006685;GO:0043542;GO:0022009;GO:0002244;GO:0045766;GO:0001300;GO:0032967;GO:0030509;GO:0001947;GO:0010613;GO:0019367;GO:0034626;GO:0034625;GO:0031953;GO:0030148;GO:0051964;GO:0060396;GO:0010594;GO:0043552;GO:0007224;GO:1900024;GO:0000226;GO:0046621;GO:0006898;GO:0003222;GO:0010629;GO:0048010;GO:0051893;GO:0007219;GO:0045860;GO:0010507;GO:0048013;GO:0070278;GO:0017015;GO:0051897;GO:0010862;GO:0030336;GO:0016567;GO:0030335;GO:0008360;GO:2000060;GO:1903543;GO:0008284;GO:0003273;GO:0001570;GO:0038096;GO:0003198;GO:1905007;GO:0045944;GO:0001890;GO:0045667;GO:0000165;GO:0007229;GO:0050771;GO:2000811;GO:0001569;GO:0038007;GO:0071559;GO:0009584;GO:0006351;GO:0038083;GO:0042761;GO:0045879;GO:0097084;GO:0030513;GO:0071260;GO:0043066;GO:0045087;GO:0006508;GO:0031960;GO:0016266;GO:2000304
GO:0060441;1.0;0.0;0.0;0.0;0.0;0.6109180383230204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4632046376675269;0.5104514804995139;0.0;0.38810966868393443;0.0;0.0;0.6368144857642917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6252012672173373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48987902556832014;0.0;0.4632046376675269;0.0;0.0;0.4632046376675269;0.0;0.0;0.0;0.0;0.0;0.7271728956155319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48987902556832014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007172;0.0;1.0;0.556354864535856;0.42791111975067725;0.29020615116898657;0.551122849864645;0.4617073676978904;0.4566425750402724;0.38100580937749967;0.0;0.4610693559699618;0.22407358170335817;0.24138851853875337;0.43606633039368614;0.3855773354389354;0.4328241782709224;0.28732647518258375;0.28367981189368235;0.24007963235059676;0.4734722400251893;0.0;0.38605251764045445;0.22407358170335817;0.20858484291008988;0.20858484291008988;0.24057281055540614;0.3381819577598097;0.4442396909850449;0.40073563809933477;0.3434955375043328;0.2560615493486744;0.4566425750402724;0.3028512654654583;0.5072571770495728;0.30695653154809616;0.0;0.0;0.3722219382632715;0.4442396909850449;0.3028512654654583;0.4566425750402724;0.3321915816076294;0.3206233290160566;0.40073563809933477;0.41923666540876925;0.5079616382113277;0.42791111975067725;0.42791111975067725;0.36038459195548983;0.2857482257656338;0.36038459195548983;0.40654684191756313;0.27098998840247623;0.27617687756466514;0.4091496490416876;0.3855773354389354;0.4122517233397286;0.4612756532849143;0.3855773354389354;0.25654682119915273;0.33719977645849797;0.0;0.34234216743979184;0.46481214591623865;0.40073563809933477;0.46481214591623865;0.23923188436375753;0.0;0.40073563809933477;0.0;0.0;0.4928671133341394;0.20858484291008988;0.24138851853875337;0.4943741253491746;0.4122517233397286;0.45458550765147043;0.28367981189368235;0.36553124537394377;0.0;0.0;0.0;0.4389261112405218;0.2733764861840696
GO:0040036;0.0;0.556354864535856;1.0;0.4812598955522636;0.34355492697057294;0.0;0.38423777305080736;0.3854325903071891;0.4570158221685026;0.0;0.3898593712368785;0.21710461175502765;0.0;0.0;0.0;0.0;0.3406752509841701;0.0;0.29342840815218313;0.402262255292106;0.0;0.4394012934420408;0.0;0.0;0.0;0.3094103251502608;0.0;0.3956909432413782;0.3295256533662515;0.3968443133059192;0.3094103251502608;0.4080938272966057;0.3562000412670447;0.0;0.3603053073496825;0.0;0.0;0.42557071406485786;0.37302970625196163;0.37886127825646126;0.4080938272966057;0.3700516186159475;0.3936021611831554;0.3295256533662515;0.0;0.6956093342759204;0.4812598955522636;0.4812598955522636;0.4333634241225886;0.0;0.4333634241225886;0.4330930631574889;0.3398275029973309;0.3295256533662515;0.48930097940493456;0.0;0.0;0.39006566855183106;0.0;0.3295256533662515;0.4060372910533526;0.0;0.4224934978030388;0.41626339817257196;0.3521868903556681;0.3936021611831554;0.3098955970007391;0.0;0.3521868903556681;0.0;0.0;0.0;0.0;0.0;0.5477229011507609;0.0;0.6750368793447266;0.0;0.43851007754104254;0.0;0.0;0.0;0.0;0.3463553183511684
GO:0014068;0.0;0.42791111975067725;0.4812598955522636;1.0;0.3502150025146677;0.0;0.2939440040483134;0.29513882130469515;0.34406081617659207;0.0;0.29956560223438455;0.14271900280576594;0.0;0.0;0.0;0.0;0.3442351311470669;0.0;0.2969882883150799;0.31196848628961205;0.0;0.34376122428552547;0.0;0.0;0.0;0.21377025599374544;0.0;0.30005087408486286;0.23923188436375753;0.3065505443034252;0.31607040069435555;0.29513882130469515;0.2659062722645507;0.0;0.27001153834718855;0.0;0.0;0.339418262634608;0.28273593724946766;0.2659062722645507;0.29513882130469515;0.362700425611178;0.2878196533873931;0.23923188436375753;0.0;0.44835540802100365;0.6158495449666409;0.48405549610164217;0.32758091632682634;0.0;0.42039344330117095;0.32013805716557836;0.33099883974815736;0.33618572891034626;0.4691585003873687;0.0;0.0;0.3506576043325218;0.0;0.31655567254483385;0.3972086278041791;0.0;0.30005087408486286;0.3033083921806614;0.23923188436375753;0.3033083921806614;0.209731877021625;0.0;0.23923188436375753;0.0;0.0;0.0;0.0;0.0;0.4347678951588505;0.0;0.5107298840024354;0.0;0.3327275697452803;0.0;0.0;0.0;0.0;0.33338533752975075
GO:1905065;0.0;0.29020615116898657;0.34355492697057294;0.3502150025146677;1.0;0.0;0.34491827085354243;0.34611308810992414;0.3950350829818211;0.0;0.3505398690396136;0.1865207714148468;0.0;0.0;0.0;0.0;0.7671423545483336;0.0;0.35027767465042614;0.3629427530948411;0.0;0.49781188536320187;0.0;0.0;0.0;0.24742958596357933;0.0;0.4352946739693445;0.29020615116898657;0.4546822272416819;0.36704466749958464;0.34611308810992414;0.4234601402908738;0.0;0.447704877822214;0.0;0.0;0.3885663313977102;0.33371020405469665;0.29956560223438455;0.34611308810992414;0.39635975558101183;0.321478983357227;0.29020615116898657;0.0;0.32013805716557836;0.3502150025146677;0.3502150025146677;0.37672898508992847;0.0;0.4736828296365172;0.4587029708026313;0.3646581697179912;0.3925062958695967;0.5028178303572026;0.0;0.0;0.33064761828491374;0.0;0.5217303480666083;0.4463566965672812;0.0;0.4825810986307197;0.3542826589858905;0.29020615116898657;0.46086226020698456;0.24339120699145883;0.0;0.29020615116898657;0.0;0.0;0.0;0.0;0.0;0.3065505443034252;0.0;0.3768893904154609;0.0;0.3663868997151141;0.0;0.0;0.0;0.0;0.36704466749958464
GO:0021955;0.6109180383230204;0.551122849864645;0.0;0.0;0.0;1.0;0.5356285984306706;0.5154055031126532;0.0;0.0;0.5198322840423426;0.3153097492715336;0.334939805637046;0.5099875611264664;0.5740547719309768;0.6213016147629637;0.0;0.5317634785760478;0.0;0.5322351680975701;0.5940883733381035;0.0;0.3153097492715336;0.2979948124361384;0.2979948124361384;0.0;0.4347644254820065;0.0;0.45949856617171564;0.0;0.0;0.5154055031126532;0.0;0.6139820834110166;0.0;0.0;0.6207627612388966;0.0;0.5030026190574257;0.0;0.5154055031126532;0.0;0.0;0.45949856617171564;0.4931578961415494;0.0;0.0;0.0;0.0;0.3751581952916823;0.0;0.0;0.0;0.0;0.0;0.45949856617171564;0.6007291598317699;0.45949856617171564;0.5740547719309768;0.0;0.0;0.5202962034153902;0.0;0.5235750739886196;0.45949856617171564;0.0;0.0;0.5940883733381035;0.45949856617171564;0.0;0.0;0.5667883440669196;0.2979948124361384;0.334939805637046;0.0;0.6007291598317699;0.0;0.3576010426264626;0.0;0.0;0.0;0.0;0.512847341973302;0.0
GO:0030072;0.0;0.4617073676978904;0.38423777305080736;0.2939440040483134;0.34491827085354243;0.5356285984306706;1.0;0.517614304638828;0.43571792906205553;0.6283098066260917;0.5220410855685174;0.4088301839328828;0.33714860716322076;0.5121963626526411;0.4617073676978904;0.5089542105298774;0.3585057837156956;0.3866123987142979;0.3112589408837086;0.5344439696237449;0.0;0.3379333287845018;0.31751855079770835;0.30020361396231315;0.30020361396231315;0.28127366169109774;0.43697322700818125;0.49895181066960076;0.4617073676978904;0.3982076571888887;0.3107736690332303;0.517614304638828;0.3575633851500142;0.5245666012442619;0.378135840081208;0.5122830128623349;0.0;0.4434012467963833;0.5052114205836005;0.3379333287845018;0.517614304638828;0.38690370129218526;0.3580205118652173;0.4617073676978904;0.6874866286989729;0.3585057837156956;0.2939440040483134;0.2939440040483134;0.4150967116400457;0.37736699681785707;0.4150967116400457;0.5588302046512932;0.31169083953816784;0.330888997249221;0.4412005317368269;0.4617073676978904;0.4883817555986836;0.4617073676978904;0.4617073676978904;0.3112589408837086;0.39191189614305383;0.0;0.3743930501349311;0.5257838755147943;0.4617073676978904;0.5195242656007946;0.2784552652550451;0.0;0.4617073676978904;0.0;0.0;0.5689971455930944;0.30020361396231315;0.33714860716322076;0.34491827085354243;0.4883817555986836;0.3206183919491066;0.35980984415263734;0.40292842822310443;0.0;0.0;0.0;0.5150561434994767;0.3107736690332303
GO:0007173;0.0;0.4566425750402724;0.3854325903071891;0.29513882130469515;0.34611308810992414;0.5154055031126532;0.517614304638828;1.0;0.43691274631843724;0.0;0.7214529260967106;0.297295455479691;0.3169255118452034;0.4919732673346237;0.44148427237987303;0.48873111521186;0.3432334121235214;0.36638930339628056;0.2959865692915344;0.7338558101519381;0.0;0.3226609571923275;0.297295455479691;0.2799805186442958;0.2799805186442958;0.2824684789474795;0.4167501316901639;0.5001466279259825;0.6841021294027594;0.3994024744452704;0.31196848628961205;0.6671130414398637;0.3587582024063959;0.5043435059262444;0.3628634684890338;0.0;0.0;0.4281288752042091;0.7276061822884694;0.3391281460408835;0.6671130414398637;0.38809851854856703;0.35921532912159904;0.6841021294027594;0.4751436023497068;0.35970060097207734;0.29513882130469515;0.29513882130469515;0.4162915288964274;0.3571439014998397;0.4162915288964274;0.4624537788585007;0.3128856567945496;0.33208381450560276;0.44239534899320865;0.44148427237987303;0.46815866028066616;0.6112061044989261;0.44148427237987303;0.31245375814009035;0.3931067133994356;0.0;0.37558786739131284;0.6385204432978258;0.6112061044989261;0.5207190828571763;0.27965008251142687;0.0;0.6112061044989261;0.0;0.0;0.548774050275077;0.2799805186442958;0.3169255118452034;0.34611308810992414;0.46815866028066616;0.3218132092054883;0.33958674883462;0.4041232454794862;0.0;0.0;0.0;0.4948330481814594;0.31196848628961205
GO:0022408;0.0;0.38100580937749967;0.4570158221685026;0.34406081617659207;0.3950350829818211;0.0;0.43571792906205553;0.43691274631843724;1.0;0.0;0.4413395272481267;0.2685847677662758;0.0;0.0;0.0;0.0;0.3921554069954183;0.0;0.3449085641634313;0.4537424113033542;0.0;0.3715829520642245;0.0;0.0;0.0;0.43787008506940367;0.0;0.5068357663251257;0.38100580937749967;0.4483244693171673;0.360890481161509;0.43691274631843724;0.6352482616470225;0.0;0.49262101822987336;0.0;0.0;0.5548552443211445;0.42450986226320975;0.6084457070853619;0.43691274631843724;0.4075205060783314;0.5274082212563196;0.38100580937749967;0.0;0.42825265220948666;0.34406081617659207;0.34406081617659207;0.5671694841957529;0.0;0.46521352376832437;0.4619119821793205;0.37581892021531077;0.38100580937749967;0.5139785808545221;0.0;0.0;0.38100580937749967;0.0;0.36137575301198727;0.4420287082713325;0.0;0.4471710992526263;0.4450823171944036;0.38100580937749967;0.5274082212563196;0.4406704764499991;0.0;0.38100580937749967;0.0;0.0;0.0;0.0;0.0;0.49699104340924954;0.0;0.37073520407738525;0.0;0.5723161376142067;0.0;0.0;0.0;0.0;0.3782054179969042
GO:0007097;0.0;0.0;0.0;0.0;0.0;0.0;0.6283098066260917;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5303054145242632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5858391043369705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
