;GO:0035264;GO:0042407;GO:0006120;GO:0034551;GO:1902600;GO:0006123;GO:0022900;GO:0006122;GO:0042776;GO:0006631;GO:0006119;GO:0070584;GO:0010259;GO:0032543;GO:0032981;GO:0009060
GO:0035264;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.375;0.0;0.0;0.0
GO:0042407;0.0;1.0;0.1333333333333333;0.25;0.0;0.10526315789473684;0.15384615384615385;0.1333333333333333;0.021739130434782594;0.09999999999999998;0.0444444444444444;0.4285714285714286;0.0;0.0625;0.2666666666666667;0.1333333333333333
GO:0006120;0.0;0.1333333333333333;1.0;0.11764705882352944;0.0;0.6666666666666667;0.75;1.0;0.05681818181818177;0.23529411764705888;0.12195121951219512;0.11764705882352944;0.0;0.13793103448275867;0.125;0.6
GO:0034551;0.0;0.25;0.11764705882352944;1.0;0.0;0.09523809523809523;0.1333333333333333;0.11764705882352944;0.021276595744680882;0.09090909090909094;0.04255319148936165;0.2222222222222222;0.0;0.05882352941176472;0.75;0.11764705882352944
GO:1902600;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.14117647058823535;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.0;0.10526315789473684;0.6666666666666667;0.09523809523809523;0.0;1.0;0.5;0.6666666666666667;0.05434782608695654;0.19047619047619047;0.11111111111111116;0.09523809523809523;0.0;0.12121212121212122;0.09999999999999998;0.6666666666666667
GO:0022900;0.0;0.15384615384615385;0.75;0.1333333333333333;0.0;0.5;1.0;0.75;0.05813953488372092;0.2666666666666667;0.1282051282051282;0.1333333333333333;0.0;0.14814814814814814;0.1428571428571429;0.75
GO:0006122;0.0;0.1333333333333333;1.0;0.11764705882352944;0.0;0.6666666666666667;0.75;1.0;0.05681818181818177;0.23529411764705888;0.12195121951219512;0.11764705882352944;0.0;0.13793103448275867;0.125;0.6
GO:0042776;0.0;0.021739130434782594;0.05681818181818177;0.021276595744680882;0.14117647058823535;0.05434782608695654;0.05813953488372092;0.05681818181818177;1.0;0.07692307692307687;0.44705882352941173;0.021276595744680882;0.0;0.14583333333333337;0.021505376344086002;0.05681818181818177
GO:0006631;0.0;0.09999999999999998;0.23529411764705888;0.09090909090909094;0.0;0.19047619047619047;0.2666666666666667;0.23529411764705888;0.07692307692307687;1.0;0.15909090909090906;0.09090909090909094;0.0;0.1875;0.09523809523809523;0.23529411764705888
GO:0006119;0.0;0.0444444444444444;0.12195121951219512;0.04255319148936165;0.0;0.11111111111111116;0.1282051282051282;0.12195121951219512;0.44705882352941173;0.15909090909090906;1.0;0.04255319148936165;0.0;0.16666666666666663;0.04347826086956519;0.12195121951219512
GO:0070584;0.1428571428571429;0.4285714285714286;0.11764705882352944;0.2222222222222222;0.0;0.09523809523809523;0.1333333333333333;0.11764705882352944;0.021276595744680882;0.09090909090909094;0.04255319148936165;1.0;0.1333333333333333;0.05882352941176472;0.23529411764705888;0.11764705882352944
GO:0010259;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;1.0;0.0;0.0;0.0
GO:0032543;0.0;0.0625;0.13793103448275867;0.05882352941176472;0.0;0.12121212121212122;0.14814814814814814;0.13793103448275867;0.14583333333333337;0.1875;0.16666666666666663;0.05882352941176472;0.0;1.0;0.06060606060606055;0.13793103448275867
GO:0032981;0.0;0.2666666666666667;0.125;0.75;0.0;0.09999999999999998;0.1428571428571429;0.125;0.021505376344086002;0.09523809523809523;0.04347826086956519;0.23529411764705888;0.0;0.06060606060606055;1.0;0.125
GO:0009060;0.0;0.1333333333333333;0.6;0.11764705882352944;0.0;0.6666666666666667;0.75;0.6;0.05681818181818177;0.23529411764705888;0.12195121951219512;0.11764705882352944;0.0;0.13793103448275867;0.125;1.0
