;GO:0035264;GO:0042407;GO:0006120;GO:0034551;GO:1902600;GO:0006123;GO:0022900;GO:0006122;GO:0042776;GO:0006631;GO:0006119;GO:0070584;GO:0010259;GO:0032543;GO:0032981;GO:0009060
GO:0035264;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.6830074998557688;0.0;0.0;0.0
GO:0042407;0.0;1.0;0.48300749985576874;0.5356143810225276;0.0;0.48300749985576874;0.4;0.48300749985576874;0.43852901558847923;0.4;0.4;0.6000000000000001;0.0;0.43852901558847923;0.5356143810225276;0.3356143810225276
GO:0006120;0.0;0.48300749985576874;1.0;0.8;0.0;0.8;1.0;0.8;0.8;0.6830074998557688;0.8;0.8;0.0;0.8;0.8;0.6000000000000001
GO:0034551;0.0;0.5356143810225276;0.8;1.0;0.0;0.8;0.6000000000000001;0.8;0.8;0.6000000000000001;0.6000000000000001;0.8;0.0;0.8;0.8;0.48300749985576874
GO:1902600;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.0;0.48300749985576874;0.8;0.8;0.0;1.0;1.0;0.8;0.8;0.6830074998557688;0.8;0.8;0.0;0.8;0.8;0.8
GO:0022900;0.0;0.4;1.0;0.6000000000000001;0.0;1.0;1.0;1.0;0.6830074998557688;0.6000000000000001;0.8;0.6000000000000001;0.0;0.6830074998557688;0.6000000000000001;0.6000000000000001
GO:0006122;0.0;0.48300749985576874;0.8;0.8;0.0;0.8;1.0;1.0;0.8;0.6830074998557688;0.8;0.8;0.0;0.8;0.8;0.6000000000000001
GO:0042776;0.0;0.43852901558847923;0.8;0.8;0.6830074998557688;0.8;0.6830074998557688;0.8;1.0;0.5356143810225276;1.0;0.8;0.0;0.8;0.8;0.5356143810225276
GO:0006631;0.0;0.4;0.6830074998557688;0.6000000000000001;0.0;0.6830074998557688;0.6000000000000001;0.6830074998557688;0.5356143810225276;1.0;0.6000000000000001;0.5356143810225276;0.0;0.6000000000000001;0.6000000000000001;0.48300749985576874
GO:0006119;0.0;0.4;0.8;0.6000000000000001;0.0;0.8;0.8;0.8;1.0;0.6000000000000001;1.0;0.5356143810225276;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001
GO:0070584;0.6830074998557688;0.6000000000000001;0.8;0.8;0.0;0.8;0.6000000000000001;0.8;0.8;0.5356143810225276;0.5356143810225276;1.0;0.6830074998557688;0.8;0.8;0.48300749985576874
GO:0010259;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;1.0;0.0;0.0;0.0
GO:0032543;0.0;0.43852901558847923;0.8;0.8;0.0;0.8;0.6830074998557688;0.8;0.8;0.6000000000000001;0.6000000000000001;0.8;0.0;1.0;0.8;0.5356143810225276
GO:0032981;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.6000000000000001;0.8;0.8;0.6000000000000001;0.6000000000000001;0.8;0.0;0.8;1.0;0.48300749985576874
GO:0009060;0.0;0.3356143810225276;0.6000000000000001;0.48300749985576874;0.0;0.8;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.0;0.5356143810225276;0.48300749985576874;1.0
