;GO:0035264;GO:0042407;GO:0006120;GO:0034551;GO:1902600;GO:0006123;GO:0022900;GO:0006122;GO:0042776;GO:0006631;GO:0006119;GO:0070584;GO:0010259;GO:0032543;GO:0032981;GO:0009060
GO:0035264;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.404083679327681;0.4778364060237336;0.0;0.0;0.0
GO:0042407;0.0;1.0;0.2610185749042658;0.37530409558661176;0.0;0.2610185749042658;0.29556477863482483;0.2610185749042658;0.24138851853875337;0.338854908777984;0.24090324668827506;0.5734328594869138;0.0;0.24138851853875337;0.37530409558661176;0.2527946495411202
GO:0006120;0.0;0.2610185749042658;1.0;0.3855773354389354;0.0;0.706992926550795;0.8266112795232803;0.706992926550795;0.6048158597088517;0.49118095303210557;0.6216455246937685;0.3855773354389354;0.0;0.4186909193124087;0.3855773354389354;0.5879419659051537
GO:0034551;0.0;0.37530409558661176;0.3855773354389354;1.0;0.0;0.3855773354389354;0.3819735633868096;0.3855773354389354;0.3855773354389354;0.4252636935299688;0.32731203144025983;0.4772016191318648;0.0;0.3855773354389354;0.7603417023523814;0.31923965008416033
GO:1902600;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.7358712350388668;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006123;0.0;0.2610185749042658;0.706992926550795;0.3855773354389354;0.0;1.0;0.8266112795232803;0.706992926550795;0.6048158597088517;0.49118095303210557;0.6216455246937685;0.3855773354389354;0.0;0.4186909193124087;0.3855773354389354;0.7802751710845282
GO:0022900;0.0;0.29556477863482483;0.8266112795232803;0.3819735633868096;0.0;0.8266112795232803;1.0;0.8266112795232803;0.6340157632853893;0.5298684743349087;0.6931367216252352;0.3819735633868096;0.0;0.4478908228889464;0.3819735633868096;0.6594331628366203
GO:0006122;0.0;0.2610185749042658;0.706992926550795;0.3855773354389354;0.0;0.706992926550795;0.8266112795232803;1.0;0.6048158597088517;0.49118095303210557;0.6216455246937685;0.3855773354389354;0.0;0.4186909193124087;0.3855773354389354;0.5879419659051537
GO:0042776;0.0;0.24138851853875337;0.6048158597088517;0.3855773354389354;0.7358712350388668;0.6048158597088517;0.6340157632853893;0.6048158597088517;1.0;0.4752185398747039;0.88127281146983;0.3855773354389354;0.0;0.522865622825474;0.3855773354389354;0.5611394113434931
GO:0006631;0.0;0.338854908777984;0.49118095303210557;0.4252636935299688;0.0;0.49118095303210557;0.5298684743349087;0.49118095303210557;0.4752185398747039;1.0;0.5188507594212814;0.3984611389683082;0.0;0.4735995397313579;0.4252636935299688;0.4671345610322595
GO:0006119;0.0;0.24090324668827506;0.6216455246937685;0.32731203144025983;0.0;0.6216455246937685;0.6931367216252352;0.6216455246937685;0.88127281146983;0.5188507594212814;1.0;0.30050947687859925;0.0;0.40910883594951614;0.32731203144025983;0.6047716308900707
GO:0070584;0.404083679327681;0.5734328594869138;0.3855773354389354;0.4772016191318648;0.0;0.3855773354389354;0.3819735633868096;0.3855773354389354;0.3855773354389354;0.3984611389683082;0.30050947687859925;1.0;0.4209133443125979;0.3855773354389354;0.4772016191318648;0.31923965008416033
GO:0010259;0.4778364060237336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4209133443125979;1.0;0.0;0.0;0.0
GO:0032543;0.0;0.24138851853875337;0.4186909193124087;0.3855773354389354;0.0;0.4186909193124087;0.4478908228889464;0.4186909193124087;0.522865622825474;0.4735995397313579;0.40910883594951614;0.3855773354389354;0.0;1.0;0.3855773354389354;0.3750144709470502
GO:0032981;0.0;0.37530409558661176;0.3855773354389354;0.7603417023523814;0.0;0.3855773354389354;0.3819735633868096;0.3855773354389354;0.3855773354389354;0.4252636935299688;0.32731203144025983;0.4772016191318648;0.0;0.3855773354389354;1.0;0.31923965008416033
GO:0009060;0.0;0.2527946495411202;0.5879419659051537;0.31923965008416033;0.0;0.7802751710845282;0.6594331628366203;0.5879419659051537;0.5611394113434931;0.4671345610322595;0.6047716308900707;0.31923965008416033;0.0;0.3750144709470502;0.31923965008416033;1.0
