;GO:0042737;GO:0031295;GO:0033396;GO:0006212;GO:0006520;GO:0009313;GO:0008202;GO:0006210;GO:0006469;GO:0042104;GO:0046426;GO:0009822;GO:0051289;GO:0019482;GO:0046135;GO:0052695;GO:0002933;GO:0019221;GO:1990822;GO:0001819;GO:0015811;GO:0050852
GO:0042737;1.0;0.0;0.2619950768484065;0.4353188303057199;0.44097320279587376;0.40348664361490705;0.3524664112264956;0.358382049767825;0.0;0.0;0.0;0.5677848844817617;0.28707891351148856;0.3612179815557601;0.31212435825232676;0.39283850545322624;0.5073043865006065;0.33128374855900067;0.0;0.0;0.0;0.18833792569116542
GO:0031295;0.0;1.0;0.10817843533960915;0.0;0.0;0.0;0.0;0.0;0.15625289757799046;0.7567319913441033;0.2187983271010864;0.0;0.0;0.13390224055888914;0.0;0.0;0.0;0.2916361110936961;0.0;0.29224470417933324;0.0;0.3777377386114809
GO:0033396;0.2619950768484065;0.10817843533960915;1.0;0.3269720735379377;0.6404769289386067;0.24834607339947976;0.26767755461376397;0.3375130644586361;0.08696276642146218;0.09368554523400457;0.11896361700897849;0.3552183986181562;0.14407741333562588;0.7820086844075674;0.3076184527123392;0.47448975667651416;0.3500043393864769;0.21071259234259784;0.0;0.15470686231587083;0.0;0.15564764281484428
GO:0006212;0.4353188303057199;0.0;0.3269720735379377;1.0;0.43778490135890785;0.3255819845847682;0.2994963539139378;0.9084496546604048;0.0;0.0;0.0;0.5785831509101798;0.13541510299255838;0.39456526009407356;0.7199968770195997;0.33131992944801303;0.32854095759728835;0.14451079493782187;0.0;0.0;0.0;0.10856651787839101
GO:0006520;0.44097320279587376;0.0;0.6404769289386067;0.43778490135890785;1.0;0.40497040652151584;0.4590282307584384;0.4568901532171804;0.0;0.0;0.0;0.5420077847710648;0.23165385317171275;0.8464327312187471;0.4037725430423362;0.716474199230206;0.570124201746861;0.2596065361928976;0.0;0.0;0.0;0.16278617538391932
GO:0009313;0.40348664361490705;0.0;0.24834607339947976;0.3255819845847682;0.40497040652151584;1.0;0.5337549256292193;0.3408481062385806;0.0;0.0;0.0;0.4492816229829439;0.0;0.3363994574295458;0.2986374267033739;0.4342821165917682;0.4605653805120598;0.0;0.0;0.0;0.0;0.0
GO:0008202;0.3524664112264956;0.0;0.26767755461376397;0.2994963539139378;0.4590282307584384;0.5337549256292193;1.0;0.31461198459934503;0.0;0.0;0.0;0.33678397900528345;0.0;0.37287617955290264;0.27306740635946425;0.4068606067562648;0.6347904253224549;0.0;0.0;0.0;0.0;0.0
GO:0006210;0.358382049767825;0.0;0.3375130644586361;0.9084496546604048;0.4568901532171804;0.3408481062385806;0.31461198459934503;1.0;0.0;0.0;0.0;0.6028028893470293;0.14162404414558907;0.4100178691997259;0.7409240123240134;0.3449164030115795;0.343919835991053;0.15160368957352008;0.0;0.0;0.0;0.11252150325306937
GO:0006469;0.0;0.15625289757799046;0.08696276642146218;0.0;0.0;0.0;0.0;0.0;1.0;0.13801385753925555;0.23568477430157175;0.0;0.0;0.10284550270653277;0.0;0.0;0.0;0.20996338681131416;0.0;0.1682865305699226;0.0;0.16345887272099113
GO:0042104;0.0;0.7567319913441033;0.09368554523400457;0.0;0.0;0.0;0.0;0.0;0.13801385753925555;1.0;0.18463174248001457;0.0;0.0;0.11238286527739862;0.0;0.0;0.0;0.23393462401373355;0.0;0.23432605405186505;0.0;0.2826900709401746
GO:0046426;0.0;0.2187983271010864;0.11896361700897849;0.0;0.0;0.0;0.0;0.0;0.23568477430157175;0.18463174248001457;1.0;0.0;0.0;0.15082774807678637;0.0;0.0;0.0;0.34091614047123536;0.0;0.27350184203117656;0.0;0.27976164916382207
GO:0009822;0.5677848844817617;0.0;0.3552183986181562;0.5785831509101798;0.5420077847710648;0.4492816229829439;0.33678397900528345;0.6028028893470293;0.0;0.0;0.0;1.0;0.2158757646418364;0.4632714465614766;0.535260196453941;0.3728962570858515;0.4537338066417926;0.23995249491552156;0.0;0.0;0.0;0.1548338454356125
GO:0051289;0.28707891351148856;0.0;0.14407741333562588;0.13541510299255838;0.23165385317171275;0.0;0.0;0.14162404414558907;0.0;0.0;0.0;0.2158757646418364;1.0;0.1936160317635153;0.12442626872544112;0.2088805156011634;0.2621530658725631;0.2861771138974384;0.0;0.0;0.0;0.1728493681251411
GO:0019482;0.3612179815557601;0.13390224055888914;0.7820086844075674;0.39456526009407356;0.8464327312187471;0.3363994574295458;0.37287617955290264;0.4100178691997259;0.10284550270653277;0.11238286527739862;0.15082774807678637;0.4632714465614766;0.1936160317635153;1.0;0.36672349511771923;0.6150876086052094;0.4738132007123585;0.2903273975899051;0.0;0.21331122745889378;0.0;0.19518462057665
GO:0046135;0.31212435825232676;0.0;0.3076184527123392;0.7199968770195997;0.4037725430423362;0.2986374267033739;0.27306740635946425;0.7409240123240134;0.0;0.0;0.0;0.535260196453941;0.12442626872544112;0.36672349511771923;1.0;0.3069455915095117;0.30139171368099543;0.1320640093250801;0.0;0.0;0.0;0.10138768942080101
GO:0052695;0.39283850545322624;0.0;0.47448975667651416;0.33131992944801303;0.716474199230206;0.4342821165917682;0.4068606067562648;0.3449164030115795;0.0;0.0;0.0;0.3728962570858515;0.2088805156011634;0.6150876086052094;0.3069455915095117;1.0;0.5123313524002543;0.23134098681263093;0.0;0.0;0.0;0.15120202091289367
GO:0002933;0.5073043865006065;0.0;0.3500043393864769;0.32854095759728835;0.570124201746861;0.4605653805120598;0.6347904253224549;0.343919835991053;0.0;0.0;0.0;0.4537338066417926;0.2621530658725631;0.4738132007123585;0.30139171368099543;0.5123313524002543;1.0;0.2985285861740584;0.0;0.0;0.0;0.17727957914023634
GO:0019221;0.33128374855900067;0.2916361110936961;0.21071259234259784;0.14451079493782187;0.2596065361928976;0.0;0.0;0.15160368957352008;0.20996338681131416;0.23393462401373355;0.34091614047123536;0.23995249491552156;0.2861771138974384;0.2903273975899051;0.1320640093250801;0.23134098681263093;0.2985285861740584;1.0;0.0;0.44843822283550083;0.0;0.5085574722092226
GO:1990822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.656262898829559;0.0
GO:0001819;0.0;0.29224470417933324;0.15470686231587083;0.0;0.0;0.0;0.0;0.0;0.1682865305699226;0.23432605405186505;0.27350184203117656;0.0;0.0;0.21331122745889378;0.0;0.0;0.0;0.44843822283550083;0.0;1.0;0.0;0.31850628315642865
GO:0015811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.656262898829559;0.0;1.0;0.0
GO:0050852;0.18833792569116542;0.3777377386114809;0.15564764281484428;0.10856651787839101;0.16278617538391932;0.0;0.0;0.11252150325306937;0.16345887272099113;0.2826900709401746;0.27976164916382207;0.1548338454356125;0.1728493681251411;0.19518462057665;0.10138768942080101;0.15120202091289367;0.17727957914023634;0.5085574722092226;0.0;0.31850628315642865;0.0;1.0
