;GO:0060045;GO:0038110;GO:0007179;GO:0003376;GO:0001666;GO:0051289;GO:0030509;GO:0032729;GO:0032689;GO:0070207;GO:0050830;GO:0035556;GO:0034260;GO:0007181;GO:0065003;GO:2000010;GO:0060317;GO:0060318;GO:0042267;GO:0002769;GO:0050680;GO:0034699;GO:0002728;GO:0031100;GO:0032354;GO:0045429;GO:0034695;GO:0051271;GO:0045664;GO:0038096;GO:0060389;GO:0002223;GO:0000165;GO:0002534;GO:0050852;GO:0050776;GO:0031295;GO:0007169;GO:0007166;GO:0060979;GO:0045954;GO:0050860;GO:0071222;GO:0045087;GO:0043066;GO:0060939;GO:0035723;GO:0032496;GO:2000502;GO:0030512;GO:0030511
GO:0060045;1.0;0.23411561916917425;0.228988256132689;0.23413558703293152;0.0;0.0;0.16938073204087964;0.31914545343542444;0.22933912627714573;0.0;0.0;0.24508887683848146;0.17513824761499105;0.0;0.0;0.22432625231695646;0.0;0.0;0.0;0.2062311680870052;0.2742264974192252;0.0;0.1523004296297442;0.0;0.0;0.23974341031646926;0.0;0.23438392649154358;0.34956446468952895;0.20279552138692364;0.0;0.19354985687650936;0.16872071041976283;0.0;0.2169084602877195;0.20128904715293722;0.23938454810023505;0.23410931262430876;0.24508887683848146;0.0;0.1616373035614531;0.18452507340532637;0.0;0.0;0.21967533227476146;0.0;0.23411561916917425;0.0;0.1524437060489708;0.18153997191411042;0.25702400134949244
GO:0038110;0.23411561916917425;1.0;0.7699610087737798;0.7104153400488067;0.0;0.27353560533861954;0.44265701684128284;0.38628740777262816;0.3862891813986089;0.27353560533861954;0.0;0.7861043096265699;0.35086172562122875;0.29983348762675793;0.3318165577568701;0.36893757091329465;0.3150852657167367;0.31506903555464905;0.0;0.6250438674445072;0.48268970315243315;0.0;0.18710087513777868;0.0;0.0;0.284434999882243;0.0;0.5055817230304352;0.44172095814899615;0.44119993733311413;0.194565149389771;0.409311079529602;0.3870852218562096;0.0;0.4935763162039505;0.4743088780225079;0.28373277537492686;0.8070538644769412;0.8932548134384061;0.3320170636285573;0.20530546634927163;0.3194140005503174;0.19422881310837842;0.0;0.4417765264414287;0.29943972017654286;0.9036595449209444;0.0;0.23412547522849825;0.31057403557686586;0.3199490857340782
GO:0007179;0.228988256132689;0.7699610087737798;1.0;0.6777190102907975;0.0;0.2619486071036768;0.534379859106283;0.369241604186506;0.3692432247352914;0.2619486071036768;0.0;0.7462651347143983;0.3367418962768803;0.28596789619535096;0.31491848449742493;0.35335770384699483;0.29980911584193565;0.29979442125375594;0.0;0.6025359516391239;0.4613893844204998;0.0;0.18300879546354137;0.0;0.0;0.2769021412158732;0.0;0.48226192367647513;0.42381590058787744;0.4298652486215957;0.18863019682892412;0.39953751723483516;0.3771704826562696;0.0;0.47943386028777535;0.4488655549167374;0.27623657551064157;0.862028863177249;0.8479853316178358;0.3150990829102118;0.200388805310768;0.30994531923538293;0.18831404991159453;0.0;0.4238670550259856;0.28560968390898755;0.7699610087737798;0.0;0.2289976851959636;0.30161485395494525;0.310449125573744
GO:0003376;0.23413558703293152;0.7104153400488067;0.6777190102907975;1.0;0.0;0.27358169730163123;0.38959728981272324;0.38635534019293194;0.386357114442788;0.27358169730163123;0.0;0.7862641803691651;0.35091776856912776;0.29988886913549173;0.33188438578227164;0.368999537606822;0.3151464253369739;0.31513018887372635;0.0;0.550144917628335;0.4827745911377688;0.0;0.1871168107312778;0.0;0.0;0.28446447427453686;0.0;0.5056748545118432;0.44179204670393696;0.3883147364526848;0.19458846820338102;0.3602456770622839;0.38712398125130953;0.0;0.4344181090041545;0.47441130064618675;0.283762104404251;0.7103741086183353;0.7862641803691651;0.3320849736596197;0.205324653974609;0.319451170521068;0.19425205136642587;0.0;0.4418476328847489;0.29949495630375406;0.7104153400488067;0.0;0.23414544477362123;0.3106091765039495;0.31998638035134336
GO:0001666;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3657165044613078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3467149999599623;0.0;0.0;0.27373464857866703;0.0;0.0;0.35237296587302097;0.0;0.26196264679027026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20777477599152205;0.49965710722652;0.0;0.0;0.0;0.2993428567360905;0.0;0.0;0.0
GO:0051289;0.0;0.27353560533861954;0.2619486071036768;0.27358169730163123;0.0;1.0;0.15586052348857982;0.0;0.0;0.8380754025231436;0.0;0.3000766603593082;0.0;0.7351682823319843;0.8064174993732208;0.0;0.28759972364275255;0.2875862014990272;0.0;0.2158744823746871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15537166005260342;0.18372297782497266;0.1446344203065043;0.15491765025770873;0.0;0.1728493681251411;0.0;0.0;0.2735210494895765;0.3000766603593082;0.30164055329345013;0.0;0.0;0.1834230530070565;0.0;0.0;0.2745080043467568;0.27353560533861954;0.0;0.0;0.0;0.0
GO:0030509;0.16938073204087964;0.44265701684128284;0.534379859106283;0.38959728981272324;0.0;0.15586052348857982;1.0;0.2160500756481562;0.21605063046406572;0.15586052348857982;0.0;0.41131587252945656;0.20450164667690987;0.16405959235352896;0.17319391211139465;0.21051318824777254;0.16852306865494576;0.16851842568587505;0.0;0.3816837116496596;0.26996456936265306;0.0;0.13541839798726826;0.0;0.0;0.38368593391692585;0.0;0.2769787663945116;0.25665123763012354;0.30426314696552714;0.12658503091475076;0.2887492725045801;0.26719848873714513;0.0;0.328287363523791;0.24107182644515227;0.19391463005592702;0.4955992580498552;0.46738057339373823;0.1732485219379898;0.14470520507888632;0.20994295688558043;0.1264425782083103;0.0;0.2566699959905619;0.16394163061971187;0.44265701684128284;0.0;0.16938589104038929;0.20608742539998992;0.2101739868846125
GO:0032729;0.31914545343542444;0.38628740777262816;0.369241604186506;0.38635534019293194;0.0;0.0;0.2160500756481562;1.0;0.6431917998411306;0.0;0.0;0.4255708803643182;0.3376898721791894;0.0;0.0;0.44283466237428554;0.0;0.0;0.0;0.30207917140992496;0.37039123159861115;0.0;0.27388438571803625;0.0;0.0;0.2774146389712072;0.0;0.3872012420280775;0.42501766823868564;0.26909317261948235;0.0;0.2500765120409372;0.21471138237116238;0.0;0.30018498280245437;0.4505514976787689;0.2767466102649072;0.38626595491138593;0.4255708803643182;0.0;0.2508103168548643;0.24856400766744458;0.0;0.0;0.3401838712069252;0.0;0.38628740777262816;0.0;0.1835478434187156;0.2418698301798644;0.31109346931425397
GO:0032689;0.22933912627714573;0.3862891813986089;0.3692432247352914;0.386357114442788;0.0;0.0;0.21605063046406572;0.6431917998411306;1.0;0.0;0.0;0.4255730330714507;0.4219544864060485;0.0;0.0;0.35440317740548405;0.0;0.0;0.0;0.3020802560410613;0.4628160792565964;0.0;0.40708738507781;0.0;0.0;0.22201621317602013;0.0;0.4838208392545843;0.4250193865776571;0.21535648828383222;0.0;0.2001373322440684;0.2147119303328441;0.0;0.24023947624738892;0.4505539105277834;0.22148158531839335;0.3862677283403716;0.4255730330714507;0.0;0.20072460086452312;0.31058848880741846;0.0;0.0;0.42507083196660206;0.0;0.3862891813986089;0.0;0.2293485842587572;0.3022238809686606;0.2489696159665761
GO:0070207;0.0;0.27353560533861954;0.2619486071036768;0.27358169730163123;0.0;0.8380754025231436;0.15586052348857982;0.0;0.0;1.0;0.0;0.3000766603593082;0.0;0.7351682823319843;0.8064174993732208;0.0;0.28759972364275255;0.2875862014990272;0.0;0.2158744823746871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15537166005260342;0.18372297782497266;0.1446344203065043;0.15491765025770873;0.0;0.1728493681251411;0.0;0.0;0.2735210494895765;0.3000766603593082;0.30164055329345013;0.0;0.0;0.1834230530070565;0.0;0.0;0.2745080043467568;0.27353560533861954;0.0;0.0;0.0;0.0
