;GO:0045446;GO:0060445;GO:0043547;GO:0001942;GO:0045892;GO:0006958;GO:0031398;GO:0016331;GO:0048041;GO:0050679;GO:2000691;GO:0060271;GO:0030183;GO:0065003;GO:0042100;GO:0007265;GO:0009967;GO:0032713;GO:0001755;GO:0006606;GO:0030334;GO:0032436;GO:0072659;GO:0016567;GO:0046718;GO:0031581;GO:0008284;GO:0043123;GO:0043687;GO:0000122;GO:0000165;GO:0007229;GO:0030449;GO:0043372;GO:0019221;GO:0034446;GO:0060071;GO:0032743;GO:0006351;GO:0022617;GO:0045995;GO:0006355;GO:0002430;GO:0007517;GO:0090090;GO:0001658;GO:0045087;GO:0032733
GO:0045446;1.0;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0;0.0;0.1302612429746404;0.01468324974140624;0.0;0.0;0.01468324974140624;0.22804082589224092;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1890450431733396;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.1302612429746404;0.0;0.1302612429746404;0.0;0.0
GO:0060445;0.1302612429746404;1.0;0.0;0.1642658631441654;0.0;0.0;0.0;0.4225831662287917;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25905973592202725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.4923997896252622;0.0;0.0
GO:0043547;0.0;0.0;1.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955
GO:0001942;0.1302612429746404;0.1642658631441654;0.0;1.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16985210689062205;0.0;0.1642658631441654;0.0;0.0
GO:0045892;0.0;0.0;0.036692364793703955;0.0;1.0;0.042064647228987374;0.10900961301269105;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.12804570306913615;0.0;0.0;0.047799631016701725;0.10900961301269105;0.0;0.0;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.27448591511204373;0.047799631016701725;0.047799631016701725;0.1356691921375081;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.042064647228987374;0.0;0.0;0.042064647228987374;0.15831211565824807;0.047799631016701725;0.0;0.13839445927415203;0.0;0.0;0.042064647228987374
GO:0006958;0.0;0.0;0.036692364793703955;0.0;0.042064647228987374;1.0;0.11511873865597294;0.0;0.0;0.11511873865597294;0.042064647228987374;0.0;0.20709043845653538;0.0;0.20709043845653538;0.042064647228987374;0.21066859409381297;0.042064647228987374;0.0;0.0;0.042064647228987374;0.11511873865597294;0.0;0.1468397877411918;0.0;0.0;0.11511873865597294;0.21066859409381297;0.1468397877411918;0.042064647228987374;0.1468397877411918;0.042064647228987374;0.29114835073653533;0.28985679281760435;0.042064647228987374;0.0;0.042064647228987374;0.11511873865597294;0.08547128021085358;0.0;0.042064647228987374;0.042064647228987374;0.35499357710737345;0.0;0.1492331351584338;0.0;0.27263387928650545;0.11511873865597294
GO:0031398;0.0;0.0;0.036692364793703955;0.0;0.10900961301269105;0.11511873865597294;1.0;0.0;0.0;0.12755981097713553;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.042064647228987374;0.0;0.0;0.047799631016701725;0.25118815347651524;0.0;0.0;0.0;0.0;0.12755981097713553;0.12755981097713553;0.0;0.10900961301269105;0.047799631016701725;0.047799631016701725;0.1890450431733396;0.12755981097713553;0.047799631016701725;0.0;0.047799631016701725;0.11511873865597294;0.0;0.0;0.042064647228987374;0.10900961301269105;0.11511873865597294;0.0;0.047799631016701725;0.0;0.0;0.11511873865597294
GO:0016331;0.1302612429746404;0.4225831662287917;0.0;0.1302612429746404;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25905973592202725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1302612429746404;0.0;0.4225831662287917;0.0;0.0
GO:0048041;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2041871440868109;0.01468324974140624;0.2041871440868109;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.6227010663323508;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.12408495164008174;0.01468324974140624;0.0;0.01468324974140624;0.12408495164008174;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0
GO:0050679;0.0;0.0;0.036692364793703955;0.0;0.047799631016701725;0.11511873865597294;0.12755981097713553;0.0;0.0;1.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.042064647228987374;0.0;0.0;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.0;0.30562333868781577;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.12755981097713553;0.047799631016701725;0.0;0.047799631016701725;0.11511873865597294;0.0;0.0;0.042064647228987374;0.047799631016701725;0.11511873865597294;0.0;0.047799631016701725;0.0;0.0;0.11511873865597294
