;GO:0016525;GO:0060760;GO:0035563;GO:0016925;GO:0015031;GO:0042531;GO:0045648;GO:0060368;GO:0007259;GO:0032727;GO:0002479;GO:0045893;GO:0032728;GO:0019885;GO:2000110;GO:2000373;GO:0045655;GO:0003340;GO:1904469;GO:0042542;GO:0006974;GO:0061326;GO:0071360;GO:0051770;GO:0046597;GO:0051097;GO:0050727;GO:0035549;GO:0033003;GO:0050689;GO:0071407;GO:0035666;GO:0050688;GO:0008285;GO:0043367;GO:0043124;GO:0045669;GO:0045944;GO:0006302;GO:0048661;GO:0006659;GO:0019060;GO:2000778;GO:1990668;GO:0070102;GO:0070106;GO:0016579;GO:0034165;GO:0000209;GO:0032020;GO:1902741;GO:0002230;GO:0016064;GO:0001937;GO:0034157;GO:0038114;GO:0006366;GO:0009597;GO:0032091;GO:0051607;GO:0072308;GO:2000553;GO:1900182;GO:0032480;GO:0002053;GO:0007221;GO:0033209;GO:0072136;GO:0010742;GO:0070757;GO:0030336;GO:0060340;GO:0051591;GO:0000079;GO:0000122;GO:0032869;GO:0072162;GO:0045351;GO:0017121;GO:0034127;GO:0071357;GO:0034124;GO:0045070;GO:0002819;GO:0045071;GO:0050776;GO:0035458;GO:0060333;GO:0006471;GO:0050709;GO:0006351;GO:0039530;GO:1900245;GO:0060338;GO:1900246;GO:0046725;GO:0060334;GO:0046967;GO:0060335;GO:0060337;GO:0006511;GO:0045089;GO:0045087;GO:0034356;GO:0071346;GO:2001034
GO:0016525;1.0;0.36237721534739525;0.266401740812994;0.0;0.0;0.22772024499225957;0.4025777425651921;0.3264037471386044;0.30415614016750064;0.3680192378746364;0.0;0.375525138180199;0.3680192378746364;0.0;0.2986858488845821;0.23556080727921286;0.41242246548106837;0.47068653938127614;0.32585611118057495;0.0;0.0;0.0;0.0;0.25452279955392026;0.34501552121163154;0.2692201372490467;0.40551057287671627;0.32585611118057495;0.3530781350393976;0.34550079306210985;0.0;0.30415614016750064;0.3692336923012911;0.4746548530128042;0.0;0.35486024412750783;0.4082139758478805;0.35396816189306474;0.0;0.28684120333210544;0.0;0.0;0.34134484997384323;0.0;0.28732647518258375;0.28732647518258375;0.0;0.27135246453883716;0.0;0.0;0.32585611118057495;0.27001153834718855;0.0;0.35486024412750783;0.25452279955392026;0.28732647518258375;0.0;0.0;0.3246228159928886;0.0;0.44802530239185956;0.32585611118057495;0.3264037471386044;0.5091255834176868;0.3036708683170224;0.32961776853751273;0.31400086308337694;0.0;0.0;0.28732647518258375;0.44933856381844695;0.25452279955392026;0.0;0.3233603141487749;0.41086270226570626;0.0;0.0;0.0;0.33286474641149133;0.29668592624798173;0.0;0.29668592624798173;0.28119718745471345;0.40849454874735097;0.35486024412750783;0.46211204918696647;0.0;0.28732647518258375;0.0;0.43317414796019293;0.0;0.35865978680923843;0.35865978680923843;0.3036708683170224;0.35865978680923843;0.34550079306210985;0.29668592624798173;0.0;0.25452279955392026;0.28732647518258375;0.0;0.3847928654218144;0.0;0.0;0.0;0.240511531005056
GO:0060760;0.36237721534739525;1.0;0.3096943769390868;0.0;0.0;0.4626533376982409;0.4084987498303207;0.5003086964221539;0.35159009386583756;0.41834347274619693;0.0;0.5126714234716825;0.41834347274619693;0.0;0.2683154283378805;0.2773759731609016;0.3244898235808062;0.31513037251540826;0.3720390284798914;0.0;0.0;0.0;0.0;0.3916690848454038;0.31464510066492996;0.3110353031307354;0.5794155221602659;0.3720390284798914;0.40051208873773453;0.4117676329150562;0.0;0.4794830026831578;0.5235085852193282;0.44428443246610255;0.0;0.4384420208158493;0.4311599868197373;0.4854956593679001;0.0;0.4311599868197373;0.0;0.0;0.3916690848454038;0.0;0.33476042888092067;0.33476042888092067;0.0;0.528946794234235;0.0;0.0;0.3720390284798914;0.4117676329150562;0.0;0.3244898235808062;0.5121171292493181;0.33476042888092067;0.0;0.0;0.36791545211898136;0.0;0.29781543568001306;0.5121171292493181;0.4802101483525016;0.36561936747015894;0.44798965180465417;0.44113287639648097;0.3614348167817138;0.0;0.0;0.33476042888092067;0.4189681432717453;0.7634455060996113;0.0;0.36847914831699463;0.3804922817190046;0.0;0.0;0.0;0.3802987001098282;0.4611032578052659;0.0;0.4611032578052659;0.41834347274619693;0.5823994980309005;0.3244898235808062;0.649190617733667;0.0;0.33476042888092067;0.0;0.4028037274134913;0.0;0.4626533376982409;0.5449208048779816;0.7007345253560788;0.5449208048779816;0.31513037251540826;0.6937495832870382;0.0;0.7634455060996113;0.33476042888092067;0.0;0.6597021319526074;0.0;0.0;0.0;0.4853145746876575
GO:0035563;0.266401740812994;0.3096943769390868;1.0;0.0;0.0;0.18058550093835818;0.26878823859458745;0.27372090873029603;0.28841829496009985;0.231818017332936;0.0;0.3261459680584215;0.231818017332936;0.0;0.18058550093835818;0.4698059619123878;0.231818017332936;0.219154897981007;0.19235234341934632;0.0;0.0;0.0;0.0;0.20514362943214276;0.2219732944170597;0.4085362185665671;0.3528277344684078;0.19235234341934632;0.30039529663108916;0.219154897981007;0.0;0.28841829496009985;0.3142357343628655;0.3441676403594573;0.0;0.231818017332936;0.23598456296592396;0.30580897430735504;0.0;0.23598456296592396;0.0;0.0;0.20514362943214276;0.0;0.2715886299751829;0.2715886299751829;0.0;0.2219732944170597;0.0;0.0;0.19235234341934632;0.219154897981007;0.0;0.231818017332936;0.20514362943214276;0.2715886299751829;0.0;0.0;0.6067511432504962;0.0;0.20514362943214276;0.20514362943214276;0.27372090873029603;0.2696438929357578;0.2528142279508409;0.2942498669645995;0.29826301787597614;0.0;0.0;0.2715886299751829;0.32299266873734417;0.20514362943214276;0.0;0.39542198876965606;0.2905179282516062;0.0;0.0;0.0;0.3220776249299337;0.24582928588180025;0.0;0.24582928588180025;0.231818017332936;0.3558117103390425;0.231818017332936;0.40711409124854087;0.0;0.2715886299751829;0.0;0.30682825287909016;0.0;0.2715886299751829;0.2346436367742753;0.2528142279508409;0.2346436367742753;0.219154897981007;0.24582928588180025;0.0;0.20514362943214276;0.2715886299751829;0.0;0.33393622505563286;0.0;0.0;0.0;0.19235234341934632
GO:0016925;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.257732911673192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31898380004875654;0.0;0.18684511085235794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31584376920140816;0.257732911673192;0.0;0.0;0.2813214448359444;0.0;0.0;0.0;0.39235068124019934;0.0;0.2926166286020344;0.0;0.0;0.2520888957958;0.24090324668827506;0.24090324668827506;0.6538439448308219;0.0;0.7000151025913918;0.4496366109174712;0.0;0.0;0.0;0.0;0.0;0.24090324668827506;0.4483348119515774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2675776345890683;0.0;0.19861195333334608;0.24090324668827506;0.0;0.0;0.0;0.0;0.0;0.17595071634392961;0.22541450789500678;0.37768046554598134;0.29139224164302585;0.0;0.22541450789500678;0.0;0.0;0.0;0.0;0.0;0.18684511085235794;0.24090324668827506;0.500125605872222;0.0;0.4566216781001715;0.24090324668827506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24090324668827506;0.45370273070290956;0.0;0.0;0.2540472315593856;0.22541450789500678;0.0
GO:0015031;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6660323812454789;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5357661801160922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042531;0.22772024499225957;0.4626533376982409;0.18058550093835818;0.0;0.0;1.0;0.30058166190108726;0.41752460015562076;0.22656154200654188;0.27684773203834534;0.0;0.48422497745424614;0.27684773203834534;0.0;0.17427935401941208;0.15286144144501296;0.22361497890962173;0.19694059100882855;0.2697407283673061;0.0;0.0;0.0;0.0;0.3632226388279674;0.18553622466420133;0.1865207714148468;0.4179559972434696;0.2697407283673061;0.27548353687843885;0.27027189220720454;0.0;0.33798726197530615;0.36204906030253203;0.3332671491556712;0.0;0.4652816144464905;0.31607040069435555;0.46119053092270784;0.0;0.31607040069435555;0.0;0.0;0.2697407283673061;0.0;0.209731877021625;0.209731877021625;0.0;0.4514213695354819;0.0;0.0;0.2697407283673061;0.27027189220720454;0.0;0.22361497890962173;0.434591704550565;0.209731877021625;0.0;0.0;0.2388065761182528;0.0;0.1851737485278404;0.3506576043325218;0.31875062343570537;0.2309623971150233;0.3329000656792725;0.3632226388279674;0.23640626492241817;0.0;0.0;0.209731877021625;0.30077836176516565;0.434591704550565;0.0;0.5151155060764577;0.3613041672353223;0.0;0.0;0.0;0.2388029594019766;0.38549165973488086;0.0;0.38549165973488086;0.27684773203834534;0.4209399731141043;0.19538094758007762;0.4722423540236026;0.0;0.209731877021625;0.0;0.2974052319197081;0.0;0.32115759699038926;0.5407545759830484;0.3924766018039215;0.5407545759830484;0.18047340216027258;0.38549165973488086;0.0;0.434591704550565;0.209731877021625;0.0;0.48275386824254285;0.0;0.0;0.0;0.3477339000346991
GO:0045648;0.4025777425651921;0.4084987498303207;0.26878823859458745;0.0;0.0;0.30058166190108726;1.0;0.4285539179542249;0.33249744452391555;0.4315184288272078;0.0;0.4370727393206343;0.4315184288272078;0.0;0.22656154200654188;0.2346436367742753;0.6169369123726239;0.3799560874051637;0.38521398456090217;0.0;0.0;0.0;0.0;0.2965030164646016;0.24093528669176711;0.2683029667441092;0.37509339502964617;0.38521398456090217;0.45522830585501806;0.3525316527972966;0.0;0.47435340020457273;0.4517538067513992;0.402530546134764;0.0;0.2672471984561994;0.5545340236952718;0.414038292789096;0.0;0.3925062958695967;0.0;0.0;0.4048440409264146;0.0;0.3156677795389986;0.3156677795389986;0.0;0.43206210684964375;0.0;0.0;0.38521398456090217;0.3525316527972966;0.0;0.28273593724946766;0.4152324418647268;0.3156677795389986;0.0;0.0;0.327009313774482;0.0;0.3626411505697685;0.4348624982302392;0.3725252816215299;0.3787316039169191;0.4093359608545136;0.4024791854463403;0.34234216743979184;0.0;0.0;0.3156677795389986;0.3598993201050116;0.4348624982302392;0.0;0.326725261985656;0.3247271268388018;0.0;0.0;0.0;0.46911265953018505;0.37920604069808983;0.0;0.37920604069808983;0.3231774043653948;0.5106447195629714;0.2507800096076434;0.5672934006264911;0.0;0.3156677795389986;0.0;0.36104984108215277;0.0;0.4575237352196558;0.4575237352196558;0.4035059196025257;0.4575237352196558;0.3691598730243571;0.37920604069808983;0.0;0.4152324418647268;0.3156677795389986;0.0;0.5723050622942816;0.0;0.0;0.0;0.33338533752975075
GO:0060368;0.3264037471386044;0.5003086964221539;0.27372090873029603;0.0;0.0;0.41752460015562076;0.4285539179542249;1.0;0.33208381450560276;0.2885163553720154;0.0;0.3993114949460569;0.2885163553720154;0.0;0.2628204175265099;0.2414025049521108;0.43839864087010116;0.2956240931551734;0.2783091563197782;0.0;0.0;0.0;0.0;0.26184196747122224;0.2786716324561392;0.27506183492194464;0.543442053951475;0.2783091563197782;0.5269397043771991;0.411724252969308;0.0;0.45953338739295013;0.5234652052735801;0.44743939009528433;0.0;0.4936627796074911;0.33208381450560276;0.37627704841451864;0.0;0.33208381450560276;0.0;0.0;0.2783091563197782;0.0;0.3152541495206858;0.3152541495206858;0.0;0.5089971789440273;0.0;0.0;0.2783091563197782;0.411724252969308;0.0;0.3222984810559666;0.49216751395911035;0.3152541495206858;0.0;0.0;0.33194198391019053;0.0;0.2783091563197782;0.49216751395911035;0.3378642326281505;0.32964589926136817;0.34891347949051965;0.364717941071763;0.341928537421479;0.0;0.0;0.3152541495206858;0.3994618639115105;0.49216751395911035;0.0;0.3686029253222722;0.36098600235876976;0.0;0.0;0.0;0.3443252319010374;0.551645577488567;0.0;0.551645577488567;0.2885163553720154;0.68843055650747;0.2885163553720154;0.7820242307718973;0.0;0.3152541495206858;0.0;0.4029275044187689;0.0;0.4427037224080332;0.49216751395911035;0.5586305195576077;0.49216751395911035;0.27915690430661744;0.551645577488567;0.0;0.49216751395911035;0.3152541495206858;0.0;0.6397525166623996;0.0;0.0;0.0;0.35616410834075296
GO:0007259;0.30415614016750064;0.35159009386583756;0.28841829496009985;0.257732911673192;0.0;0.22656154200654188;0.33249744452391555;0.33208381450560276;1.0;0.2662687484009117;0.0;0.37706388797495316;0.2662687484009117;0.0;0.22656154200654188;0.2519585736096705;0.28273593724946766;0.2733764861840696;0.24057281055540614;0.0;0.43489259214287385;0.0;0.27784823988918267;0.23959436050011845;0.2564240254850354;0.2856179035795044;0.3947234513951586;0.24057281055540614;0.3587582024063959;0.25690929733551365;0.41774129274666133;0.5521963285098181;0.36147775144363764;0.402530546134764;0.4583139373647899;0.28273593724946766;0.29020615116898657;0.35402944144341486;0.3381819577598097;0.29020615116898657;0.30050947687859925;0.0;0.2560615493486744;0.42908138832464554;0.5353666635249013;0.5353666635249013;0.32553684346333794;0.27289121433359137;0.2836355830749014;0.27784823988918267;0.24057281055540614;0.25690929733551365;0.0;0.28273593724946766;0.2560615493486744;0.5353666635249013;0.5014099121704623;0.0;0.3466393701399944;0.0;0.2560615493486744;0.23959436050011845;0.3156166256570468;0.30739829229026444;0.3070358161539035;0.41756530308425166;0.5620410514256944;0.0;0.30050947687859925;0.5353666635249013;0.3772142569404068;0.2560615493486744;0.0;0.326725261985656;0.33873839538766604;0.25821818352367026;0.4024070004238523;0.0;0.4528959953786031;0.30005087408486286;0.4024070004238523;0.30005087408486286;0.2662687484009117;0.3977074272657933;0.2662687484009117;0.454356108329313;0.27784823988918267;0.5353666635249013;0.32833723484393346;0.36104984108215277;0.5096967783190562;0.6123335359112667;0.293006542549582;0.3070358161539035;0.293006542549582;0.25690929733551365;0.30005087408486286;0.0;0.2560615493486744;0.5353666635249013;0.46815866028066616;0.3716906244101395;0.0;0.22541450789500678;0.4024070004238523;0.24057281055540614
GO:0032727;0.3680192378746364;0.41834347274619693;0.231818017332936;0.0;0.0;0.27684773203834534;0.4315184288272078;0.2885163553720154;0.2662687484009117;1.0;0.0;0.42735007800675656;0.7973513364020351;0.0;0.19538094758007762;0.2021970663352226;0.3319580441501743;0.3207723950426494;0.5177410638282234;0.0;0.0;0.0;0.0;0.3063477393804779;0.23676874105877915;0.23585639630505645;0.36762318111012726;0.728385655146313;0.3151907432728086;0.23395034462272646;0.0;0.3231774043653948;0.3290311810045849;0.3589630870011767;0.0;0.2466134639746554;0.4541796658166244;0.4043156314752183;0.0;0.34049234120079;0.0;0.0;0.544543618389884;0.0;0.24943908341599474;0.24943908341599474;0.0;0.3231774043653948;0.0;0.0;0.8714280885539538;0.23395034462272646;0.0;0.2466134639746554;0.3063477393804779;0.24943908341599474;0.0;0.0;0.2900390925128305;0.0;0.3207723950426494;0.5177410638282234;0.38237000453740616;0.7232668554354147;0.3573220061857069;0.3432927325813855;0.27611347131678793;0.0;0.0;0.24943908341599474;0.33778811537906356;0.3063477393804779;0.0;0.2872991204243128;0.3053133748933256;0.0;0.0;0.0;0.2949773546449023;0.26062473252351964;0.0;0.26062473252351964;0.33302212728127106;0.3706071569807619;0.2466134639746554;0.42190953789026026;0.0;0.24943908341599474;0.0;0.32162369952080955;0.0;0.544543618389884;0.5773472940185473;0.2676096745925603;0.5773472940185473;0.23395034462272646;0.26062473252351964;0.0;0.3063477393804779;0.24943908341599474;0.0;0.43844400329049893;0.0;0.0;0.0;0.2908590005872096
