;GO:0046718;GO:0008380;GO:0060333;GO:0006351;GO:1905515;GO:0006397;GO:0007178;GO:0051092;GO:0000165;GO:0045087;GO:0043484;GO:0043461;GO:0032784;GO:1904491;GO:0032897
GO:0046718;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008380;0.0;1.0;0.2147479889743614;0.673926004180152;0.18359284914567378;0.9218474949786131;0.21473901731056588;0.0;0.4096634005964119;0.0;0.0;0.20833754828848045;0.0;0.0;0.0
GO:0060333;0.0;0.2147479889743614;1.0;0.15165951840986783;0.24138644443415963;0.20764830771020512;0.8070538644769412;0.2838455382686787;0.3870852218562096;0.0;0.423090202620781;0.286057362110664;0.3300730654323525;0.0;0.36895316317933
GO:0006351;0.0;0.673926004180152;0.15165951840986783;1.0;0.13542920723481952;0.6606086337638106;0.151655043755915;0.0;0.35955997715457744;0.0;0.0;0.148434038016703;0.0;0.0;0.0
GO:1905515;0.0;0.18359284914567378;0.24138644443415963;0.13542920723481952;1.0;0.17837873899897277;0.241375108996726;0.0;0.14405182851929876;0.0;0.0;0.4723463436122094;0.0;0.0;0.0
GO:0006397;0.0;0.9218474949786131;0.20764830771020512;0.6606086337638106;0.17837873899897277;1.0;0.20763991944464127;0.0;0.40109823092802593;0.0;0.0;0.20164880464636645;0.0;0.0;0.0
GO:0007178;0.0;0.21473901731056588;0.8070538644769412;0.151655043755915;0.241375108996726;0.20763991944464127;1.0;0.283836267998944;0.3870729805321385;0.0;0.4230696064157699;0.28604144313886065;0.3300605298045196;0.0;0.3689335924198417
GO:0051092;0.0;0.0;0.2838455382686787;0.0;0.0;0.0;0.283836267998944;1.0;0.19310224328916833;0.0;0.6545828330750965;0.0;0.8508267791723823;0.0;0.2157527332525996
GO:0000165;0.0;0.4096634005964119;0.3870852218562096;0.35955997715457744;0.14405182851929876;0.40109823092802593;0.3870729805321385;0.19310224328916833;1.0;0.0;0.24881049617472575;0.1588558931768029;0.21343837410651675;0.0;0.2092470446614786
GO:0045087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0043484;0.0;0.0;0.423090202620781;0.0;0.0;0.0;0.4230696064157699;0.6545828330750965;0.24881049617472575;0.0;1.0;0.0;0.7492871290986927;0.0;0.3138601485971845
GO:0043461;0.0;0.20833754828848045;0.286057362110664;0.148434038016703;0.4723463436122094;0.20164880464636645;0.28604144313886065;0.0;0.1588558931768029;0.0;0.0;1.0;0.0;0.0;0.0
GO:0032784;0.0;0.0;0.3300730654323525;0.0;0.0;0.0;0.3300605298045196;0.8508267791723823;0.21343837410651675;0.0;0.7492871290986927;0.0;1.0;0.0;0.24885493645145215
GO:1904491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:0032897;0.0;0.0;0.36895316317933;0.0;0.0;0.0;0.3689335924198417;0.2157527332525996;0.2092470446614786;0.0;0.3138601485971845;0.0;0.24885493645145215;0.0;1.0
