;GO:0046718;GO:0008380;GO:0060333;GO:0006351;GO:1905515;GO:0006397;GO:0007178;GO:0051092;GO:0000165;GO:0045087;GO:0043484;GO:0043461;GO:0032784;GO:1904491;GO:0032897
GO:0046718;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008380;0.0;1.0;0.09090909090909094;0.5172413793103448;0.07407407407407407;0.9411764705882353;0.09090909090909094;0.0;0.24242424242424243;0.0;0.0;0.08695652173913049;0.0;0.0;0.0
GO:0060333;0.0;0.09090909090909094;1.0;0.05882352941176472;0.10526315789473684;0.08695652173913049;0.7777777777777778;0.1428571428571429;0.2222222222222222;0.0;0.25;0.1333333333333333;0.17391304347826086;0.0;0.19999999999999996
GO:0006351;0.0;0.5172413793103448;0.05882352941176472;1.0;0.05128205128205132;0.5;0.05882352941176472;0.0;0.20454545454545459;0.0;0.0;0.05714285714285716;0.0;0.0;0.0
GO:1905515;0.0;0.07407407407407407;0.10526315789473684;0.05128205128205132;1.0;0.0714285714285714;0.10526315789473684;0.0;0.05555555555555558;0.0;0.0;0.2941176470588235;0.0;0.0;0.0
GO:0006397;0.0;0.9411764705882353;0.08695652173913049;0.5;0.0714285714285714;1.0;0.08695652173913049;0.0;0.23529411764705888;0.0;0.0;0.08333333333333337;0.0;0.0;0.0
GO:0007178;0.0;0.09090909090909094;0.7777777777777778;0.05882352941176472;0.10526315789473684;0.08695652173913049;1.0;0.1428571428571429;0.2222222222222222;0.0;0.25;0.1333333333333333;0.17391304347826086;0.0;0.19999999999999996
GO:0051092;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.1428571428571429;1.0;0.0888888888888889;0.0;0.5;0.0;0.7916666666666666;0.0;0.09677419354838712
GO:0000165;0.0;0.24242424242424243;0.2222222222222222;0.20454545454545459;0.05555555555555558;0.23529411764705888;0.2222222222222222;0.0888888888888889;1.0;0.0;0.12121212121212122;0.0625;0.09999999999999998;0.0;0.09375
GO:0045087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0043484;0.0;0.0;0.25;0.0;0.0;0.0;0.25;0.5;0.12121212121212122;0.0;1.0;0.0;0.631578947368421;0.0;0.1578947368421053
GO:0043461;0.0;0.08695652173913049;0.1333333333333333;0.05714285714285716;0.2941176470588235;0.08333333333333337;0.1333333333333333;0.0;0.0625;0.0;0.0;1.0;0.0;0.0;0.0
GO:0032784;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.17391304347826086;0.7916666666666666;0.09999999999999998;0.0;0.631578947368421;0.0;1.0;0.0;0.11538461538461542
GO:1904491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
GO:0032897;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.19999999999999996;0.09677419354838712;0.09375;0.0;0.1578947368421053;0.0;0.11538461538461542;0.0;1.0
