;GO:0061178;GO:0014068;GO:0008584;GO:0035162;GO:0046854;GO:0042531;GO:0051091;GO:0071380;GO:0007259;GO:0006687;GO:0000187;GO:0010811;GO:0035556;GO:0086003;GO:0098909;GO:1904343;GO:0002371;GO:1904349;GO:0007268;GO:0007266;GO:0008354;GO:0009967;GO:0046627;GO:0071361;GO:0006605;GO:0001558;GO:0010666;GO:0035669;GO:0086091;GO:0120072;GO:0051259;GO:0051897;GO:0007193;GO:0040015;GO:0035023;GO:0090036;GO:0008284;GO:0043123;GO:0045666;GO:0007595;GO:0038096;GO:0038093;GO:0097067;GO:0000165;GO:0050730;GO:0071277;GO:0010634;GO:0032024;GO:2000650;GO:0060374;GO:2000273;GO:0043410;GO:0001541;GO:0051279;GO:0051310;GO:0010881;GO:0010763;GO:0018108;GO:1904251;GO:1905065;GO:0038111;GO:0002281;GO:0046777;GO:0008542;GO:0003254;GO:0043303;GO:0002320;GO:1902514;GO:0043547;GO:0010739;GO:0097324;GO:0002318;GO:0032762;GO:0010613;GO:0031397;GO:0051209;GO:0071456;GO:0050910;GO:0038109;GO:0050996;GO:0060396;GO:0090303;GO:0035234;GO:0007186;GO:0030183;GO:0031274;GO:0043552;GO:0043278;GO:0046426;GO:0060314;GO:0030217;GO:0007218;GO:0030218;GO:0002327;GO:0010628;GO:0032355;GO:0031663;GO:0010863;GO:0032870;GO:0010469;GO:0018105;GO:0018107;GO:0016567;GO:0030335;GO:0048170;GO:0008360;GO:2001031;GO:0032230;GO:1901842;GO:1901844;GO:0006469;GO:0043687;GO:0045747;GO:1901725;GO:0009968;GO:0048863;GO:0035855;GO:0032469;GO:0032467;GO:0031532;GO:0060333;GO:0007286;GO:1903078;GO:0007565;GO:0007169;GO:0007166;GO:0038162;GO:0002551;GO:0006357;GO:0002026;GO:0030318;GO:0043066;GO:0043065;GO:0030838;GO:0070374;GO:0030032;GO:0070257
GO:0061178;1.0;0.40786597131563074;0.0;0.0;0.0;0.2488054680598199;0.2297954350806831;0.0;0.33107893496201996;0.0;0.21984368987461309;0.26774154065409556;0.34762915991339133;0.0;0.3303356705543146;0.2219684055756534;0.0;0.22191284406739015;0.0;0.32273142576120073;0.0;0.44410409739286105;0.410771861954746;0.0;0.0;0.3563667217264832;0.27345221550957816;0.25348978743722345;0.28317614407317376;0.2219684055756534;0.0;0.40764508723057324;0.322953889365581;0.23020990950893327;0.47255905695973344;0.4958069822813317;0.3430135470871742;0.40760605982214515;0.2542478471167147;0.2311908340634272;0.2697002829644551;0.35125694463312657;0.0;0.21675788367265902;0.27040116143617243;0.0;0.30995436354474354;0.7336232470812465;0.24689318894023285;0.0;0.4068249545838824;0.2677352717164967;0.0;0.4544705702492634;0.0;0.337043011096941;0.32449564211082554;0.0;0.31674041076622644;0.2562544226825533;0.33034072545793963;0.0;0.0;0.0;0.38574098200680057;0.0;0.0;0.33939548630585803;0.17436739825721814;0.4081814552782476;0.0;0.0;0.0;0.28368573132943936;0.23017495962299664;0.2212601834340142;0.0;0.0;0.31461137527192246;0.23281317384318342;0.32228136399849244;0.3040095255964582;0.0;0.3477557943758123;0.0;0.2730083364872687;0.20350264888390127;0.0;0.393790099053029;0.466380590159048;0.0;0.33914184978545975;0.0;0.0;0.24699798570030687;0.0;0.33886719189979725;0.15917804129733884;0.0;0.49430799306640744;0.0;0.0;0.0;0.3379087757542315;0.3388186808050815;0.38436495427528355;0.2581467987675758;0.38899190791132393;0.22468094037244887;0.41173068313072264;0.18327709216392235;0.0;0.4260747328420103;0.2410475347089056;0.4454747089935758;0.0;0.0;0.18297035300285028;0.2981850097426484;0.0;0.3302145600496509;0.0;0.3672515936579889;0.0;0.3298414026930247;0.34731740188557414;0.3304390240473861;0.0;0.24842320767892245;0.3201694649745614;0.0;0.30985701540351457;0.3098466543681805;0.23946337572186374;0.26090069990405557;0.0;0.41573837367501837
GO:0014068;0.40786597131563074;1.0;0.0;0.0;0.0;0.5309403633867277;0.3016492876723885;0.0;0.38325104425224904;0.0;0.4652346560615833;0.39047664275918853;0.4056043688051122;0.0;0.31510057148538295;0.3146342581532434;0.0;0.31454478430982913;0.0;0.37210967895643376;0.0;0.8990384789163925;0.5137241256393801;0.0;0.0;0.4175494034031385;0.4228464630409568;0.36163874435397625;0.2637130194575071;0.3146342581532435;0.0;0.911846813896294;0.37240545581713447;0.26287327700441276;0.6599402452420274;0.6974279647579862;0.5480725951458674;0.9117487118857633;0.389683380375572;0.20102194427679768;0.38717075857192546;0.4003858091043583;0.0;0.23796660125424254;0.30422535564191555;0.0;0.40922639506665204;0.444611270858414;0.19020323014356363;0.0;0.8142523193799875;0.5744854731195431;0.0;0.30943372053824786;0.0;0.22217734046244467;0.4309033440608461;0.0;0.3641677119505499;0.3931210493741493;0.38226219370278014;0.0;0.0;0.0;0.38039595849865115;0.0;0.0;0.2719250308562414;0.202437624868735;0.9131953015207022;0.0;0.0;0.0;0.38902672690841616;0.25423625822643264;0.17719937264713795;0.0;0.0;0.3613561870285417;0.33221571739743677;0.3715114893222681;0.482747687278727;0.0;0.4057767743171799;0.0;0.42207328974332253;0.30480446509433207;0.0;0.5368413008994138;0.43545354013899545;0.0;0.39409694312952626;0.0;0.0;0.3555704918334423;0.0;0.39372611006816016;0.18224730109439857;0.0;0.634299022367649;0.0;0.0;0.0;0.4511221064574279;0.4221854092452833;0.3788276330126846;0.39636888620022726;0.6694609284347879;0.17150714047066612;0.47102127385817844;0.19821419748959893;0.0;0.8577922376064029;0.26756659191165993;0.5630624942446529;0.0;0.0;0.1539605424189602;0.4664357176145089;0.0;0.38209326140587724;0.0;0.32096651306694934;0.0;0.3815937318016361;0.4051800174963267;0.38239382709023856;0.0;0.27668511442653015;0.3038130400202238;0.0;0.3550981206459164;0.4873407437711611;0.3059541677536882;0.5587083191841935;0.0;0.31714837436624227
GO:0008584;0.0;0.0;1.0;0.538578968559149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2706290592292748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28425125912711846;0.0;0.0;0.7846874097272566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31352161453919336;0.0;0.0;0.0;0.0;0.31364018678571765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4584617754879876;0.0;0.236836299270241;0.0;0.0;0.0;0.0;0.0;0.23675360576902452;0.0;0.31308218150809264;0.22833150018297113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3299752423231062;0.391910101972128;0.0;0.0;0.0;0.0;0.5339361414406176;0.0;0.31178587181236017;0.0;0.0;0.0;0.0;0.0;0.0;0.3137419721377571;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035162;0.0;0.0;0.538578968559149;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3004244641980463;0.0;0.0;0.4802026955710938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33331309413785815;0.0;0.0;0.0;0.0;0.3334471121565869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28527379376593515;0.0;0.2479583642987434;0.0;0.0;0.0;0.0;0.0;0.24786772318105102;0.0;0.33281647431438455;0.23865171632367482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3519714166801749;0.41413524284217035;0.0;0.0;0.0;0.0;0.3737443814864207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33356216164642755;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046854;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.13443310460618546;0.20066218850281006;0.5381282456272459;0.0;0.0;0.21216445700371003;0.22752476800820126;0.0;0.0;0.0;0.0;0.21279860172572854;0.19492105594978407;0.2121819915639185;0.0;0.0;0.15813349500261253;0.0;0.0;0.0;0.1244915101674178;0.0;0.0;0.21510877813530385;0.0;0.19507353967289387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13318574664669014;0.1784292827669081;0.18221697482871732;0.4466598136142414;0.0;0.1931673991055483;0.0;0.0;0.0;0.21141316166858504;0.0;0.0;0.0;0.0;0.0;0.11712881707430273;0.0;0.5013981108880955;0.0;0.0;0.20015285473309222;0.19472017887632628;0.5223008639726552;0.0;0.0;0.13291027034550665;0.22457090717306905;0.0;0.0;0.0;0.21292731574664314;0.2246222320533706;0.0;0.0;0.0;0.09359711769894724;0.17758155227245517;0.0;0.18937463546815977;0.0;0.19461265573236092;0.0;0.20494989239665506;0.212253086270185;0.18781564185030958;0.0;0.0;0.0;0.0;0.0;0.1877717558103967;0.20624584990704273;0.2243805613111508;0.18324834091197229;0.0;0.0;0.20605502337276546;0.0;0.19159641243257952;0.0;0.501416445241231;0.5016979446482097;0.4072892904671722;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.426481283366622;0.0;0.0;0.0;0.2315491713293836;0.2109983123576812;0.15647230322181477;0.0;0.20976191751138357;0.2000658373818613;0.19825865432674059;0.0;0.0;0.19980852141438935;0.2119463033188573;0.20022065847853793;0.1802684539221125;0.0;0.0;0.22466627835439942;0.0;0.0;0.11751830551322694;0.0;0.19825300966518802;0.0
GO:0042531;0.2488054680598199;0.5309403633867277;0.0;0.0;0.0;1.0;0.34071168413888053;0.0;0.2002091703012004;0.0;0.7778246052392701;0.19720451395883382;0.20614403596579675;0.0;0.1586024320025903;0.17580258056409223;0.0;0.17577464296588108;0.0;0.19712589891195514;0.0;0.5019752501595209;0.29794544669629286;0.0;0.0;0.20918547574642615;0.2437208864341941;0.23127639315121784;0.14443594115257305;0.17580258056409226;0.0;0.5307522860995794;0.19720887392582623;0.14418367472064672;0.35689796609022373;0.3675832188587255;0.28068557194994287;0.5307190479059732;0.2323249777499922;0.1042940144305813;0.24145957044172547;0.22102835287417222;0.0;0.1517959553440213;0.5735983320342576;0.0;0.23913349193381855;0.2924910174328166;0.11920346488564469;0.0;0.4743942866024957;0.9035884284936071;0.0;0.17802367915750827;0.0;0.14521313318731097;0.24637607682698148;0.0;0.30836722767227615;0.23354253043000833;0.1999389814618086;0.0;0.0;0.0;0.1994272394305896;0.0;0.0;0.1468651383993568;0.10467379077753668;0.5312088679057188;0.0;0.0;0.0;0.213387246905616;0.389838453217055;0.12455035346078716;0.0;0.0;0.19406649164917578;0.2881379761211919;0.19695789756889415;0.25526970174822144;0.0;0.20618856022247584;0.0;0.24346382704651998;0.47179858708866473;0.0;0.3678849086475293;0.2790888130735222;0.0;0.2031295287777856;0.0;0.0;0.33258473445650966;0.0;0.20303096518986055;0.09900258468291326;0.0;0.3348633726813958;0.0;0.0;0.0;0.252855732590401;0.2661214315346999;0.19899533661824576;0.3927673878284299;0.37544699685958893;0.11158043507739109;0.2566212572987414;0.41790850647853345;0.0;0.48885075575092973;0.40231512071708986;0.313897741521846;0.0;0.0;0.09001817806641677;0.2575960087128586;0.0;0.19989275650723895;0.0;0.17776213421717027;0.0;0.19975595609216815;0.20603436659687852;0.19997498680783868;0.0;0.32779785644669573;0.15569093371863366;0.0;0.1922469321159784;0.2638465369586291;0.19973662806818174;0.8863549627678807;0.0;0.1765847399604657
GO:0051091;0.2297954350806831;0.3016492876723885;0.0;0.0;0.0;0.34071168413888053;1.0;0.0;0.3096477734595358;0.0;0.3487997693833814;0.31118408587849467;0.32407801791383245;0.0;0.25076762201567754;0.26103848594405393;0.0;0.26097689537747404;0.0;0.30233404032224126;0.0;0.3269093843508748;0.255484793142237;0.0;0.0;0.33165887157290275;0.30746462294280835;0.2449634980878085;0.21710026780887404;0.261038485944054;0.0;0.3014945883529296;0.30252926361421806;0.2165308275162966;0.2915717616380381;0.3050012909978609;0.38044494896129905;0.3014672540267078;0.28696133589404144;0.16196658776973283;0.2599126749394161;0.2809005485119185;0.0;0.2073617383473027;0.5033456948568098;0.0;0.2991066904024977;0.22828013703289218;0.20164555576021115;0.0;0.3850306723255614;0.3657144852794654;0.0;0.2596101244489833;0.0;0.19526943794549273;0.3123681769811604;0.0;0.47008060018317543;0.28911093974986474;0.30900194802707975;0.0;0.0;0.0;0.30778135002917223;0.0;0.0;0.22263533945768507;0.2675492210373518;0.3018702259511812;0.0;0.0;0.0;0.2701327401725728;0.4319031681856146;0.15965308297058609;0.0;0.0;0.29519661667538344;0.3849118960615512;0.30193903588065374;0.2882585647338085;0.0;0.32418807244888376;0.0;0.30699247966458154;0.4105587824214001;0.0;0.24546474835727133;0.24003363420851506;0.0;0.3166895266680056;0.0;0.0;0.46197098118507585;0.0;0.3164500186864979;0.24565192430331342;0.0;0.35611265525457847;0.0;0.0;0.0;0.32454304699922226;0.25355153944977493;0.30675382845946597;0.43378066473841315;0.3241974499035547;0.18425330929248715;0.2877271544765261;0.377315552210563;0.0;0.314371555708207;0.49054292198650856;0.2758241336509866;0.0;0.0;0.12995954364752346;0.33364195597887714;0.0;0.3088915530762632;0.0;0.26538227891904026;0.0;0.3085650078589788;0.3238070544203563;0.309087955687935;0.0;0.8833784907127212;0.24356598107438399;0.0;0.2910070302531323;0.34589651492991874;0.23279287810403493;0.3567017471144116;0.0;0.26276667671461557
GO:0071380;0.0;0.0;0.0;0.0;0.13443310460618546;0.0;0.0;1.0;0.1660697509787389;0.14153313848842375;0.0;0.0;0.17387097878226063;0.18405386123496936;0.0;0.0;0.0;0.0;0.17429663903019554;0.16211795135427423;0.17388275476978565;0.0;0.0;0.5465223365092164;0.0;0.0;0.0;0.11024455753708964;0.0;0.0;0.1758434363693428;0.0;0.1622234170008305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11700864265117744;0.15054510434077997;0.6187577516087865;0.11093138416697278;0.0;0.3672474633824365;0.0;0.0;0.0;0.17336608817681234;0.0;0.0;0.0;0.0;0.0;0.1044312811713897;0.0;0.12279318062259767;0.0;0.0;0.1657207372348607;0.16197897196380315;0.1272361667241098;0.13070471069778333;0.0;0.1167959689704694;0.1821160961693277;0.0;0.0;0.0;0.17438298037663497;0.18214984811855137;0.0;0.0;0.0;0.08530853899832903;0.34222797311344355;0.13062097960312424;0.1582627935485642;0.0;0.16190456087882701;0.0;0.1689957752800908;0.17393049747022185;0.1571724932313826;0.0;0.0;0.2312347226771984;0.0;0.0;0.15714175828085827;0.16987594328811867;0.18199089663509874;0.15396123126202862;0.0;0.45221417072645326;0.16974646320980558;0.0;0.6453239469962979;0.0;0.1227970983729203;0.12285724559090555;0.13237077808818895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13771655521108156;0.0;0.0;0.0;0.18667849561099312;0.17308702147175511;0.13460809565073306;0.0;0.1722541351669137;0.16566107926401274;0.1644200775235824;0.0;0.0;0.16548461453903482;0.17372444016255173;0.1657672164207116;0.15185225050549123;0.0;0.0;0.18217881124833077;0.0;0.0;0.10474078907277294;0.0;0.16441619525652515;0.0
GO:0007259;0.33107893496201996;0.38325104425224904;0.0;0.0;0.20066218850281006;0.2002091703012004;0.3096477734595358;0.1660697509787389;1.0;0.21690378556462117;0.17239544105483232;0.44212554822225547;0.9180355423220914;0.3357904065922137;0.4463901147704221;0.32981515315704407;0.0;0.3296924996142921;0.30467357803021583;0.8149489483628495;0.3034111700117901;0.43388206803113555;0.38716794009691674;0.20380324599611188;0.0;0.5938674483535331;0.39452006258837363;0.41184466244177914;0.3498211110768176;0.32981515315704407;0.30943150268808406;0.382954292555506;0.7345528023200947;0.34834498424218624;0.4765493380278051;0.5135036444319581;0.557688391586228;0.38290187467148395;0.35575170671195117;0.27782538248262123;0.4472984124801585;0.6506685961681316;0.2456468208944146;0.4613310204376078;0.38820052763475826;0.2659730625135572;0.3783933262037138;0.2580153169580265;0.23126000106159586;0.30184152921753454;0.3818536750864242;0.21918848286994522;0.0;0.39672132071379124;0.0;0.42497841996799185;0.404197676228824;0.17578922849244502;0.49141527054148537;0.35969269804290716;0.76125172417966;0.26892587120531225;0.18503932861474395;0.0;0.5214332630884778;0.1637520092430812;0.32939608355810923;0.36441990195282215;0.280536774392579;0.38367512808885246;0.30493749744104726;0.3295065179017349;0.0;0.3482993876103633;0.3103372862266893;0.2566740516996855;0.23729646350363784;0.0;0.705222419663575;0.35434036672595726;0.7321564731505528;0.38749625667152027;0.2888367215567774;0.8270698930209146;0.25593170212430305;0.3935967943156708;0.2637325374458585;0.0;0.3646127390654383;0.2819469775104632;0.25585021776714373;0.7939954068324844;0.3289867272148865;0.2475249005341631;0.38827838350454613;0.0;0.7929577928495899;0.24319943962590526;0.2630037839255125;0.5110607624424401;0.1757972578122869;0.17592055561859513;0.19610175527277696;0.42894794921395824;0.29790648542713344;0.5184908847597759;0.36343229219802864;0.4282307711601565;0.2041956456308457;0.4663643878370592;0.23073381061258597;0.2080668736054574;0.4081987341715931;0.330432289605743;0.435876134105011;0.3446303898627705;0.3009966007286507;0.29579230034492954;0.4481487564871526;0.29848680550153606;0.7607898097526152;0.27572224831239484;0.3385504875347051;0.0;0.7594248284913645;0.8253613138874345;0.7616117572183021;0.24211875983794384;0.3444512913548293;0.42407004549258775;0.3296013099159637;0.47504261500592976;0.47501826282351245;0.3353810956410282;0.21226036454451763;0.27571133108414697;0.33327038350184784
GO:0006687;0.0;0.0;0.0;0.0;0.5381282456272459;0.0;0.0;0.14153313848842375;0.21690378556462117;1.0;0.0;0.0;0.23040604100601425;0.24863468094633642;0.0;0.0;0.0;0.0;0.23115411139803912;0.21021116527769887;0.2304267205247107;0.0;0.0;0.1680499953167624;0.0;0.0;0.0;0.13055656169611207;0.0;0.0;0.23388257224026304;0.0;0.21038852058408403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14015122089118004;0.19115705881702222;0.19551098647259452;0.44713788449190955;0.0;0.20817303342140517;0.0;0.0;0.0;0.22952027103951395;0.0;0.0;0.0;0.0;0.0;0.12248225777176884;0.0;0.5049719632262535;0.0;0.0;0.21630878629780054;0.20997755641539526;0.5272419872317354;0.0;0.0;0.1398462098660794;0.24511151357597738;0.0;0.0;0.0;0.23130599616594816;0.2451726580848058;0.0;0.0;0.0;0.09698447290678935;0.1901844032739021;0.0;0.2037748316406672;0.0;0.20985252849737057;0.0;0.22192235255585885;0.2305105696259438;0.2019708586807793;0.0;0.0;0.0;0.0;0.0;0.20192010907748598;0.22344263733076677;0.24488477249719498;0.19669882358854202;0.0;0.0;0.22321867915535473;0.0;0.20634964375265785;0.0;0.5049914517523812;0.5052906818558701;0.5534064856507134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5811471081544981;0.0;0.0;0.0;0.2534484012205036;0.22903139872448977;0.16617516037059313;0.0;0.22757536367011777;0.2162071578335601;0.21409814112751904;0.0;0.0;0.21590667758024526;0.2301487843478931;0.21638797993758094;0.1932695261652671;0.0;0.0;0.24522513349331104;0.0;0.0;0.12290822818432044;0.0;0.2140915585132869;0.0
