;GO:0060761;GO:0043507;GO:0007250;GO:0034351;GO:0015031;GO:0090051;GO:0051092;GO:0000187;GO:0030307;GO:0071897;GO:0034622;GO:0071499;GO:2001045;GO:0070207;GO:0050679;GO:0035556;GO:1902042;GO:1900025;GO:0007266;GO:0043113;GO:0045415;GO:0051895;GO:0000077;GO:0051894;GO:0051496;GO:0071363;GO:0070159;GO:0050687;GO:0051897;GO:0090315;GO:0035023;GO:0090314;GO:0002181;GO:0006260;GO:1903265;GO:0008285;GO:0008284;GO:0042795;GO:0045944;GO:0007229;GO:0006933;GO:0106074;GO:0051781;GO:0051023;GO:0071550;GO:0032543;GO:0031333;GO:0010595;GO:0032148;GO:0016579;GO:2001240;GO:0070979;GO:0044344;GO:0035094;GO:0007249;GO:0007517;GO:0016180;GO:0010764;GO:2001238;GO:0070059;GO:0035924;GO:0030512;GO:0033622;GO:0018108;GO:0006481;GO:0036297;GO:0006520;GO:0051291;GO:1903721;GO:0043666;GO:0032091;GO:0010738;GO:0043154;GO:0098655;GO:0070126;GO:0071732;GO:0070125;GO:0006919;GO:0007183;GO:0007181;GO:0007186;GO:0032088;GO:0090266;GO:0021503;GO:0030855;GO:0033209;GO:0010906;GO:0007219;GO:0001755;GO:0051451;GO:0050880;GO:0002726;GO:0007271;GO:0007274;GO:0007032;GO:0090073;GO:0006469;GO:0045747;GO:0000122;GO:0000086;GO:0032743;GO:0051865;GO:2001044;GO:0006351;GO:0031098;GO:0030163;GO:0006750;GO:1901215;GO:0006357;GO:0048747;GO:0019371;GO:0070375;GO:0070373;GO:0006508;GO:0043065;GO:0034115;GO:0070534;GO:2000342;GO:0030036
GO:0060761;1.0;0.4095612617781259;0.46231071656027684;0.39121364747399473;0.0;0.35706904565368264;0.35266938595998104;0.42314877464027906;0.41196975323401913;0.0;0.0;0.0;0.5509280377284573;0.0;0.386388105396055;0.4573359086441006;0.5081514725230502;0.39401403885459024;0.35266938595998104;0.0;0.39401403885459024;0.39401403885459024;0.42163082532106483;0.29889472777415654;0.28340598898088826;0.0;0.0;0.590005309684478;0.4128469250091997;0.4335049408289237;0.43229414059970794;0.33303932959446864;0.0;0.0;0.635350811851725;0.5530018339908493;0.44615125546267004;0.0;0.396862619868897;0.33583972097506415;0.4166752758440068;0.3112589408837086;0.416745893776885;0.3255691156749497;0.0;0.0;0.511659484740965;0.3597137174952619;0.24483659193823942;0.0;0.5181243620997938;0.0;0.0;0.0;0.33583972097506415;0.0;0.0;0.41084370383950714;0.4465062549790335;0.35266938595998104;0.0;0.5447987500005871;0.0;0.0;0.0;0.0;0.0;0.0;0.39321686864368727;0.34748249679779214;0.3689947442131249;0.45233782698353314;0.4080433124589117;0.0;0.0;0.0;0.0;0.2862243854169409;0.0;0.0;0.4481344041173141;0.4603074953905843;0.3170653189507221;0.0;0.0;0.36251410887585733;0.416745893776885;0.3917466579160018;0.0;0.0;0.4222112151903196;0.43952131290999286;0.0;0.0;0.0;0.2784552652550451;0.4206871325985262;0.45233782698353314;0.47254956732133774;0.0;0.3428840525103449;0.0;0.48898510446107;0.0;0.3863287159298149;0.0;0.0;0.47700899371463384;0.43977059252418493;0.0;0.0;0.33583972097506415;0.49132180753813326;0.0;0.40920626226176243;0.39401403885459024;0.0;0.41084370383950714;0.0
GO:0043507;0.4095612617781259;1.0;0.5843386582012597;0.2356627434825912;0.0;0.20793868398924592;0.44385906169189754;0.7715599576006832;0.4263450347736227;0.0;0.0;0.0;0.3924766018039215;0.0;0.4030785064657758;0.37889866320935955;0.376502591160175;0.2305999209786624;0.2602208719763758;0.0;0.3490778435985795;0.2305999209786624;0.26607992132966124;0.3174113268860042;0.3174113268860042;0.0;0.0;0.4068050711609932;0.5744139059528823;0.23096239711502337;0.49171377210603945;0.3146736076411672;0.0;0.0;0.46825103452039885;0.366926479125505;0.4605265370022736;0.0;0.48083859234367743;0.24339120699145883;0.24339120699145883;0.20918200840426326;0.4311211753164885;0.270065594892252;0.0;0.0;0.3383754158884171;0.3609153797717143;0.5843386582012597;0.0;0.3751616649685263;0.0;0.0;0.0;0.24339120699145883;0.0;0.0;0.2356627434825912;0.5019103644902327;0.2602208719763758;0.0;0.4018360528693195;0.0;0.0;0.0;0.0;0.0;0.0;0.5887152599679406;0.499426321060062;0.4071510635561374;0.5117574584898648;0.37747969660828723;0.0;0.0;0.0;0.0;0.4230546121091978;0.0;0.0;0.369697158682573;0.36172127438903934;0.2524924084675081;0.0;0.0;0.270065594892252;0.3959966425049985;0.2992981439323964;0.0;0.0;0.3132955123581584;0.4109913222031488;0.0;0.0;0.0;0.39752938936484805;0.6297861539695377;0.5077419364947324;0.383196654724168;0.0;0.32451833055704343;0.0;0.4387810460702271;0.0;0.29388020194620956;0.0;0.0;0.30372492486208585;0.43767377712292466;0.0;0.0;0.24339120699145883;0.5722522291957839;0.0;0.4277228613736101;0.2305999209786624;0.0;0.21919555463403523;0.0
GO:0007250;0.46231071656027684;0.5843386582012597;1.0;0.293006542549582;0.0;0.25654682119915273;0.4966085164740484;0.7256967616916506;0.4945832283490419;0.0;0.0;0.0;0.40110856518901666;0.0;0.4558279612479267;0.5222318257683712;0.3756469368190046;0.2988381145540817;0.41756530308425166;0.0;0.3818635141717858;0.2988381145540817;0.3234237203966521;0.35884696589976284;0.33618572891034626;0.0;0.0;0.42525795625734253;0.5735582516117119;0.29920059069044264;0.477684498501718;0.35610924665492577;0.0;0.0;0.4572529415399816;0.4679683483295877;0.5287647305776928;0.0;0.49399420655137133;0.40073563809933477;0.40073563809933477;0.3042227565413432;0.49935936889190774;0.3523150570165355;0.0;0.0;0.42062487801270054;0.40235101878547297;0.6784499188596637;0.0;0.3784473281996001;0.0;0.0;0.0;0.40073563809933477;0.0;0.0;0.293006542549582;0.4909122715098154;0.41756530308425166;0.0;0.42778295308980985;0.0;0.0;0.0;0.0;0.0;0.0;0.5550559299981067;0.4853970474557405;0.4753892571315568;0.5049006830816913;0.4348234956752781;0.0;0.0;0.0;0.0;0.4490015123296881;0.0;0.0;0.5130303212415848;0.44397073651332275;0.309836207534499;0.0;0.0;0.42741002600012795;0.4642348360804177;0.4566425750402724;0.0;0.0;0.47063994346603427;0.4142769854342226;0.0;0.0;0.0;0.43031505993805436;0.6229293785613645;0.500885161086559;0.4209103974256465;0.0;0.36595396957080206;0.0;0.45458550765147043;0.0;0.4512246330540855;0.0;0.0;0.3859743869863693;0.4832507337089274;0.0;0.0;0.40073563809933477;0.46176673027487136;0.0;0.4691585003873687;0.2988381145540817;0.0;0.27653935370102606;0.0
GO:0034351;0.39121364747399473;0.2356627434825912;0.293006542549582;1.0;0.0;0.2734349230662449;0.2574024755403231;0.23835586183631596;0.3495065184430246;0.0;0.0;0.0;0.3330411532565691;0.0;0.32623999013517774;0.3948726738531061;0.579091758901082;0.3330411532565691;0.2574024755403231;0.0;0.3157262164211739;0.3330411532565691;0.36297305925316087;0.24057281055540614;0.22656154200654188;0.0;0.0;0.3541608871710605;0.22656154200654188;0.3145983433645615;0.25284752794976617;0.22692401814290286;0.0;0.0;0.22656154200654188;0.48485645019668006;0.3836880206716755;0.0;0.32722688688175416;0.2560615493486744;0.3526712096220815;0.20514362943214276;0.3542826589858905;0.28273593724946766;0.0;0.0;0.4476554185190397;0.270065594892252;0.18096658036508195;0.0;0.5622620939161651;0.0;0.0;0.0;0.2560615493486744;0.0;0.0;0.3325558814060908;0.5136352377241027;0.2574024755403231;0.0;0.3597155411573623;0.0;0.0;0.0;0.0;0.0;0.0;0.21377025599374544;0.2906380498234458;0.2674030835841578;0.2574024755403231;0.6710163928695915;0.0;0.0;0.0;0.0;0.4968055727391857;0.0;0.0;0.3856711693263196;0.3319132801999567;0.2602208719763758;0.0;0.0;0.2672471984561994;0.3369677221504953;0.31196848628961205;0.0;0.0;0.3104771159221057;0.2239774550459827;0.0;0.0;0.0;0.18058550093835818;0.36533303481715323;0.2574024755403231;0.3984030624601655;0.0;0.23676874105877915;0.0;0.28273593724946766;0.0;0.3065505443034252;0.0;0.0;0.6110020059871225;0.36743740675657033;0.0;0.0;0.24057281055540614;0.3002374776279056;0.0;0.6498936724321986;0.3330411532565691;0.0;0.2991096045712932;0.0
GO:0015031;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6259057833210926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6068006244981047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090051;0.35706904565368264;0.20793868398924592;0.25654682119915273;0.2734349230662449;0.0;1.0;0.24057281055540614;0.20189614048588655;0.2998731778294442;0.0;0.0;0.0;0.2834078126429887;0.0;0.27991031780812825;0.3452393332395257;0.2734349230662449;0.36383346635896496;0.24057281055540614;0.0;0.35178351544062486;0.26939654409412445;0.303852100913315;0.19694059100882855;0.1851737485278404;0.0;0.0;0.32001628535074833;0.19694059100882855;0.31472795588234903;0.22425102048386109;0.3007166873334848;0.0;0.0;0.19694059100882855;0.4084205550214389;0.33405468005809513;0.0;0.29863037941584913;0.22374314557048924;0.2834078126429887;0.18831396444722587;0.3046493183723101;0.2977701242365646;0.0;0.0;0.37839202153994694;0.6722680102872052;0.15464929765389956;0.0;0.26939654409412445;0.0;0.0;0.0;0.22374314557048924;0.0;0.0;0.5457528461914124;0.2305999209786624;0.24057281055540614;0.0;0.29607093199491763;0.0;0.0;0.0;0.0;0.0;0.0;0.1851737485278404;0.2492502563447443;0.2505734185992409;0.22656154200654188;0.29026458805116184;0.0;0.0;0.0;0.0;0.19110901900432897;0.0;0.0;0.3360378287127392;0.29776867837964455;0.21883307849767425;0.0;0.0;0.2504175334712824;0.3046493183723101;0.27965008251142687;0.0;0.0;0.29364745093718875;0.2912723877005169;0.0;0.0;0.0;0.1637558359534413;0.3130508468300234;0.22656154200654188;0.3547708429135879;0.0;0.30528365624938114;0.0;0.2504175334712824;0.0;0.27423214052524;0.0;0.0;0.3437415305136157;0.33781645575885694;0.0;0.0;0.22374314557048924;0.256605258081328;0.0;0.30725212549643444;0.37597832570514117;0.0;0.36861318042554175;0.0
GO:0051092;0.35266938595998104;0.44385906169189754;0.4966085164740484;0.2574024755403231;0.0;0.24057281055540614;1.0;0.45744657455405063;0.45904183347554134;0.0;0.0;0.0;0.2733764861840696;0.0;0.4262876874414291;0.4145027302186185;0.2574024755403231;0.2733764861840696;0.309836207534499;0.0;0.36011059690252784;0.2733764861840696;0.2878196533873931;0.3334480096655092;0.35610924665492577;0.0;0.0;0.3156166256570468;0.3334480096655092;0.2737389623204306;0.27965008251142687;0.3729389116398427;0.0;0.0;0.3334480096655092;0.402530546134764;0.49322333570419225;0.0;0.569046299261543;0.293006542549582;0.293006542549582;0.2519585736096705;0.46381797401840724;0.28273593724946766;0.0;0.0;0.38799075144654027;0.3996132995406359;0.41019973172206364;0.0;0.2560615493486744;0.0;0.0;0.0;0.293006542549582;0.0;0.0;0.27289121433359137;0.3671073396353431;0.309836207534499;0.0;0.28273593724946766;0.0;0.0;0.0;0.0;0.0;0.0;0.3395744775783035;0.4389533964136371;0.4695576851270571;0.29020615116898657;0.3757325429379036;0.0;0.0;0.0;0.0;0.4270293967069806;0.0;0.0;0.405301225691832;0.6567037256776576;0.27423214052524003;0.0;0.0;0.31968093045037527;0.4316007095142575;0.34891347949051965;0.0;0.0;0.3629108479162816;0.36012239756630243;0.0;0.0;0.0;0.4698059619123878;0.4366687774994499;0.3729389116398427;0.5537552532057941;0.0;0.382783634555719;0.0;0.31968093045037527;0.0;0.3434955375043328;0.0;0.0;0.33371020405469665;0.6232680876852232;0.0;0.0;0.293006542549582;0.30677080194964;0.0;0.4437595441531151;0.2733764861840696;0.0;0.2564240254850354;0.0
GO:0000187;0.42314877464027906;0.7715599576006832;0.7256967616916506;0.23835586183631596;0.0;0.20189614048588655;0.45744657455405063;1.0;0.40712887200711234;0.0;0.0;0.0;0.40606411466607467;0.0;0.38716601198579637;0.37847490752264845;0.3900901040223281;0.2324205913598274;0.2738083848385289;0.0;0.36266535646073267;0.2324205913598274;0.26877303968338606;0.30419628518649666;0.30419628518649666;0.0;0.0;0.37060727554407646;0.5880014188150354;0.22188867298776;0.5053012849681926;0.3014585659416596;0.0;0.0;0.481838547382552;0.3665027234387939;0.44131037423576325;0.0;0.4944261052058306;0.256978719853612;0.256978719853612;0.22276952126641641;0.4119050125499782;0.2708618217416087;0.0;0.0;0.3391716427377738;0.3477003380722068;0.7256967616916506;0.0;0.38874917783067947;0.0;0.0;0.0;0.256978719853612;0.0;0.0;0.23835586183631596;0.5154978773523858;0.2738083848385289;0.0;0.41542356573147265;0.0;0.0;0.0;0.0;0.0;0.0;0.6023027728300937;0.5130138339222151;0.43352986243108704;0.5253449713520177;0.3910672094704404;0.0;0.0;0.0;0.0;0.4366421249713509;0.0;0.0;0.3692734029958619;0.37530878725119243;0.2551855268212329;0.0;0.0;0.28365310775440516;0.3955728868182874;0.3128856567945496;0.0;0.0;0.3268830252203115;0.424578835065302;0.0;0.0;0.0;0.42512817077586545;0.6701762213933515;0.5213294493568854;0.3967841675863212;0.0;0.3113032888575359;0.0;0.45236855893238026;0.0;0.3074677148083627;0.0;0.0;0.30452115171144256;0.4512612899850778;0.0;0.0;0.256978719853612;0.585839742057937;0.0;0.41450781967410255;0.2324205913598274;0.0;0.21174623434851297;0.0
GO:0030307;0.41196975323401913;0.4263450347736227;0.4945832283490419;0.3495065184430246;0.0;0.2998731778294442;0.45904183347554134;0.40712887200711234;1.0;0.0;0.0;0.0;0.3523069098236201;0.0;0.5647616691355452;0.5232668890437338;0.3321915816076294;0.46217742809413304;0.369136574808537;0.0;0.3326768534581077;0.46217742809413304;0.3799236962900947;0.4889799826557936;0.46217742809413304;0.0;0.0;0.3749169929310848;0.4349769981587178;0.33303932959446864;0.3544391885787332;0.43223927891388075;0.0;0.0;0.4349769981587178;0.5112947049598793;0.6471860561915768;0.0;0.5061423356917976;0.3749681468130367;0.3749681468130367;0.3112589408837086;0.6177806945057918;0.4016425347138299;0.0;0.0;0.5839641915527518;0.47848105104442795;0.35988202917512535;0.0;0.3326768534581077;0.0;0.0;0.0;0.3749681468130367;0.0;0.0;0.3495065184430246;0.46863632812855166;0.369136574808537;0.0;0.3789812977244133;0.0;0.0;0.0;0.0;0.0;0.0;0.41231576116930124;0.3967533612750116;0.3689947442131249;0.369136574808537;0.36633618342794155;0.0;0.0;0.0;0.0;0.42914542615421813;0.0;0.0;0.5140653845169472;0.369136574808537;0.4535454647090379;0.0;0.0;0.3789812977244133;0.4558743196148575;0.4308750837539743;0.0;0.0;0.4222112151903196;0.41942276484034047;0.0;0.0;0.0;0.2784552652550451;0.37898000356755607;0.4786092177052953;0.4135275014549724;0.0;0.44208400182975705;0.0;0.4016425347138299;0.0;0.42545714176778743;0.0;0.0;0.4353018646836637;0.4735527182081361;0.0;0.0;0.3523069098236201;0.3153619166227125;0.0;0.5720910872079843;0.3523069098236201;0.0;0.31572439275907344;0.0
GO:0071897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.4626403104684768;0.3136398486141296;0.0;0.3337551768301203;0.0;0.47791260148857334;0.0;0.0;0.37324607880445376;0.0;0.0;0.0;0.3440570264611997;0.0;0.0;0.35503125880910724;0.5095692473656571;0.0;0.0;0.0;0.0;0.0;0.605079207831022;0.7146891611256186;0.0;0.0;0.0;0.5722755322023585;0.0;0.35641641381953687;0.0;0.46010545581457996;0.0;0.0;0.37324607880445376;0.605079207831022;0.0;0.0;0.0;0.4725574970855728;0.0;0.37243516151724165;0.2813214448359444;0.0;0.35641641381953687;0.0;0.5600582423204079;0.0;0.0;0.37324607880445376;0.2813214448359444;0.0;0.3337551768301203;0.47211573634340454;0.4866074024568548;0.6196204656367732;0.5830731329712222;0.3604295647309135;0.0;0.0;0.0;0.0;0.0;0.0;0.35641641381953687;0.2968101836292127;0.647370501185951;0.0;0.35641641381953687;0.35641641381953687;0.4687110969617868;0.0;0.0;0.0;0.446521332538066;0.38309080172033005;0.0;0.4123233507604745;0.4069054087742876;0.3505848418150372;0.0;0.0;0.2545188902742837;0.2713485552592006;0.39549368577555755;0.0;0.0;0.0;0.0;0.35641641381953687;0.0;0.38792390031050994;0.0;0.754660279081155;0.4069054087742876;0.52323196767106;0.5150561851489519;0.0;0.0;0.38309080172033005;0.43155481458258654;0.4475301305008341;0.0;0.543965218383401;0.0;0.0;0.38926482650215855;0.0;0.4250773947712189
