;GO:0007095;GO:0007098;GO:0014066;GO:0007096;GO:0006289;GO:0042771;GO:0008585;GO:0044314;GO:0045766;GO:0002244;GO:0051090;GO:0045892;GO:0045893;GO:0070200;GO:0010778;GO:1904172;GO:0035556;GO:1902042;GO:1900264;GO:0030261;GO:0007141;GO:0008630;GO:0045931;GO:0001556;GO:0050727;GO:0035307;GO:0070317;GO:0010389;GO:0035264;GO:0043009;GO:0006260;GO:0008285;GO:0006261;GO:1902975;GO:0042276;GO:0006303;GO:0045944;GO:0006301;GO:0031619;GO:0000281;GO:1990426;GO:0071158;GO:0030521;GO:2000378;GO:0016579;GO:0045717;GO:0070979;GO:0000729;GO:0000727;GO:0006271;GO:0000724;GO:1902983;GO:0000722;GO:0007129;GO:0085020;GO:0007050;GO:1904498;GO:0036297;GO:0006366;GO:0043547;GO:0043150;GO:0035519;GO:0031398;GO:0072425;GO:0034421;GO:0010575;GO:0045739;GO:0071681;GO:0051574;GO:0051572;GO:0051573;GO:0051056;GO:0051571;GO:0032355;GO:0070512;GO:0030177;GO:0030214;GO:0033600;GO:0043967;GO:0035067;GO:0043966;GO:0044818;GO:0000915;GO:0045589;GO:0000079;GO:0006978;GO:2000617;GO:0032508;GO:0000082;GO:0032465;GO:0071356;GO:0035335;GO:0051865;GO:0070936;GO:0006351;GO:0090521;GO:0034088;GO:0046600;GO:0006355;GO:0000921;GO:0006633;GO:0006513;GO:0006359;GO:0007569;GO:0034080;GO:0051598;GO:0006349;GO:0044030;GO:0048478;GO:2000620;GO:0033147;GO:0034599;GO:0070534;GO:2000348
GO:0007095;1.0;0.5383937202809524;0.2832212090999459;0.5997076950390041;0.5605148732699623;0.6233351248591947;0.0;0.19457357436122563;0.28732647518258375;0.4328241782709224;0.39581910990224556;0.40971926426163474;0.36023422299003627;0.0;0.5383937202809524;0.25654682119915273;0.5222318257683712;0.3002374776279056;0.25654682119915273;0.2848925714244635;0.5383937202809524;0.6401647898441116;0.5562950964648589;0.3855773354389354;0.3778937864102417;0.27098998840247623;0.48065351075047635;0.7304532930526799;0.0;0.0;0.35099847183335003;0.44536554822234653;0.3213522927748928;0.5905507761910059;0.6233351248591947;0.5254507522253182;0.33719977645849797;0.5649416541996518;0.5383937202809524;0.6073804411759228;0.5905507761910059;0.41611415344887753;0.42741002600012795;0.3721184252125898;0.30870717847842105;0.33797382339227766;0.19457357436122563;0.4328241782709224;0.4791463079590127;0.44148427237987303;0.5324356942943589;0.6172251640917992;0.25821818352367026;0.5383937202809524;0.19457357436122563;0.6402110423046702;0.0;0.5481119892147348;0.48458024718554527;0.2519585736096705;0.3855773354389354;0.19457357436122563;0.27200903777481994;0.7435120373674644;0.24138851853875337;0.24007963235059676;0.2974529595436521;0.4092781021407852;0.22361497890962173;0.2734349230662449;0.2832796459821212;0.3365699849015323;0.21377025599374544;0.37796468421802404;0.19694059100882855;0.3238654811388204;0.2610185749042658;0.3358415446371646;0.42908138832464554;0.31664338692611144;0.44379841061882996;0.8714280885539538;0.5552233852658693;0.2770919213720756;0.45186129317652374;0.6233351248591947;0.19694059100882855;0.2918775134935041;0.5905507761910059;0.5281098868145966;0.3866168651513686;0.26806290643954656;0.20858484291008988;0.19457357436122563;0.4928671133341394;0.3855773354389354;0.6242101061608398;0.47785311936988084;0.40546618086442887;0.3855773354389354;0.37135316679176544;0.24224417287992372;0.2783091563197782;0.39377503703875716;0.3855773354389354;0.6672556557815092;0.28769296280505896;0.30703581615390346;0.4604003051718342;0.1851737485278404;0.298896551436257;0.5540953308949921;0.21140323934614252;0.3028512654654583
GO:0007098;0.5383937202809524;1.0;0.0;0.0;0.30009584686028645;0.3855773354389354;0.0;0.19457357436122563;0.0;0.4328241782709224;0.0;0.0;0.0;0.0;0.5383937202809524;0.0;0.5070735231079719;0.0;0.0;0.3961469114829053;0.5383937202809524;0.4024070004238523;0.0;0.3855773354389354;0.0;0.0;0.0;0.0;0.0;0.0;0.35099847183335003;0.0;0.3213522927748928;0.5383937202809524;0.3855773354389354;0.26806290643954656;0.0;0.3045226277899759;0.5383937202809524;0.5552233852658693;0.5383937202809524;0.0;0.4122517233397286;0.0;0.30870717847842105;0.0;0.19457357436122563;0.4328241782709224;0.22407358170335817;0.44148427237987303;0.2750478485085872;0.5650681081817457;0.3694725235821121;0.5383937202809524;0.19457357436122563;0.5856405631129394;0.0;0.28769296280505896;0.48458024718554527;0.0;0.3855773354389354;0.19457357436122563;0.0;0.4024070004238523;0.24138851853875337;0.0;0.0;0.28367981189368235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2610185749042658;0.0;0.5207056720175749;0.0;0.5354226943117594;0.5650681081817457;0.5552233852658693;0.0;0.0;0.3855773354389354;0.0;0.4031318535519459;0.5383937202809524;0.0;0.2610185749042658;0.26806290643954656;0.20858484291008988;0.19457357436122563;0.4928671133341394;0.3855773354389354;0.5720530502507863;0.0;0.0;0.4772016191318648;0.37135316679176544;0.24224417287992372;0.0;0.39377503703875716;0.4772016191318648;0.5383937202809524;0.28769296280505896;0.0;0.3855773354389354;0.0;0.0;0.3792729967118828;0.21140323934614252;0.0
GO:0014066;0.2832212090999459;0.0;1.0;0.3218132092054883;0.0;0.2832212090999459;0.0;0.0;0.29668592624798173;0.0;0.35339964988644923;0.3612402462966602;0.3714198720975611;0.0;0.0;0.2659062722645507;0.4243474531344948;0.4219513810853102;0.2504175334712824;0.0;0.0;0.30005087408486286;0.38138679393220576;0.0;0.504236615334587;0.2976643763032694;0.2659062722645507;0.3316579321213646;0.0;0.0;0.0;0.41237526905064026;0.0;0.0;0.0;0.0;0.3498628958104269;0.0;0.0;0.0;0.0;0.2925806601653439;0.3098955970007391;0.3391281460408835;0.0;0.3049835442205714;0.0;0.0;0.0;0.0;0.0;0.0;0.231818017332936;0.0;0.0;0.3304680519319329;0.0;0.0;0.0;0.231818017332936;0.0;0.0;0.2986834256756131;0.34234216743979184;0.0;0.24943908341599474;0.42161235583093243;0.0;0.23852252432942678;0.22867780141355054;0.23852252432942678;0.6698635386835396;0.22867780141355054;0.0;0.2118481364286336;0.521904167591138;0.0;0.2832212090999459;0.0;0.2708618217416087;0.0;0.3098955970007391;0.0;0.3037663092728688;0.3365699849015323;0.2832212090999459;0.22361497890962173;0.0;0.0;0.40457639353106295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28273593724946766;0.4148256319298269;0.0;0.0;0.0;0.2894948054273031;0.0;0.0;0.2832212090999459;0.27611347131678793;0.31639526721930145;0.2832212090999459;0.20095374192020526;0.42778295308980985;0.0;0.0;0.5140635711809272
GO:0007096;0.5997076950390041;0.0;0.3218132092054883;1.0;0.0;0.29513882130469515;0.0;0.0;0.3104297364948579;0.0;0.3653172620911984;0.39047279533680457;0.40065242113770555;0.0;0.0;0.3823481025857915;0.45358000217463923;0.2824684789474795;0.27965008251142687;0.0;0.0;0.31196848628961205;0.694469500585537;0.0;0.3968557301502717;0.32689692534341386;0.5317554872410067;0.7673568784410709;0.0;0.0;0.0;0.44160781809078464;0.0;0.0;0.0;0.0;0.37909544485057134;0.0;0.0;0.0;0.0;0.5584298751417999;0.3218132092054883;0.3683606950810279;0.0;0.3342160932607158;0.0;0.0;0.0;0.0;0.0;0.0;0.24825928036028394;0.0;0.0;0.5439575905027909;0.0;0.0;0.0;0.24825928036028394;0.0;0.0;0.3279159747157575;0.6165591547491072;0.0;0.2631828936628709;0.35335989648458965;0.0;0.4263816690947972;0.41653694617892095;0.4263816690947972;0.37516198500707465;0.41653694617892095;0.0;0.39970728119400406;0.3624574812443628;0.0;0.29513882130469515;0.0;0.46244286281925934;0.0;0.6531846375014578;0.0;0.33299885831301324;0.5500595234723904;0.29513882130469515;0.39970728119400406;0.0;0.0;0.6662842909352749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49912136067484647;0.4440581809699713;0.0;0.0;0.0;0.3187273544674475;0.0;0.0;0.5561374642718423;0.289857281563664;0.34562781625944583;0.29513882130469515;0.3856960126451398;0.27965008251142687;0.0;0.0;0.3391281460408835
GO:0006289;0.5605148732699623;0.30009584686028645;0.0;0.0;1.0;0.5873174278316229;0.0;0.32476456299854356;0.0;0.32771263332676104;0.0;0.0;0.0;0.0;0.5592867477661463;0.0;0.4215920345293229;0.0;0.0;0.26436361319015994;0.30009584686028645;0.6369507684452034;0.0;0.30009584686028645;0.0;0.0;0.0;0.0;0.0;0.0;0.6266054077058139;0.0;0.5868167900081098;0.5592867477661463;0.6916541237326996;0.6760372182785639;0.0;0.7351581766184098;0.30009584686028645;0.3169255118452034;0.5592867477661463;0.0;0.32677023476107964;0.0;0.4215832302803437;0.0;0.32476456299854356;0.6065335905981333;0.6165591547491072;0.6151936847070838;0.6830221603476045;0.5859611356669394;0.5433127371223997;0.30009584686028645;0.32476456299854356;0.34734268969227344;0.0;0.7183285116334929;0.5481102745807725;0.0;0.5592867477661463;0.32476456299854356;0.0;0.6369507684452034;0.3715795071760713;0.0;0.0;0.4060640807418769;0.0;0.0;0.0;0.0;0.0;0.3574357259837206;0.0;0.0;0.33864418956980324;0.0;0.4347136164272938;0.0;0.44943063872147826;0.32677023476107964;0.3169255118452034;0.0;0.0;0.5605148732699623;0.0;0.2713485552592006;0.30009584686028645;0.0;0.3887491439064817;0.3982538950768645;0.3387758315474078;0.32476456299854356;0.5563971407293666;0.28046579049477405;0.3337551768301203;0.0;0.0;0.28046579049477405;0.4164749915942462;0.37243516151724165;0.0;0.3309547854495248;0.30009584686028645;0.30009584686028645;0.42607056789229475;0.0;0.5592867477661463;0.0;0.0;0.5931726028510127;0.3415942279834605;0.0
GO:0042771;0.6233351248591947;0.3855773354389354;0.2832212090999459;0.29513882130469515;0.5873174278316229;1.0;0.0;0.19457357436122563;0.28732647518258375;0.4328241782709224;0.39581910990224556;0.3500545971891353;0.36023422299003627;0.0;0.3855773354389354;0.25654682119915273;0.7170000585953863;0.24057281055540614;0.25654682119915273;0.2848925714244635;0.3855773354389354;0.88127281146983;0.35471240603141263;0.3855773354389354;0.3778937864102417;0.27098998840247623;0.23923188436375753;0.3049835442205714;0.0;0.0;0.35099847183335003;0.3857008811498471;0.3213522927748928;0.3855773354389354;0.6233351248591947;0.5481119892147348;0.33719977645849797;0.5917442087613124;0.3855773354389354;0.4024070004238523;0.3855773354389354;0.2659062722645507;0.5452113864407775;0.31245375814009035;0.30870717847842105;0.2783091563197782;0.19457357436122563;0.4328241782709224;0.4987763643245251;0.44148427237987303;0.5550969312837755;0.4122517233397286;0.25821818352367026;0.3855773354389354;0.19457357436122563;0.44798248093132176;0.0;0.5749145437763954;0.48458024718554527;0.2519585736096705;0.3855773354389354;0.19457357436122563;0.27200903777481994;0.6401647898441116;0.24138851853875337;0.24007963235059676;0.2974529595436521;0.4360806567024458;0.22361497890962173;0.21377025599374544;0.22361497890962173;0.3365699849015323;0.21377025599374544;0.4047672387796846;0.19694059100882855;0.3238654811388204;0.2610185749042658;0.27617687756466514;0.42908138832464554;0.256978719853612;0.44379841061882996;0.42741002600012795;0.4024070004238523;0.2770919213720756;0.3098955970007391;0.7440025606004488;0.19694059100882855;0.2918775134935041;0.3855773354389354;0.37790200563026977;0.4092781021407852;0.26806290643954656;0.20858484291008988;0.19457357436122563;0.4928671133341394;0.3855773354389354;0.41923666540876925;0.2733764861840696;0.40546618086442887;0.3855773354389354;0.37135316679176544;0.24224417287992372;0.2783091563197782;0.39377503703875716;0.3855773354389354;0.40073563809933477;0.28769296280505896;0.30703581615390346;0.40073563809933477;0.1851737485278404;0.23923188436375753;0.5868990065236557;0.21140323934614252;0.3028512654654583
GO:0008585;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.493621815514597;0.0;0.0;0.0;0.0;0.5114057690003564;0.0;0.0;0.0;0.0;0.0;0.5114057690003564;0.0;0.0;0.5522631697432582;0.0;0.0;0.0;0.0;0.404083679327681;0.41626933230427876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5114057690003564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5114057690003564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45457267428243175;0.0;0.5114057690003564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0044314;0.19457357436122563;0.19457357436122563;0.0;0.0;0.32476456299854356;0.19457357436122563;0.0;1.0;0.0;0.22902913118041618;0.0;0.0;0.0;0.0;0.3151872983846554;0.0;0.3160697620302621;0.0;0.0;0.18299504787921034;0.19457357436122563;0.21140323934614252;0.0;0.19457357436122563;0.0;0.0;0.0;0.0;0.0;0.0;0.3670172195310548;0.0;0.3460210089131499;0.3151872983846554;0.3151872983846554;0.2995703929305196;0.0;0.329191343928233;0.19457357436122563;0.21140323934614252;0.3151872983846554;0.0;0.22124796226201882;0.0;0.5875504882948278;0.0;0.7220540959046337;0.3624341412166424;0.2611291625487383;0.37109423532559305;0.3065553349995603;0.3418616862854486;0.3025169560274398;0.19457357436122563;0.7220540959046337;0.24182041719321262;0.0;0.31236167894331607;0.398701471337997;0.0;0.3151872983846554;0.7220540959046337;0.0;0.21140323934614252;0.36371309801596474;0.0;0.0;0.15912105135901272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24550878177786545;0.0;0.3899022140662797;0.0;0.4046192363604641;0.22124796226201882;0.21140323934614252;0.0;0.0;0.19457357436122563;0.0;0.18997998994825094;0.19457357436122563;0.0;0.1489786127197657;0.3903874859167579;0.641878187198406;0.7220540959046337;0.40698833748659113;0.1817822883484292;0.22823290433105947;0.0;0.0;0.1817822883484292;0.31779148944790137;0.6755375171682398;0.0;0.23227128330317992;0.19457357436122563;0.19457357436122563;0.2600318719009418;0.0;0.3151872983846554;0.0;0.0;0.23880607612398091;0.7388837608895505;0.0
GO:0045766;0.28732647518258375;0.0;0.29668592624798173;0.3104297364948579;0.0;0.28732647518258375;0.0;0.0;1.0;0.0;0.357504915969087;0.365345512379298;0.4652374697733456;0.0;0.0;0.3638651875125793;0.4088226628516202;0.2573411959899729;0.3269201943116717;0.0;0.0;0.30415614016750064;0.4620307723448392;0.0;0.40551057287671627;0.3741670371436587;0.25452279955392026;0.3202744594107341;0.0;0.0;0.0;0.3968504787677657;0.0;0.0;0.0;0.0;0.4403768251996804;0.0;0.0;0.0;0.0;0.37090951904786007;0.31400086308337694;0.3259184752881262;0.0;0.29360007150994094;0.0;0.0;0.0;0.0;0.0;0.0;0.25239047226412975;0.0;0.0;0.33457331801457074;0.0;0.0;0.0;0.25239047226412975;0.0;0.0;0.37370861627159835;0.3464474335224296;0.0;0.48472501032456183;0.40245620632696144;0.0;0.3113032888575359;0.22188867298776;0.23173339590363629;0.3500347020495681;0.3014585659416596;0.0;0.2846289009567427;0.43118384745224697;0.0;0.42803937093520417;0.0;0.2632002453432584;0.0;0.31400086308337694;0.0;0.42178191654646635;0.3233603141487749;0.28732647518258375;0.29742018696953915;0.0;0.0;0.3890516032481884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28684120333210544;0.4189308980124647;0.0;0.0;0.0;0.29360007150994094;0.0;0.0;0.28732647518258375;0.29668592624798173;0.3205005333019393;0.28732647518258375;0.27286205847575457;0.25452279955392026;0.0;0.0;0.31400086308337694
GO:0002244;0.4328241782709224;0.4328241782709224;0.0;0.0;0.32771263332676104;0.4328241782709224;0.493621815514597;0.22902913118041618;0.0;1.0;0.0;0.0;0.0;0.0;0.4328241782709224;0.0;0.5543203659399589;0.0;0.0;0.3148244774210553;0.4328241782709224;0.4496538432558393;0.0;0.5473803840301835;0.0;0.0;0.0;0.0;0.451330522159668;0.38589271996484426;0.37558407767592045;0.0;0.3489690792413674;0.4328241782709224;0.4328241782709224;0.29799481243613835;0.0;0.3321394142564505;0.4328241782709224;0.4496538432558393;0.4328241782709224;0.0;0.4594985661717156;0.0;0.35595402131040804;0.0;0.22902913118041618;0.4800710211029094;0.2558316857420769;0.48873111521186;0.304979754505179;0.4594985661717156;0.30546502635565725;0.4328241782709224;0.22902913118041618;0.4800710211029094;0.0;0.31530974927153355;0.5318270900175323;0.0;0.4328241782709224;0.22902913118041618;0.0;0.4496538432558393;0.27132042453534516;0.0;0.0;0.30826541773625277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28863536137074036;0.0;0.47632823115663253;0.0;0.49104525345081695;0.4594985661717156;0.4496538432558393;0.0;0.0;0.4328241782709224;0.0;0.3218094194900959;0.4328241782709224;0.0;0.28863536137074036;0.29799481243613835;0.24182041719321262;0.22902913118041618;0.5401139561661263;0.4328241782709224;0.46648350824075624;0.0;0.0;0.4328241782709224;0.39593877263433586;0.27547974716304646;0.0;0.5555780856300052;0.4328241782709224;0.4328241782709224;0.33493980563704595;0.0;0.4328241782709224;0.0;0.0;0.3997172849822092;0.24585879616533307;0.0
