;GO:0046718;GO:0038114;GO:0033572;GO:0035690;GO:1902476;GO:0045830;GO:0042102;GO:0006446;GO:0043687;GO:0006511;GO:0043304;GO:0006879;GO:0030316;GO:0097286;GO:1990830;GO:0097401;GO:0045794;GO:0045780;GO:0048388;GO:0030890;GO:0031623;GO:0010499;GO:0016567
GO:0046718;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0038114;0.0;1.0;0.0;0.08035136607671284;0.0;0.006623055014945074;0.014096404968237644;0.03689424031796977;0.022277141600228655;0.021522845044846663;0.03542095073601984;0.018032200330988648;0.07153182450691553;0.0;0.04124057718599388;0.023934992948117656;0.06650410182460502;0.053868825883752545;0.01844711400995396;0.015731131713214507;0.051925829547280054;0.0;0.02189487228911387
GO:0033572;0.0;0.0;1.0;0.0;0.09942310915187194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20414581884607852;0.0;0.08591255905224075;0.0;0.0;0.0;0.0;0.07707796061295388;0.0;0.0
GO:0035690;0.0;0.08035136607671284;0.0;1.0;0.0;0.0;0.0;0.0;0.022277141600228655;0.021522845044846663;0.0;0.018032200330988648;0.07153182450691553;0.0;0.3087052771897396;0.023934992948117656;0.06650410182460502;0.0;0.01844711400995396;0.0;0.051925829547280054;0.0;0.02189487228911387
GO:1902476;0.0;0.0;0.09942310915187194;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09942310915187194;0.0;0.19861490133678872;0.0;0.0;0.0;0.0;0.06751541911785222;0.0;0.0
GO:0045830;0.0;0.006623055014945074;0.0;0.0;0.0;1.0;0.10611827434732034;0.018943974130476448;0.0;0.0;0.032529300391690406;0.002800881846608173;0.0;0.0;0.0;0.002800881846608173;0.002800881846608173;0.019633247304097955;0.002800881846608173;0.1333569217760866;0.0;0.0;0.0
GO:0042102;0.0;0.014096404968237644;0.0;0.0;0.0;0.10611827434732034;1.0;0.014096404968237644;0.0;0.0;0.04410875767296391;0.005961352380265788;0.0;0.0;0.0;0.005961352380265788;0.005961352380265788;0.014096404968237644;0.005961352380265788;0.4649958094720516;0.0;0.0;0.0
GO:0006446;0.0;0.03689424031796977;0.0;0.0;0.0;0.018943974130476448;0.014096404968237644;1.0;0.0;0.0;0.03542095073601984;0.015602529001770322;0.0;0.0;0.0;0.015602529001770322;0.015602529001770322;0.020693002473972075;0.015602529001770322;0.015731131713214507;0.0;0.0;0.0
GO:0043687;0.0;0.022277141600228655;0.0;0.022277141600228655;0.0;0.0;0.0;0.0;1.0;0.28613922521041946;0.0;0.018032200330988648;0.022277141600228655;0.0;0.022277141600228655;0.022277141600228655;0.022277141600228655;0.0;0.01844711400995396;0.0;0.20141324215750858;0.23461834900338666;0.9560047851581759
GO:0006511;0.0;0.021522845044846663;0.0;0.021522845044846663;0.0;0.0;0.0;0.0;0.28613922521041946;1.0;0.0;0.018032200330988648;0.021522845044846663;0.0;0.021522845044846663;0.021522845044846663;0.021522845044846663;0.0;0.01844711400995396;0.0;0.19459345721857507;0.26020845535737;0.28613922521041946
