;GO:0007186;GO:0030183;GO:0031284;GO:0033141;GO:0042100;GO:0006355;GO:0002286;GO:0022400;GO:0060337;GO:0002323;GO:0043330;GO:0045087;GO:0051607;GO:0050911;GO:0010469
GO:0007186;1.0;0.15384615384615385;0.10526315789473684;0.4444444444444444;0.15384615384615385;0.5;0.15384615384615385;0.14285714285714285;0.14285714285714285;0.15384615384615385;0.0;0.0;0.0;0.0;0.15384615384615385
GO:0030183;0.15384615384615385;1.0;0.0;0.0;0.8571428571428571;0.0;0.14285714285714285;0.0;0.13333333333333333;0.14285714285714285;0.0;0.3333333333333333;0.2857142857142857;0.0;0.0
GO:0031284;0.10526315789473684;0.0;1.0;0.64;0.0;0.5217391304347826;0.0;0.19047619047619047;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.3
GO:0033141;0.4444444444444444;0.0;0.64;1.0;0.0;0.45454545454545453;0.0;0.6;0.1;0.0;0.0;0.0;0.0;0.0;0.631578947368421
GO:0042100;0.15384615384615385;0.8571428571428571;0.0;0.0;1.0;0.0;0.7142857142857143;0.0;0.13333333333333333;0.7142857142857143;0.0;0.3333333333333333;0.2857142857142857;0.0;0.0
GO:0006355;0.5;0.0;0.5217391304347826;0.45454545454545453;0.0;1.0;0.0;0.3333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.23529411764705882
GO:0002286;0.15384615384615385;0.14285714285714285;0.0;0.0;0.7142857142857143;0.0;1.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.3333333333333333;0.2857142857142857;0.0;0.0
GO:0022400;0.14285714285714285;0.0;0.19047619047619047;0.6;0.0;0.3333333333333333;0.0;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.8
GO:0060337;0.14285714285714285;0.13333333333333333;0.09523809523809523;0.1;0.13333333333333333;0.1111111111111111;0.13333333333333333;0.125;1.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333
GO:0002323;0.15384615384615385;0.14285714285714285;0.0;0.0;0.7142857142857143;0.0;0.14285714285714285;0.0;0.13333333333333333;1.0;0.0;0.3333333333333333;0.2857142857142857;0.0;0.0
GO:0043330;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.14285714285714285;0.3076923076923077;0.0
GO:0045087;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;1.0;0.6666666666666666;0.36363636363636365;0.0
GO:0051607;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.14285714285714285;0.6666666666666666;1.0;0.15384615384615385;0.0
GO:0050911;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.36363636363636365;0.15384615384615385;1.0;0.0
GO:0010469;0.15384615384615385;0.0;0.3;0.631578947368421;0.0;0.23529411764705882;0.0;0.8;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;1.0
