;GO:0007186;GO:0030183;GO:0031284;GO:0033141;GO:0042100;GO:0006355;GO:0002286;GO:0022400;GO:0060337;GO:0002323;GO:0043330;GO:0045087;GO:0051607;GO:0050911;GO:0010469
GO:0007186;1.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.01468324974140624;0.0;0.0;0.0;0.0;0.047799631016701725
GO:0030183;0.01468324974140624;1.0;0.0;0.0;0.49604003480066305;0.0;0.40842982240055986;0.0;0.01468324974140624;0.40842982240055986;0.0;0.20709043845653538;0.20709043845653538;0.0;0.0
GO:0031284;0.047799631016701725;0.0;1.0;0.28270809275848624;0.0;0.14416800614326972;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.17530917548795347
GO:0033141;0.047799631016701725;0.0;0.28270809275848624;1.0;0.0;0.10900961301269105;0.0;0.1786822519641151;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.1786822519641151
GO:0042100;0.01468324974140624;0.49604003480066305;0.0;0.0;1.0;0.0;0.40842982240055986;0.0;0.01468324974140624;0.40842982240055986;0.0;0.20709043845653538;0.20709043845653538;0.0;0.0
GO:0006355;0.047799631016701725;0.0;0.14416800614326972;0.10900961301269105;0.0;1.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725
GO:0002286;0.01468324974140624;0.40842982240055986;0.0;0.0;0.40842982240055986;0.0;1.0;0.0;0.01468324974140624;0.5375110437700777;0.0;0.20709043845653538;0.29045087053624835;0.0;0.0
GO:0022400;0.047799631016701725;0.0;0.047799631016701725;0.1786822519641151;0.0;0.047799631016701725;0.0;1.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.1786822519641151
GO:0060337;0.12659489728285286;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;1.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.047799631016701725
GO:0002323;0.01468324974140624;0.40842982240055986;0.0;0.0;0.40842982240055986;0.0;0.5375110437700777;0.0;0.01468324974140624;1.0;0.0;0.20709043845653538;0.29045087053624835;0.0;0.0
GO:0043330;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.11807622278079505;0.11807622278079505;0.11807622278079505;0.0
GO:0045087;0.0;0.20709043845653538;0.0;0.0;0.20709043845653538;0.0;0.20709043845653538;0.0;0.0;0.20709043845653538;0.11807622278079505;1.0;0.27499689082764317;0.11807622278079505;0.0
GO:0051607;0.0;0.20709043845653538;0.0;0.0;0.20709043845653538;0.0;0.29045087053624835;0.0;0.0;0.29045087053624835;0.11807622278079505;0.27499689082764317;1.0;0.11807622278079505;0.0
GO:0050911;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.11807622278079505;0.11807622278079505;1.0;0.0
GO:0010469;0.047799631016701725;0.0;0.17530917548795347;0.1786822519641151;0.0;0.047799631016701725;0.0;0.1786822519641151;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;1.0
