id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:1990001	inhibition of cysteine-type endopeptidase activity involved in apoptotic process	3	1.00	0.96	9.63	2010.87
GO:0043388	positive regulation of DNA binding	10	0.71	0.64	8.58	32.53
GO:0050789	regulation of biological process	1161	0.09	0.17	1.80	4.47
GO:0044237	cellular metabolic process	736	0.16	0.21	2.71	13.80
GO:0050896	response to stimulus	603	0.25	0.12	2.65	3.37
GO:0051179	localization	583	0.26	0.13	2.57	3.37
GO:0000132	establishment of mitotic spindle orientation	2	0.93	0.84	9.58	227.85
GO:0016043	cellular component organization	523	0.28	0.26	3.74	11.45
GO:0022402	cell cycle process	142	0.40	0.32	4.60	7.39
GO:0032502	developmental process	414	0.22	0.11	1.89	3.37
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	25	1.00	0.79	9.63	42.20
